City,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Miami,358548,358940,359332,359725,360117,360509,360901,361293,361686,362078,362470,367259,372049,376838,381628,386417,389025,391633,394241,396849,399457,406675,413892,421110,428327
Minneapolis,368383,369807,371230,372654,374077,375501,376924,378348,379771,381195,382618,380657,378695,376734,374772,372811,374764,376718,378671,380625,382578,387729,392880,398031,403182
Sacramento,369365,373130,376896,380661,384426,388192,391957,395722,399487,403253,407018,416903,426787,436672,446556,456441,458450,460460,462469,464479,466488,471002,475516,480030,484544
Oakland,372242,374966,377690,380415,383139,385863,388587,391311,394036,396760,399484,398642,397800,396958,396116,395274,394364,393454,392544,391634,390724,395732,400740,405748,410756
Atlanta,394017,396263,398508,400754,403000,405246,407491,409737,411983,414228,416474,427317,438160,449002,459845,470688,460551,450414,440277,430140,420003,431889,443775,455661,467547
Charlotte,395934,410423,424913,439402,453892,468381,482870,497360,511849,526339,540828,554852,568876,582901,596925,610949,635044,659139,683234,707329,731424,753313,775202,797091,818980
Kansas City,435146,435786,436426,437066,437706,438346,438985,439625,440265,440905,441545,442229,442913,443597,444281,444965,447929,450894,453858,456823,459787,462049,464310,466572,468833
Portland,437319,446499,455679,464860,474040,483220,492400,501580,510761,519941,529121,529982,530843,531705,532566,533427,543497,553567,563636,573706,583776,593441,603106,612771,622436
Oklahoma City,444719,450860,457002,463143,469284,475426,481567,487708,493849,499991,506132,511170,516209,521247,526286,531324,541059,550794,560529,570264,579999,589599,599199,608799,618399
Denver,467610,476313,485015,493718,502420,511123,519826,528528,537231,545933,554636,555292,555948,556605,557261,557917,566365,574813,583262,591710,600158,617212,634265,651319,668372
Cleveland,505616,502895,500173,497452,494731,492010,489288,486567,483846,481124,478403,473164,467925,462686,457447,452208,441129,430051,418972,407894,396815,393872,390928,387985,385041
Nashville-Davidson,510784,514258,517732,521206,524680,528154,531628,535102,538576,542050,545524,546241,546958,547676,548393,549110,559532,569955,580377,590800,601222,612859,624496,636133,647770
Seattle,516259,520971,525682,530394,535105,539817,544528,549240,553951,558663,563374,565481,567589,569696,571804,573911,580861,587811,594760,601710,608660,621598,634535,647473,660410
Boston,574283,575769,577255,578740,580226,581712,583198,584684,586169,587655,589141,583120,577098,571077,565055,559034,570746,582458,594170,605882,617594,627037,636479,645922,655364
Washington,606900,603416,599932,596448,592964,589480,585995,582511,579027,575543,572059,567751,563444,559136,554829,550521,560761,571002,581242,591483,601723,617023,632323,647623,662923
Memphis,610337,614313,618290,622266,626242,630219,634195,638171,642147,646124,650100,654535,658971,663406,667842,672277,667199,662122,657044,651967,646889,651022,655155,659288,663421
Milwaukee,628088,624977,621865,618754,615642,612531,609420,606308,603197,600085,596974,593357,589739,586122,582504,578887,582076,585265,588455,591644,594833,596875,598916,600958,602999
Jacksonville,635230,645269,655307,665346,675385,685424,695462,705501,715540,725578,735617,745018,754419,763821,773222,782623,790455,798287,806120,813952,821784,829146,836507,843869,851230
San Francisco,723959,729236,734514,739791,745069,750346,755623,760901,766178,771456,776733,769272,761810,754349,746887,739426,752588,765750,778911,792073,805235,815549,825863,836177,846491
Baltimore,736014,727528,719042,710556,702070,693584,685098,676612,668126,659640,651154,648086,645018,641951,638883,635815,632844,629873,626903,623932,620961,621152,621342,621533,621723
Indianapolis,741952,745944,749936,753927,757919,761911,765903,769895,773886,777878,781870,782320,782769,783219,783668,784118,791383,798649,805914,813180,820445,827649,834852,842056,849259
San Jose,782248,793518,804787,816057,827326,838596,849865,861135,872404,883674,894943,898421,901899,905376,908854,912332,919054,925776,932498,939220,945942,964354,982765,1001177,1019588
San Antonio,935933,956804,977676,998547,1019418,1040290,1061161,1082032,1102903,1123775,1144646,1167019,1189391,1211764,1234136,1256509,1270689,1284868,1299048,1313227,1327407,1355179,1382951,1410723,1438495
Phoenix,983403,1017167,1050931,1084696,1118460,1152224,1185988,1219752,1253517,1287281,1321045,1349151,1377257,1405363,1433469,1461575,1458386,1455198,1452009,1448821,1445632,1467191,1488750,1510309,1531868
Dallas,1006877,1025047,1043218,1061388,1079558,1097729,1115899,1134069,1152239,1170410,1188580,1193629,1198678,1203727,1208776,1213825,1210623,1207421,1204220,1201018,1197816,1219489,1241162,1262835,1284508
Detroit,1027974,1020304,1012633,1004963,997292,989622,981952,974281,966611,958940,951270,938350,925430,912511,899591,886671,852092,817513,782935,748356,713777,707626,701475,695324,689173
San Diego,1110549,1121834,1133119,1144404,1155689,1166975,1178260,1189545,1200830,1212115,1223400,1229828,1236256,1242684,1249112,1255540,1265912,1276285,1286657,1297030,1307402,1322875,1338348,1353821,1369294
New Orleans,496938,495711,494484,493257,492030,490803,489576,488349,487122,485895,484668,470584,456500,442416,428332,414249,400165,386081,371997,357913,343829,355458,367086,378715,390344
