rank,team,value,value_change,debt_percent,revenue,operating_income,year
1,New York Knicks,"1,100",41,0,243,83.2,2013
2,Los Angeles Lakers,"1,000",11,11,197,47.8,2013
3,Chicago Bulls,800,33,7,162,34.2,2013
4,Boston Celtics,730,51,22,143,18.7,2013
5,Dallas Mavericks,685,38,29,137,13,2013
6,Miami Heat,625,37,18,150,14.9,2013
7,Houston Rockets,568,25,18,135,26.6,2013
8,Golden State Warriors,555,23,27,127,29.1,2013
9,Brooklyn Nets,530,48,53,84,-16.6,2013
10,San Antonio Spurs,527,26,9,135,14.7,2013
11,Sacramento Kings,525,75,19,96,2.6,2013
12,Oklahoma City Thunder,475,36,29,127,29.9,2013
13,Phoenix Suns,474,20,39,121,13,2013
14,Orlando Magic,470,22,26,126,12,2013
15,Portland Trail Blazers,457,24,23,117,-10.1,2013
16,Cleveland Cavaliers,434,32,46,128,18.6,2013
17,Utah Jazz,432,29,0,111,12.1,2013
18,Los Angeles Clippers,430,33,0,108,9.1,2013
19,Denver Nuggets,427,35,5,110,12,2013
20,Philadelphia 76ers,418,33,36,107,-0.8,2013
21,Toronto Raptors,405,6,40,121,18.8,2013
22,Detroit Pistons,400,20,46,125,7.7,2013
23,Washington Wizards,397,21,33,102,1.7,2013
24,Indiana Pacers,383,35,39,98,10.9,2013
25,Memphis Grizzlies,377,40,29,96,-12.5,2013
26,Minnesota Timberwolves,364,34,21,96,-4.5,2013
27,New Orleans Hornets,340,19,37,100,3.3,2013
28,Atlanta Hawks,316,17,75,99,-18.7,2013
29,Charlotte Bobcats,315,14,48,93,-13.3,2013
30,Milwaukee Bucks,312,16,18,87,-0.5,2013
