"","rank","team","value","value_change","debt_percent","revenue","operating_income","year"
"1","1","New York Knicks","1,400","27","0","287","96.3",2014
"2","2","Los Angeles Lakers","1,350","35","8","295","66.4",2014
"3","3","Chicago Bulls","1,000","25","6","195","52.2",2014
"4","4","Boston Celtics","875","20","18","169","46.8",2014
"5","5","Brooklyn Nets","780","47","36","190","-19.0",2014
"6","6","Houston Rockets","775","36","13","191","63.7",2014
"7","7","Miami Heat","770","23","13","188","29.2",2014
"8","8","Dallas Mavericks","765","12","26","162","37.5",2014
"9","9","Golden State Warriors","750","35","20","160","43.0",2014
"10","10","San Antonio Spurs","660","25","11","167","39.4",2014
"11","11","Oklahoma City Thunder","590","24","24","144","33.3",2014
"12","12","Portland Trail Blazers","587","28","18","140","30.0",2014
"13","13","Los Angeles Clippers","575","34","0","128","15.0",2014
"14","14","Phoenix Suns","565","19","33","137","28.2",2014
"15","15","Orlando Magic","560","19","21","139","12.3",2014
"16","16","Sacramento Kings","550","5","43","115","12.5",2014
"17","17","Utah Jazz","525","22","10","131","17.5",2014
"18","18","Toronto Raptors","520","28","30","149","28.8",2014
"19","19","Cleveland Cavaliers","515","19","39","145","10.8",2014
"20","20","Denver Nuggets","495","16","2","124","8.0",2014
"21","21","Washington Wizards","485","22","27","122","7.0",2014
"22","22","Indiana Pacers","475","24","32","121","11.6",2014
"23","23","Philadelphia 76ers","469","12","32","117","-3.8",2014
"24","24","Memphis Grizzlies","453","20","39","126","11.2",2014
"25","25","Detroit Pistons","450","12","41","139","10.3",2014
"26","26","Minnesota Timberwolves","430","18","23","116","-2.7",2014
"27","27","Atlanta Hawks","425","34","55","119","-3.6",2014
"28","28","New Orleans Pelicans","420","24","30","116","11.2",2014
"29","29","Charlotte Bobcats","410","30","37","115","7.0",2014
"30","30","Milwaukee Bucks","405","30","19","109","11.5",2014
