ReplaceFrom,ReplaceTo
Atlanta Hawks,Atlanta
Boston Celtics,Boston
Brooklyn Nets,Brooklyn
Charlotte Bobcats,Charlotte
Charlotte Hornets,New Orleans
Chicago Bulls,Chicago
Cleveland Cavaliers,Cleveland
Dallas Mavericks,Dallas
Denver Nuggets,Denver
Detroit Pistons,Detroit
Golden State Warriors,Golden State
Houston Rockets,Houston
Indiana Pacers,Indiana
Los Angeles Clippers,L.A. Clippers
Los Angeles Lakers,L.A. Lakers
Memphis Grizzlies,Memphis
Miami Heat,Miami
Milwaukee Bucks,Milwaukee
Minnesota Timberwolves,Minnesota
New Jersey Nets,Brooklyn
New Orleans Hornets,New Orleans
New Orleans Pelicans,New Orleans
New York Knicks,New York
Oklahoma City Thunder,Oklahoma City
Orlando Magic,Orlando
Philadelphia 76ers,Philadelphia
Phoenix Suns,Phoenix
Portland Trail Blazers,Portland
Sacramento Kings,Sacramento
San Antonio Spurs,San Antonio
Seattle Supersonics,Oklahoma City
Toronto Raptors,Toronto
Utah Jazz,Utah
Vancouver Grizzlies,Memphis
Washington Bullets,Washington
Washington Wizards,Washington
