,rank,team,value,value_change,debt_percent,revenue,year
0,1,New York,1400,27.0,0.0,287.0,2014
1,2,L.A. Lakers,1350,35.0,8.0,295.0,2014
2,3,Chicago,1000,25.0,6.0,195.0,2014
3,4,Boston,875,20.0,18.0,169.0,2014
4,5,Brooklyn,780,47.0,36.0,190.0,2014
5,6,Houston,775,36.0,13.0,191.0,2014
6,7,Miami,770,23.0,13.0,188.0,2014
7,8,Dallas,765,12.0,26.0,162.0,2014
8,9,Golden State,750,35.0,20.0,160.0,2014
9,10,San Antonio,660,25.0,11.0,167.0,2014
10,11,Oklahoma City,590,24.0,24.0,144.0,2014
11,12,Portland,587,28.0,18.0,140.0,2014
12,13,L.A. Clippers,575,34.0,0.0,128.0,2014
13,14,Phoenix,565,19.0,33.0,137.0,2014
14,15,Orlando,560,19.0,21.0,139.0,2014
15,16,Sacramento,550,5.0,43.0,115.0,2014
16,17,Utah,525,22.0,10.0,131.0,2014
17,18,Toronto,520,28.0,30.0,149.0,2014
18,19,Cleveland,515,19.0,39.0,145.0,2014
19,20,Denver,495,16.0,2.0,124.0,2014
20,21,Washington,485,22.0,27.0,122.0,2014
21,22,Indiana,475,24.0,32.0,121.0,2014
22,23,Philadelphia,469,12.0,32.0,117.0,2014
23,24,Memphis,453,20.0,39.0,126.0,2014
24,25,Detroit,450,12.0,41.0,139.0,2014
25,26,Minnesota,430,18.0,23.0,116.0,2014
26,27,Atlanta,425,34.0,55.0,119.0,2014
27,28,New Orleans,420,24.0,30.0,116.0,2014
28,29,Charlotte,410,30.0,37.0,115.0,2014
29,30,Milwaukee,405,30.0,19.0,109.0,2014
30,1,New York,1100,41.0,0.0,243.0,2013
31,2,L.A. Lakers,1000,11.0,11.0,197.0,2013
32,3,Chicago,800,33.0,7.0,162.0,2013
33,4,Boston,730,51.0,22.0,143.0,2013
34,5,Dallas,685,38.0,29.0,137.0,2013
35,6,Miami,625,37.0,18.0,150.0,2013
36,7,Houston,568,25.0,18.0,135.0,2013
37,8,Golden State,555,23.0,27.0,127.0,2013
38,9,Brooklyn,530,48.0,53.0,84.0,2013
39,10,San Antonio,527,26.0,9.0,135.0,2013
40,11,Sacramento,525,75.0,19.0,96.0,2013
41,12,Oklahoma City,475,36.0,29.0,127.0,2013
42,13,Phoenix,474,20.0,39.0,121.0,2013
43,14,Orlando,470,22.0,26.0,126.0,2013
44,15,Portland,457,24.0,23.0,117.0,2013
45,16,Cleveland,434,32.0,46.0,128.0,2013
46,17,Utah,432,29.0,0.0,111.0,2013
47,18,L.A. Clippers,430,33.0,0.0,108.0,2013
48,19,Denver,427,35.0,5.0,110.0,2013
49,20,Philadelphia,418,33.0,36.0,107.0,2013
50,21,Toronto,405,6.0,40.0,121.0,2013
51,22,Detroit,400,20.0,46.0,125.0,2013
52,23,Washington,397,21.0,33.0,102.0,2013
53,24,Indiana,383,35.0,39.0,98.0,2013
54,25,Memphis,377,40.0,29.0,96.0,2013
55,26,Minnesota,364,34.0,21.0,96.0,2013
56,27,New Orleans,340,19.0,37.0,100.0,2013
57,28,Atlanta,316,17.0,75.0,99.0,2013
58,29,Charlotte,315,14.0,48.0,93.0,2013
59,30,Milwaukee,312,16.0,18.0,87.0,2013
60,1,New York,1100,0.41,0.0,243.0,2012
61,2,L.A. Lakers,1000,0.11,0.11,197.0,2012
62,3,Chicago,800,0.33,0.07,162.0,2012
63,4,Boston,730,0.51,0.22,143.0,2012
64,5,Dallas,685,0.38,0.29,137.0,2012
65,6,Miami,625,0.37,0.18,150.0,2012
66,7,Houston,568,0.25,0.18,135.0,2012
67,8,Golden State,555,0.23,0.27,127.0,2012
68,9,Brooklyn,530,0.48,0.53,84.0,2012
69,10,San Antonio,527,0.26,0.09,135.0,2012
70,11,Sacramento,525,0.75,0.19,96.0,2012
71,12,Oklahoma City,475,0.36,0.29,127.0,2012
72,13,Phoenix,474,0.2,0.39,121.0,2012
73,14,Orlando,470,0.22,0.26,126.0,2012
74,15,Portland,457,0.24,0.23,117.0,2012
75,16,Cleveland,434,0.32,0.46,128.0,2012
76,17,Utah,432,0.29,0.0,111.0,2012
77,18,L.A. Clippers,430,0.33,0.0,108.0,2012
78,19,Denver,427,0.35,0.05,110.0,2012
79,20,Philadelphia,418,0.33,0.36,107.0,2012
80,21,Toronto,405,0.06,0.4,121.0,2012
81,22,Detroit,400,0.2,0.46,125.0,2012
82,23,Washington,397,0.21,0.33,102.0,2012
83,24,Indiana,383,0.35,0.39,98.0,2012
84,25,Memphis,377,0.4,0.29,96.0,2012
85,26,Minnesota,364,0.34,0.21,96.0,2012
86,27,New Orleans,340,0.19,0.37,100.0,2012
87,28,Atlanta,316,0.17,0.75,99.0,2012
88,29,Charlotte,315,0.14,0.48,93.0,2012
89,30,Milwaukee,312,0.16,0.18,87.0,2012
90,1,L.A. Lakers,900,0.4,0.13,208.0,2011
91,2,New York,780,0.19,0.0,244.0,2011
92,3,Chicago,600,0.17,0.09,185.0,2011
93,4,Dallas,497,0.13,0.4,166.0,2011
94,5,Boston,482,0.07,0.37,146.0,2011
95,6,Miami,457,0.08,0.34,158.0,2011
96,7,Houston,453,0.02,0.22,150.0,2011
97,8,Golden State,450,0.24,0.33,139.0,2011
98,9,San Antonio,418,0.03,0.12,139.0,2011
99,10,Phoenix,395,-0.04,0.47,136.0,2011
100,11,Orlando,385,0.0,0.31,140.0,2011
101,12,Toronto,382,-0.04,0.34,134.0,2011
102,13,Portland,370,0.04,0.28,132.0,2011
103,14,Brooklyn,357,0.14,0.79,89.0,2011
104,15,Oklahoma City,348,0.06,0.4,126.0,2011
105,16,Utah,335,-0.02,0.03,120.0,2011
106,17,Detroit,332,-0.08,0.56,141.0,2011
107,18,Cleveland,329,-0.07,0.61,149.0,2011
108,19,Washington,328,0.02,0.4,109.0,2011
109,20,L.A. Clippers,324,0.06,0.0,108.0,2011
110,21,Denver,316,0.0,0.08,113.0,2011
111,22,Philadelphia,314,-0.05,0.48,116.0,2011
112,23,Sacramento,300,0.02,0.33,104.0,2011
113,24,New Orleans,285,0.02,1.05,109.0,2011
114,25,Indiana,283,0.05,0.53,101.0,2011
115,26,Charlotte,277,-0.01,0.54,101.0,2011
116,27,Minnesota,272,0.03,0.28,97.0,2011
117,28,Atlanta,270,-0.08,0.9,109.0,2011
118,29,Memphis,269,0.01,0.56,99.0,2011
119,30,Milwaukee,268,0.04,0.21,92.0,2011
120,1,New York,655,0.12,0.0,226.0,2010
121,2,L.A. Lakers,643,0.06,0.19,214.0,2010
122,3,Chicago,511,0.0,0.11,169.0,2010
123,4,Boston,452,0.05,0.4,151.0,2010
124,5,Houston,443,-0.06,0.16,153.0,2010
125,6,Dallas,438,-0.02,0.46,146.0,2010
126,7,Miami,425,0.17,0.38,124.0,2010
127,8,Phoenix,411,-0.04,0.45,147.0,2010
128,9,San Antonio,404,0.01,0.1,135.0,2010
129,10,Toronto,399,0.03,0.34,138.0,2010
130,11,Orlando,385,0.06,0.29,108.0,2010
131,12,Golden State,363,0.15,0.41,119.0,2010
132,13,Detroit,360,-0.25,0.0,147.0,2010
133,14,Portland,356,0.05,0.3,127.0,2010
134,15,Cleveland,355,-0.26,0.56,161.0,2010
135,16,Utah,343,0.0,0.05,121.0,2010
136,17,Philadelphia,330,-0.04,0.23,110.0,2010
137,18,Oklahoma City,329,0.06,0.43,118.0,2010
138,19,Washington,322,0.03,0.4,107.0,2010
139,20,Denver,316,-0.02,0.09,113.0,2010
140,21,Brooklyn,312,0.16,2.24,89.0,2010
141,22,L.A. Clippers,305,0.03,0.0,102.0,2010
142,23,Atlanta,295,-0.04,0.63,105.0,2010
143,24,Sacramento,293,-0.04,0.32,103.0,2010
144,25,Charlotte,281,0.01,0.53,98.0,2010
145,26,New Orleans,280,0.05,0.69,100.0,2010
146,27,Indiana,269,-0.04,0.56,95.0,2010
147,28,Memphis,266,0.04,0.56,92.0,2010
148,29,Minnesota,264,-0.01,0.19,95.0,2010
149,30,Milwaukee,258,0.02,0.21,92.0,2010
150,1,L.A. Lakers,607,0.04,0.2,209.0,2009
151,2,New York,586,-0.04,0.0,202.0,2009
152,3,Chicago,511,0.02,0.11,168.0,2009
153,4,Detroit,479,0.0,0.0,171.0,2009
154,5,Cleveland,476,0.0,0.42,159.0,2009
155,6,Houston,470,0.0,0.15,160.0,2009
156,7,Dallas,446,-0.04,0.26,154.0,2009
157,8,Boston,433,-0.03,0.42,144.0,2009
158,9,Phoenix,429,-0.05,0.43,148.0,2009
159,10,San Antonio,398,-0.04,0.12,133.0,2009
160,11,Toronto,386,-0.03,0.38,133.0,2009
161,12,Miami,364,-0.07,0.45,126.0,2009
162,13,Orlando,361,0.04,0.3,107.0,2009
163,14,Philadelphia,344,-0.04,0.19,115.0,2009
164,15,Utah,343,-0.04,0.06,118.0,2009
165,16,Portland,338,0.1,0.31,121.0,2009
166,17,Denver,321,-0.03,0.11,115.0,2009
167,18,Golden State,315,-0.06,0.24,113.0,2009
168,19,Washington,313,-0.11,0.62,110.0,2009
169,20,Oklahoma City,310,0.03,0.45,111.0,2009
170,21,Atlanta,306,0.0,0.21,103.0,2009
171,22,Sacramento,305,-0.13,0.31,109.0,2009
172,23,L.A. Clippers,295,-0.01,0.0,102.0,2009
173,24,Indiana,281,-0.07,0.18,97.0,2009
174,25,Charlotte,278,-0.02,0.58,96.0,2009
175,26,Brooklyn,269,-0.09,0.77,92.0,2009
176,27,Minnesota,268,-0.11,0.19,96.0,2009
177,28,New Orleans,267,-0.06,0.55,95.0,2009
178,29,Memphis,257,-0.13,0.58,88.0,2009
179,30,Milwaukee,254,-0.09,0.22,91.0,2009
180,1,New York,613,0.01,0.0,208.0,2008
181,2,L.A. Lakers,584,0.04,0.22,191.0,2008
182,3,Chicago,504,0.01,0.11,165.0,2008
183,4,Detroit,480,0.01,0.0,160.0,2008
184,5,Cleveland,477,0.05,0.42,159.0,2008
185,6,Houston,469,0.01,0.15,156.0,2008
186,7,Dallas,466,0.01,0.26,153.0,2008
187,8,Phoenix,452,0.01,0.39,148.0,2008
188,9,Boston,447,0.14,0.4,149.0,2008
189,10,San Antonio,415,0.03,0.13,138.0,2008
190,11,Toronto,400,0.07,0.4,138.0,2008
191,12,Miami,393,-0.06,0.43,131.0,2008
192,13,Philadelphia,360,-0.05,0.18,116.0,2008
193,14,Utah,358,0.05,0.03,119.0,2008
194,15,Washington,353,0.02,0.47,118.0,2008
195,16,Sacramento,350,-0.09,0.24,117.0,2008
196,17,Orlando,349,0.08,0.29,100.0,2008
197,18,Golden State,335,0.08,0.22,112.0,2008
198,19,Denver,329,0.03,0.14,112.0,2008
199,20,Portland,307,0.21,0.34,114.0,2008
200,21,Atlanta,306,0.07,0.23,102.0,2008
201,22,Indiana,303,-0.09,0.16,101.0,2008
202,23,Minnesota,301,-0.02,0.17,100.0,2008
203,24,Oklahoma City,300,0.12,0.47,82.0,2008
204,25,L.A. Clippers,297,0.01,0.0,99.0,2008
205,26,Brooklyn,295,-0.13,0.71,98.0,2008
206,27,Memphis,294,-0.03,0.51,95.0,2008
207,28,New Orleans,285,0.05,0.35,95.0,2008
208,29,Charlotte,284,-0.01,0.53,95.0,2008
209,30,Milwaukee,278,0.05,0.2,94.0,2008
210,1,New York,608,0.03,0.0,196.0,2007
211,2,L.A. Lakers,560,-0.02,0.15,170.0,2007
212,3,Chicago,500,0.09,0.11,161.0,2007
213,4,Detroit,477,0.11,0.0,154.0,2007
214,5,Houston,462,0.05,0.15,149.0,2007
215,6,Dallas,461,-0.01,0.27,140.0,2007
216,7,Cleveland,455,0.2,0.44,152.0,2007
217,8,Phoenix,449,0.1,0.39,145.0,2007
218,9,Miami,418,0.02,0.42,131.0,2007
219,10,San Antonio,405,0.04,0.14,131.0,2007
220,11,Boston,391,0.06,0.46,117.0,2007
221,12,Sacramento,385,0.02,0.22,128.0,2007
222,13,Philadelphia,380,0.01,0.17,112.0,2007
223,14,Toronto,373,0.18,0.44,124.0,2007
224,15,Washington,348,0.04,0.48,112.0,2007
225,16,Utah,342,0.15,0.05,114.0,2007
226,17,Brooklyn,338,0.04,0.62,102.0,2007
227,18,Indiana,333,-0.02,0.14,107.0,2007
228,19,Orlando,322,0.14,0.19,92.0,2007
229,20,Denver,321,0.04,0.16,104.0,2007
230,21,Golden State,309,0.16,0.24,103.0,2007
231,22,Minnesota,308,0.0,0.16,103.0,2007
232,23,Memphis,304,-0.03,0.49,98.0,2007
233,24,L.A. Clippers,294,0.03,0.0,98.0,2007
234,25,Charlotte,287,0.04,0.52,93.0,2007
235,26,Atlanta,286,0.04,0.25,95.0,2007
236,27,New Orleans,272,0.1,0.55,91.0,2007
237,28,Oklahoma City,269,0.0,0.52,81.0,2007
238,29,Milwaukee,264,0.01,0.21,88.0,2007
239,30,Portland,253,0.1,0.41,82.0,2007
240,1,New York,592,0.09,0.0,185.0,2006
241,2,L.A. Lakers,568,0.07,0.15,167.0,2006
242,3,Dallas,463,0.15,0.3,140.0,2006
243,4,Chicago,461,0.13,0.12,149.0,2006
244,5,Houston,439,0.04,0.16,142.0,2006
245,6,Detroit,429,0.07,0.0,138.0,2006
246,7,Phoenix,410,0.04,0.65,132.0,2006
247,8,Miami,409,0.13,0.44,132.0,2006
248,9,San Antonio,390,0.11,0.15,122.0,2006
249,10,Cleveland,380,0.07,0.53,115.0,2006
250,11,Sacramento,379,0.1,0.22,126.0,2006
251,12,Philadelphia,375,0.07,0.25,110.0,2006
252,13,Boston,367,0.04,0.49,111.0,2006
253,14,Indiana,340,0.05,0.14,110.0,2006
254,15,Washington,334,0.05,0.5,108.0,2006
255,16,Brooklyn,325,0.2,0.65,93.0,2006
256,17,Toronto,315,0.13,0.55,105.0,2006
257,18,Memphis,313,0.07,0.48,101.0,2006
258,19,Denver,309,0.09,0.18,100.0,2006
259,20,Minnesota,308,0.02,0.16,103.0,2006
260,21,Utah,297,0.08,0.07,96.0,2006
261,22,L.A. Clippers,285,0.15,0.0,95.0,2006
262,23,Orlando,283,0.15,0.21,89.0,2006
263,24,Charlotte,277,-0.08,0.54,89.0,2006
264,25,Atlanta,275,0.05,0.26,92.0,2006
265,26,Oklahoma City,268,0.15,0.52,81.0,2006
266,27,Golden State,267,0.1,0.28,89.0,2006
267,28,Milwaukee,260,0.13,0.21,87.0,2006
268,29,New Orleans,248,0.1,0.6,83.0,2006
269,30,Portland,230,0.01,0.26,77.0,2006
270,1,L.A. Lakers,510,0.14,0.11,170.0,2005
271,2,New York,494,0.23,0.51,170.0,2005
272,3,Dallas,374,0.11,0.39,117.0,2005
273,4,Houston,369,0.33,0.19,125.0,2005
274,5,Chicago,368,0.03,0.14,123.0,2005
275,6,Detroit,363,0.28,0.0,121.0,2005
276,7,Phoenix,356,0.26,0.56,111.0,2005
277,8,Philadelphia,342,0.04,0.28,107.0,2005
278,9,Boston,334,0.15,0.54,104.0,2005
279,10,Sacramento,330,0.2,0.25,118.0,2005
280,11,San Antonio,324,0.15,0.4,108.0,2005
281,12,Indiana,311,0.11,0.16,104.0,2005
282,13,Cleveland,298,0.15,0.1,93.0,2005
283,14,Toronto,297,0.19,0.37,100.0,2005
284,15,Brooklyn,296,0.22,0.51,93.0,2005
285,16,Minnesota,291,0.26,0.17,97.0,2005
286,17,Miami,279,0.18,0.66,93.0,2005
287,18,Washington,273,0.0,0.4,94.0,2005
288,19,Denver,268,0.23,0.19,89.0,2005
289,20,Utah,257,0.07,0.11,88.0,2005
290,21,Portland,247,-0.09,0.53,88.0,2005
291,22,Memphis,238,0.05,0.38,75.0,2005
292,23,Atlanta,232,0.15,0.31,83.0,2005
293,24,Golden State,228,0.21,0.33,76.0,2005
294,25,New Orleans,225,0.04,0.44,80.0,2005
295,26,L.A. Clippers,224,0.08,0.0,77.0,2005
296,27,Orlando,218,0.1,0.28,78.0,2005
297,28,Oklahoma City,205,0.04,0.44,73.0,2005
298,29,Milwaukee,199,0.14,0.2,77.0,2005
299,1,L.A. Lakers,447,0.05,0.3,149.0,2004
300,2,New York,401,0.01,0.62,160.0,2004
301,3,Chicago,356,0.1,0.07,119.0,2004
302,4,Dallas,338,0.11,0.44,117.0,2004
303,5,Philadelphia,328,0.1,0.2,109.0,2004
304,6,Boston,290,0.06,0.62,97.0,2004
305,7,Detroit,284,0.1,0.0,102.0,2004
306,8,San Antonio,283,0.24,0.46,105.0,2004
307,9,Phoenix,282,0.04,0.46,109.0,2004
308,10,Indiana,280,0.14,0.18,94.0,2004
309,11,Houston,278,0.09,0.14,82.0,2004
310,12,Sacramento,275,0.06,0.24,102.0,2004
311,13,Washington,274,-0.02,0.24,98.0,2004
312,14,Portland,272,0.01,0.5,97.0,2004
313,15,Cleveland,258,0.16,0.12,72.0,2004
314,16,Toronto,249,0.15,0.25,96.0,2004
315,17,Brooklyn,244,0.12,0.41,94.0,2004
316,18,Utah,239,0.06,0.13,85.0,2004
317,19,Miami,236,-0.06,0.78,91.0,2004
318,20,Minnesota,230,0.08,0.22,85.0,2004
319,21,Memphis,227,0.14,0.4,63.0,2004
320,22,Denver,218,0.04,0.26,75.0,2004
321,23,New Orleans,216,0.25,0.35,80.0,2004
322,24,L.A. Clippers,208,0.01,0.0,72.0,2004
323,25,Atlanta,202,-0.02,0.35,78.0,2004
324,26,Orlando,199,0.01,0.3,80.0,2004
325,27,Oklahoma City,196,-0.06,0.46,70.0,2004
326,28,Golden State,188,0.06,0.29,70.0,2004
327,29,Milwaukee,174,0.04,0.17,70.0,2004
328,1,L.A. Lakers,426,0.0,,,2003
329,2,New York,398,0.06,,,2003
330,3,Chicago,323,0.23,,,2003
331,4,Dallas,304,,,,2003
332,5,Philadelphia,298,0.16,,,2003
333,6,Washington,278,0.15,,,2003
334,7,Boston,274,,,,2003
335,8,Phoenix,272,0.13,,,2003
336,9,Portland,270,0.1,,,2003
337,10,Sacramento,259,0.14,,,2003
338,11,Detroit,258,0.13,,,2003
339,12,Houston,255,0.13,,,2003
340,13,Miami,250,0.2,,,2003
341,14,Indiana,246,0.18,,,2003
342,15,San Antonio,242,0.14,,,2003
343,16,Utah,226,0.14,,,2003
344,17,Cleveland,222,0.14,,,2003
345,18,Brooklyn,218,0.1,,,2003
346,19,Toronto,217,0.15,,,2003
347,20,Minnesota,213,0.13,,,2003
348,21,Denver,209,,,,2003
349,22,Oklahoma City,207,,,,2003
350,23,Atlanta,206,,,,2003
351,24,L.A. Clippers,205,0.14,,,2003
352,25,Memphis,198,,,,2003
353,26,Orlando,197,0.08,,,2003
354,27,Golden State,176,0.06,,,2003
355,28,New Orleans,172,0.13,,,2003
356,29,Milwaukee,168,0.14,,,2003
357,1,L.A. Lakers,403,0.12,0.13,144.0,2002
358,2,New York,392,-0.01,0.38,157.0,2002
359,3,Chicago,329,0.05,0.09,117.0,2002
360,4,Portland,283,0.04,0.48,101.0,2002
361,5,Philadelphia,279,0.19,0.22,103.0,2002
362,6,Phoenix,266,0.06,0.5,102.0,2002
363,7,Miami,248,0.1,0.75,99.0,2002
364,8,Houston,234,0.13,0.17,81.0,2002
365,9,Indiana,231,0.0,0.24,89.0,2002
366,10,Detroit,230,-0.02,0.0,92.0,2002
367,11,Utah,225,0.0,0.17,88.0,2002
368,12,San Antonio,221,0.17,0.18,82.0,2002
369,13,Boston,218,0.03,0.25,81.0,2002
370,14,Washington,214,0.02,0.52,81.0,2002
371,15,Dallas,211,0.26,0.5,68.0,2002
372,16,Sacramento,209,0.17,0.48,87.0,2002
373,17,Cleveland,202,0.09,0.0,75.0,2002
374,18,Oklahoma City,200,0.07,0.5,80.0,2002
375,19,Atlanta,199,0.08,0.3,76.0,2002
376,20,Denver,188,0.07,0.36,72.0,2002
377,21,Minnesota,185,0.09,0.11,77.0,2002
378,22,Orlando,176,0.06,0.31,76.0,2002
