,Index,Team,Season,Date,Against,Score,Type,PS,WPS,Diff,W,Bias,Home,Away,FWStreak,UWStreak
0,Atlanta_01/01/03,Atlanta,2002,1/1/03,Miami,73-107,Regular Season,-5,0,-34,0,-39,Atlanta,Miami,0,1
1,Atlanta_01/01/10,Atlanta,2009,1/1/10,New York,        108-112,Regular Season,-11,0,-4,0,-15,Atlanta,New York,0,0
2,Atlanta_01/02/01,Boston,2000,1/2/01,@ Atlanta,81-92,Regular Season,-2.5,0,-11,0,-13.5,Atlanta,Boston,0,1
3,Atlanta_01/02/91,Atlanta,1990,1/2/91,L.A. Clippers,120-107,Regular Season,-10.5,1,13,1,2.5,Atlanta,L.A. Clippers,2,0
4,Atlanta_01/02/92,Phoenix,1991,1/2/92,@ Atlanta,105-123,Regular Season,-4.5,0,-18,0,-22.5,Atlanta,Phoenix,1,3
5,Atlanta_01/02/93,Atlanta,1992,1/2/93,Milwaukee,93-106,Regular Season,-3.5,0,-13,0,-16.5,Atlanta,Milwaukee,4,2
6,Atlanta_01/02/96,Oklahoma City,1995,1/2/96,@ Atlanta,111-88,Regular Season,-3,1,23,1,20,Atlanta,Oklahoma City,3,0
7,Atlanta_01/03/06,Atlanta,2005,1/3/06,Toronto,        97-108,Regular Season,-3.5,0,-11,0,-14.5,Atlanta,Toronto,1,1
8,Atlanta_01/03/09,Atlanta,2008,1/3/09,Houston,        103-100,Regular Season,-5.5,0,3,1,-2.5,Atlanta,Houston,0,4
9,Atlanta_01/03/14,Golden State,2013,1/3/14,@ Atlanta,        101-100,Regular Season,-3,0,1,1,-2,Atlanta,Golden State,0,0
10,Atlanta_01/03/95,Atlanta,1994,1/3/95,Portland,98-103,Regular Season,-3,0,-5,0,-8,Atlanta,Portland,0,1
11,Atlanta_01/04/03,Detroit,2002,1/4/03,@ Atlanta,90-86,Regular Season,-2,1,4,1,2,Atlanta,Detroit,0,1
12,Atlanta_01/04/91,Atlanta,1990,1/4/91,Indiana,111-96,Regular Season,-7,1,15,1,8,Atlanta,Indiana,0,1
13,Atlanta_01/04/92,Atlanta,1991,1/4/92,L.A. Clippers,97-95,Regular Season,-4,0,2,1,-2,Atlanta,L.A. Clippers,1,0
14,Atlanta_01/04/94,Atlanta,1993,1/4/94,New Orleans,133-94,Regular Season,-8.5,1,39,1,30.5,Atlanta,New Orleans,2,1
15,Atlanta_01/04/96,Atlanta,1995,1/4/96,Toronto,104-101,Regular Season,-9,0,3,1,-6,Atlanta,Toronto,0,0
16,Atlanta_01/04/97,Atlanta,1996,1/4/97,New York,88-71,Regular Season,-3.5,1,17,1,13.5,Atlanta,New York,1,4
17,Atlanta_01/05/00,Detroit,1999,1/5/00,@ Atlanta,120-108,Regular Season,-1.5,1,12,1,10.5,Atlanta,Detroit,1,2
18,Atlanta_01/05/02,Minnesota,2001,1/5/02,@ Atlanta,112-96,Regular Season,-2.5,1,16,1,13.5,Atlanta,Minnesota,3,0
19,Atlanta_01/05/08,Atlanta,2007,1/5/08,Brooklyn,        107-113,Regular Season,-4.5,0,-6,0,-10.5,Atlanta,Brooklyn,0,1
20,Atlanta_01/05/12,Miami,2011,1/5/12,@ Atlanta,        116-109,Regular Season,-1,1,7,1,6,Atlanta,Miami,0,1
21,Atlanta_01/05/13,Atlanta,2012,1/5/13,Boston,        81-89,Regular Season,-5.5,0,-8,0,-13.5,Atlanta,Boston,0,4
22,Atlanta_01/05/91,Atlanta,1990,1/5/91,Minnesota,117-112,Regular Season,-12.5,0,5,1,-7.5,Atlanta,Minnesota,0,0
23,Atlanta_01/05/93,Atlanta,1992,1/5/93,Washington,100-107,Regular Season,-3,0,-7,0,-10,Atlanta,Washington,1,0
24,Atlanta_01/06/01,Orlando,2000,1/6/01,@ Atlanta,82-83,Regular Season,-2,0,-1,0,-3,Atlanta,Orlando,0,0
25,Atlanta_01/06/03,Brooklyn,2002,1/6/03,@ Atlanta,101-94,Regular Season,-5,1,7,1,2,Atlanta,Brooklyn,2,1
26,Atlanta_01/06/07,L.A. Clippers,2006,1/6/07,@ Atlanta,        74-86,Regular Season,-4.5,0,-12,0,-16.5,Atlanta,L.A. Clippers,0,1
27,Atlanta_01/06/10,Atlanta,2009,1/6/10,Brooklyn,        119-89,Regular Season,-14,1,30,1,16,Atlanta,Brooklyn,2,0
28,Atlanta_01/06/92,Atlanta,1991,1/6/92,Houston,109-97,Regular Season,-2.5,1,12,1,9.5,Atlanta,Houston,0,0
29,Atlanta_01/06/95,Atlanta,1994,1/6/95,Washington,112-90,Regular Season,-9.5,1,22,1,12.5,Atlanta,Washington,1,0
30,Atlanta_01/07/00,Atlanta,1999,1/7/00,Toronto,105-97,Regular Season,-2,1,8,1,6,Atlanta,Toronto,0,0
31,Atlanta_01/07/05,Sacramento,2004,1/7/05,@ Atlanta,        100-97,Regular Season,-9.5,0,3,1,-6.5,Atlanta,Sacramento,0,1
32,Atlanta_01/07/06,Atlanta,2005,1/7/06,New Orleans,        101-93,Regular Season,-3.5,1,8,1,4.5,Atlanta,New Orleans,0,0
33,Atlanta_01/07/09,Atlanta,2008,1/7/09,Orlando,        102-106,Regular Season,-2,0,-4,0,-6,Atlanta,Orlando,1,3
34,Atlanta_01/07/12,Chicago,2011,1/7/12,@ Atlanta,        94-109,Regular Season,-6,0,-15,0,-21,Atlanta,Chicago,0,0
35,Atlanta_01/07/94,Atlanta,1993,1/7/94,Portland,100-85,Regular Season,-8.5,1,15,1,6.5,Atlanta,Portland,3,2
36,Atlanta_01/07/95,Atlanta,1994,1/7/95,Brooklyn,102-85,Regular Season,-5,1,17,1,12,Atlanta,Brooklyn,4,0
37,Atlanta_01/07/97,Atlanta,1996,1/7/97,Phoenix,105-103,Regular Season,-8.5,0,2,1,-6.5,Atlanta,Phoenix,5,4
38,Atlanta_01/08/02,Portland,2001,1/8/02,@ Atlanta,92-101,Regular Season,-1,0,-9,0,-10,Atlanta,Portland,2,0
39,Atlanta_01/08/03,Dallas,2002,1/8/03,@ Atlanta,117-99,Regular Season,-7.5,1,18,1,10.5,Atlanta,Dallas,3,1
40,Atlanta_01/08/10,Atlanta,2009,1/8/10,Boston,        93-85,Regular Season,-3.5,1,8,1,4.5,Atlanta,Boston,0,0
41,Atlanta_01/08/11,Atlanta,2010,1/8/11,Indiana,        108-93,Regular Season,-7,1,15,1,8,Atlanta,Indiana,1,0
42,Atlanta_01/08/14,Indiana,2013,1/8/14,@ Atlanta,        87-97,Regular Season,-4,0,-10,0,-14,Atlanta,Indiana,1,0
43,Atlanta_01/08/91,Atlanta,1990,1/8/91,San Antonio,109-98,Regular Season,-4.5,1,11,1,6.5,Atlanta,San Antonio,1,1
44,Atlanta_01/08/94,Atlanta,1993,1/8/94,Cleveland,102-89,Regular Season,-6,1,13,1,7,Atlanta,Cleveland,3,0
45,Atlanta_01/09/01,Oklahoma City,2000,1/9/01,@ Atlanta,95-86,Regular Season,-3.5,1,9,1,5.5,Atlanta,Oklahoma City,5,4
46,Atlanta_01/09/08,Atlanta,2007,1/9/08,Cleveland,        90-81,Regular Season,-2.5,1,9,1,6.5,Atlanta,Cleveland,0,1
