RK,TEAM,AVG HOME,AVG ROAD,AVG COMB,YEAR
1,Bulls,"21,716","17,551","19,634",2014
2,Mavericks,"19,950","17,268","18,609",2014
3,NY Knicks,"19,812","17,422","18,617",2014
4,Heat,"19,781","19,190","19,486",2014
5,Trail Blazers,"19,746","17,312","18,529",2014
6,Warriors,"19,596","17,526","18,561",2014
7,Clippers,"19,212","17,218","18,215",2014
8,Lakers,"18,828","17,845","18,337",2014
9,Spurs,"18,415","17,627","18,021",2014
10,Raptors,"18,252","16,702","17,477",2014
11,Thunder,"18,203","18,170","18,186",2014
12,Jazz,"18,175","17,295","17,735",2014
13,Rockets,"18,123","17,427","17,775",2014
14,Celtics,"18,107","17,484","17,796",2014
15,Pacers,"17,501","17,872","17,686",2014
16,Cavaliers,"17,329","17,388","17,358",2014
17,Nets,"17,251","17,528","17,390",2014
18,Wizards,"17,026","17,183","17,104",2014
19,Nuggets,"16,899","17,211","17,055",2014
20,Grizzlies,"16,718","17,269","16,993",2014
21,Pelicans,"16,390","17,397","16,894",2014
22,Kings,"16,291","16,859","16,575",2014
23,Magic,"16,245","16,583","16,414",2014
24,Suns,"15,871","17,250","16,560",2014
25,Bobcats,"15,518","17,026","16,272",2014
26,Pistons,"15,005","17,280","16,143",2014
27,Timberwolves,"14,564","17,605","16,085",2014
28,Hawks,"14,339","17,274","15,807",2014
29,76ers,"13,869","17,441","15,655",2014
30,Bucks,"13,487","17,013","15,250",2014
1,Bulls,"21,876","18,144","20,010",2013
2,Mavericks,"20,036","17,613","18,824",2013
3,Heat,"19,982","19,090","19,536",2013
4,Trail Blazers,"19,829","16,727","18,278",2013
5,Warriors,"19,373","17,204","18,288",2013
6,Clippers,"19,226","17,806","18,516",2013
7,NY Knicks,"19,033","18,271","18,652",2013
8,Lakers,"18,997","18,866","18,931",2013
9,Jazz,"18,680","16,769","17,724",2013
10,Celtics,"18,624","17,768","18,191",2013
11,Spurs,"18,431","17,290","17,861",2013
12,Thunder,"18,203","18,335","18,269",2013
13,Raptors,"18,144","16,313","17,229",2013
14,Nuggets,"17,819","17,401","17,610",2013
15,Magic,"17,595","16,821","17,208",2013
16,Nets,"17,187","17,239","17,213",2013
17,76ers,"16,717","17,323","17,020",2013
18,Rockets,"16,672","17,982","17,327",2013
19,Grizzlies,"16,624","17,194","16,909",2013
20,Wizards,"16,343","16,193","16,268",2013
21,Timberwolves,"16,340","17,034","16,687",2013
22,Cavaliers,"16,192","16,780","16,486",2013
23,Suns,"15,436","17,152","16,294",2013
24,Bobcats,"15,324","16,502","15,913",2013
25,Pacers,"15,269","17,061","16,154",2013
26,Hawks,"15,125","17,165","16,145",2013
27,Bucks,"15,035","16,919","15,977",2013
28,Pistons,"14,782","16,885","15,834",2013
29,Pelicans,"13,803","17,254","15,528",2013
30,Kings,"13,749","17,305","15,527",2013
1,Bulls,"22,161","17,989","20,075",2012
2,Trail Blazers,"20,496","17,164","18,830",2012
3,Mavericks,"20,334","17,712","19,023",2012
4,Heat,"19,935","19,399","19,667",2012
5,NY Knicks,"19,763","18,407","19,085",2012
6,Jazz,"19,306","16,929","18,118",2012
7,Clippers,"19,219","18,342","18,781",2012
8,Lakers,"18,997","19,034","19,015",2012
9,Magic,"18,896","17,161","18,028",2012
10,Warriors,"18,857","16,364","17,611",2012
11,Celtics,"18,624","18,288","18,456",2012
12,Spurs,"18,396","16,990","17,693",2012
13,Thunder,"18,203","18,031","18,117",2012
14,76ers,"17,502","16,764","17,133",2012
15,Timberwolves,"17,490","16,310","16,900",2012
16,Nuggets,"17,029","17,228","17,128",2012
17,Raptors,"16,835","16,732","16,784",2012
18,Wizards,"16,728","16,361","16,544",2012
19,Cavaliers,"15,926","16,723","16,324",2012
20,Grizzlies,"15,704","17,068","16,386",2012
21,Suns,"15,597","17,806","16,702",2012
22,Rockets,"15,363","17,733","16,548",2012
23,Hawks,"15,199","16,820","16,010",2012
24,Pelicans,"15,109","16,717","15,913",2012
25,Bobcats,"14,757","16,534","15,645",2012
26,Bucks,"14,718","16,661","15,689",2012
27,Kings,"14,508","16,905","15,706",2012
28,Pistons,"14,413","16,342","15,378",2012
29,Pacers,"14,168","16,597","15,382",2012
30,Nets,"13,961","17,081","15,521",2012
1,Bulls,"21,791","18,431","20,111",2011
2,Trail Blazers,"20,510","16,333","18,422",2011
3,Cavaliers,"20,112","16,200","18,156",2011
4,Mavericks,"20,101","16,657","18,379",2011
5,Heat,"19,778","19,447","19,612",2011
6,NY Knicks,"19,728","18,044","18,886",2011
7,Jazz,"19,511","17,331","18,421",2011
8,Lakers,"18,997","19,087","19,042",2011
9,Magic,"18,972","17,428","18,200",2011
10,Warriors,"18,692","17,049","17,871",2011
11,Celtics,"18,624","18,964","18,794",2011
12,Spurs,"18,314","17,389","17,851",2011
13,Thunder,"18,148","17,774","17,961",2011
14,Clippers,"17,742","17,614","17,678",2011
15,Suns,"17,567","17,462","17,514",2011
16,Nuggets,"16,901","17,285","17,093",2011
17,Wizards,"16,791","17,192","16,992",2011
18,Pistons,"16,660","16,732","16,696",2011
19,Raptors,"16,566","16,855","16,710",2011
20,Rockets,"16,191","16,943","16,567",2011
21,Bobcats,"15,846","16,473","16,159",2011
22,Hawks,"15,648","16,957","16,303",2011
23,Bucks,"15,412","16,911","16,162",2011
24,Timberwolves,"15,242","16,885","16,064",2011
25,76ers,"14,751","17,155","15,953",2011
26,Pelicans,"14,709","17,179","15,944",2011
27,Grizzlies,"14,650","16,441","15,546",2011
28,Nets,"14,179","17,098","15,639",2011
29,Kings,"13,890","17,400","15,645",2011
30,Pacers,"13,538","16,844","15,191",2011
1,Bulls,"20,725","17,735","19,230",2010
2,Cavaliers,"20,562","19,200","19,881",2010
3,Trail Blazers,"20,497","16,546","18,521",2010
4,Mavericks,"19,994","17,129","18,561",2010
5,NY Knicks,"19,501","17,315","18,408",2010
6,Jazz,"19,378","17,095","18,237",2010
7,Lakers,"18,997","19,265","19,131",2010
8,Pistons,"18,751","17,104","17,928",2010
9,Celtics,"18,169","18,154","18,161",2010
10,Spurs,"18,089","17,707","17,898",2010
11,Warriors,"18,027","16,443","17,235",2010
12,Thunder,"18,003","16,876","17,440",2010
13,Nuggets,"17,995","17,446","17,720",2010
14,Raptors,"17,897","16,466","17,181",2010
15,Heat,"17,730","18,040","17,885",2010
16,Suns,"17,648","17,376","17,512",2010
17,Magic,"17,461","17,838","17,649",2010
18,Hawks,"16,545","17,097","16,821",2010
19,Rockets,"16,528","16,616","16,572",2010
20,Clippers,"16,343","16,225","16,284",2010
21,Wizards,"16,204","16,487","16,346",2010
22,Bobcats,"15,824","16,256","16,040",2010
23,Pelicans,"15,130","17,168","16,149",2010
24,Bucks,"15,108","16,823","15,965",2010
25,Timberwolves,"15,101","16,112","15,607",2010
26,76ers,"14,224","16,889","15,556",2010
27,Pacers,"14,202","16,955","15,578",2010
28,Grizzlies,"13,485","16,691","15,088",2010
29,Kings,"13,254","16,973","15,113",2010
30,Nets,"13,103","16,446","14,774",2010
1,Pistons,"21,877","18,024","19,950",2009
2,Bulls,"21,197","17,558","19,355",2009
3,Trail Blazers,"20,524","17,167","18,866",2009
4,Mavericks,"20,042","17,102","18,572",2009
5,Cavaliers,"20,010","18,899","19,455",2009
6,Jazz,"19,903","17,038","18,470",2009
7,NY Knicks,"19,287","17,729","18,518",2009
8,Lakers,"18,997","19,268","19,130",2009
9,Warriors,"18,942","16,942","17,942",2009
10,Raptors,"18,773","16,785","17,779",2009
11,Thunder,"18,693","16,679","17,674",2009
12,Celtics,"18,624","18,975","18,799",2009
13,Suns,"18,422","18,122","18,272",2009
14,Spurs,"18,269","17,626","17,951",2009
15,Heat,"18,229","18,150","18,189",2009
16,Rockets,"17,482","17,589","17,536",2009
17,Nuggets,"17,223","17,227","17,225",2009
18,Magic,"17,043","17,900","17,466",2009
19,Pelicans,"16,968","17,702","17,331",2009
20,Hawks,"16,748","17,303","17,025",2009
21,Wizards,"16,612","17,157","16,884",2009
22,Clippers,"16,170","17,202","16,692",2009
23,76ers,"15,802","17,358","16,570",2009
24,Bucks,"15,389","16,947","16,168",2009
25,Nets,"15,147","17,586","16,367",2009
26,Bobcats,"14,526","17,310","15,935",2009
27,Timberwolves,"14,505","16,845","15,661",2009
28,Pacers,"14,182","16,628","15,405",2009
29,Grizzlies,"12,745","17,101","14,949",2009
30,Kings,"12,571","17,227","14,928",2009
1,Pistons,"22,076","17,714","19,895",2008
2,Bulls,"21,987","17,353","19,670",2008
3,Cavaliers,"20,465","17,992","19,228",2008
4,Mavericks,"20,286","17,716","19,001",2008
5,Jazz,"19,907","17,215","18,561",2008
6,Warriors,"19,630","17,255","18,443",2008
7,Trail Blazers,"19,550","16,700","18,125",2008
8,Heat,"19,463","17,503","18,483",2008
9,Raptors,"19,435","16,653","18,044",2008
10,NY Knicks,"19,115","17,429","18,272",2008
11,Lakers,"18,997","18,671","18,834",2008
12,Celtics,"18,624","19,042","18,833",2008
13,Spurs,"18,564","17,954","18,259",2008
14,Suns,"18,422","18,046","18,234",2008
15,Wizards,"17,962","16,774","17,368",2008
16,Rockets,"17,524","17,527","17,526",2008
17,Nuggets,"17,364","18,115","17,740",2008
18,Magic,"17,301","17,540","17,420",2008
19,Clippers,"16,888","16,628","16,758",2008
20,Hawks,"16,280","16,853","16,567",2008
21,Nets,"15,656","17,610","16,633",2008
22,Bucks,"15,595","16,738","16,167",2008
23,76ers,"14,870","17,231","16,050",2008
24,Bobcats,"14,717","17,294","16,005",2008
25,Timberwolves,"14,476","16,801","15,639",2008
26,Pelicans,"14,181","16,905","15,543",2008
27,Kings,"14,150","17,209","15,680",2008
28,Thunder,"13,355","17,158","15,257",2008
29,Grizzlies,"12,770","16,985","14,877",2008
30,Pacers,"12,221","17,217","14,719",2008
1,Bulls,"22,252","18,153","20,202",2007
2,Pistons,"22,076","18,001","20,038",2007
3,Cavaliers,"20,436","18,940","19,688",2007
4,Mavericks,"20,351","17,821","19,086",2007
5,Heat,"19,720","18,945","19,332",2007
6,Jazz,"19,566","17,501","18,533",2007
7,Lakers,"18,985","18,917","18,951",2007
8,NY Knicks,"18,805","17,984","18,394",2007
9,Spurs,"18,654","17,464","18,059",2007
10,Suns,"18,422","18,541","18,481",2007
11,Clippers,"18,421","17,406","17,913",2007
12,Wizards,"18,372","17,270","17,821",2007
13,Raptors,"18,258","17,347","17,802",2007
14,Warriors,"18,104","17,012","17,558",2007
15,Pelicans,"17,833","16,981","17,407",2007
16,Kings,"17,317","17,282","17,299",2007
17,Nuggets,"17,230","18,163","17,696",2007
18,Magic,"17,094","17,470","17,282",2007
19,Nets,"16,925","17,870","17,398",2007
20,Celtics,"16,843","17,570","17,206",2007
21,Rockets,"16,545","18,187","17,366",2007
22,Trail Blazers,"16,360","17,558","16,959",2007
23,Bucks,"16,186","17,350","16,768",2007
24,Timberwolves,"15,998","17,894","16,946",2007
25,Thunder,"15,955","17,445","16,700",2007
26,Hawks,"15,594","17,170","16,382",2007
27,Bobcats,"15,549","17,477","16,513",2007
28,Pacers,"15,359","17,802","16,581",2007
29,76ers,"14,843","17,849","16,346",2007
30,Grizzlies,"14,654","17,336","15,995",2007
1,Pistons,"22,076","18,637","20,356",2006
2,Bulls,"21,188","17,397","19,292",2006
3,Mavericks,"20,114","17,591","18,853",2006
4,Heat,"19,954","18,991","19,473",2006
5,Cavaliers,"19,326","18,800","19,063",2006
6,NY Knicks,"18,931","17,572","18,251",2006
7,Lakers,"18,882","18,812","18,847",2006
8,Spurs,"18,797","18,376","18,586",2006
9,Jazz,"18,332","17,048","17,690",2006
10,Warriors,"18,272","16,775","17,524",2006
11,Pelicans,"18,168","16,659","17,414",2006
12,Suns,"17,809","17,694","17,751",2006
13,Clippers,"17,375","16,944","17,160",2006
14,Kings,"17,317","17,101","17,209",2006
15,Wizards,"17,196","17,291","17,244",2006
16,Nuggets,"17,137","17,637","17,387",2006
17,Raptors,"17,056","16,595","16,826",2006
18,Celtics,"16,899","17,920","17,409",2006
19,Nets,"16,866","17,710","17,288",2006
20,Bucks,"16,617","17,119","16,868",2006
21,76ers,"16,518","18,627","17,573",2006
22,Bobcats,"16,366","17,117","16,741",2006
23,Thunder,"16,198","17,195","16,697",2006
24,Pacers,"16,179","17,624","16,902",2006
25,Timberwolves,"16,150","17,421","16,785",2006
26,Grizzlies,"15,793","17,211","16,502",2006
27,Magic,"15,561","17,084","16,322",2006
28,Rockets,"15,514","17,554","16,534",2006
29,Hawks,"15,071","17,067","16,069",2006
30,Trail Blazers,"15,049","17,144","16,097",2006
1,Pistons,"22,076","17,868","19,972",2005
2,Bulls,"20,204","17,334","18,769",2005
3,Mavericks,"20,061","17,259","18,660",2005
4,Heat,"19,881","18,891","19,386",2005
5,NY Knicks,"19,515","17,540","18,528",2005
6,Cavaliers,"19,128","18,275","18,701",2005
7,Lakers,"18,792","18,810","18,801",2005
8,Jazz,"18,756","16,923","17,839",2005
9,Spurs,"18,316","17,419","17,868",2005
10,76ers,"17,870","17,933","17,902",2005
11,Suns,"17,708","17,570","17,639",2005
12,Nuggets,"17,657","17,506","17,582",2005
13,Kings,"17,317","17,702","17,509",2005
14,Wizards,"17,196","16,862","17,029",2005
15,Timberwolves,"17,181","17,874","17,527",2005
16,Raptors,"17,155","16,677","16,916",2005
17,Pacers,"16,994","16,895","16,944",2005
18,Clippers,"16,980","16,735","16,857",2005
19,Grizzlies,"16,862","16,621","16,742",2005
20,Trail Blazers,"16,594","16,658","16,626",2005
21,Thunder,"16,475","17,029","16,752",2005
22,Warriors,"16,350","16,708","16,529",2005
23,Rockets,"16,181","18,183","17,182",2005
24,Celtics,"16,001","17,216","16,609",2005
25,Bucks,"15,536","16,651","16,094",2005
26,Nets,"15,089","16,624","15,857",2005
27,Magic,"14,583","17,510","16,047",2005
28,Bobcats,"14,431","16,717","15,574",2005
29,Hawks,"14,302","16,730","15,516",2005
30,Pelicans,"14,221","16,690","15,456",2005
1,Pistons,"21,290","17,127","19,209",2004
2,Mavericks,"20,136","17,452","18,794",2004
3,Bulls,"19,736","16,517","18,126",2004
4,76ers,"19,222","17,672","18,447",2004
5,NY Knicks,"19,164","17,589","18,376",2004
6,Jazz,"19,154","16,537","17,845",2004
7,Lakers,"18,969","19,380","19,175",2004
8,Raptors,"18,307","16,480","17,394",2004
9,Cavaliers,"18,287","18,755","18,521",2004
10,Spurs,"18,041","17,347","17,694",2004
11,Timberwolves,"17,635","17,862","17,749",2004
12,Nuggets,"17,596","17,184","17,390",2004
13,Kings,"17,317","17,813","17,565",2004
14,Bucks,"16,833","16,213","16,523",2004
15,Trail Blazers,"16,683","16,282","16,483",2004
16,Pacers,"16,544","17,710","17,127",2004
17,Suns,"16,350","16,461","16,406",2004
18,Warriors,"16,235","15,885","16,060",2004
19,Clippers,"16,229","16,258","16,243",2004
20,Celtics,"16,201","16,955","16,578",2004
21,Wizards,"15,740","16,008","15,874",2004
22,Rockets,"15,629","17,768","16,698",2004
23,Thunder,"15,255","16,842","16,049",2004
24,Heat,"15,239","16,524","15,881",2004
25,Grizzlies,"15,188","16,695","15,941",2004
26,Nets,"14,952","17,358","16,155",2004
27,Magic,"14,369","16,793","15,581",2004
28,Pelicans,"14,332","16,679","15,505",2004
29,Hawks,"13,798","16,282","15,040",2004
1,Pistons,"20,470","16,053","18,261",2003
2,Wizards,"20,172","19,311","19,742",2003
3,Mavericks,"19,912","17,618","18,765",2003
4,76ers,"19,685","18,408","19,046",2003
5,Bulls,"19,617","16,268","17,942",2003
6,Trail Blazers,"19,420","16,458","17,939",2003
7,Jazz,"19,171","16,585","17,878",2003
8,NY Knicks,"19,011","17,104","18,058",2003
9,Lakers,"18,972","19,107","19,040",2003
10,Raptors,"18,963","16,509","17,736",2003
11,Spurs,"17,950","16,559","17,255",2003
12,Kings,"17,317","17,924","17,620",2003
13,Celtics,"17,293","17,263","17,278",2003
14,Clippers,"17,231","16,276","16,753",2003
15,Pacers,"16,352","16,856","16,604",2003
16,Suns,"16,257","16,318","16,288",2003
