Rk,Team,Overall,Home,Road
1,San Antonio Spurs,62-20,32-9,30-11
2,Oklahoma City Thunder,59-23,34-7,25-16
3,Los Angeles Clippers,57-25,34-7,23-18
4,Indiana Pacers,56-26,35-6,21-20
5,Houston Rockets,54-28,33-8,21-20
6,Miami Heat,54-28,32-9,22-19
7,Portland Trail Blazers,54-28,31-10,23-18
8,Golden State Warriors,51-31,27-14,24-17
9,Memphis Grizzlies,50-32,27-14,23-18
10,Dallas Mavericks,49-33,26-15,23-18
11,Chicago Bulls,48-34,27-14,21-20
12,Toronto Raptors,48-34,26-15,22-19
13,Phoenix Suns,48-34,26-15,22-19
14,Brooklyn Nets,44-38,28-13,16-25
15,Washington Wizards,44-38,22-19,22-19
16,Charlotte Bobcats,43-39,25-16,18-23
17,Minnesota Timberwolves,40-42,24-17,16-25
18,Atlanta Hawks,38-44,24-17,14-27
19,New York Knicks,37-45,19-22,18-23
20,Denver Nuggets,36-46,22-19,14-27
21,New Orleans Pelicans,34-48,22-19,29-Dec
22,Cleveland Cavaliers,33-49,19-22,14-27
23,Detroit Pistons,29-53,17-24,29-Dec
24,Sacramento Kings,28-54,17-24,30-Nov
25,Los Angeles Lakers,27-55,14-27,13-28
26,Boston Celtics,25-57,16-25,Sep-32
27,Utah Jazz,25-57,16-25,Sep-32
28,Orlando Magic,23-59,19-22,Apr-37
29,Philadelphia 76ers,19-63,31-Oct,Sep-32
30,Milwaukee Bucks,15-67,31-Oct,May-36
1,Miami Heat,66-16,37-4,29-12
2,Oklahoma City Thunder,60-22,34-7,26-15
3,San Antonio Spurs,58-24,35-6,23-18
4,Denver Nuggets,57-25,38-3,19-22
5,Los Angeles Clippers,56-26,32-9,24-17
6,Memphis Grizzlies,56-26,32-9,24-17
7,New York Knicks,54-28,31-10,23-18
8,Brooklyn Nets,49-33,26-15,23-18
9,Indiana Pacers,49-32,30-11,19-21
10,Golden State Warriors,47-35,28-13,19-22
11,Chicago Bulls,45-37,24-17,21-20
12,Houston Rockets,45-37,29-12,16-25
13,Los Angeles Lakers,45-37,29-12,16-25
14,Atlanta Hawks,44-38,25-16,19-22
15,Utah Jazz,43-39,30-11,13-28
16,Boston Celtics,41-40,27-13,14-27
17,Dallas Mavericks,41-41,24-17,17-24
18,Milwaukee Bucks,38-44,21-20,17-24
19,Philadelphia 76ers,34-48,23-18,30-Nov
20,Toronto Raptors,34-48,21-20,13-28
21,Portland Trail Blazers,33-49,22-19,30-Nov
22,Minnesota Timberwolves,31-51,20-21,30-Nov
23,Detroit Pistons,29-53,18-23,30-Nov
24,Washington Wizards,29-53,22-19,Jul-34
25,Sacramento Kings,28-54,20-21,Aug-33
