Team,Capacity,Year
Toronto Raptors,19800,2014
Toronto Raptors,19800,2013
Toronto Raptors,19800,2012
Toronto Raptors,19800,2011
Toronto Raptors,19800,2010
Toronto Raptors,19800,2009
Toronto Raptors,19800,2008
Toronto Raptors,19800,2007
Toronto Raptors,19800,2006
Toronto Raptors,19800,2005
Toronto Raptors,19800,2004
Toronto Raptors,19800,2003
Toronto Raptors,19800,2002
Toronto Raptors,19800,2001
Toronto Raptors,19800,2000
Miami Heat,19600,2014
Miami Heat,19600,2013
Miami Heat,19600,2012
Miami Heat,19600,2011
Miami Heat,19600,2010
Miami Heat,19600,2009
Miami Heat,19600,2008
Miami Heat,19600,2007
Miami Heat,19600,2006
Miami Heat,19600,2005
Miami Heat,19600,2004
Miami Heat,19600,2003
Miami Heat,19600,2002
Miami Heat,19600,2001
Miami Heat,19600,2000
Dallas Mavericks,19200,2014
Dallas Mavericks,19200,2013
Dallas Mavericks,19200,2012
Dallas Mavericks,19200,2011
Dallas Mavericks,19200,2010
Dallas Mavericks,19200,2009
Dallas Mavericks,19200,2008
Dallas Mavericks,19200,2007
Dallas Mavericks,19200,2006
Dallas Mavericks,19200,2005
Dallas Mavericks,19200,2004
Dallas Mavericks,19200,2003
Dallas Mavericks,19200,2002
Dallas Mavericks,18293,2001
Dallas Mavericks,18293,2000
Orlando Magic,18846,2014
Orlando Magic,18846,2013
Orlando Magic,18846,2012
Orlando Magic,18846,2011
Orlando Magic,17283,2010
Orlando Magic,17283,2009
Orlando Magic,17283,2008
Orlando Magic,17283,2007
Orlando Magic,17283,2006
Orlando Magic,17283,2005
Orlando Magic,17283,2004
Orlando Magic,17283,2003
Orlando Magic,17283,2002
Orlando Magic,17283,2001
Orlando Magic,17283,2000
San Antonio Spurs,18581,2014
San Antonio Spurs,18581,2013
San Antonio Spurs,18581,2012
San Antonio Spurs,18581,2011
San Antonio Spurs,18581,2010
San Antonio Spurs,18581,2009
San Antonio Spurs,18581,2008
San Antonio Spurs,18581,2007
San Antonio Spurs,18581,2006
San Antonio Spurs,18581,2005
San Antonio Spurs,18581,2004
San Antonio Spurs,18581,2003
San Antonio Spurs,20557,2002
San Antonio Spurs,20557,2001
San Antonio Spurs,20557,2000
Indiana Pacers,18165,2014
Indiana Pacers,18165,2013
Indiana Pacers,18165,2012
Indiana Pacers,18165,2011
Indiana Pacers,18165,2010
Indiana Pacers,18165,2009
Indiana Pacers,18165,2008
Indiana Pacers,18165,2007
Indiana Pacers,18165,2006
Indiana Pacers,18165,2005
Indiana Pacers,18165,2004
Indiana Pacers,18165,2003
Indiana Pacers,18165,2002
Indiana Pacers,18165,2001
Indiana Pacers,18165,2000
Brooklyn Nets,17732,2014
Brooklyn Nets,17732,2013
Brooklyn Nets,18711,2012
Brooklyn Nets,18711,2011
Brooklyn Nets,20049,2010
Brooklyn Nets,20049,2009
Brooklyn Nets,20049,2008
Brooklyn Nets,20049,2007
Brooklyn Nets,20049,2006
Brooklyn Nets,20049,2005
Brooklyn Nets,20049,2004
Brooklyn Nets,20049,2003
Brooklyn Nets,20049,2002
Brooklyn Nets,20049,2001
Brooklyn Nets,20049,2000
Brooklyn Nets,20049,2012
Milwaukee Bucks,18717,2014
Milwaukee Bucks,18717,2013
Milwaukee Bucks,18717,2012
Milwaukee Bucks,18717,2011
Milwaukee Bucks,18717,2010
Milwaukee Bucks,18717,2009
Milwaukee Bucks,18717,2008
Milwaukee Bucks,18717,2007
Milwaukee Bucks,18717,2006
Milwaukee Bucks,18717,2005
Milwaukee Bucks,18717,2004
Milwaukee Bucks,18717,2003
Milwaukee Bucks,18717,2002
Milwaukee Bucks,18717,2001
Milwaukee Bucks,18717,2000
Oklahoma City Thunder,18203,2014
Oklahoma City Thunder,18203,2013
Oklahoma City Thunder,18203,2012
Oklahoma City Thunder,18203,2011
Oklahoma City Thunder,18203,2010
Oklahoma City Thunder,18203,2009
Oklahoma City Thunder,18203,2008
Oklahoma City Thunder,19164,2007
Oklahoma City Thunder,19164,2006
Utah Jazz,19911,2014
Utah Jazz,19911,2013
Utah Jazz,19911,2012
Utah Jazz,19911,2011
Utah Jazz,19911,2010
Utah Jazz,19911,2009
Utah Jazz,19911,2008
Utah Jazz,19911,2007
Utah Jazz,19911,2006
Utah Jazz,19911,2005
Utah Jazz,19911,2004
Utah Jazz,19911,2003
Utah Jazz,19911,2002
Utah Jazz,19911,2001
Utah Jazz,19911,2000
Memphis Grizzlies,18119,2014
Memphis Grizzlies,18119,2013
Memphis Grizzlies,18119,2012
Memphis Grizzlies,18119,2011
Memphis Grizzlies,18119,2010
Memphis Grizzlies,18119,2009
Memphis Grizzlies,18119,2008
Memphis Grizzlies,18119,2007
Memphis Grizzlies,18119,2006
Memphis Grizzlies,18119,2005
Memphis Grizzlies,20142,2004
Memphis Grizzlies,20142,2003
Memphis Grizzlies,20142,2002
New York Knicks,19763,2014
New York Knicks,19763,2013
New York Knicks,19763,2012
New York Knicks,19763,2011
New York Knicks,19763,2010
New York Knicks,19763,2009
New York Knicks,19763,2008
New York Knicks,19763,2007
New York Knicks,19763,2006
New York Knicks,19763,2005
New York Knicks,19763,2004
New York Knicks,19763,2003
New York Knicks,19763,2002
New York Knicks,19763,2001
New York Knicks,19763,2000
Portland Trail Blazers,19980,2014
Portland Trail Blazers,19980,2013
Portland Trail Blazers,19980,2012
Portland Trail Blazers,19980,2011
Portland Trail Blazers,19980,2010
Portland Trail Blazers,19980,2009
Portland Trail Blazers,19980,2008
Portland Trail Blazers,19980,2007
Portland Trail Blazers,19980,2006
Portland Trail Blazers,19980,2005
Portland Trail Blazers,19980,2004
Portland Trail Blazers,19980,2003
Portland Trail Blazers,19980,2002
Portland Trail Blazers,19980,2001
Portland Trail Blazers,19980,2000
Golden State Warriors,19596,2014
Golden State Warriors,19596,2013
Golden State Warriors,19596,2012
Golden State Warriors,19596,2011
Golden State Warriors,19596,2010
Golden State Warriors,19596,2009
Golden State Warriors,19596,2008
Golden State Warriors,19596,2007
Golden State Warriors,19596,2006
Golden State Warriors,19596,2005
Golden State Warriors,19596,2004
Golden State Warriors,19596,2003
Golden State Warriors,19596,2002
Golden State Warriors,19596,2001
Golden State Warriors,19596,2000
Denver Nuggets,19155,2014
Denver Nuggets,19155,2013
Denver Nuggets,19155,2012
Denver Nuggets,19155,2011
Denver Nuggets,19155,2010
Denver Nuggets,19155,2009
Denver Nuggets,19155,2008
Denver Nuggets,19155,2007
