,Index,Team,Season,Date,Against,Score,Type,PS,WPS,Diff,W,Bias,Home,Away,FWStreak,UWStreak,permalink,attendance,weekBySeason,ranking
8,Arizona_Monday 09/08/14,Arizona,2014,Monday 09/08/14,San Diego,18-17,Week 1,-3.0,0,1,1,-2.0,Arizona,San Diego,-3,3,201409080crd,61292.0,1.0,
9,Arizona_Monday 09/27/99,San Francisco,1999,Monday 09/27/99,@ Arizona,24-10,Week 3,-2.0,1,14,1,12.0,Arizona,San Francisco,-1,-1,199909270crd,72100.0,3.0,
10,Arizona_Monday 10/16/06,Chicago,2006,Monday 10/16/06,@ Arizona,24-23,Week 6,-12.5,0,1,1,-11.5,Arizona,Chicago,-2,-2,200610160crd,63977.0,6.0,1.0
11,Arizona_Monday 10/29/12,San Francisco,2012,Monday 10/29/12,@ Arizona,24-3,Week 8,-7.0,1,21,1,14.0,Arizona,San Francisco,4,-3,201210290crd,62810.0,8.0,5.0
12,Arizona_Monday 11/10/08,Arizona,2008,Monday 11/10/08,San Francisco,29-24,Week 10,-9.5,0,5,1,-4.5,Arizona,San Francisco,-4,5,200811100crd,64519.0,10.0,13.0
13,Arizona_Monday 11/29/10,San Francisco,2010,Monday 11/29/10,@ Arizona,27-6,Week 12,-1.0,1,21,1,20.0,Arizona,San Francisco,1,1,201011290crd,62308.0,12.0,25.0
35,Arizona_Saturday 12/25/10,Dallas,2010,Saturday 12/25/10,@ Arizona,26-27,Week 16,-7.0,0,-1,0,-8.0,Arizona,Dallas,-1,-1,201012250crd,66971.0,16.0,20.0
36,Arizona_Sunday 01/01/12,Arizona,2011,Sunday 01/01/12,Seattle,23-20,Week 17,-2.5,1,3,1,0.5,Arizona,Seattle,-1,-1,201201010crd,61798.0,17.0,17.0
38,Arizona_Sunday 01/03/10,Arizona,2009,Sunday 01/03/10,Green Bay,7-33,Week 17,-3.0,0,-26,0,-29.0,Arizona,Green Bay,-1,8,201001030crd,67597.0,17.0,6.0
42,Arizona_Sunday 09/09/12,Seattle,2012,Sunday 09/09/12,@ Arizona,16-20,Week 1,-1.0,0,-4,0,-5.0,Arizona,Seattle,3,-2,201209090crd,60032.0,1.0,
44,Arizona_Sunday 09/11/11,Arizona,2011,Sunday 09/11/11,Carolina,28-21,Week 1,-6.5,1,7,1,0.5,Arizona,Carolina,-1,-2,201109110crd,60627.0,1.0,
45,Arizona_Sunday 09/13/09,Arizona,2009,Sunday 09/13/09,San Francisco,16-20,Week 1,-5.5,0,-4,0,-9.5,Arizona,San Francisco,2,-3,200909130crd,61981.0,1.0,
46,Arizona_Sunday 09/14/03,Seattle,2003,Sunday 09/14/03,@ Arizona,38-0,Week 2,-4.5,1,38,1,33.5,Arizona,Seattle,1,-1,200309140crd,23127.0,2.0,17.0
47,Arizona_Sunday 09/14/08,Arizona,2008,Sunday 09/14/08,Miami,31-10,Week 2,-6.5,1,21,1,14.5,Arizona,Miami,-2,1,200809140crd,63445.0,2.0,21.0
48,Arizona_Sunday 09/15/13,Detroit,2013,Sunday 09/15/13,@ Arizona,21-25,Week 2,-1.0,0,-4,0,-5.0,Arizona,Detroit,-5,3,201309150crd,63400.0,2.0,21.0
52,Arizona_Sunday 09/21/03,Green Bay,2003,Sunday 09/21/03,@ Arizona,13-20,Week 3,-7.0,0,-7,0,-14.0,Arizona,Green Bay,-2,1,200309210crd,58784.0,3.0,16.0
53,Arizona_Sunday 09/21/14,San Francisco,2014,Sunday 09/21/14,@ Arizona,14-23,Week 3,-3.0,0,-9,0,-12.0,Arizona,San Francisco,1,-1,201409210crd,61572.0,3.0,3.0
55,Arizona_Sunday 09/23/12,Philadelphia,2012,Sunday 09/23/12,@ Arizona,6-27,Week 3,-3.0,0,-21,0,-24.0,Arizona,Philadelphia,5,-3,201209230crd,60436.0,3.0,12.0
56,Arizona_Sunday 09/24/00,Arizona,2000,Sunday 09/24/00,Green Bay,3-29,Week 4,-2.5,0,-26,0,-28.5,Arizona,Green Bay,1,1,200009240crd,71801.0,4.0,
58,Arizona_Sunday 09/26/10,Arizona,2010,Sunday 09/26/10,Oakland,24-23,Week 3,-5.5,0,1,1,-4.5,Arizona,Oakland,-5,1,201009260crd,62439.0,3.0,19.0
59,Arizona_Sunday 09/27/09,Arizona,2009,Sunday 09/27/09,Indianapolis,10-31,Week 3,-3.0,0,-21,0,-24.0,Arizona,Indianapolis,1,5,200909270crd,62692.0,3.0,17.0
63,Arizona_Sunday 09/30/12,Arizona,2012,Sunday 09/30/12,Miami,24-21,Week 4,-4.0,0,3,1,-1.0,Arizona,Miami,1,-5,201209300crd,60183.0,4.0,14.0
64,Arizona_Sunday 10/02/11,N.Y. Giants,2011,Sunday 10/02/11,@ Arizona,31-27,Week 4,-1.0,1,4,1,3.0,Arizona,N.Y. Giants,1,-2,201110020crd,60496.0,4.0,2.0
66,Arizona_Sunday 10/05/08,Arizona,2008,Sunday 10/05/08,Buffalo,41-17,Week 5,-1.0,1,24,1,23.0,Arizona,Buffalo,-3,1,200810050crd,63830.0,5.0,18.0
67,Arizona_Sunday 10/06/13,Carolina,2013,Sunday 10/06/13,@ Arizona,6-22,Week 5,-3.0,0,-16,0,-19.0,Arizona,Carolina,-1,1,201310060crd,60426.0,5.0,21.0
68,Arizona_Sunday 10/08/00,Arizona,2000,Sunday 10/08/00,Cleveland,29-21,Week 6,-4.5,1,8,1,3.5,Arizona,Cleveland,4,-2,200010080crd,44296.0,6.0,
70,Arizona_Sunday 10/09/05,Carolina,2005,Sunday 10/09/05,@ Arizona,24-20,Week 5,-2.5,1,4,1,1.5,Arizona,Carolina,2,-1,200510090crd,38809.0,5.0,14.0
71,Arizona_Sunday 10/10/10,New Orleans,2010,Sunday 10/10/10,@ Arizona,20-30,Week 5,-6.5,0,-10,0,-16.5,Arizona,New Orleans,-1,-4,201010100crd,62621.0,5.0,7.0
72,Arizona_Sunday 10/10/99,Arizona,1999,Sunday 10/10/99,N.Y. Giants,14-3,Week 5,-2.5,1,11,1,8.5,Arizona,N.Y. Giants,1,2,199910100crd,49015.0,5.0,
73,Arizona_Sunday 10/11/09,Arizona,2009,Sunday 10/11/09,Houston,28-21,Week 5,-5.5,1,7,1,1.5,Arizona,Houston,2,-4,200910110crd,61819.0,5.0,19.0
74,Arizona_Sunday 10/12/03,Baltimore,2003,Sunday 10/12/03,@ Arizona,26-18,Week 6,-6.0,1,8,1,2.0,Arizona,Baltimore,-2,3,200310120crd,24193.0,6.0,18.0
75,Arizona_Sunday 10/12/08,Dallas,2008,Sunday 10/12/08,@ Arizona,24-30,Week 6,-4.5,0,-6,0,-10.5,Arizona,Dallas,2,-1,200810120crd,64389.0,6.0,3.0
76,Arizona_Sunday 10/12/14,Arizona,2014,Sunday 10/12/14,Washington,30-20,Week 6,-5.0,1,10,1,5.0,Arizona,Washington,1,-3,201410120crd,61139.0,6.0,4.0
78,Arizona_Sunday 10/14/12,Arizona,2012,Sunday 10/14/12,Buffalo,16-19,Week 6,-5.0,0,-3,0,-8.0,Arizona,Buffalo,-3,-1,201210140crd,60385.0,6.0,5.0
79,Arizona_Sunday 10/15/00,Philadelphia,2000,Sunday 10/15/00,@ Arizona,33-14,Week 7,-2.5,1,19,1,16.5,Arizona,Philadelphia,-1,-4,200010150crd,38293.0,7.0,
83,Arizona_Sunday 10/23/11,Pittsburgh,2011,Sunday 10/23/11,@ Arizona,32-20,Week 7,-4.0,1,12,1,8.0,Arizona,Pittsburgh,1,1,201110230crd,62475.0,7.0,8.0
85,Arizona_Sunday 10/26/03,San Francisco,2003,Sunday 10/26/03,@ Arizona,13-16,Week 8,-7.0,0,-3,0,-10.0,Arizona,San Francisco,-6,-1,200310260crd,40824.0,8.0,21.0
86,Arizona_Sunday 10/26/14,Arizona,2014,Sunday 10/26/14,Philadelphia,24-20,Week 8,-1.0,1,4,1,3.0,Arizona,Philadelphia,-1,2,201410260crd,61789.0,8.0,6.0
87,Arizona_Sunday 10/27/13,Arizona,2013,Sunday 10/27/13,Atlanta,27-13,Week 8,-2.5,1,14,1,11.5,Arizona,Atlanta,-1,1,201310270crd,60671.0,8.0,21.0
88,Arizona_Sunday 10/29/00,New Orleans,2000,Sunday 10/29/00,@ Arizona,21-10,Week 9,-6.5,1,11,1,4.5,Arizona,New Orleans,3,-1,200010290crd,35286.0,9.0,
89,Arizona_Sunday 10/31/10,Arizona,2010,Sunday 10/31/10,Tampa Bay,35-38,Week 8,-3.0,0,-3,0,-6.0,Arizona,Tampa Bay,-6,-2,201010310crd,61857.0,8.0,18.0
90,Arizona_Sunday 10/31/99,New England,1999,Sunday 10/31/99,@ Arizona,27-3,Week 8,-3.0,1,24,1,21.0,Arizona,New England,1,-7,199910310crd,55830.0,8.0,
91,Arizona_Sunday 11/01/09,Arizona,2009,Sunday 11/01/09,Carolina,21-34,Week 8,-10.0,0,-13,0,-23.0,Arizona,Carolina,-8,-4,200911010crd,62031.0,8.0,16.0
92,Arizona_Sunday 11/02/03,Cincinnati,2003,Sunday 11/02/03,@ Arizona,14-17,Week 9,-3.0,0,-3,0,-6.0,Arizona,Cincinnati,-3,-9,200311020crd,23531.0,9.0,23.0
95,Arizona_Sunday 11/05/00,Washington,2000,Sunday 11/05/00,@ Arizona,15-16,Week 10,-9.5,0,-1,0,-10.5,Arizona,Washington,-1,-4,200011050crd,52244.0,10.0,
97,Arizona_Sunday 11/06/11,Arizona,2011,Sunday 11/06/11,St. Louis,19-13,Week 9,-2.5,1,6,1,3.5,Arizona,St. Louis,-1,-2,201111060crd,60628.0,9.0,29.0
98,Arizona_Sunday 11/09/14,Arizona,2014,Sunday 11/09/14,St. Louis,31-14,Week 10,-7.0,1,17,1,10.0,Arizona,St. Louis,-1,-6,201411090crd,61363.0,10.0,2.0
100,Arizona_Sunday 11/10/13,Arizona,2013,Sunday 11/10/13,Houston,27-24,Week 10,-3.5,0,3,1,-0.5,Arizona,Houston,-1,-6,201311100crd,60845.0,10.0,17.0
105,Arizona_Sunday 11/14/10,Arizona,2010,Sunday 11/14/10,Seattle,18-36,Week 10,-3.5,0,-18,0,-21.5,Arizona,Seattle,2,-1,201011140crd,61904.0,10.0,24.0
106,Arizona_Sunday 11/14/99,Detroit,1999,Sunday 11/14/99,@ Arizona,19-23,Week 10,-3.5,0,-4,0,-7.5,Arizona,Detroit,-3,-1,199911140crd,49600.0,10.0,
107,Arizona_Sunday 11/15/09,Arizona,2009,Sunday 11/15/09,Seattle,31-20,Week 10,-9.0,1,11,1,2.0,Arizona,Seattle,1,1,200911150crd,62278.0,10.0,13.0
108,Arizona_Sunday 11/16/14,Detroit,2014,Sunday 11/16/14,@ Arizona,6-14,Week 11,-1.0,0,-8,0,-9.0,Arizona,Detroit,-7,1,201411160crd,62487.0,11.0,6.0
111,Arizona_Sunday 11/21/99,Dallas,1999,Sunday 11/21/99,@ Arizona,9-13,Week 11,-2.5,0,-4,0,-6.5,Arizona,Dallas,1,-3,199911210crd,72015.0,11.0,
112,Arizona_Sunday 11/23/03,St. Louis,2003,Sunday 11/23/03,@ Arizona,30-27,Week 12,-7.0,0,3,1,-4.0,Arizona,St. Louis,-1,2,200311230crd,42089.0,12.0,8.0
113,Arizona_Sunday 11/23/08,N.Y. Giants,2008,Sunday 11/23/08,@ Arizona,37-29,Week 12,-3.0,1,8,1,5.0,Arizona,N.Y. Giants,1,-1,200811230crd,64541.0,12.0,7.0
115,Arizona_Sunday 11/24/13,Arizona,2013,Sunday 11/24/13,Indianapolis,40-11,Week 12,-3.5,1,29,1,25.5,Arizona,Indianapolis,-4,5,201311240crd,60882.0,12.0,16.0
117,Arizona_Sunday 11/25/12,Arizona,2012,Sunday 11/25/12,St. Louis,17-31,Week 12,-1.0,0,-14,0,-15.0,Arizona,St. Louis,-1,-1,201211250crd,60062.0,12.0,22.0
120,Arizona_Sunday 12/02/07,Arizona,2007,Sunday 12/02/07,Cleveland,27-21,Week 13,-1.0,1,6,1,5.0,Arizona,Cleveland,1,-8,200712020crd,64791.0,13.0,16.0
121,Arizona_Sunday 12/04/11,Dallas,2011,Sunday 12/04/11,@ Arizona,13-19,Week 13,-4.0,0,-6,0,-10.0,Arizona,Dallas,-1,2,201112040crd,62180.0,13.0,9.0
122,Arizona_Sunday 12/05/10,St. Louis,2010,Sunday 12/05/10,@ Arizona,19-6,Week 13,-3.0,1,13,1,10.0,Arizona,St. Louis,1,-1,201012050crd,61874.0,13.0,22.0
123,Arizona_Sunday 12/05/99,Arizona,1999,Sunday 12/05/99,Philadelphia,21-17,Week 13,-7.0,0,4,1,-3.0,Arizona,Philadelphia,-2,1,199912050crd,46550.0,13.0,
124,Arizona_Sunday 12/07/08,Arizona,2008,Sunday 12/07/08,St. Louis,34-10,Week 14,-14.0,1,24,1,10.0,Arizona,St. Louis,-1,-1,200812070crd,63720.0,14.0,11.0
125,Arizona_Sunday 12/07/14,Kansas City,2014,Sunday 12/07/14,@ Arizona,14-17,Week 14,-2.5,0,-3,0,-5.5,Arizona,Kansas City,-3,1,201412070crd,62387.0,14.0,12.0
127,Arizona_Sunday 12/08/13,Arizona,2013,Sunday 12/08/13,St. Louis,30-10,Week 14,-4.5,1,20,1,15.5,Arizona,St. Louis,3,-1,201312080crd,60643.0,14.0,9.0
131,Arizona_Sunday 12/11/11,San Francisco,2011,Sunday 12/11/11,@ Arizona,19-21,Week 14,-3.5,0,-2,0,-5.5,Arizona,San Francisco,-3,-1,201112110crd,60808.0,14.0,3.0
133,Arizona_Sunday 12/12/10,Denver,2010,Sunday 12/12/10,@ Arizona,13-43,Week 14,-4.0,0,-30,0,-34.0,Arizona,Denver,3,-1,201012120crd,62223.0,14.0,28.0
134,Arizona_Sunday 12/14/03,Carolina,2003,Sunday 12/14/03,@ Arizona,20-17,Week 15,-7.0,0,3,1,-4.0,Arizona,Carolina,-1,-1,200312140crd,23217.0,15.0,8.0
135,Arizona_Sunday 12/14/08,Arizona,2008,Sunday 12/14/08,Minnesota,14-35,Week 15,-4.0,0,-21,0,-25.0,Arizona,Minnesota,-2,-1,200812140crd,64457.0,15.0,12.0
136,Arizona_Sunday 12/16/12,Detroit,2012,Sunday 12/16/12,@ Arizona,10-38,Week 15,-6.0,0,-28,0,-34.0,Arizona,Detroit,-1,-1,201212160crd,60483.0,15.0,21.0
137,Arizona_Sunday 12/17/00,Baltimore,2000,Sunday 12/17/00,@ Arizona,13-7,Week 16,-16.5,0,6,1,-10.5,Arizona,Baltimore,-2,1,200012170crd,37452.0,16.0,
139,Arizona_Sunday 12/18/11,Arizona,2011,Sunday 12/18/11,Cleveland,20-17,Week 15,-6.0,0,3,1,-3.0,Arizona,Cleveland,-3,1,201112180crd,60443.0,15.0,18.0
143,Arizona_Sunday 12/23/12,Chicago,2012,Sunday 12/23/12,@ Arizona,28-13,Week 16,-7.0,1,15,1,8.0,Arizona,Chicago,2,3,201212230crd,62734.0,16.0,11.0
144,Arizona_Sunday 12/27/09,Arizona,2009,Sunday 12/27/09,St. Louis,31-10,Week 16,-16.0,1,21,1,5.0,Arizona,St. Louis,-2,7,200912270crd,62624.0,16.0,8.0
145,Arizona_Sunday 12/28/03,Minnesota,2003,Sunday 12/28/03,@ Arizona,17-18,Week 17,-7.5,0,-1,0,-8.5,Arizona,Minnesota,1,1,200312280crd,52734.0,17.0,13.0
146,Arizona_Sunday 12/28/08,Arizona,2008,Sunday 12/28/08,Seattle,34-21,Week 17,-7.0,1,13,1,6.0,Arizona,Seattle,2,-1,200812280crd,63874.0,17.0,15.0
147,Arizona_Sunday 12/29/13,Arizona,2013,Sunday 12/29/13,San Francisco,20-23,Week 17,-3.0,0,-3,0,-6.0,Arizona,San Francisco,-1,2,201312290crd,63570.0,17.0,8.0
150,Arizona_Sunday Night 09/10/00,Arizona,2000,Sunday Night 09/10/00,Dallas,32-31,Week 2,-3.0,0,1,1,-2.0,Arizona,Dallas,-4,2,200009100crd,66009.0,2.0,
153,Arizona_Sunday Night 10/17/99,Washington,1999,Sunday Night 10/17/99,@ Arizona,24-10,Week 6,-4.0,1,14,1,10.0,Arizona,Washington,-3,1,199910170crd,55893.0,6.0,
154,Arizona_Sunday Night 11/26/00,N.Y. Giants,2000,Sunday Night 11/26/00,@ Arizona,31-7,Week 13,-7.5,1,24,1,16.5,Arizona,N.Y. Giants,1,1,200011260crd,42094.0,13.0,
155,Arizona_Sunday Night 12/06/09,Minnesota,2009,Sunday Night 12/06/09,@ Arizona,17-30,Week 13,-3.5,0,-13,0,-16.5,Arizona,Minnesota,1,-1,200912060crd,64121.0,13.0,3.0
156,Arizona_Sunday Night 12/19/99,Buffalo,1999,Sunday Night 12/19/99,@ Arizona,31-21,Week 15,-3.5,1,10,1,6.5,Arizona,Buffalo,-6,-1,199912190crd,64337.0,15.0,
162,Arizona_Thursday 10/17/13,Seattle,2013,Thursday 10/17/13,@ Arizona,34-22,Week 7,-4.5,1,12,1,7.5,Arizona,Seattle,2,-2,201310170crd,61200.0,7.0,5.0
177,Atlanta_Monday 01/03/00,Atlanta,1999,Monday 01/03/00,San Francisco,34-29,Week 17,-6.0,0,5,1,-1.0,Atlanta,San Francisco,1,-2,200001030atl,57980.0,17.0,
180,Atlanta_Monday 09/17/12,Atlanta,2012,Monday 09/17/12,Denver,27-21,Week 2,-3.0,1,6,1,3.0,Atlanta,Denver,4,-2,201209170atl,70427.0,2.0,10.0
181,Atlanta_Monday 10/07/13,Atlanta,2013,Monday 10/07/13,N.Y. Jets,28-30,Week 5,-10.0,0,-2,0,-12.0,Atlanta,N.Y. Jets,-2,-4,201310070atl,70246.0,5.0,14.0
186,Atlanta_Monday 12/27/10,Atlanta,2010,Monday 12/27/10,New Orleans,14-17,Week 16,-2.0,0,-3,0,-5.0,Atlanta,New Orleans,-2,1,201012270atl,70144.0,16.0,2.0
198,Atlanta_Saturday 12/16/06,Dallas,2006,Saturday 12/16/06,@ Atlanta,38-28,Week 15,-3.5,1,10,1,6.5,Atlanta,Dallas,-2,2,200612160atl,71102.0,15.0,3.0
201,Atlanta_Sunday 01/01/12,Atlanta,2011,Sunday 01/01/12,Tampa Bay,45-24,Week 17,-10.0,1,21,1,11.0,Atlanta,Tampa Bay,-2,3,201201010atl,68167.0,17.0,8.0
202,Atlanta_Sunday 01/02/11,Atlanta,2010,Sunday 01/02/11,Carolina,31-10,Week 17,-14.0,1,21,1,7.0,Atlanta,Carolina,-1,-1,201101020atl,67349.0,17.0,2.0
205,Atlanta_Sunday 09/03/00,Atlanta,2000,Sunday 09/03/00,San Francisco,36-28,Week 1,-7.0,1,8,1,1.0,Atlanta,San Francisco,-2,5,200009030atl,54626.0,1.0,
206,Atlanta_Sunday 09/07/08,Detroit,2008,Sunday 09/07/08,@ Atlanta,21-34,Week 1,-3.5,0,-13,0,-16.5,Atlanta,Detroit,3,2,200809070atl,62310.0,1.0,
207,Atlanta_Sunday 09/07/14,New Orleans,2014,Sunday 09/07/14,@ Atlanta,34-37,Week 1,-3.0,0,-3,0,-6.0,Atlanta,New Orleans,1,3,201409070atl,70706.0,1.0,
208,Atlanta_Sunday 09/12/99,Minnesota,1999,Sunday 09/12/99,@ Atlanta,17-14,Week 1,-4.0,0,3,1,-1.0,Atlanta,Minnesota,1,-1,199909120atl,69555.0,1.0,
209,Atlanta_Sunday 09/13/09,Atlanta,2009,Sunday 09/13/09,Miami,19-7,Week 1,-4.0,1,12,1,8.0,Atlanta,Miami,-2,2,200909130atl,67606.0,1.0,
210,Atlanta_Sunday 09/14/03,Atlanta,2003,Sunday 09/14/03,Washington,31-33,Week 2,-3.0,0,-2,0,-5.0,Atlanta,Washington,1,-2,200309140atl,70241.0,2.0,13.0
