,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,D1,12/08/06,Leverkusen,Aachen,3,0,0.6944444444444444,0.25,0.13333333333333333,0607,Leverkusen0607,Aachen0607,D10607,0.07777777777777772,0.6443298969072165,0.23195876288659795,0.12371134020618557,Leverkusen,Aachen,3,0,0,0,0,0
1,D1,19/08/06,Aachen,Schalke 04,0,1,0.23094688221709006,0.30303030303030304,0.5464480874316939,0607,Aachen0607,Schalke 040607,D10607,0.08042527267908706,0.21375553502596287,0.2804731717158846,0.5057712932581525,Schalke 04,Aachen,0,3,0,0,0,0
2,D1,26/08/06,Hannover,Aachen,0,3,0.5813953488372093,0.2857142857142857,0.21052631578947367,0607,Hannover0607,Aachen0607,D10607,0.0776359503409687,0.5395099789063768,0.26513061820541944,0.19535940288820378,Hannover,Aachen,0,3,1,0,0,0
3,D1,16/09/06,Aachen,M'gladbach,4,2,0.4166666666666667,0.3076923076923077,0.35714285714285715,0607,Aachen0607,M'gladbach0607,D10607,0.08150183150183166,0.38526672311600335,0.2845046570702794,0.33022861981371715,Aachen,M'gladbach,3,0,1,0,1,1
4,D1,23/09/06,Bayern Munich,Aachen,2,1,0.819672131147541,0.18181818181818182,0.07692307692307693,0607,Bayern Munich0607,Aachen0607,D10607,0.07841338988879976,0.7600722865950887,0.1685978526629106,0.07132986074200064,Bayern Munich,Aachen,3,0,0,0,2,2
5,D1,30/09/06,Aachen,Bochum,2,1,0.5128205128205129,0.3125,0.25,0607,Aachen0607,Bochum0607,D10607,0.07532051282051277,0.4769001490312966,0.2906110283159464,0.23248882265275708,Aachen,Bochum,3,0,1,0,0,0
6,D1,13/10/06,Mainz,Aachen,1,3,0.48780487804878053,0.3076923076923077,0.2857142857142857,0607,Mainz0607,Aachen0607,D10607,0.081211471455374,0.451165096678235,0.2845810609816559,0.264253842340109,Mainz,Aachen,0,3,1,0,1,1
7,D1,21/10/06,Aachen,Cottbus,1,2,0.5464480874316939,0.30303030303030304,0.23094688221709006,0607,Aachen0607,Cottbus0607,D10607,0.08042527267908706,0.5057712932581525,0.2804731717158846,0.21375553502596287,Aachen,Cottbus,0,3,0,0,2,2
8,D1,29/10/06,Bielefeld,Aachen,5,1,0.47619047619047616,0.30303030303030304,0.30303030303030304,0607,Bielefeld0607,Aachen0607,D10607,0.08225108225108224,0.44,0.28,0.28,Bielefeld,Aachen,3,0,0,0,0,0
9,D1,04/11/06,Aachen,Stuttgart,2,4,0.3484320557491289,0.3076923076923077,0.42194092827004215,0607,Aachen0607,Stuttgart0607,D10607,0.0780652917114788,0.3232012554601186,0.28541157020632013,0.3913871743335613,Stuttgart,Aachen,0,3,0,0,0,0
10,D1,07/11/06,Dortmund,Aachen,0,0,0.6369426751592356,0.2631578947368421,0.18181818181818182,0607,Dortmund0607,Aachen0607,D10607,0.08191875171425966,0.5887158108222303,0.24323258499760567,0.16805160418016393,Dortmund,Aachen,1,1,0,1,0,0
