,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,SP1,19/08/13,Almeria,Villarreal,2,3,0.3846153846153846,0.3125,0.36363636363636365,1314,Almeria1314,Villarreal1314,SP11314,0.06075174825174834,0.36258755665430564,0.2946023897816234,0.34281005356407085,Almeria,Villarreal,0,3,0,0,0,0
1,SP1,23/08/13,Getafe,Almeria,2,2,0.5405405405405405,0.2857142857142857,0.23809523809523808,1314,Getafe1314,Almeria1314,SP11314,0.0643500643500643,0.5078597339782346,0.26844014510278114,0.22370012091898428,Getafe,Almeria,1,1,0,1,0,0
2,SP1,30/08/13,Almeria,Elche,2,2,0.5,0.30303030303030304,0.2631578947368421,1314,Almeria1314,Elche1314,SP11314,0.06618819776714502,0.4689603590127151,0.2842183994016455,0.2468212415856395,Almeria,Elche,1,1,0,1,0,1
3,SP1,14/09/13,Ath Madrid,Almeria,4,2,0.8,0.16666666666666666,0.09090909090909091,1314,Ath Madrid1314,Almeria1314,SP11314,0.05757575757575761,0.7564469914040115,0.15759312320916904,0.08595988538681948,Ath Madrid,Almeria,3,0,0,0,0,2
4,SP1,21/09/13,Almeria,Levante,2,2,0.5555555555555556,0.2857142857142857,0.2222222222222222,1314,Almeria1314,Levante1314,SP11314,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Almeria,Levante,1,1,0,1,0,0
5,SP1,24/09/13,Malaga,Almeria,2,0,0.5988023952095809,0.26666666666666666,0.2,1314,Malaga1314,Almeria1314,SP11314,0.06546906187624746,0.562008242787561,0.2502810041213938,0.18771075309104535,Malaga,Almeria,3,0,0,0,0,1
6,SP1,28/09/13,Almeria,Barcelona,0,2,0.07692307692307693,0.14285714285714285,0.8474576271186441,1314,Almeria1314,Barcelona1314,SP11314,0.06723784689886392,0.07207678883071553,0.1338568935427574,0.794066317626527,Barcelona,Almeria,0,3,0,0,0,0
7,SP1,06/10/13,Sevilla,Almeria,2,1,0.6944444444444444,0.23094688221709006,0.14285714285714285,1314,Sevilla1314,Almeria1314,SP11314,0.06824846951867736,0.6500776404176282,0.2161921021250311,0.13373025745734066,Sevilla,Almeria,3,0,0,0,0,0
8,SP1,20/10/13,Almeria,Vallecano,0,1,0.5235602094240838,0.2777777777777778,0.26666666666666666,1314,Almeria1314,Vallecano1314,SP11314,0.06800465386852816,0.49022277901846506,0.2600904188681301,0.24968680211340488,Almeria,Vallecano,0,3,0,0,0,0
9,SP1,27/10/13,Sociedad,Almeria,3,0,0.6369426751592356,0.25,0.18181818181818182,1314,Sociedad1314,Almeria1314,SP11314,0.0687608569774174,0.5959637003927942,0.23391575240417176,0.17012054720303402,Sociedad,Almeria,3,0,0,0,0,0
10,SP1,30/10/13,Valencia,Almeria,1,2,0.7142857142857143,0.2222222222222222,0.125,1314,Valencia1314,Almeria1314,SP11314,0.06150793650793651,0.6728971962616822,0.20934579439252335,0.11775700934579439,Valencia,Almeria,0,3,1,0,0,0
11,SP1,02/11/13,Almeria,Valladolid,1,0,0.46511627906976744,0.30303030303030304,0.29411764705882354,1314,Almeria1314,Valladolid1314,SP11314,0.06226422915889396,0.43785365853658537,0.28526829268292686,0.27687804878048783,Almeria,Valladolid,3,0,1,0,1,1
