,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,E0,17/08/13,Arsenal,Aston Villa,1,3,0.6944444444444444,0.21052631578947367,0.125,1314,Arsenal1314,Aston Villa1314,E01314,0.029970760233918092,0.674237047551455,0.20440028388928316,0.1213626685592619,Arsenal,Aston Villa,0,3,0,0,0,0
1,E0,24/08/13,Fulham,Arsenal,1,3,0.2631578947368421,0.2857142857142857,0.47619047619047616,1314,Fulham1314,Arsenal1314,E01314,0.025062656641603898,0.2567237163814181,0.2787286063569682,0.4645476772616137,Arsenal,Fulham,0,3,1,0,0,0
2,E0,01/09/13,Arsenal,Tottenham,1,0,0.47619047619047616,0.27027027027027023,0.2777777777777778,1314,Arsenal1314,Tottenham1314,E01314,0.02423852423852413,0.4649214659685864,0.2638743455497382,0.27120418848167543,Arsenal,Tottenham,3,0,1,0,1,1
3,E0,14/09/13,Sunderland,Arsenal,1,3,0.16666666666666666,0.25641025641025644,0.5988023952095809,1314,Sunderland1314,Arsenal1314,E01314,0.021879318286504024,0.1630981894673578,0.2509202914882428,0.5859815190443993,Arsenal,Sunderland,0,3,1,0,2,2
4,E0,22/09/13,Arsenal,Stoke,3,1,0.7352941176470588,0.19047619047619047,0.1,1314,Arsenal1314,Stoke1314,E01314,0.025770308123249208,0.7168214090660842,0.18569087930092845,0.09748771163298746,Arsenal,Stoke,3,0,1,0,3,3
5,E0,28/09/13,Swansea,Arsenal,1,2,0.3125,0.29411764705882354,0.42016806722689076,1314,Swansea1314,Arsenal1314,E01314,0.026785714285714413,0.3043478260869565,0.2864450127877238,0.40920716112531963,Arsenal,Swansea,0,3,1,0,4,4
6,E0,06/10/13,West Brom,Arsenal,1,1,0.2040816326530612,0.25,0.5714285714285714,1314,West Brom1314,Arsenal1314,E01314,0.025510204081632626,0.1990049751243781,0.24378109452736318,0.5572139303482587,Arsenal,West Brom,1,1,0,1,5,5
7,E0,19/10/13,Arsenal,Norwich,4,1,0.7751937984496123,0.16666666666666666,0.08333333333333333,1314,Arsenal1314,Norwich1314,E01314,0.025193798449612226,0.7561436672967865,0.1625708884688091,0.08128544423440455,Arsenal,Norwich,3,0,1,0,0,6
8,E0,26/10/13,Crystal Palace,Arsenal,0,2,0.09090909090909091,0.2,0.7352941176470588,1314,Crystal Palace1314,Arsenal1314,E01314,0.02620320855614966,0.08858780614903597,0.19489317352787913,0.7165190203230849,Arsenal,Crystal Palace,0,3,1,0,1,7
9,E0,02/11/13,Arsenal,Liverpool,2,0,0.4347826086956522,0.2857142857142857,0.30303030303030304,1314,Arsenal1314,Liverpool1314,E01314,0.0235271974402409,0.42478852519308574,0.27914674512688487,0.29606472968002945,Arsenal,Liverpool,3,0,1,0,2,8
