,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,SP1,30/08/09,Ath Bilbao,Espanol,1,0,0.47619047619047616,0.30303030303030304,0.2857142857142857,0910,Ath Bilbao0910,Espanol0910,SP10910,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Ath Bilbao,Espanol,3,0,1,0,0,0
1,SP1,13/09/09,Xerez,Ath Bilbao,0,1,0.36363636363636365,0.3125,0.3802281368821293,0910,Xerez0910,Ath Bilbao0910,SP10910,0.056364500518492955,0.3442337975744933,0.2958259197905802,0.3599402826349265,Ath Bilbao,Xerez,0,3,1,0,1,1
2,SP1,20/09/09,Ath Bilbao,Villarreal,3,2,0.3802281368821293,0.3076923076923077,0.3802281368821293,0910,Ath Bilbao0910,Villarreal0910,SP10910,0.06814858145656633,0.3559693318729463,0.28806133625410735,0.3559693318729463,Ath Bilbao,Villarreal,3,0,1,0,2,2
3,SP1,23/09/09,Tenerife,Ath Bilbao,1,0,0.3846153846153846,0.3076923076923077,0.37037037037037035,0910,Tenerife0910,Ath Bilbao0910,SP10910,0.06267806267806275,0.3619302949061662,0.28954423592493295,0.34852546916890076,Tenerife,Ath Bilbao,3,0,0,0,3,3
4,SP1,26/09/09,Ath Bilbao,Sevilla,0,4,0.3448275862068966,0.30303030303030304,0.4166666666666667,0910,Ath Bilbao0910,Sevilla0910,SP10910,0.0645245559038663,0.3239263803680982,0.2846625766871166,0.3914110429447853,Sevilla,Ath Bilbao,0,3,0,0,0,0
5,SP1,04/10/09,Valladolid,Ath Bilbao,2,2,0.4166666666666667,0.30303030303030304,0.3472222222222222,0910,Valladolid0910,Ath Bilbao0910,SP10910,0.06691919191919204,0.3905325443786982,0.2840236686390532,0.32544378698224846,Valladolid,Ath Bilbao,1,1,0,1,0,0
6,SP1,18/10/09,Ath Bilbao,Sp Gijon,1,2,0.5464480874316939,0.2857142857142857,0.23094688221709006,0910,Ath Bilbao0910,Sp Gijon0910,SP10910,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Ath Bilbao,Sp Gijon,0,3,0,0,0,1
7,SP1,25/10/09,Getafe,Ath Bilbao,2,0,0.5,0.2857142857142857,0.26666666666666666,0910,Getafe0910,Ath Bilbao0910,SP10910,0.05238095238095242,0.4751131221719457,0.27149321266968324,0.25339366515837103,Getafe,Ath Bilbao,3,0,0,0,0,0
8,SP1,31/10/09,Ath Bilbao,Ath Madrid,1,0,0.3846153846153846,0.3076923076923077,0.37037037037037035,0910,Ath Bilbao0910,Ath Madrid0910,SP10910,0.06267806267806275,0.3619302949061662,0.28954423592493295,0.34852546916890076,Ath Bilbao,Ath Madrid,3,0,1,0,0,0
9,SP1,08/11/09,Santander,Ath Bilbao,0,2,0.4444444444444444,0.30303030303030304,0.3125,0910,Santander0910,Ath Bilbao0910,SP10910,0.0599747474747474,0.41929720071471116,0.2858844550327576,0.2948183442525313,Santander,Ath Bilbao,0,3,1,0,1,1
