,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,SP1,19/08/12,Levante,Ath Madrid,1,1,0.3125,0.29411764705882354,0.45454545454545453,1213,Levante1213,Ath Madrid1213,SP11213,0.06116310160427818,0.2944881889763779,0.27716535433070866,0.4283464566929133,Ath Madrid,Levante,1,1,0,1,0,0
1,SP1,27/08/12,Ath Madrid,Ath Bilbao,4,0,0.625,0.25,0.18181818181818182,1213,Ath Madrid1213,Ath Bilbao1213,SP11213,0.05681818181818188,0.5913978494623655,0.23655913978494622,0.17204301075268816,Ath Madrid,Ath Bilbao,3,0,1,0,0,1
2,SP1,16/09/12,Ath Madrid,Vallecano,4,3,0.7518796992481203,0.2,0.1111111111111111,1213,Ath Madrid1213,Vallecano1213,SP11213,0.06299081035923138,0.7073247406475951,0.1881483810122603,0.10452687834014461,Ath Madrid,Vallecano,3,0,1,0,1,2
3,SP1,23/09/12,Ath Madrid,Valladolid,2,1,0.7692307692307692,0.19047619047619047,0.1,1213,Ath Madrid1213,Valladolid1213,SP11213,0.05970695970695972,0.7258900795022467,0.1797442101624611,0.09436571033529209,Ath Madrid,Valladolid,3,0,1,0,2,3
4,SP1,26/09/12,Betis,Ath Madrid,2,4,0.3225806451612903,0.30303030303030304,0.4347826086956522,1213,Betis1213,Ath Madrid1213,SP11213,0.06039355688724557,0.30420841683366734,0.28577154308617236,0.41002004008016035,Ath Madrid,Betis,0,3,1,0,3,4
5,SP1,30/09/12,Espanol,Ath Madrid,0,1,0.2777777777777778,0.2857142857142857,0.5,1213,Espanol1213,Ath Madrid1213,SP11213,0.06349206349206349,0.2611940298507463,0.26865671641791045,0.4701492537313433,Ath Madrid,Espanol,0,3,1,0,4,5
6,SP1,07/10/12,Ath Madrid,Malaga,2,1,0.5780346820809249,0.26666666666666666,0.2222222222222222,1213,Ath Madrid1213,Malaga1213,SP11213,0.06692357096981372,0.5417770286539851,0.24993980255237178,0.20828316879364314,Ath Madrid,Malaga,3,0,1,0,5,6
7,SP1,21/10/12,Sociedad,Ath Madrid,0,1,0.29411764705882354,0.29411764705882354,0.47619047619047616,1213,Sociedad1213,Ath Madrid1213,SP11213,0.06442577030812324,0.27631578947368424,0.27631578947368424,0.4473684210526316,Ath Madrid,Sociedad,0,3,1,0,6,7
8,SP1,28/10/12,Ath Madrid,Osasuna,3,1,0.7692307692307692,0.2,0.09090909090909091,1213,Ath Madrid1213,Osasuna1213,SP11213,0.060139860139859946,0.7255936675461742,0.18865435356200533,0.0857519788918206,Ath Madrid,Osasuna,3,0,1,0,7,8
9,SP1,03/11/12,Valencia,Ath Madrid,2,0,0.4166666666666667,0.29411764705882354,0.35714285714285715,1213,Valencia1213,Ath Madrid1213,SP11213,0.06792717086834732,0.39016393442622954,0.2754098360655738,0.3344262295081967,Valencia,Ath Madrid,3,0,0,0,8,9
10,SP1,11/11/12,Ath Madrid,Getafe,2,0,0.7352941176470588,0.21052631578947367,0.11764705882352941,1213,Ath Madrid1213,Getafe1213,SP11213,0.06346749226006176,0.6914119359534208,0.19796215429403205,0.11062590975254732,Ath Madrid,Getafe,3,0,1,0,0,0
11,SP1,18/11/12,Granada,Ath Madrid,0,1,0.2222222222222222,0.26666666666666666,0.5780346820809249,1213,Granada1213,Ath Madrid1213,SP11213,0.06692357096981372,0.20828316879364314,0.24993980255237178,0.5417770286539851,Ath Madrid,Granada,0,3,1,0,1,1
12,SP1,25/11/12,Ath Madrid,Sevilla,4,0,0.6172839506172839,0.2631578947368421,0.18181818181818182,1213,Ath Madrid1213,Sevilla1213,SP11213,0.06226002717230794,0.5811043763554468,0.24773397097258518,0.17116165267196795,Ath Madrid,Sevilla,3,0,1,0,2,2
13,SP1,01/12/12,Real Madrid,Ath Madrid,2,0,0.6944444444444444,0.2222222222222222,0.15384615384615385,1213,Real Madrid1213,Ath Madrid1213,SP11213,0.07051282051282048,0.6487025948103793,0.20758483033932135,0.14371257485029942,Real Madrid,Ath Madrid,3,0,0,0,3,3
14,SP1,09/12/12,Ath Madrid,La Coruna,6,0,0.7751937984496123,0.18181818181818182,0.1,1213,Ath Madrid1213,La Coruna1213,SP11213,0.05701198026779419,0.7333822254816987,0.17201146743116208,0.09460630708713914,Ath Madrid,La Coruna,3,0,1,0,0,0
15,SP1,16/12/12,Barcelona,Ath Madrid,4,1,0.8,0.16666666666666666,0.1,1213,Barcelona1213,Ath Madrid1213,SP11213,0.06666666666666665,0.75,0.15625,0.09375,Barcelona,Ath Madrid,3,0,0,0,1,1
16,SP1,21/12/12,Ath Madrid,Celta,1,0,0.7751937984496123,0.18181818181818182,0.1,1213,Ath Madrid1213,Celta1213,SP11213,0.05701198026779419,0.7333822254816987,0.17201146743116208,0.09460630708713914,Ath Madrid,Celta,3,0,1,0,0,0
17,SP1,06/01/13,Mallorca,Ath Madrid,1,1,0.29411764705882354,0.29411764705882354,0.47619047619047616,1213,Mallorca1213,Ath Madrid1213,SP11213,0.06442577030812324,0.27631578947368424,0.27631578947368424,0.4473684210526316,Ath Madrid,Mallorca,1,1,0,1,1,1
18,SP1,13/01/13,Ath Madrid,Zaragoza,2,0,0.7751937984496123,0.18181818181818182,0.1,1213,Ath Madrid1213,Zaragoza1213,SP11213,0.05701198026779419,0.7333822254816987,0.17201146743116208,0.09460630708713914,Ath Madrid,Zaragoza,3,0,1,0,0,2
19,SP1,20/01/13,Ath Madrid,Levante,2,0,0.7692307692307692,0.18181818181818182,0.1111111111111111,1213,Ath Madrid1213,Levante1213,SP11213,0.0621600621600622,0.7242136064374541,0.1711777615215801,0.10460863204096561,Ath Madrid,Levante,3,0,1,0,1,3
20,SP1,27/01/13,Ath Bilbao,Ath Madrid,3,0,0.3333333333333333,0.3076923076923077,0.42016806722689076,1213,Ath Bilbao1213,Ath Madrid1213,SP11213,0.06119370825253179,0.3141116751269035,0.2899492385786802,0.39593908629441626,Ath Madrid,Ath Bilbao,3,0,0,0,2,4
21,SP1,03/02/13,Ath Madrid,Betis,1,0,0.6944444444444444,0.23094688221709006,0.14285714285714285,1213,Ath Madrid1213,Betis1213,SP11213,0.06824846951867736,0.6500776404176282,0.2161921021250311,0.13373025745734066,Ath Madrid,Betis,3,0,1,0,0,0
22,SP1,10/02/13,Vallecano,Ath Madrid,2,1,0.2857142857142857,0.30303030303030304,0.47619047619047616,1213,Vallecano1213,Ath Madrid1213,SP11213,0.06493506493506507,0.26829268292682923,0.2845528455284553,0.4471544715447154,Ath Madrid,Vallecano,3,0,0,0,1,1
23,SP1,17/02/13,Valladolid,Ath Madrid,0,3,0.26666666666666666,0.29411764705882354,0.5,1213,Valladolid1213,Ath Madrid1213,SP11213,0.0607843137254902,0.2513863216266174,0.27726432532347506,0.47134935304990755,Ath Madrid,Valladolid,0,3,1,0,0,0
24,SP1,24/02/13,Ath Madrid,Espanol,1,0,0.7352941176470588,0.21052631578947367,0.125,1213,Ath Madrid1213,Espanol1213,SP11213,0.07082043343653233,0.6866642573183954,0.19660281893747744,0.11673292374412723,Ath Madrid,Espanol,3,0,1,0,1,1
25,SP1,03/03/13,Malaga,Ath Madrid,0,0,0.35714285714285715,0.30303030303030304,0.4,1213,Malaga1213,Ath Madrid1213,SP11213,0.06017316017316032,0.3368721927317272,0.2858309514087382,0.3772968558595345,Ath Madrid,Malaga,1,1,0,1,2,2
26,SP1,10/03/13,Ath Madrid,Sociedad,0,1,0.6666666666666666,0.23094688221709006,0.16666666666666666,1213,Ath Madrid1213,Sociedad1213,SP11213,0.0642802155504234,0.6264014466546112,0.21699819168173598,0.1566003616636528,Ath Madrid,Sociedad,0,3,0,0,0,3
27,SP1,17/03/13,Osasuna,Ath Madrid,0,2,0.29411764705882354,0.30303030303030304,0.46511627906976744,1213,Osasuna1213,Ath Madrid1213,SP11213,0.06226422915889396,0.27687804878048783,0.28526829268292686,0.43785365853658537,Ath Madrid,Osasuna,0,3,1,0,0,0
28,SP1,31/03/13,Ath Madrid,Valencia,1,1,0.5780346820809249,0.2777777777777778,0.21052631578947367,1213,Ath Madrid1213,Valencia1213,SP11213,0.06633877564817636,0.5420741468672235,0.26049674280008245,0.19742911033269403,Ath Madrid,Valencia,1,1,0,1,1,1
29,SP1,07/04/13,Getafe,Ath Madrid,0,0,0.2777777777777778,0.2857142857142857,0.5,1213,Getafe1213,Ath Madrid1213,SP11213,0.06349206349206349,0.2611940298507463,0.26865671641791045,0.4701492537313433,Ath Madrid,Getafe,1,1,0,1,0,2
