,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,D1,10/08/13,Augsburg,Dortmund,0,4,0.14285714285714285,0.23094688221709006,0.6944444444444444,1314,Augsburg1314,Dortmund1314,D11314,0.06824846951867736,0.13373025745734066,0.2161921021250311,0.6500776404176282,Dortmund,Augsburg,0,3,0,0,0,0
1,D1,17/08/13,Werder Bremen,Augsburg,1,0,0.5235602094240838,0.2857142857142857,0.25,1314,Werder Bremen1314,Augsburg1314,D11314,0.059274495138369465,0.4942630185348632,0.26972639011473964,0.23601059135039718,Werder Bremen,Augsburg,3,0,0,0,0,0
2,D1,25/08/13,Augsburg,Stuttgart,2,1,0.4347826086956522,0.29411764705882354,0.3333333333333333,1314,Augsburg1314,Stuttgart1314,D11314,0.06223358908780896,0.4093097913322633,0.27688603531300165,0.31380417335473515,Augsburg,Stuttgart,3,0,1,0,0,0
3,D1,31/08/13,Nurnberg,Augsburg,0,1,0.4,0.30303030303030304,0.35714285714285715,1314,Nurnberg1314,Augsburg1314,D11314,0.06017316017316032,0.3772968558595345,0.2858309514087382,0.3368721927317272,Nurnberg,Augsburg,0,3,1,0,1,1
4,D1,14/09/13,Augsburg,Freiburg,2,1,0.5,0.29411764705882354,0.26666666666666666,1314,Augsburg1314,Freiburg1314,D11314,0.0607843137254902,0.47134935304990755,0.27726432532347506,0.2513863216266174,Augsburg,Freiburg,3,0,1,0,2,2
5,D1,21/09/13,Hannover,Augsburg,2,1,0.4,0.30303030303030304,0.36363636363636365,1314,Hannover1314,Augsburg1314,D11314,0.06666666666666687,0.37499999999999994,0.28409090909090906,0.34090909090909083,Hannover,Augsburg,3,0,0,0,3,3
6,D1,27/09/13,Augsburg,M'gladbach,2,2,0.4,0.3076923076923077,0.35714285714285715,1314,Augsburg1314,M'gladbach1314,D11314,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Augsburg,M'gladbach,1,1,0,1,0,0
7,D1,05/10/13,Schalke 04,Augsburg,4,1,0.5780346820809249,0.2631578947368421,0.2222222222222222,1314,Schalke 041314,Augsburg1314,D11314,0.06341479903998914,0.543564639689755,0.24746495438507263,0.20897040592517244,Schalke 04,Augsburg,3,0,0,0,0,1
8,D1,20/10/13,Augsburg,Wolfsburg,1,2,0.42016806722689076,0.29411764705882354,0.3472222222222222,1314,Augsburg1314,Wolfsburg1314,D11314,0.06150793650793651,0.3958218801539307,0.27707531610775155,0.32710280373831774,Augsburg,Wolfsburg,0,3,0,0,0,0
9,D1,26/10/13,Leverkusen,Augsburg,2,1,0.6666666666666666,0.23094688221709006,0.16666666666666666,1314,Leverkusen1314,Augsburg1314,D11314,0.0642802155504234,0.6264014466546112,0.21699819168173598,0.1566003616636528,Leverkusen,Augsburg,3,0,0,0,0,0
