,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,F1,05/08/07,Lyon,Auxerre,2,0,0.7142857142857143,0.23094688221709006,0.13333333333333333,0708,Lyon0708,Auxerre0708,F10708,0.07856592983613764,0.6622550319146767,0.21412402879458367,0.12362093929073965,Lyon,Auxerre,3,0,0,0,0,0
1,F1,11/08/07,Auxerre,Bordeaux,0,2,0.4347826086956522,0.3484320557491289,0.29411764705882354,0708,Auxerre0708,Bordeaux0708,F10708,0.07733231150360464,0.4035733487737293,0.32342115058521853,0.27300550064105217,Auxerre,Bordeaux,0,3,0,0,0,0
2,F1,15/08/07,Strasbourg,Auxerre,3,0,0.42194092827004215,0.3484320557491289,0.3333333333333333,0708,Strasbourg0708,Auxerre0708,F10708,0.10370631735250435,0.38229456662182143,0.31569272574693963,0.30201270763123894,Strasbourg,Auxerre,3,0,0,0,0,0
3,F1,18/08/07,Auxerre,Caen,1,0,0.5813953488372093,0.3225806451612903,0.2,0708,Auxerre0708,Caen0708,F10708,0.10397599399849966,0.5266376732807828,0.29219896711062787,0.18116335960858929,Auxerre,Caen,3,0,1,0,0,0
4,F1,25/08/07,Nancy,Auxerre,4,1,0.5263157894736842,0.3333333333333333,0.25,0708,Nancy0708,Auxerre0708,F10708,0.10964912280701755,0.4743083003952569,0.30039525691699603,0.22529644268774704,Nancy,Auxerre,3,0,0,0,1,1
5,F1,29/08/07,Auxerre,Rennes,0,2,0.47619047619047616,0.3448275862068966,0.2857142857142857,0708,Auxerre0708,Rennes0708,F10708,0.10673234811165844,0.43026706231454004,0.31157270029673595,0.258160237388724,Auxerre,Rennes,0,3,0,0,0,0
6,F1,01/09/07,Toulouse,Auxerre,2,0,0.5263157894736842,0.3333333333333333,0.25,0708,Toulouse0708,Auxerre0708,F10708,0.10964912280701755,0.4743083003952569,0.30039525691699603,0.22529644268774704,Toulouse,Auxerre,3,0,0,0,0,0
7,F1,15/09/07,Auxerre,Nice,2,0,0.45454545454545453,0.3448275862068966,0.26666666666666666,0708,Auxerre0708,Nice0708,F10708,0.06603970741901777,0.42638698294452065,0.32346598706136054,0.2501470299941188,Auxerre,Nice,3,0,1,0,0,0
8,F1,22/09/07,Auxerre,Marseille,2,0,0.37037037037037035,0.3484320557491289,0.3448275862068966,0708,Auxerre0708,Marseille0708,F10708,0.06363001232639576,0.3482135386160154,0.3275876495690737,0.32419881181491095,Auxerre,Marseille,3,0,1,0,1,1
9,F1,06/10/07,Lens,Auxerre,2,0,0.47619047619047616,0.3225806451612903,0.26666666666666666,0708,Lens0708,Auxerre0708,F10708,0.06543778801843314,0.4469434832756632,0.3027681660899654,0.2502883506343714,Lens,Auxerre,3,0,0,0,2,2
10,F1,20/10/07,Auxerre,Lorient,5,3,0.5128205128205129,0.3225806451612903,0.23094688221709006,0708,Auxerre0708,Lorient0708,F10708,0.0663480401988934,0.4809128853698296,0.3025097182165057,0.21657739641366458,Auxerre,Lorient,3,0,1,0,0,0
11,F1,27/10/07,St Etienne,Auxerre,0,0,0.5464480874316939,0.3076923076923077,0.21052631578947367,0708,St Etienne0708,Auxerre0708,F10708,0.06466671091347531,0.5132574183359654,0.28900340786302053,0.19773917380101405,St Etienne,Auxerre,1,1,0,1,1,1
12,F1,03/11/07,Auxerre,Lille,0,1,0.45454545454545453,0.3333333333333333,0.2777777777777778,0708,Auxerre0708,Lille0708,F10708,0.06565656565656575,0.42654028436018954,0.31279620853080564,0.2606635071090047,Auxerre,Lille,0,3,0,0,0,2
13,F1,10/11/07,Sochaux,Auxerre,1,1,0.47619047619047616,0.3225806451612903,0.26666666666666666,0708,Sochaux0708,Auxerre0708,F10708,0.06543778801843314,0.4469434832756632,0.3027681660899654,0.2502883506343714,Sochaux,Auxerre,1,1,0,1,0,0
