,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,SP1,31/08/09,Barcelona,Sp Gijon,3,0,0.8547008547008548,0.125,0.07692307692307693,0910,Barcelona0910,Sp Gijon0910,SP10910,0.056623931623931645,0.8088978766430739,0.11830131445904954,0.07280080889787664,Barcelona,Sp Gijon,3,0,1,0,0,0
1,SP1,12/09/09,Getafe,Barcelona,0,2,0.15384615384615385,0.23809523809523808,0.6666666666666666,0910,Getafe0910,Barcelona0910,SP10910,0.05860805860805862,0.1453287197231834,0.22491349480968856,0.629757785467128,Barcelona,Getafe,0,3,1,0,1,1
2,SP1,19/09/09,Barcelona,Ath Madrid,5,2,0.7518796992481203,0.2,0.11764705882352941,0910,Barcelona0910,Ath Madrid0910,SP10910,0.06952675807164965,0.7030022330659168,0.1869985939955339,0.10999917293854934,Barcelona,Ath Madrid,3,0,1,0,2,2
3,SP1,22/09/09,Santander,Barcelona,1,4,0.1,0.2,0.7692307692307692,0910,Santander0910,Barcelona0910,SP10910,0.0692307692307692,0.09352517985611511,0.18705035971223022,0.7194244604316546,Barcelona,Santander,0,3,1,0,3,3
4,SP1,26/09/09,Malaga,Barcelona,0,2,0.09090909090909091,0.2,0.7751937984496123,0910,Malaga0910,Barcelona0910,SP10910,0.06610288935870323,0.0852723426758329,0.18759915388683238,0.7271285034373347,Barcelona,Malaga,0,3,1,0,4,4
5,SP1,03/10/09,Barcelona,Almeria,1,0,0.9259259259259258,0.1,0.038461538461538464,0910,Barcelona0910,Almeria0910,SP10910,0.06438746438746445,0.8699143468950747,0.0939507494646681,0.03613490364025696,Barcelona,Almeria,3,0,1,0,5,5
6,SP1,17/10/09,Valencia,Barcelona,0,0,0.21052631578947367,0.26666666666666666,0.5882352941176471,0910,Valencia0910,Barcelona0910,SP10910,0.06542827657378747,0.19759783029833397,0.25029058504455637,0.5521115846571096,Barcelona,Valencia,1,1,0,1,6,6
7,SP1,25/10/09,Barcelona,Zaragoza,6,1,0.9090909090909091,0.1111111111111111,0.047619047619047616,0910,Barcelona0910,Zaragoza0910,SP10910,0.06782106782106778,0.8513513513513513,0.10405405405405405,0.0445945945945946,Barcelona,Zaragoza,3,0,1,0,0,7
8,SP1,31/10/09,Osasuna,Barcelona,1,1,0.13333333333333333,0.2222222222222222,0.7142857142857143,0910,Osasuna0910,Barcelona0910,SP10910,0.06984126984126982,0.12462908011869436,0.20771513353115725,0.6676557863501484,Barcelona,Osasuna,1,1,0,1,1,8
9,SP1,07/11/09,Barcelona,Mallorca,4,2,0.8547008547008548,0.14285714285714285,0.06666666666666667,0910,Barcelona0910,Mallorca0910,SP10910,0.06422466422466422,0.8031206975676917,0.13423588802202846,0.06264341441027994,Barcelona,Mallorca,3,0,1,0,0,9
