,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,F1,11/08/12,Sochaux,Bastia,2,3,0.45454545454545453,0.3125,0.29411764705882354,1213,Sochaux1213,Bastia1213,F11213,0.06116310160427818,0.4283464566929133,0.2944881889763779,0.27716535433070866,Sochaux,Bastia,0,3,1,0,0,0
1,F1,18/08/12,Bastia,Reims,2,1,0.5882352941176471,0.2857142857142857,0.19047619047619047,1213,Bastia1213,Reims1213,F11213,0.06442577030812324,0.5526315789473685,0.26842105263157895,0.17894736842105263,Bastia,Reims,3,0,1,0,1,1
2,F1,25/08/12,Rennes,Bastia,3,2,0.5464480874316939,0.29411764705882354,0.2222222222222222,1213,Rennes1213,Bastia1213,F11213,0.06278795671273985,0.5141647343482205,0.27674160701683637,0.209093658634943,Rennes,Bastia,3,0,0,0,2,2
3,F1,01/09/12,Bastia,St Etienne,0,3,0.4166666666666667,0.3225806451612903,0.3225806451612903,1213,Bastia1213,St Etienne1213,F11213,0.06182795698924726,0.3924050632911393,0.3037974683544304,0.3037974683544304,Bastia,St Etienne,0,3,0,0,0,0
4,F1,15/09/12,Evian Thonon Gaillard,Bastia,3,0,0.4347826086956522,0.3125,0.3125,1213,Evian Thonon Gaillard1213,Bastia1213,F11213,0.05978260869565233,0.41025641025641024,0.2948717948717948,0.2948717948717948,Evian Thonon Gaillard,Bastia,3,0,0,0,0,0
5,F1,22/09/12,Bastia,Paris SG,0,4,0.19047619047619047,0.2777777777777778,0.5988023952095809,1213,Bastia1213,Paris SG1213,F11213,0.06705636346354904,0.17850621297822117,0.26032156059323924,0.5611722264285397,Paris SG,Bastia,0,3,0,0,0,0
6,F1,29/09/12,Nice,Bastia,2,2,0.45454545454545453,0.3333333333333333,0.2777777777777778,1213,Nice1213,Bastia1213,F11213,0.06565656565656575,0.42654028436018954,0.31279620853080564,0.2606635071090047,Nice,Bastia,1,1,0,1,0,0
7,F1,06/10/12,Bastia,Troyes,3,2,0.5714285714285714,0.29411764705882354,0.2,1213,Bastia1213,Troyes1213,F11213,0.06554621848739495,0.5362776025236593,0.27602523659305994,0.18769716088328076,Bastia,Troyes,3,0,1,0,0,1
8,F1,21/10/12,Ajaccio,Bastia,0,0,0.4347826086956522,0.3125,0.3125,1213,Ajaccio1213,Bastia1213,F11213,0.05978260869565233,0.41025641025641024,0.2948717948717948,0.2948717948717948,Ajaccio,Bastia,1,1,0,1,1,2
9,F1,28/10/12,Bastia,Bordeaux,3,1,0.35714285714285715,0.3225806451612903,0.3846153846153846,1213,Bastia1213,Bordeaux1213,F11213,0.06433888691953205,0.33555370524562866,0.30308076602830974,0.3613655287260616,Bordeaux,Bastia,3,0,1,0,0,3
10,F1,04/11/12,Lyon,Bastia,5,2,0.6535947712418301,0.25,0.16666666666666666,1213,Lyon1213,Bastia1213,F11213,0.0702614379084967,0.6106870229007634,0.233587786259542,0.15572519083969466,Lyon,Bastia,3,0,0,0,1,4
11,F1,10/11/12,Bastia,Valenciennes,2,3,0.4347826086956522,0.29411764705882354,0.3333333333333333,1213,Bastia1213,Valenciennes1213,F11213,0.06223358908780896,0.4093097913322633,0.27688603531300165,0.31380417335473515,Bastia,Valenciennes,0,3,0,0,0,0
12,F1,17/11/12,Brest,Bastia,3,0,0.4,0.3225806451612903,0.3448275862068966,1213,Brest1213,Bastia1213,F11213,0.06740823136818697,0.3747394747811588,0.3022092538557732,0.32305127136306794,Brest,Bastia,3,0,0,0,0,0
13,F1,24/11/12,Bastia,Lorient,2,1,0.4166666666666667,0.30303030303030304,0.3448275862068966,1213,Bastia1213,Lorient1213,F11213,0.0645245559038663,0.3914110429447853,0.2846625766871166,0.3239263803680982,Bastia,Lorient,3,0,1,0,0,0
14,F1,01/12/12,Lille,Bastia,0,0,0.7142857142857143,0.2222222222222222,0.125,1213,Lille1213,Bastia1213,F11213,0.06150793650793651,0.6728971962616822,0.20934579439252335,0.11775700934579439,Lille,Bastia,1,1,0,1,1,1
15,F1,07/12/12,Toulouse,Bastia,0,0,0.6060606060606061,0.2777777777777778,0.18181818181818182,1213,Toulouse1213,Bastia1213,F11213,0.06565656565656575,0.5687203791469194,0.2606635071090047,0.17061611374407581,Toulouse,Bastia,1,1,0,1,0,2
16,F1,12/12/12,Bastia,Marseille,1,2,0.2857142857142857,0.3125,0.46511627906976744,1213,Bastia1213,Marseille1213,F11213,0.06333056478405319,0.2686975200156219,0.2938879125170865,0.4374145674672915,Marseille,Bastia,0,3,0,0,0,3
17,F1,15/12/12,Montpellier,Bastia,4,0,0.6172839506172839,0.26666666666666666,0.18181818181818182,1213,Montpellier1213,Bastia1213,F11213,0.06576879910213251,0.5791912384161751,0.2502106149957877,0.17059814658803707,Montpellier,Bastia,3,0,0,0,0,0
18,F1,22/12/12,Bastia,Nancy,4,2,0.4,0.3225806451612903,0.3448275862068966,1213,Bastia1213,Nancy1213,F11213,0.06740823136818697,0.3747394747811588,0.3022092538557732,0.32305127136306794,Bastia,Nancy,3,0,1,0,0,0
19,F1,13/01/13,Reims,Bastia,1,2,0.4444444444444444,0.3225806451612903,0.29411764705882354,1213,Reims1213,Bastia1213,F11213,0.06114273666455827,0.41883568448241604,0.3039936419630439,0.27717067355454006,Reims,Bastia,0,3,1,0,1,1
20,F1,20/01/13,Bastia,Rennes,0,2,0.3333333333333333,0.3125,0.4166666666666667,1213,Bastia1213,Rennes1213,F11213,0.0625,0.3137254901960784,0.29411764705882354,0.39215686274509803,Rennes,Bastia,0,3,0,0,2,2
21,F1,27/01/13,St Etienne,Bastia,3,0,0.6535947712418301,0.2631578947368421,0.15384615384615385,1213,St Etienne1213,Bastia1213,F11213,0.07059881982482619,0.6104945747546898,0.245804394572283,0.143701030673027,St Etienne,Bastia,3,0,0,0,0,0
22,F1,02/02/13,Bastia,Evian Thonon Gaillard,0,0,0.36363636363636365,0.3225806451612903,0.3802281368821293,1213,Bastia1213,Evian Thonon Gaillard1213,F11213,0.06644514567978321,0.3409799042261768,0.3024821731038665,0.35653792266995676,Evian Thonon Gaillard,Bastia,1,1,0,1,0,0
23,F1,08/02/13,Paris SG,Bastia,3,1,0.8547008547008548,0.14285714285714285,0.06666666666666667,1213,Paris SG1213,Bastia1213,F11213,0.06422466422466422,0.8031206975676917,0.13423588802202846,0.06264341441027994,Paris SG,Bastia,3,0,0,0,0,1
24,F1,16/02/13,Bastia,Nice,0,1,0.4,0.3225806451612903,0.3448275862068966,1213,Bastia1213,Nice1213,F11213,0.06740823136818697,0.3747394747811588,0.3022092538557732,0.32305127136306794,Bastia,Nice,0,3,0,0,0,0
25,F1,23/02/13,Troyes,Bastia,0,0,0.5,0.3076923076923077,0.25641025641025644,1213,Troyes1213,Bastia1213,F11213,0.0641025641025641,0.46987951807228917,0.28915662650602414,0.24096385542168677,Troyes,Bastia,1,1,0,1,0,0
