,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,D1,09/08/13,Bayern Munich,M'gladbach,3,1,0.8849557522123894,0.11764705882352941,0.05263157894736842,1314,Bayern Munich1314,M'gladbach1314,D11314,0.055234389983287224,0.8386342983253279,0.11148903024795534,0.04987667142671686,Bayern Munich,M'gladbach,3,0,1,0,0,0
1,D1,17/08/13,Ein Frankfurt,Bayern Munich,0,1,0.1,0.19047619047619047,0.7751937984496123,1314,Ein Frankfurt1314,Bayern Munich1314,D11314,0.06566998892580278,0.09383768055699887,0.1787384391561883,0.7274238802868128,Bayern Munich,Ein Frankfurt,0,3,1,0,1,1
2,D1,24/08/13,Bayern Munich,Nurnberg,2,0,0.9090909090909091,0.1111111111111111,0.038461538461538464,1314,Bayern Munich1314,Nurnberg1314,D11314,0.05866355866355866,0.8587155963302752,0.10495412844036697,0.0363302752293578,Bayern Munich,Nurnberg,3,0,1,0,2,2
3,D1,27/08/13,Freiburg,Bayern Munich,1,1,0.07692307692307693,0.18181818181818182,0.8,1314,Freiburg1314,Bayern Munich1314,D11314,0.058741258741258795,0.0726552179656539,0.17173051519154556,0.7556142668428005,Bayern Munich,Freiburg,1,1,0,1,3,3
4,D1,14/09/13,Bayern Munich,Hannover,2,0,0.8849557522123894,0.11764705882352941,0.047619047619047616,1314,Bayern Munich1314,Hannover1314,D11314,0.050221858654966534,0.8426369580097717,0.1120211485354167,0.04534189345481152,Bayern Munich,Hannover,3,0,1,0,0,4
5,D1,21/09/13,Schalke 04,Bayern Munich,0,4,0.18181818181818182,0.23094688221709006,0.6535947712418301,1314,Schalke 041314,Bayern Munich1314,D11314,0.06635983527710199,0.1705035915676015,0.21657500083644532,0.6129214075959531,Bayern Munich,Schalke 04,0,3,1,0,1,5
6,D1,28/09/13,Bayern Munich,Wolfsburg,1,0,0.8771929824561404,0.125,0.06666666666666667,1314,Bayern Munich1314,Wolfsburg1314,D11314,0.06885964912280707,0.8206811653672549,0.11694706606483381,0.062371768567911365,Bayern Munich,Wolfsburg,3,0,1,0,2,6
7,D1,05/10/13,Leverkusen,Bayern Munich,1,1,0.2,0.23809523809523808,0.625,1314,Leverkusen1314,Bayern Munich1314,D11314,0.0630952380952381,0.18812989921612544,0.22396416573348263,0.5879059350503919,Bayern Munich,Leverkusen,1,1,0,1,3,7
8,D1,19/10/13,Bayern Munich,Mainz,4,1,0.9090909090909091,0.1111111111111111,0.043478260869565216,1314,Bayern Munich1314,Mainz1314,D11314,0.0636802810715853,0.8546655656482247,0.10445912469033856,0.040875309661436834,Bayern Munich,Mainz,3,0,1,0,0,8
9,D1,26/10/13,Bayern Munich,Hertha,3,2,0.9090909090909091,0.1111111111111111,0.047619047619047616,1314,Bayern Munich1314,Hertha1314,D11314,0.06782106782106778,0.8513513513513513,0.10405405405405405,0.0445945945945946,Bayern Munich,Hertha,3,0,1,0,1,9
10,D1,02/11/13,Hoffenheim,Bayern Munich,1,2,0.08333333333333333,0.16666666666666666,0.8,1314,Hoffenheim1314,Bayern Munich1314,D11314,0.050000000000000044,0.07936507936507936,0.15873015873015872,0.7619047619047619,Bayern Munich,Hoffenheim,0,3,1,0,2,10
11,D1,09/11/13,Bayern Munich,Augsburg,3,0,0.8849557522123894,0.125,0.05263157894736842,1314,Bayern Munich1314,Augsburg1314,D11314,0.06258733115975779,0.8328310777491644,0.11763738973206948,0.049531532518766096,Bayern Munich,Augsburg,3,0,1,0,3,11
