,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,SP1,26/08/07,Recreativo,Betis,1,1,0.45454545454545453,0.3125,0.3076923076923077,0708,Recreativo0708,Betis0708,SP10708,0.0747377622377623,0.422936152907686,0.29076860512403413,0.28629524196827977,Recreativo,Betis,1,1,0,1,0,0
1,SP1,02/09/07,Betis,Espanol,2,2,0.48780487804878053,0.3076923076923077,0.2777777777777778,0708,Betis0708,Espanol0708,SP10708,0.07327496351886609,0.4545013110614742,0.28668544236185295,0.2588132465766728,Betis,Espanol,1,1,0,1,0,1
2,SP1,16/09/07,La Coruna,Betis,1,0,0.4347826086956522,0.3225806451612903,0.3076923076923077,0708,La Coruna0708,Betis0708,SP10708,0.0650555615492503,0.40822528363047,0.3028768233387358,0.28889789303079416,La Coruna,Betis,3,0,0,0,0,2
3,SP1,23/09/07,Betis,Valencia,1,2,0.3333333333333333,0.3076923076923077,0.42194092827004215,0708,Betis0708,Valencia0708,SP10708,0.06296656929568312,0.313587786259542,0.2894656488549619,0.3969465648854962,Valencia,Betis,0,3,0,0,0,0
4,SP1,27/09/07,Real Madrid,Betis,2,0,0.8,0.18181818181818182,0.08333333333333333,0708,Real Madrid0708,Betis0708,SP10708,0.06515151515151518,0.7510668563300142,0.17069701280227595,0.07823613086770981,Real Madrid,Betis,3,0,0,0,0,0
5,SP1,30/09/07,Betis,Mallorca,3,0,0.45454545454545453,0.30303030303030304,0.3125,0708,Betis0708,Mallorca0708,SP10708,0.07007575757575757,0.4247787610619469,0.2831858407079646,0.2920353982300885,Betis,Mallorca,3,0,1,0,0,0
6,SP1,07/10/07,Murcia,Betis,0,0,0.4166666666666667,0.3076923076923077,0.3448275862068966,0708,Murcia0708,Betis0708,SP10708,0.06918656056587102,0.3897043622079801,0.28778168286127764,0.3225139549307422,Murcia,Betis,1,1,0,1,1,1
7,SP1,21/10/07,Betis,Santander,1,1,0.5,0.30303030303030304,0.26666666666666666,0708,Betis0708,Santander0708,SP10708,0.06969696969696959,0.4674220963172805,0.28328611898017003,0.2492917847025496,Betis,Santander,1,1,0,1,0,2
8,SP1,27/10/07,Ath Bilbao,Betis,0,0,0.47619047619047616,0.3076923076923077,0.2777777777777778,0708,Ath Bilbao0708,Betis0708,SP10708,0.061660561660561664,0.4485336400230017,0.2898217366302473,0.26164462334675104,Ath Bilbao,Betis,1,1,0,1,0,3
9,SP1,31/10/07,Betis,Osasuna,0,3,0.48780487804878053,0.30303030303030304,0.2777777777777778,0708,Betis0708,Osasuna0708,SP10708,0.06861295885686136,0.4564841498559078,0.28357348703170027,0.25994236311239194,Betis,Osasuna,0,3,0,0,0,4
10,SP1,04/11/07,Barcelona,Betis,3,0,0.8333333333333334,0.16666666666666666,0.06666666666666667,0708,Barcelona0708,Betis0708,SP10708,0.06666666666666665,0.78125,0.15625,0.0625,Barcelona,Betis,3,0,0,0,0,0
11,SP1,11/11/07,Betis,Zaragoza,2,1,0.38167938931297707,0.30303030303030304,0.38167938931297707,0708,Betis0708,Zaragoza0708,SP10708,0.06638908165625712,0.3579175704989154,0.28416485900216926,0.3579175704989154,Betis,Zaragoza,3,0,1,0,0,0
12,SP1,25/11/07,Levante,Betis,4,3,0.37735849056603776,0.3125,0.37735849056603776,0708,Levante0708,Betis0708,SP10708,0.06721698113207553,0.35359116022099446,0.292817679558011,0.35359116022099446,Levante,Betis,3,0,0,0,1,1
13,SP1,02/12/07,Betis,Ath Madrid,0,2,0.3076923076923077,0.30303030303030304,0.45454545454545453,0708,Betis0708,Ath Madrid0708,SP10708,0.06526806526806528,0.2888402625820569,0.2844638949671772,0.42669584245076586,Ath Madrid,Betis,0,3,0,0,0,0
14,SP1,09/12/07,Villarreal,Betis,0,1,0.6535947712418301,0.25,0.16666666666666666,0708,Villarreal0708,Betis0708,SP10708,0.0702614379084967,0.6106870229007634,0.233587786259542,0.15572519083969466,Villarreal,Betis,0,3,1,0,0,0
15,SP1,16/12/07,Betis,Almeria,3,1,0.48780487804878053,0.30303030303030304,0.2777777777777778,0708,Betis0708,Almeria0708,SP10708,0.06861295885686136,0.4564841498559078,0.28357348703170027,0.25994236311239194,Betis,Almeria,3,0,1,0,1,1
