,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,D1,16/08/08,Bielefeld,Werder Bremen,2,2,0.2222222222222222,0.2857142857142857,0.5555555555555556,0809,Bielefeld0809,Werder Bremen0809,D10809,0.06349206349206349,0.208955223880597,0.26865671641791045,0.5223880597014926,Werder Bremen,Bielefeld,1,1,0,1,0,0
1,D1,23/08/08,Hertha,Bielefeld,1,1,0.5988023952095809,0.2777777777777778,0.18181818181818182,0809,Hertha0809,Bielefeld0809,D10809,0.05839835480554045,0.5657627796668286,0.26245106723433437,0.17178615309883705,Hertha,Bielefeld,1,1,0,1,0,1
2,D1,30/08/08,Bielefeld,Hamburg,2,4,0.2631578947368421,0.30303030303030304,0.5,0809,Bielefeld0809,Hamburg0809,D10809,0.06618819776714524,0.24682124158563945,0.28421839940164545,0.468960359012715,Hamburg,Bielefeld,0,3,0,0,0,2
3,D1,14/09/08,Bochum,Bielefeld,2,0,0.5235602094240838,0.29411764705882354,0.25,0809,Bochum0809,Bielefeld0809,D10809,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Bochum,Bielefeld,3,0,0,0,0,0
4,D1,20/09/08,Bielefeld,FC Koln,2,0,0.4347826086956522,0.30303030303030304,0.3225806451612903,0809,Bielefeld0809,FC Koln0809,D10809,0.06039355688724557,0.41002004008016035,0.28577154308617236,0.30420841683366734,Bielefeld,FC Koln,3,0,1,0,0,0
5,D1,28/09/08,Ein Frankfurt,Bielefeld,1,1,0.5128205128205129,0.30303030303030304,0.25,0809,Ein Frankfurt0809,Bielefeld0809,D10809,0.06585081585081598,0.4811372334609076,0.2843083652268999,0.23455440131219243,Ein Frankfurt,Bielefeld,1,1,0,1,1,1
6,D1,03/10/08,Bielefeld,Karlsruhe,1,2,0.4444444444444444,0.3076923076923077,0.3125,0809,Bielefeld0809,Karlsruhe0809,D10809,0.06463675213675213,0.41746111389864526,0.28901154039136984,0.29352734570998495,Bielefeld,Karlsruhe,0,3,0,0,0,2
7,D1,18/10/08,Wolfsburg,Bielefeld,4,1,0.6666666666666666,0.25,0.14814814814814814,0809,Wolfsburg0809,Bielefeld0809,D10809,0.06481481481481488,0.6260869565217391,0.23478260869565215,0.13913043478260867,Wolfsburg,Bielefeld,3,0,0,0,0,0
8,D1,25/10/08,Schalke 04,Bielefeld,0,0,0.7692307692307692,0.19047619047619047,0.1,0809,Schalke 040809,Bielefeld0809,D10809,0.05970695970695972,0.7258900795022467,0.1797442101624611,0.09436571033529209,Schalke 04,Bielefeld,1,1,0,1,0,0
9,D1,28/10/08,Bielefeld,Cottbus,1,1,0.5235602094240838,0.29411764705882354,0.23809523809523808,0809,Bielefeld0809,Cottbus0809,D10809,0.05577309457814539,0.4959022086400889,0.2785803583831088,0.22551743297680232,Bielefeld,Cottbus,1,1,0,1,0,1
10,D1,01/11/08,Bayern Munich,Bielefeld,3,1,0.8547008547008548,0.14285714285714285,0.06666666666666667,0809,Bayern Munich0809,Bielefeld0809,D10809,0.06422466422466422,0.8031206975676917,0.13423588802202846,0.06264341441027994,Bayern Munich,Bielefeld,3,0,0,0,0,2
11,D1,08/11/08,Bielefeld,M'gladbach,0,2,0.47619047619047616,0.30303030303030304,0.2857142857142857,0809,Bielefeld0809,M'gladbach0809,D10809,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Bielefeld,M'gladbach,0,3,0,0,0,0
12,D1,15/11/08,Stuttgart,Bielefeld,0,0,0.7352941176470588,0.2222222222222222,0.1111111111111111,0809,Stuttgart0809,Bielefeld0809,D10809,0.06862745098039214,0.6880733944954128,0.20795107033639143,0.10397553516819572,Stuttgart,Bielefeld,1,1,0,1,0,0
13,D1,22/11/08,Bielefeld,Leverkusen,2,1,0.2,0.2777777777777778,0.5882352941176471,0809,Bielefeld0809,Leverkusen0809,D10809,0.06601307189542482,0.187614960147149,0.26057633353770693,0.5518087063151441,Leverkusen,Bielefeld,3,0,1,0,0,1
14,D1,29/11/08,Hoffenheim,Bielefeld,3,0,0.7142857142857143,0.23094688221709006,0.11764705882352941,0809,Hoffenheim0809,Bielefeld0809,D10809,0.06287965532633377,0.6720287764529735,0.21728413095477203,0.11068709259225445,Hoffenheim,Bielefeld,3,0,0,0,1,2
