,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,E0,16/08/09,Man United,Birmingham,1,0,0.8333333333333334,0.16666666666666666,0.058823529411764705,0910,Man United0910,Birmingham0910,E00910,0.05882352941176472,0.7870370370370371,0.15740740740740738,0.05555555555555555,Man United,Birmingham,3,0,0,0,0,0
1,E0,19/08/09,Birmingham,Portsmouth,1,0,0.5,0.30303030303030304,0.25,0910,Birmingham0910,Portsmouth0910,E00910,0.05303030303030298,0.47482014388489213,0.2877697841726619,0.23741007194244607,Birmingham,Portsmouth,3,0,1,0,0,0
2,E0,22/08/09,Birmingham,Stoke,0,0,0.4347826086956522,0.3125,0.3076923076923077,0910,Birmingham0910,Stoke0910,E00910,0.054974916387959816,0.41212601545472566,0.29621557360808404,0.2916584109371904,Birmingham,Stoke,1,1,0,1,1,1
3,E0,29/08/09,Tottenham,Birmingham,2,1,0.7352941176470588,0.21052631578947367,0.1111111111111111,0910,Tottenham0910,Birmingham0910,E00910,0.05693154454764349,0.6956875508543532,0.19918633034987795,0.10512611879576893,Tottenham,Birmingham,3,0,0,0,0,2
4,E0,13/09/09,Birmingham,Aston Villa,0,1,0.29411764705882354,0.3076923076923077,0.4444444444444444,0910,Birmingham0910,Aston Villa0910,E00910,0.046254399195575724,0.2811148486304661,0.2940893801057184,0.4247957712638154,Aston Villa,Birmingham,0,3,0,0,0,0
5,E0,19/09/09,Hull,Birmingham,0,1,0.4166666666666667,0.3076923076923077,0.3333333333333333,0910,Hull0910,Birmingham0910,E00910,0.05769230769230771,0.393939393939394,0.2909090909090909,0.3151515151515151,Hull,Birmingham,0,3,1,0,0,0
6,E0,26/09/09,Birmingham,Bolton,1,2,0.45454545454545453,0.3076923076923077,0.29411764705882354,0910,Birmingham0910,Bolton0910,E00910,0.05635540929658589,0.43029595015576316,0.29127725856697817,0.27842679127725856,Birmingham,Bolton,0,3,0,0,1,1
7,E0,03/10/09,Burnley,Birmingham,2,1,0.4347826086956522,0.3076923076923077,0.3125,0910,Burnley0910,Birmingham0910,E00910,0.054974916387959816,0.41212601545472566,0.2916584109371904,0.29621557360808404,Burnley,Birmingham,3,0,0,0,0,0
8,E0,17/10/09,Arsenal,Birmingham,3,1,0.8547008547008548,0.14285714285714285,0.05263157894736842,0910,Arsenal0910,Birmingham0910,E00910,0.05018957650536593,0.8138538734549016,0.13602986170603354,0.050116264839064985,Arsenal,Birmingham,3,0,0,0,0,0
9,E0,24/10/09,Birmingham,Sunderland,2,1,0.3448275862068966,0.3076923076923077,0.4,0910,Birmingham0910,Sunderland0910,E00910,0.052519893899204195,0.3276209677419355,0.2923387096774194,0.3800403225806452,Sunderland,Birmingham,3,0,1,0,0,0
