,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,E0,19/08/06,Portsmouth,Blackburn,3,0,0.4347826086956522,0.3225806451612903,0.3225806451612903,0607,Portsmouth0607,Blackburn0607,E00607,0.07994389901823284,0.4025974025974026,0.2987012987012987,0.2987012987012987,Portsmouth,Blackburn,3,0,0,0,0,0
1,E0,23/08/06,Blackburn,Everton,1,1,0.4347826086956522,0.3225806451612903,0.3225806451612903,0607,Blackburn0607,Everton0607,E00607,0.07994389901823284,0.4025974025974026,0.2987012987012987,0.2987012987012987,Blackburn,Everton,1,1,0,1,0,0
2,E0,27/08/06,Blackburn,Chelsea,0,2,0.15384615384615385,0.2777777777777778,0.6535947712418301,0607,Blackburn0607,Chelsea0607,E00607,0.08521870286576183,0.14176511466296038,0.2559647903636785,0.602270094973361,Chelsea,Blackburn,0,3,0,0,0,1
3,E0,09/09/06,Sheffield United,Blackburn,0,0,0.38167938931297707,0.3125,0.38167938931297707,0607,Sheffield United0607,Blackburn0607,E00607,0.07585877862595414,0.3547671840354767,0.29046563192904656,0.3547671840354767,Sheffield United,Blackburn,1,1,0,1,0,0
4,E0,17/09/06,Blackburn,Man City,4,2,0.5,0.3125,0.26666666666666666,0607,Blackburn0607,Man City0607,E00607,0.07916666666666661,0.46332046332046334,0.2895752895752896,0.2471042471042471,Blackburn,Man City,3,0,1,0,0,1
5,E0,23/09/06,Middlesbrough,Blackburn,0,1,0.47619047619047616,0.3225806451612903,0.2857142857142857,0607,Middlesbrough0607,Blackburn0607,E00607,0.08448540706605234,0.4390934844192634,0.29745042492917845,0.263456090651558,Middlesbrough,Blackburn,0,3,1,0,1,2
6,E0,01/10/06,Blackburn,Wigan,2,1,0.5263157894736842,0.3076923076923077,0.25,0607,Blackburn0607,Wigan0607,E00607,0.084008097165992,0.4855275443510737,0.2838468720821662,0.23062558356676002,Blackburn,Wigan,3,0,1,0,2,3
7,E0,14/10/06,Liverpool,Blackburn,1,1,0.6944444444444444,0.25,0.13333333333333333,0607,Liverpool0607,Blackburn0607,E00607,0.07777777777777772,0.6443298969072165,0.23195876288659795,0.12371134020618557,Liverpool,Blackburn,1,1,0,1,3,4
8,E0,22/10/06,Blackburn,Bolton,0,1,0.42194092827004215,0.3225806451612903,0.36363636363636365,0607,Blackburn0607,Bolton0607,E00607,0.10815793706769616,0.3807588378480984,0.29109627280644945,0.3281448893454521,Blackburn,Bolton,0,3,0,0,0,5
9,E0,29/10/06,West Ham,Blackburn,2,1,0.4,0.3125,0.36363636363636365,0607,West Ham0607,Blackburn0607,E00607,0.07613636363636367,0.3717001055966209,0.29039070749736007,0.337909186906019,West Ham,Blackburn,3,0,0,0,0,0
10,E0,05/11/06,Aston Villa,Blackburn,2,0,0.5,0.3125,0.26666666666666666,0607,Aston Villa0607,Blackburn0607,E00607,0.07916666666666661,0.46332046332046334,0.2895752895752896,0.2471042471042471,Aston Villa,Blackburn,3,0,0,0,0,0
11,E0,11/11/06,Blackburn,Man United,0,1,0.18181818181818182,0.2777777777777778,0.6211180124223602,0607,Blackburn0607,Man United0607,E00607,0.08071397201831987,0.16823894807117354,0.2570317262198485,0.574729325708978,Man United,Blackburn,0,3,0,0,0,0
12,E0,19/11/06,Blackburn,Tottenham,1,1,0.4166666666666667,0.3125,0.3484320557491289,0607,Blackburn0607,Tottenham0607,E00607,0.07759872241579568,0.3866621758167733,0.28999663186257996,0.3233411923206466,Blackburn,Tottenham,1,1,0,1,0,0
13,E0,02/12/06,Blackburn,Fulham,2,0,0.5263157894736842,0.3076923076923077,0.25,0607,Blackburn0607,Fulham0607,E00607,0.084008097165992,0.4855275443510737,0.2838468720821662,0.23062558356676002,Blackburn,Fulham,3,0,1,0,0,1
14,E0,05/12/06,Charlton,Blackburn,1,0,0.4,0.3225806451612903,0.35714285714285715,0607,Charlton0607,Blackburn0607,E00607,0.0797235023041476,0.37046521553563805,0.29876227059325644,0.3307725138711054,Charlton,Blackburn,3,0,0,0,1,2
15,E0,09/12/06,Blackburn,Newcastle,1,3,0.46511627906976744,0.3076923076923077,0.29411764705882354,0607,Blackburn0607,Newcastle0607,E00607,0.06692623382089868,0.4359404280501035,0.2883913600946839,0.27566821185521256,Blackburn,Newcastle,0,3,0,0,0,0
16,E0,16/12/06,Reading,Blackburn,1,2,0.47619047619047616,0.3076923076923077,0.29411764705882354,0607,Reading0607,Blackburn0607,E00607,0.07800043094160736,0.44173495902458526,0.28542874275434743,0.27283629822106736,Reading,Blackburn,0,3,1,0,0,0
17,E0,23/12/06,Arsenal,Blackburn,6,2,0.7518796992481203,0.2222222222222222,0.10526315789473684,0607,Arsenal0607,Blackburn0607,E00607,0.0793650793650793,0.6965944272445821,0.20588235294117646,0.09752321981424149,Arsenal,Blackburn,3,0,0,0,1,1
18,E0,26/12/06,Blackburn,Liverpool,1,0,0.23809523809523808,0.29411764705882354,0.5464480874316939,0607,Blackburn0607,Liverpool0607,E00607,0.07866097258575566,0.2207322264793529,0.272669220945083,0.506598552575564,Liverpool,Blackburn,3,0,1,0,0,0
19,E0,30/12/06,Blackburn,Middlesbrough,2,1,0.5,0.3125,0.26666666666666666,0607,Blackburn0607,Middlesbrough0607,E00607,0.07916666666666661,0.46332046332046334,0.2895752895752896,0.2471042471042471,Blackburn,Middlesbrough,3,0,1,0,1,1
20,E0,01/01/07,Wigan,Blackburn,0,3,0.42194092827004215,0.3125,0.3448275862068966,0607,Wigan0607,Blackburn0607,E00607,0.07926851447693872,0.39095083624720894,0.28954796309558917,0.3195012006572019,Wigan,Blackburn,0,3,1,0,2,2
21,E0,13/01/07,Blackburn,Arsenal,0,2,0.23809523809523808,0.29411764705882354,0.5464480874316939,0607,Blackburn0607,Arsenal0607,E00607,0.07866097258575566,0.2207322264793529,0.272669220945083,0.506598552575564,Arsenal,Blackburn,0,3,0,0,3,3
22,E0,20/01/07,Man City,Blackburn,0,3,0.4444444444444444,0.3125,0.3225806451612903,0607,Man City0607,Blackburn0607,E00607,0.07952508960573468,0.41170367296119526,0.28947914505084044,0.2988171819879643,Man City,Blackburn,0,3,1,0,0,0
23,E0,23/01/07,Watford,Blackburn,2,1,0.29411764705882354,0.3076923076923077,0.47619047619047616,0607,Watford0607,Blackburn0607,E00607,0.07800043094160758,0.2728362982210673,0.2854287427543474,0.44173495902458515,Blackburn,Watford,3,0,0,0,1,1
24,E0,31/01/07,Chelsea,Blackburn,3,0,0.78125,0.2,0.1,0607,Chelsea0607,Blackburn0607,E00607,0.08125000000000004,0.722543352601156,0.18497109826589594,0.09248554913294797,Chelsea,Blackburn,3,0,0,0,0,0
25,E0,03/02/07,Blackburn,Sheffield United,2,1,0.5813953488372093,0.2857142857142857,0.21052631578947367,0607,Blackburn0607,Sheffield United0607,E00607,0.0776359503409687,0.5395099789063768,0.26513061820541944,0.19535940288820378,Blackburn,Sheffield United,3,0,1,0,0,0
26,E0,10/02/07,Everton,Blackburn,1,0,0.47619047619047616,0.3125,0.2857142857142857,0607,Everton0607,Blackburn0607,E00607,0.07440476190476186,0.44321329639889195,0.29085872576177285,0.2659279778393352,Everton,Blackburn,3,0,0,0,1,1
27,E0,25/02/07,Blackburn,Portsmouth,3,0,0.4347826086956522,0.3225806451612903,0.3225806451612903,0607,Blackburn0607,Portsmouth0607,E00607,0.07994389901823284,0.4025974025974026,0.2987012987012987,0.2987012987012987,Blackburn,Portsmouth,3,0,1,0,0,0
28,E0,04/03/07,Bolton,Blackburn,1,2,0.5,0.3125,0.26666666666666666,0607,Bolton0607,Blackburn0607,E00607,0.07916666666666661,0.46332046332046334,0.2895752895752896,0.2471042471042471,Bolton,Blackburn,0,3,1,0,1,1
29,E0,17/03/07,Blackburn,West Ham,1,2,0.5813953488372093,0.2857142857142857,0.21052631578947367,0607,Blackburn0607,West Ham0607,E00607,0.0776359503409687,0.5395099789063768,0.26513061820541944,0.19535940288820378,Blackburn,West Ham,0,3,0,0,2,2
30,E0,31/03/07,Man United,Blackburn,4,1,0.7518796992481203,0.2222222222222222,0.10526315789473684,0607,Man United0607,Blackburn0607,E00607,0.0793650793650793,0.6965944272445821,0.20588235294117646,0.09752321981424149,Man United,Blackburn,3,0,0,0,0,0
31,E0,07/04/07,Blackburn,Aston Villa,1,2,0.5,0.3125,0.26666666666666666,0607,Blackburn0607,Aston Villa0607,E00607,0.07916666666666661,0.46332046332046334,0.2895752895752896,0.2471042471042471,Blackburn,Aston Villa,0,3,0,0,0,0
32,E0,18/04/07,Blackburn,Watford,3,1,0.6211180124223602,0.2777777777777778,0.18181818181818182,0607,Blackburn0607,Watford0607,E00607,0.08071397201831987,0.574729325708978,0.2570317262198485,0.16823894807117354,Blackburn,Watford,3,0,1,0,0,0
33,E0,21/04/07,Fulham,Blackburn,1,1,0.4444444444444444,0.3125,0.3225806451612903,0607,Fulham0607,Blackburn0607,E00607,0.07952508960573468,0.41170367296119526,0.28947914505084044,0.2988171819879643,Fulham,Blackburn,1,1,0,1,1,1
34,E0,28/04/07,Blackburn,Charlton,4,1,0.47619047619047616,0.3076923076923077,0.29411764705882354,0607,Blackburn0607,Charlton0607,E00607,0.07800043094160736,0.44173495902458526,0.28542874275434743,0.27283629822106736,Blackburn,Charlton,3,0,1,0,0,2
35,E0,05/05/07,Newcastle,Blackburn,0,2,0.4444444444444444,0.30303030303030304,0.3333333333333333,0607,Newcastle0607,Blackburn0607,E00607,0.08080808080808066,0.4112149532710281,0.28037383177570097,0.30841121495327106,Newcastle,Blackburn,0,3,1,0,1,3
36,E0,10/05/07,Tottenham,Blackburn,1,1,0.5555555555555556,0.29411764705882354,0.23094688221709006,0607,Tottenham0607,Blackburn0607,E00607,0.08062008483146932,0.5141081156586115,0.2721748847604414,0.21371699958094703,Tottenham,Blackburn,1,1,0,1,2,4
37,E0,13/05/07,Blackburn,Reading,3,3,0.5,0.29411764705882354,0.2857142857142857,0607,Blackburn0607,Reading0607,E00607,0.0798319327731094,0.4630350194552528,0.2723735408560311,0.2645914396887159,Blackburn,Reading,1,1,0,1,0,5
