,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,E0,11/08/07,Bolton,Newcastle,1,3,0.4,0.3125,0.36363636363636365,0708,Bolton0708,Newcastle0708,E00708,0.07613636363636367,0.3717001055966209,0.29039070749736007,0.337909186906019,Bolton,Newcastle,0,3,0,0,0,0
1,E0,15/08/07,Fulham,Bolton,2,1,0.45454545454545453,0.3076923076923077,0.3125,0708,Fulham0708,Bolton0708,E00708,0.0747377622377623,0.422936152907686,0.28629524196827977,0.29076860512403413,Fulham,Bolton,3,0,0,0,0,0
2,E0,18/08/07,Portsmouth,Bolton,3,1,0.5464480874316939,0.30303030303030304,0.23094688221709006,0708,Portsmouth0708,Bolton0708,E00708,0.08042527267908706,0.5057712932581525,0.2804731717158846,0.21375553502596287,Portsmouth,Bolton,3,0,0,0,0,0
3,E0,25/08/07,Bolton,Reading,3,0,0.4444444444444444,0.3125,0.3333333333333333,0708,Bolton0708,Reading0708,E00708,0.09027777777777768,0.40764331210191085,0.2866242038216561,0.3057324840764331,Bolton,Reading,3,0,1,0,0,0
4,E0,01/09/07,Bolton,Everton,1,2,0.4166666666666667,0.3125,0.3484320557491289,0708,Bolton0708,Everton0708,E00708,0.07759872241579568,0.3866621758167733,0.28999663186257996,0.3233411923206466,Bolton,Everton,0,3,0,0,1,1
5,E0,15/09/07,Birmingham,Bolton,1,0,0.42194092827004215,0.3076923076923077,0.3333333333333333,0708,Birmingham0708,Bolton0708,E00708,0.06296656929568312,0.3969465648854962,0.2894656488549619,0.313587786259542,Birmingham,Bolton,3,0,0,0,0,0
6,E0,23/09/07,Bolton,Tottenham,1,1,0.35714285714285715,0.3076923076923077,0.4,0708,Bolton0708,Tottenham0708,E00708,0.06483516483516505,0.33539731682146534,0.2889576883384932,0.3756449948400412,Tottenham,Bolton,1,1,0,1,0,0
7,E0,29/09/07,Derby,Bolton,1,1,0.37037037037037035,0.3076923076923077,0.38167938931297707,0708,Derby0708,Bolton0708,E00708,0.05974206737565524,0.3494910523723526,0.29034641274010836,0.3601625348875389,Bolton,Derby,1,1,0,1,0,1
8,E0,07/10/07,Bolton,Chelsea,0,1,0.2,0.2777777777777778,0.5813953488372093,0708,Bolton0708,Chelsea0708,E00708,0.05917312661498708,0.18882654305928276,0.2622590875823372,0.5489143693583801,Chelsea,Bolton,0,3,0,0,0,2
9,E0,20/10/07,Arsenal,Bolton,2,0,0.8,0.19047619047619047,0.06666666666666667,0708,Arsenal0708,Bolton0708,E00708,0.05714285714285716,0.7567567567567568,0.18018018018018017,0.06306306306306306,Arsenal,Bolton,3,0,0,0,0,0
10,E0,28/10/07,Bolton,Aston Villa,1,1,0.37037037037037035,0.30303030303030304,0.38167938931297707,0708,Bolton0708,Aston Villa0708,E00708,0.05508006271365051,0.3510353227771011,0.28721071863581,0.36175395858708886,Aston Villa,Bolton,1,1,0,1,0,0
11,E0,04/11/07,West Ham,Bolton,1,1,0.5263157894736842,0.30303030303030304,0.23094688221709006,0708,West Ham0708,Bolton0708,E00708,0.06029297472107742,0.4963871326339192,0.28579865212255956,0.21781421524352113,West Ham,Bolton,1,1,0,1,0,1
12,E0,11/11/07,Bolton,Middlesbrough,0,0,0.47619047619047616,0.29411764705882354,0.2857142857142857,0708,Bolton0708,Middlesbrough0708,E00708,0.056022408963585235,0.4509283819628648,0.2785145888594165,0.27055702917771884,Bolton,Middlesbrough,1,1,0,1,0,2
13,E0,24/11/07,Bolton,Man United,1,0,0.1111111111111111,0.23094688221709006,0.7142857142857143,0708,Bolton0708,Man United0708,E00708,0.056343707613915495,0.1051846196557468,0.21862853970016655,0.6761868406440866,Man United,Bolton,3,0,1,0,0,3
14,E0,02/12/07,Liverpool,Bolton,4,0,0.78125,0.2,0.07692307692307693,0708,Liverpool0708,Bolton0708,E00708,0.05817307692307683,0.7383007723761927,0.18900499772830534,0.07269422989550206,Liverpool,Bolton,3,0,0,0,1,4
15,E0,09/12/07,Bolton,Wigan,4,1,0.5,0.29411764705882354,0.2631578947368421,0708,Bolton0708,Wigan0708,E00708,0.05727554179566563,0.47291361639824303,0.2781844802342606,0.24890190336749632,Bolton,Wigan,3,0,1,0,0,0
16,E0,15/12/07,Man City,Bolton,4,2,0.5464480874316939,0.3076923076923077,0.2,0708,Man City0708,Bolton0708,E00708,0.054140395124001595,0.5183826461440306,0.2918893053672542,0.18972804848871525,Man City,Bolton,3,0,0,0,1,1
