,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,F1,11/08/12,Evian Thonon Gaillard,Bordeaux,2,3,0.36363636363636365,0.3125,0.3846153846153846,1213,Evian Thonon Gaillard1213,Bordeaux1213,F11213,0.06075174825174834,0.34281005356407085,0.2946023897816234,0.36258755665430564,Bordeaux,Evian Thonon Gaillard,0,3,1,0,0,0
1,F1,19/08/12,Bordeaux,Rennes,1,0,0.47619047619047616,0.3225806451612903,0.26666666666666666,1213,Bordeaux1213,Rennes1213,F11213,0.06543778801843314,0.4469434832756632,0.3027681660899654,0.2502883506343714,Bordeaux,Rennes,3,0,1,0,1,1
2,F1,26/08/12,Paris SG,Bordeaux,0,0,0.6369426751592356,0.2777777777777778,0.15384615384615385,1213,Paris SG1213,Bordeaux1213,F11213,0.0685666067831674,0.5960720381078533,0.2599536388414805,0.14397432305066613,Paris SG,Bordeaux,1,1,0,1,2,2
3,F1,02/09/12,Bordeaux,Nice,1,1,0.6172839506172839,0.2777777777777778,0.16666666666666666,1213,Bordeaux1213,Nice1213,F11213,0.06172839506172845,0.5813953488372092,0.2616279069767442,0.15697674418604649,Bordeaux,Nice,1,1,0,1,0,3
4,F1,15/09/12,Valenciennes,Bordeaux,0,0,0.3802281368821293,0.3333333333333333,0.3472222222222222,1213,Valenciennes1213,Bordeaux1213,F11213,0.06078369243768478,0.3584407825957087,0.31423308607557127,0.32732613132872007,Valenciennes,Bordeaux,1,1,0,1,0,4
5,F1,23/09/12,Bordeaux,Ajaccio,2,2,0.6369426751592356,0.29411764705882354,0.13333333333333333,1213,Bordeaux1213,Ajaccio1213,F11213,0.06439365555139243,0.5984089362401146,0.2763241264402882,0.12526693731959732,Bordeaux,Ajaccio,1,1,0,1,0,5
6,F1,30/09/12,Lyon,Bordeaux,0,2,0.5,0.3125,0.25,1213,Lyon1213,Bordeaux1213,F11213,0.0625,0.47058823529411764,0.29411764705882354,0.23529411764705882,Lyon,Bordeaux,0,3,1,0,0,6
7,F1,07/10/12,Brest,Bordeaux,1,1,0.26666666666666666,0.3333333333333333,0.46511627906976744,1213,Brest1213,Bordeaux1213,F11213,0.06511627906976747,0.25036390101892286,0.31295487627365354,0.43668122270742354,Bordeaux,Brest,1,1,0,1,1,7
8,F1,19/10/12,Bordeaux,Lille,1,1,0.4444444444444444,0.3333333333333333,0.2857142857142857,1213,Bordeaux1213,Lille1213,F11213,0.06349206349206327,0.41791044776119407,0.3134328358208956,0.2686567164179105,Bordeaux,Lille,1,1,0,1,0,8
9,F1,28/10/12,Bastia,Bordeaux,3,1,0.35714285714285715,0.3225806451612903,0.3846153846153846,1213,Bastia1213,Bordeaux1213,F11213,0.06433888691953205,0.33555370524562866,0.30308076602830974,0.3613655287260616,Bordeaux,Bastia,3,0,0,0,0,9
10,F1,04/11/12,Bordeaux,Toulouse,1,0,0.47619047619047616,0.3125,0.2777777777777778,1213,Bordeaux1213,Toulouse1213,F11213,0.06646825396825395,0.44651162790697674,0.2930232558139535,0.26046511627906976,Bordeaux,Toulouse,3,0,1,0,0,0
11,F1,11/11/12,Lorient,Bordeaux,0,4,0.4166666666666667,0.3225806451612903,0.3225806451612903,1213,Lorient1213,Bordeaux1213,F11213,0.06182795698924726,0.3924050632911393,0.3037974683544304,0.3037974683544304,Lorient,Bordeaux,0,3,1,0,1,1
12,F1,18/11/12,Bordeaux,Marseille,1,0,0.4347826086956522,0.3225806451612903,0.3076923076923077,1213,Bordeaux1213,Marseille1213,F11213,0.0650555615492503,0.40822528363047,0.3028768233387358,0.28889789303079416,Bordeaux,Marseille,3,0,1,0,2,2
13,F1,25/11/12,Montpellier,Bordeaux,1,0,0.4166666666666667,0.3333333333333333,0.3125,1213,Montpellier1213,Bordeaux1213,F11213,0.0625,0.39215686274509803,0.3137254901960784,0.29411764705882354,Montpellier,Bordeaux,3,0,0,0,3,3
14,F1,01/12/12,Bordeaux,Sochaux,2,2,0.6944444444444444,0.23809523809523808,0.13333333333333333,1213,Bordeaux1213,Sochaux1213,F11213,0.06587301587301586,0.6515264333581534,0.22338049143708116,0.12509307520476545,Bordeaux,Sochaux,1,1,0,1,0,0
15,F1,09/12/12,Reims,Bordeaux,0,0,0.29411764705882354,0.3225806451612903,0.4444444444444444,1213,Reims1213,Bordeaux1213,F11213,0.06114273666455827,0.27717067355454006,0.3039936419630439,0.41883568448241604,Bordeaux,Reims,1,1,0,1,0,1
16,F1,13/12/12,Bordeaux,St Etienne,0,0,0.5,0.3125,0.25,1213,Bordeaux1213,St Etienne1213,F11213,0.0625,0.47058823529411764,0.29411764705882354,0.23529411764705882,Bordeaux,St Etienne,1,1,0,1,0,2
17,F1,16/12/12,Nancy,Bordeaux,1,1,0.30303030303030304,0.3125,0.4444444444444444,1213,Nancy1213,Bordeaux1213,F11213,0.0599747474747474,0.2858844550327576,0.2948183442525313,0.41929720071471116,Bordeaux,Nancy,1,1,0,1,0,3
18,F1,22/12/12,Bordeaux,Troyes,0,0,0.7142857142857143,0.23094688221709006,0.11764705882352941,1213,Bordeaux1213,Troyes1213,F11213,0.06287965532633377,0.6720287764529735,0.21728413095477203,0.11068709259225445,Bordeaux,Troyes,1,1,0,1,0,4
19,F1,12/01/13,Rennes,Bordeaux,0,2,0.4347826086956522,0.3225806451612903,0.30303030303030304,1213,Rennes1213,Bordeaux1213,F11213,0.06039355688724557,0.41002004008016035,0.30420841683366734,0.28577154308617236,Rennes,Bordeaux,0,3,1,0,0,5
20,F1,20/01/13,Bordeaux,Paris SG,0,1,0.25,0.3125,0.5,1213,Bordeaux1213,Paris SG1213,F11213,0.0625,0.23529411764705882,0.29411764705882354,0.47058823529411764,Paris SG,Bordeaux,0,3,0,0,1,6
