,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,F1,08/08/09,Rennes,Boulogne,3,0,0.6535947712418301,0.2777777777777778,0.13333333333333333,0910,Rennes0910,Boulogne0910,F10910,0.06470588235294117,0.6138735420503376,0.2608962553713935,0.12523020257826886,Rennes,Boulogne,3,0,0,0,0,0
1,F1,16/08/09,Boulogne,Grenoble,2,1,0.42016806722689076,0.3333333333333333,0.3076923076923077,0910,Boulogne0910,Grenoble0910,F10910,0.06119370825253179,0.39593908629441626,0.3141116751269035,0.2899492385786802,Boulogne,Grenoble,3,0,1,0,0,0
2,F1,22/08/09,St Etienne,Boulogne,0,1,0.5714285714285714,0.30303030303030304,0.19047619047619047,0910,St Etienne0910,Boulogne0910,F10910,0.06493506493506485,0.5365853658536586,0.28455284552845533,0.17886178861788618,St Etienne,Boulogne,0,3,1,0,1,1
3,F1,29/08/09,Boulogne,Auxerre,0,0,0.4,0.3448275862068966,0.3225806451612903,0910,Boulogne0910,Auxerre0910,F10910,0.06740823136818697,0.3747394747811588,0.32305127136306794,0.3022092538557732,Boulogne,Auxerre,1,1,0,1,2,2
4,F1,12/09/09,Valenciennes,Boulogne,1,1,0.5,0.3125,0.25,0910,Valenciennes0910,Boulogne0910,F10910,0.0625,0.47058823529411764,0.29411764705882354,0.23529411764705882,Valenciennes,Boulogne,1,1,0,1,0,3
5,F1,19/09/09,Boulogne,Bordeaux,0,2,0.18181818181818182,0.2857142857142857,0.5988023952095809,0910,Boulogne0910,Bordeaux0910,F10910,0.06633486274204836,0.1705075845974329,0.26794049008168025,0.5615519253208868,Bordeaux,Boulogne,0,3,0,0,0,4
6,F1,26/09/09,Montpellier,Boulogne,1,0,0.5882352941176471,0.29411764705882354,0.18181818181818182,0910,Montpellier0910,Boulogne0910,F10910,0.06417112299465244,0.5527638190954773,0.27638190954773867,0.1708542713567839,Montpellier,Boulogne,3,0,0,0,0,0
7,F1,04/10/09,Boulogne,Lille,2,3,0.26666666666666666,0.3225806451612903,0.47619047619047616,0910,Boulogne0910,Lille0910,F10910,0.06543778801843314,0.2502883506343714,0.3027681660899654,0.4469434832756632,Lille,Boulogne,0,3,0,0,0,0
8,F1,17/10/09,Le Mans,Boulogne,1,1,0.5882352941176471,0.29411764705882354,0.18181818181818182,0910,Le Mans0910,Boulogne0910,F10910,0.06417112299465244,0.5527638190954773,0.27638190954773867,0.1708542713567839,Le Mans,Boulogne,1,1,0,1,0,0
9,F1,24/10/09,Boulogne,Monaco,1,3,0.23094688221709006,0.3333333333333333,0.5,0910,Boulogne0910,Monaco0910,F10910,0.0642802155504234,0.21699819168173598,0.3132007233273056,0.4698010849909584,Monaco,Boulogne,0,3,0,0,0,1
