,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,F1,07/08/10,Toulouse,Brest,2,0,0.6172839506172839,0.2857142857142857,0.16666666666666666,1011,Toulouse1011,Brest1011,F11011,0.06966490299823636,0.5770816158285242,0.2671063478977741,0.15581203627370155,Toulouse,Brest,3,0,0,0,0,0
1,F1,14/08/10,Brest,Auxerre,1,1,0.3225806451612903,0.3448275862068966,0.4,1011,Brest1011,Auxerre1011,F11011,0.06740823136818674,0.30220925385577324,0.323051271363068,0.3747394747811589,Auxerre,Brest,1,1,0,1,0,0
2,F1,21/08/10,Lyon,Brest,1,0,0.7142857142857143,0.2222222222222222,0.13333333333333333,1011,Lyon1011,Brest1011,F11011,0.06984126984126982,0.6676557863501484,0.20771513353115725,0.12462908011869436,Lyon,Brest,3,0,0,0,0,1
3,F1,28/08/10,Caen,Brest,0,2,0.5235602094240838,0.3076923076923077,0.23094688221709006,1011,Caen1011,Brest1011,F11011,0.06219939933348151,0.4929020010297615,0.2896747144513368,0.21742328451890172,Caen,Brest,0,3,1,0,0,0
4,F1,12/09/10,Brest,Lorient,0,0,0.4,0.3333333333333333,0.3333333333333333,1011,Brest1011,Lorient1011,F11011,0.06666666666666665,0.375,0.3125,0.3125,Brest,Lorient,1,1,0,1,1,1
5,F1,18/09/10,Nancy,Brest,0,2,0.5,0.3125,0.25641025641025644,1011,Nancy1011,Brest1011,F11011,0.06891025641025639,0.46776611694152925,0.29235382308845576,0.23988005997001502,Nancy,Brest,0,3,1,0,0,2
6,F1,26/09/10,Brest,Valenciennes,1,0,0.4347826086956522,0.3225806451612903,0.3076923076923077,1011,Brest1011,Valenciennes1011,F11011,0.0650555615492503,0.40822528363047,0.3028768233387358,0.28889789303079416,Brest,Valenciennes,3,0,1,0,1,3
7,F1,02/10/10,Monaco,Brest,0,1,0.5235602094240838,0.3125,0.23094688221709006,1011,Monaco1011,Brest1011,F11011,0.0670070916411738,0.4906810962416293,0.29287527931922247,0.21644362443914825,Monaco,Brest,0,3,1,0,2,4
8,F1,16/10/10,Brest,Arles,0,0,0.6369426751592356,0.2777777777777778,0.15384615384615385,1011,Brest1011,Arles1011,F11011,0.0685666067831674,0.5960720381078533,0.2599536388414805,0.14397432305066613,Brest,Arles,1,1,0,1,3,5
9,F1,23/10/10,Bordeaux,Brest,0,2,0.625,0.2777777777777778,0.16666666666666666,1011,Bordeaux1011,Brest1011,F11011,0.06944444444444442,0.5844155844155844,0.25974025974025977,0.15584415584415584,Bordeaux,Brest,0,3,1,0,0,6
10,F1,30/10/10,Brest,St Etienne,2,0,0.3802281368821293,0.3472222222222222,0.3333333333333333,1011,Brest1011,St Etienne1011,F11011,0.06078369243768478,0.3584407825957087,0.32732613132872007,0.31423308607557127,Brest,St Etienne,3,0,1,0,1,7
11,F1,07/11/10,Lille,Brest,3,1,0.5988023952095809,0.2857142857142857,0.18181818181818182,1011,Lille1011,Brest1011,F11011,0.06633486274204836,0.5615519253208868,0.26794049008168025,0.1705075845974329,Lille,Brest,3,0,0,0,2,8
12,F1,13/11/10,Brest,Sochaux,1,1,0.5,0.3125,0.25,1011,Brest1011,Sochaux1011,F11011,0.0625,0.47058823529411764,0.29411764705882354,0.23529411764705882,Brest,Sochaux,1,1,0,1,0,0
13,F1,20/11/10,Rennes,Brest,2,1,0.5714285714285714,0.29411764705882354,0.2,1011,Rennes1011,Brest1011,F11011,0.06554621848739495,0.5362776025236593,0.27602523659305994,0.18769716088328076,Rennes,Brest,3,0,0,0,0,1
14,F1,30/11/10,Brest,Lens,4,1,0.48780487804878053,0.3225806451612903,0.25,1011,Brest1011,Lens1011,F11011,0.06038552321007096,0.46002596920793914,0.30421072157299195,0.2357633092190688,Brest,Lens,3,0,1,0,0,0
15,F1,05/12/10,Paris SG,Brest,3,1,0.625,0.2777777777777778,0.16666666666666666,1011,Paris SG1011,Brest1011,F11011,0.06944444444444442,0.5844155844155844,0.25974025974025977,0.15584415584415584,Paris SG,Brest,3,0,0,0,1,1
16,F1,11/12/10,Brest,Montpellier,0,0,0.4166666666666667,0.3333333333333333,0.3125,1011,Brest1011,Montpellier1011,F11011,0.0625,0.39215686274509803,0.3137254901960784,0.29411764705882354,Brest,Montpellier,1,1,0,1,0,0
17,F1,18/12/10,Nice,Brest,1,1,0.4166666666666667,0.3333333333333333,0.3125,1011,Nice1011,Brest1011,F11011,0.0625,0.39215686274509803,0.3137254901960784,0.29411764705882354,Nice,Brest,1,1,0,1,0,1
18,F1,22/12/10,Brest,Marseille,0,0,0.2631578947368421,0.3333333333333333,0.46511627906976744,1011,Brest1011,Marseille1011,F11011,0.061607507139942896,0.24788624135280551,0.31398923904688697,0.43812451960030746,Marseille,Brest,1,1,0,1,0,2
19,F1,15/01/11,Brest,Caen,1,3,0.5235602094240838,0.3125,0.23094688221709006,1011,Brest1011,Caen1011,F11011,0.0670070916411738,0.4906810962416293,0.29287527931922247,0.21644362443914825,Brest,Caen,0,3,0,0,0,3
20,F1,29/01/11,Lorient,Brest,2,0,0.5235602094240838,0.3076923076923077,0.23094688221709006,1011,Lorient1011,Brest1011,F11011,0.06219939933348151,0.4929020010297615,0.2896747144513368,0.21742328451890172,Lorient,Brest,3,0,0,0,0,0
21,F1,05/02/11,Brest,Nancy,2,1,0.47619047619047616,0.3076923076923077,0.2857142857142857,1011,Brest1011,Nancy1011,F11011,0.06959706959706957,0.4452054794520548,0.28767123287671237,0.2671232876712329,Brest,Nancy,3,0,1,0,0,0
22,F1,13/02/11,Valenciennes,Brest,3,0,0.46511627906976744,0.3225806451612903,0.2777777777777778,1011,Valenciennes1011,Brest1011,F11011,0.06547470200883554,0.4365343242714649,0.30275767651085467,0.26070799921768045,Valenciennes,Brest,3,0,0,0,1,1
23,F1,19/02/11,Brest,Monaco,2,0,0.4,0.3333333333333333,0.3333333333333333,1011,Brest1011,Monaco1011,F11011,0.06666666666666665,0.375,0.3125,0.3125,Brest,Monaco,3,0,1,0,0,0
24,F1,26/02/11,Arles,Brest,1,1,0.3125,0.3333333333333333,0.42016806722689076,1011,Arles1011,Brest1011,F11011,0.06600140056022408,0.29315158482509446,0.31269502381343406,0.39415339136147154,Brest,Arles,1,1,0,1,1,1
25,F1,06/03/11,Brest,Bordeaux,1,3,0.36363636363636365,0.3225806451612903,0.3802281368821293,1011,Brest1011,Bordeaux1011,F11011,0.06644514567978321,0.3409799042261768,0.3024821731038665,0.35653792266995676,Bordeaux,Brest,0,3,0,0,0,2
26,F1,12/03/11,St Etienne,Brest,2,0,0.5235602094240838,0.30303030303030304,0.23809523809523808,1011,St Etienne1011,Brest1011,F11011,0.064685750549625,0.4917509313464608,0.2846194784459819,0.22362959020755718,St Etienne,Brest,3,0,0,0,0,0
27,F1,19/03/11,Brest,Lille,1,2,0.23094688221709006,0.3125,0.5235602094240838,1011,Brest1011,Lille1011,F11011,0.0670070916411738,0.21644362443914825,0.29287527931922247,0.4906810962416293,Lille,Brest,0,3,0,0,0,0
28,F1,02/04/11,Sochaux,Brest,2,1,0.5128205128205129,0.3125,0.23809523809523808,1011,Sochaux1011,Brest1011,F11011,0.06341575091575091,0.48223896663078586,0.2938643702906351,0.2238966630785791,Sochaux,Brest,3,0,0,0,0,0
29,F1,09/04/11,Brest,Rennes,2,0,0.3076923076923077,0.3333333333333333,0.42016806722689076,1011,Brest1011,Rennes1011,F11011,0.06119370825253179,0.2899492385786802,0.3141116751269035,0.39593908629441626,Rennes,Brest,3,0,1,0,0,0
30,F1,16/04/11,Lens,Brest,1,1,0.5,0.3225806451612903,0.24390243902439027,1011,Lens1011,Brest1011,F11011,0.0664830841856805,0.46883068978236814,0.30247141276281814,0.22869789745481375,Lens,Brest,1,1,0,1,1,1
