,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,F1,04/08/07,Caen,Nice,1,0,0.4166666666666667,0.36363636363636365,0.3333333333333333,0708,Caen0708,Nice0708,F10708,0.11363636363636354,0.3741496598639456,0.326530612244898,0.29931972789115646,Caen,Nice,3,0,1,0,0,0
1,F1,11/08/07,Nancy,Caen,1,0,0.5263157894736842,0.3333333333333333,0.25,0708,Nancy0708,Caen0708,F10708,0.10964912280701755,0.4743083003952569,0.30039525691699603,0.22529644268774704,Nancy,Caen,3,0,0,0,1,1
2,F1,18/08/07,Auxerre,Caen,1,0,0.5813953488372093,0.3225806451612903,0.2,0708,Auxerre0708,Caen0708,F10708,0.10397599399849966,0.5266376732807828,0.29219896711062787,0.18116335960858929,Auxerre,Caen,3,0,0,0,0,0
3,F1,25/08/07,Caen,Marseille,1,2,0.29411764705882354,0.3484320557491289,0.4347826086956522,0708,Caen0708,Marseille0708,F10708,0.07733231150360464,0.27300550064105217,0.32342115058521853,0.4035733487737293,Marseille,Caen,0,3,0,0,0,0
4,F1,01/09/07,Caen,Sochaux,2,2,0.45454545454545453,0.3484320557491289,0.30303030303030304,0708,Caen0708,Sochaux0708,F10708,0.10600781332488651,0.41097852028639614,0.315035799522673,0.2739856801909308,Caen,Sochaux,1,1,0,1,0,0
5,F1,15/09/07,St Etienne,Caen,3,0,0.5882352941176471,0.29411764705882354,0.18181818181818182,0708,St Etienne0708,Caen0708,F10708,0.06417112299465244,0.5527638190954773,0.27638190954773867,0.1708542713567839,St Etienne,Caen,3,0,0,0,0,1
6,F1,22/09/07,Caen,Metz,1,2,0.47619047619047616,0.3484320557491289,0.23809523809523808,0708,Caen0708,Metz0708,F10708,0.06271777003484313,0.44808743169398907,0.32786885245901637,0.22404371584699453,Caen,Metz,0,3,0,0,0,0
7,F1,30/09/07,Caen,Toulouse,2,1,0.37037037037037035,0.3333333333333333,0.4,0708,Caen0708,Toulouse0708,F10708,0.10370370370370363,0.33557046979865773,0.30201342281879195,0.36241610738255037,Toulouse,Caen,3,0,1,0,0,0
8,F1,06/10/07,Lorient,Caen,0,0,0.5464480874316939,0.3076923076923077,0.21052631578947367,0708,Lorient0708,Caen0708,F10708,0.06466671091347531,0.5132574183359654,0.28900340786302053,0.19773917380101405,Lorient,Caen,1,1,0,1,1,1
9,F1,20/10/07,Caen,Lille,1,0,0.37037037037037035,0.3484320557491289,0.3484320557491289,0708,Caen0708,Lille0708,F10708,0.06723448186862813,0.347037484885127,0.3264812575574365,0.3264812575574365,Caen,Lille,3,0,1,0,0,2
10,F1,27/10/07,Monaco,Caen,0,0,0.6024096385542169,0.2857142857142857,0.18181818181818182,0708,Monaco0708,Caen0708,F10708,0.0699421060866845,0.5630301257677683,0.2670371453641415,0.16993272886809008,Monaco,Caen,1,1,0,1,1,3
11,F1,04/11/07,Caen,Le Mans,3,2,0.3846153846153846,0.3333333333333333,0.3484320557491289,0708,Caen0708,Le Mans0708,F10708,0.06638077369784678,0.36067359249329756,0.3125837801608579,0.3267426273458445,Caen,Le Mans,3,0,1,0,0,4
12,F1,10/11/07,Valenciennes,Caen,3,0,0.5464480874316939,0.3125,0.21052631578947367,0708,Valenciennes0708,Caen0708,F10708,0.0694744032211676,0.5109501319394255,0.292199606702859,0.19685026135771552,Valenciennes,Caen,3,0,0,0,1,5
13,F1,24/11/07,Caen,Bordeaux,5,0,0.29411764705882354,0.3333333333333333,0.4347826086956522,0708,Caen0708,Bordeaux0708,F10708,0.06223358908780918,0.2768860353130016,0.3138041733547351,0.40930979133226325,Bordeaux,Caen,3,0,1,0,0,0
14,F1,28/11/07,Lens,Caen,1,1,0.5464480874316939,0.3225806451612903,0.2222222222222222,0708,Lens0708,Caen0708,F10708,0.09125095481520651,0.5007538229592935,0.2956062890372604,0.20363988800344604,Lens,Caen,1,1,0,1,1,1
15,F1,01/12/07,Paris SG,Caen,0,1,0.5813953488372093,0.3125,0.2,0708,Paris SG0708,Caen0708,F10708,0.0938953488372094,0.5314908317831517,0.285676322083444,0.1828328461334042,Paris SG,Caen,0,3,1,0,0,2
16,F1,08/12/07,Caen,Lyon,1,0,0.21052631578947367,0.29411764705882354,0.5555555555555556,0708,Caen0708,Lyon0708,F10708,0.06019951840385285,0.19857235561323813,0.2774172615184945,0.5240103828682673,Lyon,Caen,3,0,1,0,1,3
17,F1,15/12/07,Rennes,Caen,1,2,0.5,0.3225806451612903,0.23809523809523808,0708,Rennes0708,Caen0708,F10708,0.060675883256528396,0.4713975380159305,0.30412744388124546,0.22447501810282403,Rennes,Caen,0,3,1,0,2,4
18,F1,22/12/07,Caen,Strasbourg,2,0,0.48780487804878053,0.3333333333333333,0.25,0708,Caen0708,Strasbourg0708,F10708,0.07113821138211396,0.45540796963946867,0.31119544592030357,0.23339658444022768,Caen,Strasbourg,3,0,1,0,3,5
19,F1,12/01/08,Caen,Nancy,0,0,0.42194092827004215,0.3333333333333333,0.3125,0708,Caen0708,Nancy0708,F10708,0.06777426160337541,0.395159298592245,0.31217584588787356,0.2926648555198815,Caen,Nancy,1,1,0,1,4,6
20,F1,19/01/08,Toulouse,Caen,1,1,0.47619047619047616,0.3225806451612903,0.2631578947368421,0708,Toulouse0708,Caen0708,F10708,0.06192901608860857,0.4484202512371526,0.30376855728968405,0.2478111914731633,Toulouse,Caen,1,1,0,1,0,7
21,F1,23/01/08,Caen,Auxerre,0,0,0.5128205128205129,0.3225806451612903,0.2631578947368421,0708,Caen0708,Auxerre0708,F10708,0.09855905271864529,0.46681196750544884,0.29363978601149193,0.23954824648305922,Caen,Auxerre,1,1,0,1,0,8
22,F1,26/01/08,Marseille,Caen,6,1,0.5882352941176471,0.2857142857142857,0.18181818181818182,0708,Marseille0708,Caen0708,F10708,0.055767761650114656,0.557163531114327,0.27062228654124454,0.17221418234442837,Marseille,Caen,3,0,0,0,0,9
23,F1,10/02/08,Caen,Lens,1,4,0.45454545454545453,0.3225806451612903,0.2857142857142857,0708,Caen0708,Lens0708,F10708,0.06284038542103065,0.4276704769412692,0.303508080409933,0.26882144264879776,Caen,Lens,0,3,0,0,0,0
24,F1,16/02/08,Sochaux,Caen,1,1,0.47619047619047616,0.3225806451612903,0.26666666666666666,0708,Sochaux0708,Caen0708,F10708,0.06543778801843314,0.4469434832756632,0.3027681660899654,0.2502883506343714,Sochaux,Caen,1,1,0,1,0,0
25,F1,23/02/08,Caen,St Etienne,1,3,0.4166666666666667,0.3448275862068966,0.3076923076923077,0708,Caen0708,St Etienne0708,F10708,0.06918656056587102,0.3897043622079801,0.3225139549307422,0.28778168286127764,Caen,St Etienne,0,3,0,0,0,1
26,F1,01/03/08,Metz,Caen,2,1,0.36363636363636365,0.3484320557491289,0.35714285714285715,0708,Metz0708,Caen0708,F10708,0.06921127652834969,0.3400977632943268,0.325877647755888,0.3340245889497852,Metz,Caen,3,0,0,0,0,0
27,F1,08/03/08,Caen,Lorient,0,0,0.4347826086956522,0.3333333333333333,0.29411764705882354,0708,Caen0708,Lorient0708,F10708,0.06223358908780918,0.40930979133226325,0.3138041733547351,0.2768860353130016,Caen,Lorient,1,1,0,1,0,0
28,F1,15/03/08,Lille,Caen,5,0,0.5882352941176471,0.29411764705882354,0.18181818181818182,0708,Lille0708,Caen0708,F10708,0.06417112299465244,0.5527638190954773,0.27638190954773867,0.1708542713567839,Lille,Caen,3,0,0,0,0,1
29,F1,22/03/08,Caen,Monaco,4,1,0.35714285714285715,0.3484320557491289,0.36363636363636365,0708,Caen0708,Monaco0708,F10708,0.06921127652834969,0.3340245889497852,0.325877647755888,0.3400977632943268,Monaco,Caen,3,0,1,0,0,0
30,F1,30/03/08,Le Mans,Caen,1,1,0.5555555555555556,0.30303030303030304,0.21052631578947367,0708,Le Mans0708,Caen0708,F10708,0.06911217437533224,0.5196419691695674,0.2834410740924913,0.19691695673794132,Le Mans,Caen,1,1,0,1,1,1
31,F1,05/04/08,Caen,Valenciennes,1,0,0.4444444444444444,0.3333333333333333,0.2857142857142857,0708,Caen0708,Valenciennes0708,F10708,0.06349206349206327,0.41791044776119407,0.3134328358208956,0.2686567164179105,Caen,Valenciennes,3,0,1,0,0,2
32,F1,13/04/08,Bordeaux,Caen,2,1,0.6944444444444444,0.25,0.125,0708,Bordeaux0708,Caen0708,F10708,0.06944444444444442,0.6493506493506493,0.23376623376623376,0.11688311688311688,Bordeaux,Caen,3,0,0,0,1,3
33,F1,19/04/08,Caen,Paris SG,3,0,0.3448275862068966,0.3225806451612903,0.4081632653061224,0708,Caen0708,Paris SG0708,F10708,0.07557149667430929,0.32059940903334744,0.29991557619248627,0.3794850147741663,Paris SG,Caen,3,0,1,0,0,0
34,F1,26/04/08,Lyon,Caen,2,2,0.7518796992481203,0.21052631578947367,0.1,0708,Lyon0708,Caen0708,F10708,0.06240601503759402,0.7077140835102618,0.1981599433828733,0.09412597310686482,Lyon,Caen,1,1,0,1,1,1
