,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,E0,19/08/06,West Ham,Charlton,3,1,0.5,0.3125,0.26666666666666666,0607,West Ham0607,Charlton0607,E00607,0.07916666666666661,0.46332046332046334,0.2895752895752896,0.2471042471042471,West Ham,Charlton,3,0,0,0,0,0
1,E0,23/08/06,Charlton,Man United,0,3,0.13333333333333333,0.2777777777777778,0.6666666666666666,0607,Charlton0607,Man United0607,E00607,0.07777777777777772,0.12371134020618557,0.2577319587628866,0.6185567010309279,Man United,Charlton,0,3,0,0,0,0
2,E0,26/08/06,Charlton,Bolton,2,0,0.4,0.3225806451612903,0.35714285714285715,0607,Charlton0607,Bolton0607,E00607,0.0797235023041476,0.37046521553563805,0.29876227059325644,0.3307725138711054,Charlton,Bolton,3,0,1,0,0,0
3,E0,09/09/06,Chelsea,Charlton,2,1,0.8333333333333334,0.18181818181818182,0.058823529411764705,0607,Chelsea0607,Charlton0607,E00607,0.07397504456327986,0.7759336099585062,0.16929460580912864,0.054771784232365145,Chelsea,Charlton,3,0,0,0,1,1
4,E0,16/09/06,Charlton,Portsmouth,0,1,0.4347826086956522,0.3076923076923077,0.3333333333333333,0607,Charlton0607,Portsmouth0607,E00607,0.0758082497212933,0.40414507772020725,0.2860103626943005,0.3098445595854922,Charlton,Portsmouth,0,3,0,0,0,0
5,E0,23/09/06,Aston Villa,Charlton,2,0,0.5555555555555556,0.29411764705882354,0.23094688221709006,0607,Aston Villa0607,Charlton0607,E00607,0.08062008483146932,0.5141081156586115,0.2721748847604414,0.21371699958094703,Aston Villa,Charlton,3,0,0,0,0,0
6,E0,30/09/06,Charlton,Arsenal,1,2,0.15384615384615385,0.2777777777777778,0.6535947712418301,0607,Charlton0607,Arsenal0607,E00607,0.08521870286576183,0.14176511466296038,0.2559647903636785,0.602270094973361,Arsenal,Charlton,0,3,0,0,0,0
7,E0,16/10/06,Fulham,Charlton,2,1,0.47619047619047616,0.3225806451612903,0.2777777777777778,0607,Fulham0607,Charlton0607,E00607,0.07654889912954443,0.4423305588585017,0.29964328180737215,0.25802615933412604,Fulham,Charlton,3,0,0,0,0,0
8,E0,21/10/06,Charlton,Watford,0,0,0.5263157894736842,0.3076923076923077,0.25,0607,Charlton0607,Watford0607,E00607,0.084008097165992,0.4855275443510737,0.2838468720821662,0.23062558356676002,Charlton,Watford,1,1,0,1,0,0
9,E0,28/10/06,Newcastle,Charlton,0,0,0.5555555555555556,0.30303030303030304,0.2222222222222222,0607,Newcastle0607,Charlton0607,E00607,0.08080808080808088,0.514018691588785,0.2803738317757009,0.20560747663551399,Newcastle,Charlton,1,1,0,1,0,1
