,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,E0,19/08/12,Wigan,Chelsea,0,2,0.16666666666666666,0.26666666666666666,0.6172839506172839,1213,Wigan1213,Chelsea1213,E01213,0.05061728395061715,0.15863689776733256,0.2538190364277321,0.5875440658049355,Chelsea,Wigan,0,3,1,0,0,0
1,E0,22/08/12,Chelsea,Reading,4,2,0.8,0.18181818181818182,0.07692307692307693,1213,Chelsea1213,Reading1213,E01213,0.058741258741258795,0.7556142668428005,0.17173051519154556,0.0726552179656539,Chelsea,Reading,3,0,1,0,1,1
2,E0,25/08/12,Chelsea,Newcastle,2,0,0.6666666666666666,0.23094688221709006,0.15384615384615385,1213,Chelsea1213,Newcastle1213,E01213,0.05145970272991063,0.6340391980175715,0.2196440639783735,0.14631673800405498,Chelsea,Newcastle,3,0,1,0,2,2
3,E0,15/09/12,QPR,Chelsea,0,0,0.2222222222222222,0.2857142857142857,0.5464480874316939,1213,QPR1213,Chelsea1213,E01213,0.05438459536820184,0.21076011846001974,0.27097729516288255,0.5182625863770978,Chelsea,QPR,1,1,0,1,3,3
4,E0,22/09/12,Chelsea,Stoke,1,0,0.7352941176470588,0.21052631578947367,0.1111111111111111,1213,Chelsea1213,Stoke1213,E01213,0.05693154454764349,0.6956875508543532,0.19918633034987795,0.10512611879576893,Chelsea,Stoke,3,0,1,0,0,4
5,E0,29/09/12,Arsenal,Chelsea,1,2,0.47619047619047616,0.29411764705882354,0.2857142857142857,1213,Arsenal1213,Chelsea1213,E01213,0.056022408963585235,0.4509283819628648,0.2785145888594165,0.27055702917771884,Arsenal,Chelsea,0,3,1,0,1,5
6,E0,06/10/12,Chelsea,Norwich,4,1,0.819672131147541,0.15384615384615385,0.08333333333333333,1213,Chelsea1213,Norwich1213,E01213,0.05685161832702823,0.7755791985681615,0.14557024957740877,0.07885055185442974,Chelsea,Norwich,3,0,1,0,2,6
7,E0,20/10/12,Tottenham,Chelsea,2,4,0.4,0.29411764705882354,0.36363636363636365,1213,Tottenham1213,Chelsea1213,E01213,0.05775401069518704,0.37815975733063706,0.27805864509605666,0.3437815975733064,Tottenham,Chelsea,0,3,1,0,3,7
8,E0,28/10/12,Chelsea,Man United,2,3,0.4166666666666667,0.29411764705882354,0.3448275862068966,1213,Chelsea1213,Man United1213,E01213,0.05561189993238669,0.39471577261809454,0.27862289831865494,0.3266613290632506,Chelsea,Man United,0,3,0,0,4,8
9,E0,03/11/12,Swansea,Chelsea,1,1,0.2222222222222222,0.2777777777777778,0.5555555555555556,1213,Swansea1213,Chelsea1213,E01213,0.05555555555555558,0.21052631578947367,0.2631578947368421,0.5263157894736842,Chelsea,Swansea,1,1,0,1,0,0
10,E0,11/11/12,Chelsea,Liverpool,1,1,0.5128205128205129,0.2857142857142857,0.25,1213,Chelsea1213,Liverpool1213,E01213,0.048534798534798584,0.48908296943231444,0.2724890829694323,0.23842794759825325,Chelsea,Liverpool,1,1,0,1,0,1
11,E0,17/11/12,West Brom,Chelsea,2,1,0.26666666666666666,0.2857142857142857,0.5,1213,West Brom1213,Chelsea1213,E01213,0.05238095238095242,0.25339366515837103,0.27149321266968324,0.4751131221719457,Chelsea,West Brom,3,0,0,0,0,2
12,E0,25/11/12,Chelsea,Man City,0,0,0.4,0.2857142857142857,0.37037037037037035,1213,Chelsea1213,Man City1213,E01213,0.05608465608465618,0.3787575150300601,0.2705410821643286,0.3507014028056112,Chelsea,Man City,1,1,0,1,0,0
13,E0,28/11/12,Chelsea,Fulham,0,0,0.6944444444444444,0.2222222222222222,0.14285714285714285,1213,Chelsea1213,Fulham1213,E01213,0.059523809523809534,0.6554307116104868,0.2097378277153558,0.1348314606741573,Chelsea,Fulham,1,1,0,1,0,1
