,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,E2,07/08/10,Exeter,Colchester,2,2,0.4,0.3076923076923077,0.35714285714285715,1011,Exeter1011,Colchester1011,E21011,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Bolton,Sunderland,1,1,0,1,0,0
1,E2,14/08/10,Colchester,Sheffield Weds,1,1,0.37037037037037035,0.3076923076923077,0.3846153846153846,1011,Colchester1011,Sheffield Weds1011,E21011,0.06267806267806275,0.34852546916890076,0.28954423592493295,0.3619302949061662,Birmingham,Stoke,1,1,0,1,0,1
2,E2,21/08/10,Rochdale,Colchester,1,2,0.3846153846153846,0.3076923076923077,0.37037037037037035,1011,Rochdale1011,Colchester1011,E21011,0.06267806267806275,0.3619302949061662,0.28954423592493295,0.34852546916890076,Liverpool,Bolton,0,3,1,0,0,2
3,E2,27/08/10,Colchester,Carlisle,1,1,0.47619047619047616,0.30303030303030304,0.2857142857142857,1011,Colchester1011,Carlisle1011,E21011,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Everton,Wigan,1,1,0,1,1,3
4,E2,04/09/10,Walsall,Colchester,0,1,0.4,0.3076923076923077,0.35714285714285715,1011,Walsall1011,Colchester1011,E21011,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Wolves,Fulham,0,3,1,0,0,4
5,E2,11/09/10,Colchester,Plymouth,1,1,0.47619047619047616,0.30303030303030304,0.2857142857142857,1011,Colchester1011,Plymouth1011,E21011,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Man United,Stoke,1,1,0,1,1,5
6,E2,18/09/10,Southampton,Colchester,0,0,0.5780346820809249,0.2857142857142857,0.2,1011,Southampton1011,Colchester1011,E21011,0.06374896779521055,0.5433938829374321,0.2685918335662164,0.18801428349635152,Man United,Bolton,1,1,0,1,0,6
7,E2,25/09/10,Colchester,Tranmere,3,1,0.5780346820809249,0.2857142857142857,0.2,1011,Colchester1011,Tranmere1011,E21011,0.06374896779521055,0.5433938829374321,0.2685918335662164,0.18801428349635152,Hull,Portsmouth,3,0,1,0,0,7
8,E2,28/09/10,Colchester,Dag and Red,2,2,0.5988023952095809,0.26666666666666666,0.2,1011,Colchester1011,Dag and Red1011,E21011,0.06546906187624746,0.562008242787561,0.2502810041213938,0.18771075309104535,Liverpool,Fulham,1,1,0,1,1,8
9,E2,02/10/10,Milton Keynes Dons,Colchester,1,1,0.4444444444444444,0.3076923076923077,0.3125,1011,Milton Keynes Dons1011,Colchester1011,E21011,0.06463675213675213,0.41746111389864526,0.28901154039136984,0.29352734570998495,Stoke,Hull,1,1,0,1,0,9
10,E2,09/10/10,Colchester,Huddersfield,0,3,0.4166666666666667,0.30303030303030304,0.3448275862068966,1011,Colchester1011,Huddersfield1011,E21011,0.0645245559038663,0.3914110429447853,0.2846625766871166,0.3239263803680982,Arsenal,Sunderland,0,3,0,0,0,10
11,E2,16/10/10,Oldham,Colchester,0,0,0.42016806722689076,0.30303030303030304,0.3448275862068966,1011,Oldham1011,Colchester1011,E21011,0.06802595646409038,0.39340623201512787,0.28372934308969827,0.3228644248951739,Aston Villa,Hull,1,1,0,1,0,0
12,E2,23/10/10,Colchester,Notts County,2,1,0.45454545454545453,0.29411764705882354,0.3125,1011,Colchester1011,Notts County1011,E21011,0.06116310160427796,0.42834645669291344,0.2771653543307087,0.29448818897637796,Tottenham,Everton,3,0,1,0,0,1
13,E2,30/10/10,Bournemouth,Colchester,1,2,0.47619047619047616,0.3076923076923077,0.2777777777777778,1011,Bournemouth1011,Colchester1011,E21011,0.061660561660561664,0.4485336400230017,0.2898217366302473,0.26164462334675104,Sunderland,Portsmouth,0,3,1,0,1,2
14,E2,02/11/10,Colchester,Leyton Orient,3,2,0.5235602094240838,0.29411764705882354,0.25,1011,Colchester1011,Leyton Orient1011,E21011,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Man City,Sunderland,3,0,1,0,2,3
