,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,D1,11/08/07,Leverkusen,Cottbus,0,0,0.6535947712418301,0.2631578947368421,0.16666666666666666,0708,Leverkusen0708,Cottbus0708,D10708,0.08341933264533896,0.6032703603746626,0.24289569772979833,0.15383394189553895,Leverkusen,Cottbus,1,1,0,1,0,0
1,D1,19/08/07,Cottbus,Bochum,1,2,0.4166666666666667,0.3125,0.3484320557491289,0708,Cottbus0708,Bochum0708,D10708,0.07759872241579568,0.3866621758167733,0.28999663186257996,0.3233411923206466,Cottbus,Bochum,0,3,0,0,0,1
2,D1,25/08/07,Dortmund,Cottbus,3,0,0.6211180124223602,0.2777777777777778,0.18181818181818182,0708,Dortmund0708,Cottbus0708,D10708,0.08071397201831987,0.574729325708978,0.2570317262198485,0.16823894807117354,Dortmund,Cottbus,3,0,0,0,0,0
3,D1,01/09/07,Cottbus,Nurnberg,1,1,0.35714285714285715,0.3076923076923077,0.4166666666666667,0708,Cottbus0708,Nurnberg0708,D10708,0.08150183150183166,0.33022861981371715,0.2845046570702794,0.38526672311600335,Nurnberg,Cottbus,1,1,0,1,0,0
4,D1,15/09/07,Stuttgart,Cottbus,3,0,0.7352941176470588,0.2222222222222222,0.10526315789473684,0708,Stuttgart0708,Cottbus0708,D10708,0.06277949776401792,0.6918595241948534,0.20909532286777793,0.0990451529373685,Stuttgart,Cottbus,3,0,0,0,0,1
5,D1,22/09/07,Cottbus,Wolfsburg,1,2,0.3846153846153846,0.30303030303030304,0.37735849056603776,0708,Cottbus0708,Wolfsburg0708,D10708,0.06500417821172544,0.3611397893867437,0.2845343795168284,0.35432583109642785,Cottbus,Wolfsburg,0,3,0,0,0,0
6,D1,26/09/07,Bayern Munich,Cottbus,5,0,0.8928571428571428,0.125,0.047619047619047616,0708,Bayern Munich0708,Cottbus0708,D10708,0.06547619047619047,0.8379888268156424,0.11731843575418995,0.04469273743016759,Bayern Munich,Cottbus,3,0,0,0,0,0
7,D1,30/09/07,Cottbus,Ein Frankfurt,2,2,0.35714285714285715,0.3076923076923077,0.4,0708,Cottbus0708,Ein Frankfurt0708,D10708,0.06483516483516505,0.33539731682146534,0.2889576883384932,0.3756449948400412,Ein Frankfurt,Cottbus,1,1,0,1,0,0
8,D1,06/10/07,Hertha,Cottbus,0,0,0.7142857142857143,0.23094688221709006,0.11764705882352941,0708,Hertha0708,Cottbus0708,D10708,0.06287965532633377,0.6720287764529735,0.21728413095477203,0.11068709259225445,Hertha,Cottbus,1,1,0,1,0,1
9,D1,19/10/07,Cottbus,Duisburg,1,2,0.5,0.29411764705882354,0.26666666666666666,0708,Cottbus0708,Duisburg0708,D10708,0.0607843137254902,0.47134935304990755,0.27726432532347506,0.2513863216266174,Cottbus,Duisburg,0,3,0,0,0,2
10,D1,27/10/07,Bielefeld,Cottbus,1,1,0.5405405405405405,0.2857142857142857,0.23809523809523808,0708,Bielefeld0708,Cottbus0708,D10708,0.0643500643500643,0.5078597339782346,0.26844014510278114,0.22370012091898428,Bielefeld,Cottbus,1,1,0,1,0,0
11,D1,02/11/07,Cottbus,Schalke 04,1,0,0.19047619047619047,0.2777777777777778,0.6024096385542169,0708,Cottbus0708,Schalke 040708,D10708,0.07066360680818518,0.17790479592748057,0.2594444940609092,0.5626507100116103,Schalke 04,Cottbus,3,0,1,0,0,1
12,D1,10/11/07,Hansa Rostock,Cottbus,3,2,0.5,0.30303030303030304,0.26666666666666666,0708,Hansa Rostock0708,Cottbus0708,D10708,0.06969696969696959,0.4674220963172805,0.28328611898017003,0.2492917847025496,Hansa Rostock,Cottbus,3,0,0,0,1,2
