,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,E0,18/08/13,Crystal Palace,Tottenham,0,1,0.21052631578947367,0.26666666666666666,0.5464480874316939,1314,Crystal Palace1314,Tottenham1314,E01314,0.02364106988783421,0.20566419420094403,0.2605079793211958,0.5338278264778602,Tottenham,Crystal Palace,0,3,0,0,0,0
1,E0,24/08/13,Stoke,Crystal Palace,2,1,0.5464480874316939,0.2777777777777778,0.2,1314,Stoke1314,Crystal Palace1314,E01314,0.024225865209471786,0.5335230304108126,0.27120754045882983,0.19526942913035747,Stoke,Crystal Palace,3,0,0,0,0,0
2,E0,31/08/13,Crystal Palace,Sunderland,3,1,0.3846153846153846,0.30303030303030304,0.3333333333333333,1314,Crystal Palace1314,Sunderland1314,E01314,0.020979020979020824,0.3767123287671233,0.29680365296803657,0.3264840182648402,Crystal Palace,Sunderland,3,0,1,0,0,0
3,E0,14/09/13,Man United,Crystal Palace,2,0,0.819672131147541,0.14285714285714285,0.0625,1314,Man United1314,Crystal Palace1314,E01314,0.0250292740046838,0.7996572897329717,0.13936884192488933,0.06097386834213909,Man United,Crystal Palace,3,0,0,0,1,1
4,E0,22/09/13,Crystal Palace,Swansea,0,2,0.2857142857142857,0.29411764705882354,0.4444444444444444,1314,Crystal Palace1314,Swansea1314,E01314,0.024276377217553602,0.2789425706472197,0.2871467639015497,0.43391066545123064,Swansea,Crystal Palace,0,3,0,0,0,0
5,E0,28/09/13,Southampton,Crystal Palace,2,0,0.6896551724137931,0.2222222222222222,0.11764705882352941,1314,Southampton1314,Crystal Palace1314,E01314,0.029524453459544686,0.6698774080560421,0.2158493870402802,0.11427320490367776,Southampton,Crystal Palace,3,0,0,0,0,0
6,E0,05/10/13,Liverpool,Crystal Palace,3,1,0.8333333333333334,0.13333333333333333,0.058823529411764705,1314,Liverpool1314,Crystal Palace1314,E01314,0.025490196078431282,0.8126195028680689,0.13001912045889102,0.05736137667304016,Liverpool,Crystal Palace,3,0,0,0,0,0
7,E0,21/10/13,Crystal Palace,Fulham,1,4,0.36363636363636365,0.30303030303030304,0.35714285714285715,1314,Crystal Palace1314,Fulham1314,E01314,0.023809523809523947,0.3551797040169133,0.29598308668076106,0.34883720930232553,Crystal Palace,Fulham,0,3,0,0,0,0
8,E0,26/10/13,Crystal Palace,Arsenal,0,2,0.09090909090909091,0.2,0.7352941176470588,1314,Crystal Palace1314,Arsenal1314,E01314,0.02620320855614966,0.08858780614903597,0.19489317352787913,0.7165190203230849,Arsenal,Crystal Palace,0,3,0,0,0,0
9,E0,02/11/13,West Brom,Crystal Palace,2,0,0.6451612903225806,0.23809523809523808,0.14285714285714285,1314,West Brom1314,Crystal Palace1314,E01314,0.026113671274961447,0.62874251497006,0.2320359281437126,0.13922155688622756,West Brom,Crystal Palace,3,0,0,0,0,0
10,E0,09/11/13,Crystal Palace,Everton,0,0,0.15384615384615385,0.25,0.6172839506172839,1314,Crystal Palace1314,Everton1314,E01314,0.02113010446343777,0.15066263659614043,0.24482678446872821,0.6045105789351314,Everton,Crystal Palace,1,1,0,1,0,0
11,E0,23/11/13,Hull,Crystal Palace,0,1,0.5405405405405405,0.2857142857142857,0.2,1314,Hull1314,Crystal Palace1314,E01314,0.026254826254826114,0.526711813393529,0.27840481565086533,0.19488337095560576,Hull,Crystal Palace,0,3,1,0,0,1
12,E0,30/11/13,Norwich,Crystal Palace,1,0,0.5,0.29411764705882354,0.23094688221709006,1314,Norwich1314,Crystal Palace1314,E01314,0.02506452927591374,0.4877741700351202,0.2869259823736001,0.22529984759127952,Norwich,Crystal Palace,3,0,0,0,1,2
