,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,E0,11/08/07,Derby,Portsmouth,2,2,0.35714285714285715,0.3076923076923077,0.4166666666666667,0708,Derby0708,Portsmouth0708,E00708,0.08150183150183166,0.33022861981371715,0.2845046570702794,0.38526672311600335,Portsmouth,Derby,1,1,0,1,0,0
1,E0,15/08/07,Man City,Derby,1,0,0.6211180124223602,0.2777777777777778,0.18181818181818182,0708,Man City0708,Derby0708,E00708,0.08071397201831987,0.574729325708978,0.2570317262198485,0.16823894807117354,Man City,Derby,3,0,0,0,0,1
2,E0,18/08/07,Tottenham,Derby,4,0,0.6944444444444444,0.25,0.13333333333333333,0708,Tottenham0708,Derby0708,E00708,0.07777777777777772,0.6443298969072165,0.23195876288659795,0.12371134020618557,Tottenham,Derby,3,0,0,0,0,0
3,E0,25/08/07,Derby,Birmingham,1,2,0.42194092827004215,0.3076923076923077,0.3484320557491289,0708,Derby0708,Birmingham0708,E00708,0.0780652917114788,0.3913871743335613,0.28541157020632013,0.3232012554601186,Derby,Birmingham,0,3,0,0,0,0
4,E0,01/09/07,Liverpool,Derby,6,0,0.8620689655172414,0.16666666666666666,0.05263157894736842,0708,Liverpool0708,Derby0708,E00708,0.08136721113127643,0.7972027972027973,0.1541258741258741,0.04867132867132867,Liverpool,Derby,3,0,0,0,0,0
5,E0,17/09/07,Derby,Newcastle,1,0,0.23094688221709006,0.3076923076923077,0.5263157894736842,0708,Derby0708,Newcastle0708,E00708,0.06495497938308192,0.21686069992449386,0.2889251786686334,0.4942141214068728,Newcastle,Derby,3,0,1,0,0,0
6,E0,22/09/07,Arsenal,Derby,5,0,0.8771929824561404,0.14285714285714285,0.043478260869565216,0708,Arsenal0708,Derby0708,E00708,0.0635283861828484,0.8247950819672132,0.13432377049180327,0.040881147540983605,Arsenal,Derby,3,0,0,0,1,1
7,E0,29/09/07,Derby,Bolton,1,1,0.37037037037037035,0.3076923076923077,0.38167938931297707,0708,Derby0708,Bolton0708,E00708,0.05974206737565524,0.3494910523723526,0.29034641274010836,0.3601625348875389,Bolton,Derby,1,1,0,1,0,0
8,E0,07/10/07,Reading,Derby,1,0,0.5813953488372093,0.2777777777777778,0.2,0708,Reading0708,Derby0708,E00708,0.05917312661498708,0.5489143693583801,0.2622590875823372,0.18882654305928276,Reading,Derby,3,0,0,0,0,1
9,E0,20/10/07,Fulham,Derby,0,0,0.5813953488372093,0.2857142857142857,0.19047619047619047,0708,Fulham0708,Derby0708,E00708,0.0575858250276855,0.549738219895288,0.2701570680628272,0.1801047120418848,Fulham,Derby,1,1,0,1,0,0
10,E0,28/10/07,Derby,Everton,0,2,0.2777777777777778,0.30303030303030304,0.47619047619047616,0708,Derby0708,Everton0708,E00708,0.05699855699855716,0.26279863481228666,0.28668941979522183,0.4505119453924914,Everton,Derby,0,3,0,0,0,1
11,E0,03/11/07,Aston Villa,Derby,2,0,0.7142857142857143,0.23094688221709006,0.1111111111111111,0708,Aston Villa0708,Derby0708,E00708,0.056343707613915495,0.6761868406440866,0.21862853970016655,0.1051846196557468,Aston Villa,Derby,3,0,0,0,0,0
12,E0,10/11/07,Derby,West Ham,0,5,0.3076923076923077,0.29411764705882354,0.45454545454545453,0708,Derby0708,West Ham0708,E00708,0.05635540929658589,0.29127725856697817,0.27842679127725856,0.43029595015576316,West Ham,Derby,0,3,0,0,0,0
13,E0,24/11/07,Derby,Chelsea,0,2,0.06666666666666667,0.16666666666666666,0.819672131147541,0708,Derby0708,Chelsea0708,E00708,0.0530054644808744,0.06331084587441618,0.15827711468604044,0.7784120394395433,Chelsea,Derby,0,3,0,0,0,0
14,E0,01/12/07,Sunderland,Derby,1,0,0.6024096385542169,0.2777777777777778,0.18181818181818182,0708,Sunderland0708,Derby0708,E00708,0.06200559815017659,0.5672377241734945,0.261559617257778,0.17120265856872743,Sunderland,Derby,3,0,0,0,0,0
15,E0,08/12/07,Man United,Derby,4,1,0.9009009009009008,0.11764705882352941,0.038461538461538464,0708,Man United0708,Derby0708,E00708,0.05700949818596879,0.8523110742590485,0.11130179910912281,0.036387126631828616,Man United,Derby,3,0,0,0,0,0
16,E0,15/12/07,Derby,Middlesbrough,0,1,0.3225806451612903,0.3076923076923077,0.42194092827004215,0708,Derby0708,Middlesbrough0708,E00708,0.052213881123640116,0.3065732651396048,0.2924237298254692,0.4010030050349261,Middlesbrough,Derby,0,3,0,0,0,0
17,E0,23/12/07,Newcastle,Derby,2,2,0.7518796992481203,0.21052631578947367,0.09090909090909091,0708,Newcastle0708,Derby0708,E00708,0.05331510594668476,0.7138221933809216,0.19987021414665804,0.08630759247242052,Newcastle,Derby,1,1,0,1,0,0
18,E0,26/12/07,Derby,Liverpool,1,2,0.07692307692307693,0.2,0.78125,0708,Derby0708,Liverpool0708,E00708,0.05817307692307683,0.07269422989550206,0.18900499772830534,0.7383007723761927,Liverpool,Derby,0,3,0,0,0,1
19,E0,30/12/07,Derby,Blackburn,1,2,0.25,0.2857142857142857,0.5263157894736842,0708,Derby0708,Blackburn0708,E00708,0.06203007518796988,0.23539823008849559,0.26902654867256637,0.49557522123893805,Blackburn,Derby,0,3,0,0,0,0
20,E0,02/01/08,Bolton,Derby,1,0,0.6535947712418301,0.25,0.15384615384615385,0708,Bolton0708,Derby0708,E00708,0.05744092508798393,0.6180910495661476,0.23641982645905146,0.1454891239748009,Bolton,Derby,3,0,0,0,0,0
21,E0,12/01/08,Derby,Wigan,0,1,0.3484320557491289,0.3076923076923077,0.4,0708,Derby0708,Wigan0708,E00708,0.056124363441436564,0.3299157445944574,0.2913409806111055,0.37874327479443715,Wigan,Derby,0,3,0,0,0,0
22,E0,19/01/08,Portsmouth,Derby,3,1,0.6944444444444444,0.23809523809523808,0.125,0708,Portsmouth0708,Derby0708,E00708,0.05753968253968256,0.6566604127579737,0.225140712945591,0.11819887429643527,Portsmouth,Derby,3,0,0,0,0,0
23,E0,30/01/08,Derby,Man City,1,1,0.2,0.2777777777777778,0.5813953488372093,0708,Derby0708,Man City0708,E00708,0.05917312661498708,0.18882654305928276,0.2622590875823372,0.5489143693583801,Man City,Derby,1,1,0,1,0,0
