,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,D1,11/08/06,Bayern Munich,Dortmund,2,0,0.6369426751592356,0.2777777777777778,0.16666666666666666,0607,Bayern Munich0607,Dortmund0607,D10607,0.08138711960368017,0.5890052356020942,0.2568717277486911,0.15412303664921465,Bayern Munich,Dortmund,3,0,0,0,0,0
1,D1,19/08/06,Dortmund,Mainz,1,1,0.6211180124223602,0.2777777777777778,0.18181818181818182,0607,Dortmund0607,Mainz0607,D10607,0.08071397201831987,0.574729325708978,0.2570317262198485,0.16823894807117354,Dortmund,Mainz,1,1,0,1,0,0
2,D1,26/08/06,Stuttgart,Dortmund,1,3,0.4347826086956522,0.3225806451612903,0.3225806451612903,0607,Stuttgart0607,Dortmund0607,D10607,0.07994389901823284,0.4025974025974026,0.2987012987012987,0.2987012987012987,Stuttgart,Dortmund,0,3,1,0,0,1
3,D1,16/09/06,Dortmund,Hamburg,1,0,0.45454545454545453,0.3125,0.3076923076923077,0607,Dortmund0607,Hamburg0607,D10607,0.0747377622377623,0.422936152907686,0.29076860512403413,0.28629524196827977,Dortmund,Hamburg,3,0,1,0,1,2
4,D1,22/09/06,M'gladbach,Dortmund,1,0,0.42194092827004215,0.3076923076923077,0.3484320557491289,0607,M'gladbach0607,Dortmund0607,D10607,0.0780652917114788,0.3913871743335613,0.28541157020632013,0.3232012554601186,M'gladbach,Dortmund,3,0,0,0,2,3
5,D1,29/09/06,Dortmund,Hannover,2,2,0.6211180124223602,0.2777777777777778,0.18181818181818182,0607,Dortmund0607,Hannover0607,D10607,0.08071397201831987,0.574729325708978,0.2570317262198485,0.16823894807117354,Dortmund,Hannover,1,1,0,1,0,0
6,D1,15/10/06,Cottbus,Dortmund,2,3,0.3484320557491289,0.3076923076923077,0.42194092827004215,0607,Cottbus0607,Dortmund0607,D10607,0.0780652917114788,0.3232012554601186,0.28541157020632013,0.3913871743335613,Dortmund,Cottbus,0,3,1,0,0,1
7,D1,20/10/06,Dortmund,Bochum,1,1,0.6944444444444444,0.25,0.13333333333333333,0607,Dortmund0607,Bochum0607,D10607,0.07777777777777772,0.6443298969072165,0.23195876288659795,0.12371134020618557,Dortmund,Bochum,1,1,0,1,1,2
8,D1,28/10/06,Nurnberg,Dortmund,1,1,0.4166666666666667,0.3125,0.3484320557491289,0607,Nurnberg0607,Dortmund0607,D10607,0.07759872241579568,0.3866621758167733,0.28999663186257996,0.3233411923206466,Nurnberg,Dortmund,1,1,0,1,0,3
9,D1,04/11/06,Dortmund,Bielefeld,1,1,0.6024096385542169,0.2777777777777778,0.2,0607,Dortmund0607,Bielefeld0607,D10607,0.08018741633199467,0.5576899244020325,0.25715702069649277,0.1851530549014748,Dortmund,Bielefeld,1,1,0,1,0,4
