,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,D1,12/08/07,Dortmund,Duisburg,1,3,0.6535947712418301,0.2631578947368421,0.16666666666666666,0708,Dortmund0708,Duisburg0708,D10708,0.08341933264533896,0.6032703603746626,0.24289569772979833,0.15383394189553895,Dortmund,Duisburg,0,3,1,0,0,0
1,D1,18/08/07,Duisburg,Wolfsburg,1,3,0.4347826086956522,0.3076923076923077,0.3333333333333333,0708,Duisburg0708,Wolfsburg0708,D10708,0.0758082497212933,0.40414507772020725,0.2860103626943005,0.3098445595854922,Duisburg,Wolfsburg,0,3,0,0,1,1
2,D1,25/08/07,Stuttgart,Duisburg,1,0,0.6944444444444444,0.25,0.13333333333333333,0708,Stuttgart0708,Duisburg0708,D10708,0.07777777777777772,0.6443298969072165,0.23195876288659795,0.12371134020618557,Stuttgart,Duisburg,3,0,0,0,0,0
3,D1,01/09/07,Duisburg,Bielefeld,3,0,0.4347826086956522,0.3076923076923077,0.3333333333333333,0708,Duisburg0708,Bielefeld0708,D10708,0.0758082497212933,0.40414507772020725,0.2860103626943005,0.3098445595854922,Duisburg,Bielefeld,3,0,1,0,0,0
4,D1,16/09/07,Duisburg,Hertha,1,2,0.37735849056603776,0.3076923076923077,0.37735849056603776,0708,Duisburg0708,Hertha0708,D10708,0.062409288824383236,0.3551912568306011,0.2896174863387978,0.3551912568306011,Duisburg,Hertha,0,3,0,0,1,1
5,D1,22/09/07,Hansa Rostock,Duisburg,2,0,0.4166666666666667,0.30303030303030304,0.3448275862068966,0708,Hansa Rostock0708,Duisburg0708,D10708,0.0645245559038663,0.3914110429447853,0.2846625766871166,0.3239263803680982,Hansa Rostock,Duisburg,3,0,0,0,0,0
6,D1,25/09/07,Duisburg,Schalke 04,0,2,0.2,0.2857142857142857,0.5813953488372093,0708,Duisburg0708,Schalke 040708,D10708,0.06710963455149499,0.1874221668742217,0.26774595267745954,0.5448318804483189,Schalke 04,Duisburg,0,3,0,0,0,0
7,D1,30/09/07,Hannover,Duisburg,2,1,0.5813953488372093,0.2857142857142857,0.2,0708,Hannover0708,Duisburg0708,D10708,0.06710963455149499,0.5448318804483189,0.26774595267745954,0.1874221668742217,Hannover,Duisburg,3,0,0,0,0,0
8,D1,06/10/07,Duisburg,Werder Bremen,1,3,0.18181818181818182,0.2631578947368421,0.6211180124223602,0708,Duisburg0708,Werder Bremen0708,D10708,0.06609408897738422,0.17054609316198813,0.24684302957656173,0.58261087726145,Werder Bremen,Duisburg,0,3,0,0,0,0
9,D1,19/10/07,Cottbus,Duisburg,1,2,0.5,0.29411764705882354,0.26666666666666666,0708,Cottbus0708,Duisburg0708,D10708,0.0607843137254902,0.47134935304990755,0.27726432532347506,0.2513863216266174,Cottbus,Duisburg,0,3,1,0,0,0
10,D1,28/10/07,Duisburg,Hamburg,0,1,0.25,0.29411764705882354,0.5263157894736842,0708,Duisburg0708,Hamburg0708,D10708,0.07043343653250789,0.23355025307302962,0.27476500361532896,0.49168474331164125,Hamburg,Duisburg,0,3,0,0,1,1
11,D1,04/11/07,Karlsruhe,Duisburg,1,0,0.5555555555555556,0.2857142857142857,0.2222222222222222,0708,Karlsruhe0708,Duisburg0708,D10708,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Karlsruhe,Duisburg,3,0,0,0,0,0
