,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,D1,08/08/09,Werder Bremen,Ein Frankfurt,2,3,0.7142857142857143,0.2222222222222222,0.125,0910,Werder Bremen0910,Ein Frankfurt0910,D10910,0.06150793650793651,0.6728971962616822,0.20934579439252335,0.11775700934579439,Werder Bremen,Ein Frankfurt,0,3,1,0,0,0
1,D1,15/08/09,Ein Frankfurt,Nurnberg,1,1,0.48780487804878053,0.29411764705882354,0.2777777777777778,0910,Ein Frankfurt0910,Nurnberg0910,D10910,0.05970030288538197,0.4603234298608499,0.27754795035727714,0.26212861978187285,Ein Frankfurt,Nurnberg,1,1,0,1,1,1
2,D1,22/08/09,FC Koln,Ein Frankfurt,0,0,0.45454545454545453,0.29411764705882354,0.3125,0910,FC Koln0910,Ein Frankfurt0910,D10910,0.06116310160427796,0.42834645669291344,0.2771653543307087,0.29448818897637796,FC Koln,Ein Frankfurt,1,1,0,1,0,2
3,D1,29/08/09,Ein Frankfurt,Dortmund,1,1,0.3448275862068966,0.30303030303030304,0.4166666666666667,0910,Ein Frankfurt0910,Dortmund0910,D10910,0.0645245559038663,0.3239263803680982,0.2846625766871166,0.3914110429447853,Dortmund,Ein Frankfurt,1,1,0,1,0,3
4,D1,12/09/09,Freiburg,Ein Frankfurt,0,2,0.45454545454545453,0.30303030303030304,0.3076923076923077,0910,Freiburg0910,Ein Frankfurt0910,D10910,0.06526806526806528,0.42669584245076586,0.2844638949671772,0.2888402625820569,Freiburg,Ein Frankfurt,0,3,1,0,0,4
5,D1,20/09/09,Ein Frankfurt,Hamburg,1,1,0.2777777777777778,0.2777777777777778,0.5128205128205129,0910,Ein Frankfurt0910,Hamburg0910,D10910,0.06837606837606858,0.25999999999999995,0.25999999999999995,0.48,Hamburg,Ein Frankfurt,1,1,0,1,1,5
6,D1,26/09/09,Ein Frankfurt,Stuttgart,0,3,0.3448275862068966,0.30303030303030304,0.4166666666666667,0910,Ein Frankfurt0910,Stuttgart0910,D10910,0.0645245559038663,0.3239263803680982,0.2846625766871166,0.3914110429447853,Stuttgart,Ein Frankfurt,0,3,0,0,0,6
7,D1,02/10/09,Schalke 04,Ein Frankfurt,2,0,0.6666666666666666,0.25,0.14285714285714285,0910,Schalke 040910,Ein Frankfurt0910,D10910,0.059523809523809534,0.6292134831460674,0.23595505617977527,0.1348314606741573,Schalke 04,Ein Frankfurt,3,0,0,0,0,0
8,D1,17/10/09,Ein Frankfurt,Hannover,2,1,0.45454545454545453,0.29411764705882354,0.3125,0910,Ein Frankfurt0910,Hannover0910,D10910,0.06116310160427796,0.42834645669291344,0.2771653543307087,0.29448818897637796,Ein Frankfurt,Hannover,3,0,1,0,0,0
9,D1,24/10/09,Bayern Munich,Ein Frankfurt,2,1,0.8,0.18181818181818182,0.08333333333333333,0910,Bayern Munich0910,Ein Frankfurt0910,D10910,0.06515151515151518,0.7510668563300142,0.17069701280227595,0.07823613086770981,Bayern Munich,Ein Frankfurt,3,0,0,0,1,1
10,D1,01/11/09,Ein Frankfurt,Bochum,2,1,0.5464480874316939,0.2857142857142857,0.23094688221709006,0910,Ein Frankfurt0910,Bochum0910,D10910,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Ein Frankfurt,Bochum,3,0,1,0,0,0
11,D1,06/11/09,Leverkusen,Ein Frankfurt,4,0,0.7142857142857143,0.2222222222222222,0.125,0910,Leverkusen0910,Ein Frankfurt0910,D10910,0.06150793650793651,0.6728971962616822,0.20934579439252335,0.11775700934579439,Leverkusen,Ein Frankfurt,3,0,0,0,1,1
12,D1,21/11/09,Ein Frankfurt,M'gladbach,1,2,0.47619047619047616,0.29411764705882354,0.29411764705882354,0910,Ein Frankfurt0910,M'gladbach0910,D10910,0.06442577030812324,0.4473684210526316,0.27631578947368424,0.27631578947368424,Ein Frankfurt,M'gladbach,0,3,0,0,0,0
13,D1,28/11/09,Hertha,Ein Frankfurt,1,3,0.5,0.29411764705882354,0.2631578947368421,0910,Hertha0910,Ein Frankfurt0910,D10910,0.05727554179566563,0.47291361639824303,0.2781844802342606,0.24890190336749632,Hertha,Ein Frankfurt,0,3,1,0,0,0
14,D1,05/12/09,Ein Frankfurt,Mainz,2,0,0.45454545454545453,0.3076923076923077,0.30303030303030304,0910,Ein Frankfurt0910,Mainz0910,D10910,0.06526806526806528,0.42669584245076586,0.2888402625820569,0.2844638949671772,Ein Frankfurt,Mainz,3,0,1,0,1,1
15,D1,12/12/09,Hoffenheim,Ein Frankfurt,1,1,0.6666666666666666,0.25,0.14285714285714285,0910,Hoffenheim0910,Ein Frankfurt0910,D10910,0.059523809523809534,0.6292134831460674,0.23595505617977527,0.1348314606741573,Hoffenheim,Ein Frankfurt,1,1,0,1,2,2
16,D1,19/12/09,Ein Frankfurt,Wolfsburg,2,2,0.3076923076923077,0.30303030303030304,0.45454545454545453,0910,Ein Frankfurt0910,Wolfsburg0910,D10910,0.06526806526806528,0.2888402625820569,0.2844638949671772,0.42669584245076586,Wolfsburg,Ein Frankfurt,1,1,0,1,0,3
17,D1,16/01/10,Ein Frankfurt,Werder Bremen,1,0,0.26666666666666666,0.2857142857142857,0.5128205128205129,0910,Ein Frankfurt0910,Werder Bremen0910,D10910,0.06520146520146541,0.2503438789546079,0.26822558459422274,0.4814305364511692,Werder Bremen,Ein Frankfurt,3,0,1,0,0,4
18,D1,23/01/10,Nurnberg,Ein Frankfurt,1,1,0.46511627906976744,0.30303030303030304,0.30303030303030304,0910,Nurnberg0910,Ein Frankfurt0910,D10910,0.07117688513037357,0.43421052631578944,0.28289473684210525,0.28289473684210525,Nurnberg,Ein Frankfurt,1,1,0,1,1,5
19,D1,30/01/10,Ein Frankfurt,FC Koln,1,2,0.5,0.29411764705882354,0.26666666666666666,0910,Ein Frankfurt0910,FC Koln0910,D10910,0.0607843137254902,0.47134935304990755,0.27726432532347506,0.2513863216266174,Ein Frankfurt,FC Koln,0,3,0,0,0,6
20,D1,07/02/10,Dortmund,Ein Frankfurt,2,3,0.6172839506172839,0.2777777777777778,0.16666666666666666,0910,Dortmund0910,Ein Frankfurt0910,D10910,0.06172839506172845,0.5813953488372092,0.2616279069767442,0.15697674418604649,Dortmund,Ein Frankfurt,0,3,1,0,0,0
21,D1,14/02/10,Ein Frankfurt,Freiburg,2,1,0.5555555555555556,0.2857142857142857,0.2222222222222222,0910,Ein Frankfurt0910,Freiburg0910,D10910,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Ein Frankfurt,Freiburg,3,0,1,0,1,1
22,D1,20/02/10,Hamburg,Ein Frankfurt,0,0,0.6666666666666666,0.2631578947368421,0.13333333333333333,0910,Hamburg0910,Ein Frankfurt0910,D10910,0.06315789473684208,0.627062706270627,0.24752475247524752,0.1254125412541254,Hamburg,Ein Frankfurt,1,1,0,1,2,2
