,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,SP1,19/08/13,Vallecano,Elche,3,0,0.4444444444444444,0.3076923076923077,0.3076923076923077,1314,Vallecano1314,Elche1314,SP11314,0.05982905982905984,0.4193548387096774,0.2903225806451613,0.2903225806451613,Vallecano,Elche,3,0,0,0,0,0
1,SP1,24/08/13,Elche,Sociedad,1,1,0.3125,0.29411764705882354,0.45454545454545453,1314,Elche1314,Sociedad1314,SP11314,0.06116310160427818,0.2944881889763779,0.27716535433070866,0.4283464566929133,Sociedad,Elche,1,1,0,1,0,0
2,SP1,30/08/13,Almeria,Elche,2,2,0.5,0.30303030303030304,0.2631578947368421,1314,Almeria1314,Elche1314,SP11314,0.06618819776714502,0.4689603590127151,0.2842183994016455,0.2468212415856395,Almeria,Elche,1,1,0,1,0,1
3,SP1,16/09/13,Elche,Valladolid,0,0,0.4444444444444444,0.3076923076923077,0.3076923076923077,1314,Elche1314,Valladolid1314,SP11314,0.05982905982905984,0.4193548387096774,0.2903225806451613,0.2903225806451613,Elche,Valladolid,1,1,0,1,0,2
4,SP1,20/09/13,Osasuna,Elche,2,1,0.5,0.29411764705882354,0.26666666666666666,1314,Osasuna1314,Elche1314,SP11314,0.0607843137254902,0.47134935304990755,0.27726432532347506,0.2513863216266174,Osasuna,Elche,3,0,0,0,0,3
5,SP1,25/09/13,Elche,Real Madrid,1,2,0.1,0.18181818181818182,0.7751937984496123,1314,Elche1314,Real Madrid1314,SP11314,0.05701198026779419,0.09460630708713914,0.17201146743116208,0.7333822254816987,Real Madrid,Elche,0,3,0,0,0,0
6,SP1,29/09/13,Celta,Elche,0,1,0.5235602094240838,0.29411764705882354,0.25,1314,Celta1314,Elche1314,SP11314,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Celta,Elche,0,3,1,0,0,0
7,SP1,05/10/13,Elche,Espanol,2,1,0.4,0.30303030303030304,0.36363636363636365,1314,Elche1314,Espanol1314,SP11314,0.06666666666666687,0.37499999999999994,0.28409090909090906,0.34090909090909083,Elche,Espanol,3,0,1,0,1,1
8,SP1,20/10/13,Betis,Elche,1,2,0.5780346820809249,0.2857142857142857,0.2,1314,Betis1314,Elche1314,SP11314,0.06374896779521055,0.5433938829374321,0.2685918335662164,0.18801428349635152,Betis,Elche,0,3,1,0,2,2
9,SP1,26/10/13,Elche,Granada,0,1,0.5235602094240838,0.29411764705882354,0.25,1314,Elche1314,Granada1314,SP11314,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Elche,Granada,0,3,0,0,3,3
10,SP1,31/10/13,Ath Bilbao,Elche,2,2,0.6172839506172839,0.26666666666666666,0.18181818181818182,1314,Ath Bilbao1314,Elche1314,SP11314,0.06576879910213251,0.5791912384161751,0.2502106149957877,0.17059814658803707,Ath Bilbao,Elche,1,1,0,1,0,0
11,SP1,04/11/13,Elche,Villarreal,0,1,0.30303030303030304,0.30303030303030304,0.45454545454545453,1314,Elche1314,Villarreal1314,SP11314,0.06060606060606055,0.28571428571428575,0.28571428571428575,0.4285714285714286,Villarreal,Elche,0,3,0,0,0,1
