,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,F1,10/08/13,Evian Thonon Gaillard,Sochaux,1,1,0.46511627906976744,0.3225806451612903,0.2777777777777778,1314,Evian Thonon Gaillard1314,Sochaux1314,F11314,0.06547470200883554,0.4365343242714649,0.30275767651085467,0.26070799921768045,Evian Thonon Gaillard,Sochaux,1,1,0,1,0,0
1,F1,17/08/13,Marseille,Evian Thonon Gaillard,2,0,0.7142857142857143,0.2222222222222222,0.125,1314,Marseille1314,Evian Thonon Gaillard1314,F11314,0.06150793650793651,0.6728971962616822,0.20934579439252335,0.11775700934579439,Marseille,Evian Thonon Gaillard,3,0,0,0,0,1
2,F1,24/08/13,Evian Thonon Gaillard,Rennes,1,2,0.42016806722689076,0.3225806451612903,0.3225806451612903,1314,Evian Thonon Gaillard1314,Rennes1314,F11314,0.06532935754947133,0.3944020356234097,0.30279898218829515,0.30279898218829515,Evian Thonon Gaillard,Rennes,0,3,0,0,0,0
3,F1,31/08/13,Evian Thonon Gaillard,Lyon,2,1,0.3076923076923077,0.3125,0.4444444444444444,1314,Evian Thonon Gaillard1314,Lyon1314,F11314,0.06463675213675213,0.28901154039136984,0.29352734570998495,0.41746111389864526,Lyon,Evian Thonon Gaillard,3,0,1,0,0,0
4,F1,14/09/13,Ajaccio,Evian Thonon Gaillard,2,3,0.37037037037037035,0.3333333333333333,0.35714285714285715,1314,Ajaccio1314,Evian Thonon Gaillard1314,F11314,0.060846560846560926,0.34912718204488774,0.31421446384039897,0.3366583541147132,Ajaccio,Evian Thonon Gaillard,0,3,1,0,1,1
5,F1,21/09/13,Evian Thonon Gaillard,Montpellier,2,2,0.45454545454545453,0.30303030303030304,0.3076923076923077,1314,Evian Thonon Gaillard1314,Montpellier1314,F11314,0.06526806526806528,0.42669584245076586,0.2844638949671772,0.2888402625820569,Evian Thonon Gaillard,Montpellier,1,1,0,1,2,2
6,F1,24/09/13,Lille,Evian Thonon Gaillard,3,0,0.6535947712418301,0.2631578947368421,0.15384615384615385,1314,Lille1314,Evian Thonon Gaillard1314,F11314,0.07059881982482619,0.6104945747546898,0.245804394572283,0.143701030673027,Lille,Evian Thonon Gaillard,3,0,0,0,0,3
7,F1,28/09/13,Evian Thonon Gaillard,Bordeaux,1,1,0.4,0.3225806451612903,0.3448275862068966,1314,Evian Thonon Gaillard1314,Bordeaux1314,F11314,0.06740823136818697,0.3747394747811588,0.3022092538557732,0.32305127136306794,Evian Thonon Gaillard,Bordeaux,1,1,0,1,0,0
8,F1,05/10/13,Nantes,Evian Thonon Gaillard,3,0,0.5464480874316939,0.29411764705882354,0.2222222222222222,1314,Nantes1314,Evian Thonon Gaillard1314,F11314,0.06278795671273985,0.5141647343482205,0.27674160701683637,0.209093658634943,Nantes,Evian Thonon Gaillard,3,0,0,0,0,1
9,F1,19/10/13,Evian Thonon Gaillard,Guingamp,1,2,0.4444444444444444,0.3125,0.3076923076923077,1314,Evian Thonon Gaillard1314,Guingamp1314,F11314,0.06463675213675213,0.41746111389864526,0.29352734570998495,0.28901154039136984,Evian Thonon Gaillard,Guingamp,0,3,0,0,0,0
10,F1,26/10/13,Valenciennes,Evian Thonon Gaillard,0,1,0.5,0.30303030303030304,0.2631578947368421,1314,Valenciennes1314,Evian Thonon Gaillard1314,F11314,0.06618819776714502,0.4689603590127151,0.2842183994016455,0.2468212415856395,Valenciennes,Evian Thonon Gaillard,0,3,1,0,0,0
