,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,E2,08/08/09,Leeds,Exeter,2,1,0.6944444444444444,0.23809523809523808,0.13333333333333333,0910,Leeds0910,Exeter0910,E20910,0.06587301587301586,0.6515264333581534,0.22338049143708116,0.12509307520476545,Portsmouth,Fulham,3,0,0,0,0,0
1,E2,15/08/09,Exeter,Norwich,1,1,0.37037037037037035,0.3076923076923077,0.3846153846153846,0910,Exeter0910,Norwich0910,E20910,0.06267806267806275,0.34852546916890076,0.28954423592493295,0.3619302949061662,Tottenham,Hull,1,1,0,1,0,0
2,E2,18/08/09,Exeter,Yeovil,1,1,0.47619047619047616,0.29411764705882354,0.2857142857142857,0910,Exeter0910,Yeovil0910,E20910,0.056022408963585235,0.4509283819628648,0.2785145888594165,0.27055702917771884,Blackburn,West Ham,1,1,0,1,0,1
3,E2,22/08/09,Carlisle,Exeter,0,1,0.47619047619047616,0.29411764705882354,0.2857142857142857,0910,Carlisle0910,Exeter0910,E20910,0.056022408963585235,0.4509283819628648,0.2785145888594165,0.27055702917771884,Portsmouth,Bolton,0,3,1,0,0,2
4,E2,29/08/09,Exeter,Milton Keynes Dons,1,2,0.3225806451612903,0.30303030303030304,0.4347826086956522,0910,Exeter0910,Milton Keynes Dons0910,E20910,0.06039355688724557,0.30420841683366734,0.28577154308617236,0.41002004008016035,Liverpool,West Ham,0,3,0,0,1,3
5,E2,05/09/09,Gillingham,Exeter,3,0,0.5,0.29411764705882354,0.2777777777777778,0910,Gillingham0910,Exeter0910,E20910,0.0718954248366015,0.46646341463414626,0.274390243902439,0.2591463414634146,Tottenham,Bolton,3,0,0,0,0,0
6,E2,12/09/09,Leyton Orient,Exeter,1,1,0.47619047619047616,0.29411764705882354,0.29411764705882354,0910,Leyton Orient0910,Exeter0910,E20910,0.06442577030812324,0.4473684210526316,0.27631578947368424,0.27631578947368424,Man United,Bolton,1,1,0,1,0,0
7,E2,19/09/09,Exeter,Tranmere,2,1,0.47619047619047616,0.30303030303030304,0.2857142857142857,0910,Exeter0910,Tranmere0910,E20910,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Burnley,Wigan,3,0,1,0,0,1
8,E2,26/09/09,Charlton,Exeter,2,1,0.6944444444444444,0.23809523809523808,0.13333333333333333,0910,Charlton0910,Exeter0910,E20910,0.06587301587301586,0.6515264333581534,0.22338049143708116,0.12509307520476545,Burnley,Hull,3,0,0,0,1,2
9,E2,29/09/09,Exeter,Swindon,1,1,0.4,0.3076923076923077,0.35714285714285715,0910,Exeter0910,Swindon0910,E20910,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Tottenham,Sunderland,1,1,0,1,0,0
