,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,D1,06/08/11,FC Koln,Wolfsburg,0,3,0.4,0.29411764705882354,0.37037037037037035,1112,FC Koln1112,Wolfsburg1112,D11112,0.06448801742919397,0.375767498976668,0.2762996316004912,0.34793286942284074,FC Koln,Wolfsburg,0,3,0,0,0,0
1,D1,13/08/11,Schalke 04,FC Koln,5,1,0.6172839506172839,0.2631578947368421,0.18181818181818182,1112,Schalke 041112,FC Koln1112,D11112,0.06226002717230794,0.5811043763554468,0.24773397097258518,0.17116165267196795,Schalke 04,FC Koln,3,0,0,0,0,0
2,D1,20/08/11,FC Koln,Kaiserslautern,1,1,0.4347826086956522,0.30303030303030304,0.3225806451612903,1112,FC Koln1112,Kaiserslautern1112,D11112,0.06039355688724557,0.41002004008016035,0.28577154308617236,0.30420841683366734,FC Koln,Kaiserslautern,1,1,0,1,0,0
3,D1,27/08/11,Hamburg,FC Koln,3,4,0.5405405405405405,0.2777777777777778,0.25,1112,Hamburg1112,FC Koln1112,D11112,0.06831831831831825,0.5059732958538299,0.26001405481377377,0.23401264933239635,Hamburg,FC Koln,0,3,1,0,0,1
4,D1,11/09/11,FC Koln,Nurnberg,1,2,0.3846153846153846,0.3076923076923077,0.37037037037037035,1112,FC Koln1112,Nurnberg1112,D11112,0.06267806267806275,0.3619302949061662,0.28954423592493295,0.34852546916890076,FC Koln,Nurnberg,0,3,0,0,1,2
5,D1,17/09/11,Leverkusen,FC Koln,1,4,0.7142857142857143,0.2173913043478261,0.13333333333333333,1112,Leverkusen1112,FC Koln1112,D11112,0.06501035196687366,0.6706842923794712,0.20412130637636083,0.12519440124416797,Leverkusen,FC Koln,0,3,1,0,0,0
6,D1,25/09/11,FC Koln,Hoffenheim,2,0,0.3333333333333333,0.29411764705882354,0.4347826086956522,1112,FC Koln1112,Hoffenheim1112,D11112,0.06223358908780918,0.3138041733547351,0.2768860353130016,0.40930979133226325,Hoffenheim,FC Koln,3,0,1,0,1,1
7,D1,01/10/11,Hertha,FC Koln,3,0,0.5235602094240838,0.2857142857142857,0.25,1112,Hertha1112,FC Koln1112,D11112,0.059274495138369465,0.4942630185348632,0.26972639011473964,0.23601059135039718,Hertha,FC Koln,3,0,0,0,2,2
8,D1,16/10/11,FC Koln,Hannover,2,0,0.4166666666666667,0.29411764705882354,0.35714285714285715,1112,FC Koln1112,Hannover1112,D11112,0.06792717086834732,0.39016393442622954,0.2754098360655738,0.3344262295081967,FC Koln,Hannover,3,0,1,0,0,0
9,D1,22/10/11,Dortmund,FC Koln,5,0,0.7751937984496123,0.18181818181818182,0.10526315789473684,1112,Dortmund1112,FC Koln1112,D11112,0.06227513816253083,0.7297486033519555,0.171159217877095,0.09909217877094974,Dortmund,FC Koln,3,0,0,0,1,1
