,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,D1,25/08/12,Augsburg,Fortuna Dusseldorf,0,2,0.5,0.2857142857142857,0.2777777777777778,1213,Augsburg1213,Fortuna Dusseldorf1213,D11213,0.06349206349206349,0.4701492537313433,0.26865671641791045,0.2611940298507463,Augsburg,Fortuna Dusseldorf,0,3,1,0,0,0
1,D1,01/09/12,Fortuna Dusseldorf,M'gladbach,0,0,0.3448275862068966,0.30303030303030304,0.4166666666666667,1213,Fortuna Dusseldorf1213,M'gladbach1213,D11213,0.0645245559038663,0.3239263803680982,0.2846625766871166,0.3914110429447853,M'gladbach,Fortuna Dusseldorf,1,1,0,1,1,1
2,D1,15/09/12,Stuttgart,Fortuna Dusseldorf,0,0,0.6172839506172839,0.2631578947368421,0.18181818181818182,1213,Stuttgart1213,Fortuna Dusseldorf1213,D11213,0.06226002717230794,0.5811043763554468,0.24773397097258518,0.17116165267196795,Stuttgart,Fortuna Dusseldorf,1,1,0,1,0,2
3,D1,22/09/12,Fortuna Dusseldorf,Freiburg,0,0,0.46511627906976744,0.29411764705882354,0.30303030303030304,1213,Fortuna Dusseldorf1213,Freiburg1213,D11213,0.06226422915889396,0.43785365853658537,0.27687804878048783,0.28526829268292686,Fortuna Dusseldorf,Freiburg,1,1,0,1,0,3
4,D1,25/09/12,Greuther Furth,Fortuna Dusseldorf,0,2,0.46511627906976744,0.3076923076923077,0.2857142857142857,1213,Greuther Furth1213,Fortuna Dusseldorf1213,D11213,0.0585228724763609,0.43940125543215836,0.2906808305166586,0.269917914051183,Greuther Furth,Fortuna Dusseldorf,0,3,1,0,0,4
5,D1,28/09/12,Fortuna Dusseldorf,Schalke 04,2,2,0.23094688221709006,0.2857142857142857,0.5464480874316939,1213,Fortuna Dusseldorf1213,Schalke 041213,D11213,0.06310925536306966,0.21723720403338773,0.2687534552755911,0.5140093406910212,Schalke 04,Fortuna Dusseldorf,1,1,0,1,1,5
6,D1,06/10/12,Mainz,Fortuna Dusseldorf,1,0,0.5464480874316939,0.2857142857142857,0.23094688221709006,1213,Mainz1213,Fortuna Dusseldorf1213,D11213,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Mainz,Fortuna Dusseldorf,3,0,0,0,0,6
7,D1,20/10/12,Fortuna Dusseldorf,Bayern Munich,0,5,0.09090909090909091,0.2,0.7751937984496123,1213,Fortuna Dusseldorf1213,Bayern Munich1213,D11213,0.06610288935870323,0.0852723426758329,0.18759915388683238,0.7271285034373347,Bayern Munich,Fortuna Dusseldorf,0,3,0,0,0,0
8,D1,27/10/12,Fortuna Dusseldorf,Wolfsburg,1,4,0.4347826086956522,0.30303030303030304,0.3225806451612903,1213,Fortuna Dusseldorf1213,Wolfsburg1213,D11213,0.06039355688724557,0.41002004008016035,0.28577154308617236,0.30420841683366734,Fortuna Dusseldorf,Wolfsburg,0,3,0,0,0,0
9,D1,04/11/12,Leverkusen,Fortuna Dusseldorf,3,2,0.6944444444444444,0.23094688221709006,0.14285714285714285,1213,Leverkusen1213,Fortuna Dusseldorf1213,D11213,0.06824846951867736,0.6500776404176282,0.2161921021250311,0.13373025745734066,Leverkusen,Fortuna Dusseldorf,3,0,0,0,0,0
10,D1,10/11/12,Fortuna Dusseldorf,Hoffenheim,1,1,0.36363636363636365,0.30303030303030304,0.4,1213,Fortuna Dusseldorf1213,Hoffenheim1213,D11213,0.06666666666666687,0.34090909090909083,0.28409090909090906,0.37499999999999994,Hoffenheim,Fortuna Dusseldorf,1,1,0,1,0,0
11,D1,18/11/12,Werder Bremen,Fortuna Dusseldorf,2,1,0.6535947712418301,0.24390243902439027,0.16666666666666666,1213,Werder Bremen1213,Fortuna Dusseldorf1213,D11213,0.06416387693288694,0.6141862032806532,0.22919631488278033,0.15661748183656654,Werder Bremen,Fortuna Dusseldorf,3,0,0,0,0,1
12,D1,23/11/12,Fortuna Dusseldorf,Hamburg,2,0,0.3333333333333333,0.3076923076923077,0.42016806722689076,1213,Fortuna Dusseldorf1213,Hamburg1213,D11213,0.06119370825253179,0.3141116751269035,0.2899492385786802,0.39593908629441626,Hamburg,Fortuna Dusseldorf,3,0,1,0,0,0
13,D1,27/11/12,Dortmund,Fortuna Dusseldorf,1,1,0.8849557522123894,0.125,0.05263157894736842,1213,Dortmund1213,Fortuna Dusseldorf1213,D11213,0.06258733115975779,0.8328310777491644,0.11763738973206948,0.049531532518766096,Dortmund,Fortuna Dusseldorf,1,1,0,1,1,1
14,D1,30/11/12,Fortuna Dusseldorf,Ein Frankfurt,4,0,0.3472222222222222,0.29411764705882354,0.42016806722689076,1213,Fortuna Dusseldorf1213,Ein Frankfurt1213,D11213,0.06150793650793651,0.32710280373831774,0.27707531610775155,0.3958218801539307,Ein Frankfurt,Fortuna Dusseldorf,3,0,1,0,0,2
15,D1,08/12/12,Nurnberg,Fortuna Dusseldorf,2,0,0.5235602094240838,0.30303030303030304,0.23809523809523808,1213,Nurnberg1213,Fortuna Dusseldorf1213,D11213,0.064685750549625,0.4917509313464608,0.2846194784459819,0.22362959020755718,Nurnberg,Fortuna Dusseldorf,3,0,0,0,1,3
16,D1,15/12/12,Fortuna Dusseldorf,Hannover,2,1,0.36363636363636365,0.30303030303030304,0.4,1213,Fortuna Dusseldorf1213,Hannover1213,D11213,0.06666666666666687,0.34090909090909083,0.28409090909090906,0.37499999999999994,Hannover,Fortuna Dusseldorf,3,0,1,0,0,0
17,D1,20/01/13,Fortuna Dusseldorf,Augsburg,2,3,0.4347826086956522,0.30303030303030304,0.3225806451612903,1213,Fortuna Dusseldorf1213,Augsburg1213,D11213,0.06039355688724557,0.41002004008016035,0.28577154308617236,0.30420841683366734,Fortuna Dusseldorf,Augsburg,0,3,0,0,1,1
18,D1,26/01/13,M'gladbach,Fortuna Dusseldorf,2,1,0.6172839506172839,0.2631578947368421,0.18181818181818182,1213,M'gladbach1213,Fortuna Dusseldorf1213,D11213,0.06226002717230794,0.5811043763554468,0.24773397097258518,0.17116165267196795,M'gladbach,Fortuna Dusseldorf,3,0,0,0,0,0
19,D1,02/02/13,Fortuna Dusseldorf,Stuttgart,3,1,0.3125,0.3076923076923077,0.4444444444444444,1213,Fortuna Dusseldorf1213,Stuttgart1213,D11213,0.06463675213675213,0.29352734570998495,0.28901154039136984,0.41746111389864526,Stuttgart,Fortuna Dusseldorf,3,0,1,0,0,0
20,D1,10/02/13,Freiburg,Fortuna Dusseldorf,1,0,0.6172839506172839,0.26666666666666666,0.18181818181818182,1213,Freiburg1213,Fortuna Dusseldorf1213,D11213,0.06576879910213251,0.5791912384161751,0.2502106149957877,0.17059814658803707,Freiburg,Fortuna Dusseldorf,3,0,0,0,1,1
21,D1,16/02/13,Fortuna Dusseldorf,Greuther Furth,1,0,0.4347826086956522,0.3125,0.3125,1213,Fortuna Dusseldorf1213,Greuther Furth1213,D11213,0.05978260869565233,0.41025641025641024,0.2948717948717948,0.2948717948717948,Fortuna Dusseldorf,Greuther Furth,3,0,1,0,0,0
22,D1,23/02/13,Schalke 04,Fortuna Dusseldorf,2,1,0.6944444444444444,0.23094688221709006,0.14285714285714285,1213,Schalke 041213,Fortuna Dusseldorf1213,D11213,0.06824846951867736,0.6500776404176282,0.2161921021250311,0.13373025745734066,Schalke 04,Fortuna Dusseldorf,3,0,0,0,1,1
23,D1,03/03/13,Fortuna Dusseldorf,Mainz,1,1,0.3333333333333333,0.3125,0.4166666666666667,1213,Fortuna Dusseldorf1213,Mainz1213,D11213,0.0625,0.3137254901960784,0.29411764705882354,0.39215686274509803,Mainz,Fortuna Dusseldorf,1,1,0,1,0,0
24,D1,09/03/13,Bayern Munich,Fortuna Dusseldorf,3,2,0.9090909090909091,0.1111111111111111,0.047619047619047616,1213,Bayern Munich1213,Fortuna Dusseldorf1213,D11213,0.06782106782106778,0.8513513513513513,0.10405405405405405,0.0445945945945946,Bayern Munich,Fortuna Dusseldorf,3,0,0,0,0,1
25,D1,15/03/13,Wolfsburg,Fortuna Dusseldorf,1,1,0.5555555555555556,0.2857142857142857,0.2222222222222222,1213,Wolfsburg1213,Fortuna Dusseldorf1213,D11213,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Wolfsburg,Fortuna Dusseldorf,1,1,0,1,0,0
26,D1,30/03/13,Fortuna Dusseldorf,Leverkusen,1,4,0.23094688221709006,0.2777777777777778,0.5555555555555556,1213,Fortuna Dusseldorf1213,Leverkusen1213,D11213,0.0642802155504234,0.21699819168173598,0.26100060277275466,0.5220012055455093,Leverkusen,Fortuna Dusseldorf,0,3,0,0,0,1
27,D1,05/04/13,Hoffenheim,Fortuna Dusseldorf,3,0,0.5,0.29411764705882354,0.26666666666666666,1213,Hoffenheim1213,Fortuna Dusseldorf1213,D11213,0.0607843137254902,0.47134935304990755,0.27726432532347506,0.2513863216266174,Hoffenheim,Fortuna Dusseldorf,3,0,0,0,0,0
28,D1,13/04/13,Fortuna Dusseldorf,Werder Bremen,2,2,0.35714285714285715,0.30303030303030304,0.4,1213,Fortuna Dusseldorf1213,Werder Bremen1213,D11213,0.06017316017316032,0.3368721927317272,0.2858309514087382,0.3772968558595345,Werder Bremen,Fortuna Dusseldorf,1,1,0,1,0,0
29,D1,20/04/13,Hamburg,Fortuna Dusseldorf,2,1,0.5464480874316939,0.2857142857142857,0.23094688221709006,1213,Hamburg1213,Fortuna Dusseldorf1213,D11213,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Hamburg,Fortuna Dusseldorf,3,0,0,0,0,1
30,D1,27/04/13,Fortuna Dusseldorf,Dortmund,1,2,0.21052631578947367,0.25,0.5988023952095809,1213,Fortuna Dusseldorf1213,Dortmund1213,D11213,0.05932871099905457,0.19873558943845293,0.23599851245816286,0.5652658981033842,Dortmund,Fortuna Dusseldorf,0,3,0,0,0,0
31,D1,04/05/13,Ein Frankfurt,Fortuna Dusseldorf,3,1,0.5555555555555556,0.2857142857142857,0.2222222222222222,1213,Ein Frankfurt1213,Fortuna Dusseldorf1213,D11213,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Ein Frankfurt,Fortuna Dusseldorf,3,0,0,0,0,0
32,D1,11/05/13,Fortuna Dusseldorf,Nurnberg,1,2,0.5405405405405405,0.2857142857142857,0.23809523809523808,1213,Fortuna Dusseldorf1213,Nurnberg1213,D11213,0.0643500643500643,0.5078597339782346,0.26844014510278114,0.22370012091898428,Fortuna Dusseldorf,Nurnberg,0,3,0,0,0,0
33,D1,18/05/13,Hannover,Fortuna Dusseldorf,3,0,0.4347826086956522,0.2777777777777778,0.35714285714285715,1213,Hannover1213,Fortuna Dusseldorf1213,D11213,0.06970324361628721,0.4064516129032258,0.2596774193548387,0.3338709677419355,Hannover,Fortuna Dusseldorf,3,0,0,0,0,0
