,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,D1,25/08/12,Freiburg,Mainz,1,1,0.4,0.30303030303030304,0.36363636363636365,1213,Freiburg1213,Mainz1213,D11213,0.06666666666666687,0.37499999999999994,0.28409090909090906,0.34090909090909083,Freiburg,Mainz,1,1,0,1,0,0
1,D1,01/09/12,Leverkusen,Freiburg,2,0,0.6369426751592356,0.25,0.18181818181818182,1213,Leverkusen1213,Freiburg1213,D11213,0.0687608569774174,0.5959637003927942,0.23391575240417176,0.17012054720303402,Leverkusen,Freiburg,3,0,0,0,0,1
2,D1,16/09/12,Freiburg,Hoffenheim,5,3,0.4166666666666667,0.29411764705882354,0.35714285714285715,1213,Freiburg1213,Hoffenheim1213,D11213,0.06792717086834732,0.39016393442622954,0.2754098360655738,0.3344262295081967,Freiburg,Hoffenheim,3,0,1,0,0,0
3,D1,22/09/12,Fortuna Dusseldorf,Freiburg,0,0,0.46511627906976744,0.29411764705882354,0.30303030303030304,1213,Fortuna Dusseldorf1213,Freiburg1213,D11213,0.06226422915889396,0.43785365853658537,0.27687804878048783,0.28526829268292686,Fortuna Dusseldorf,Freiburg,1,1,0,1,1,1
4,D1,26/09/12,Freiburg,Werder Bremen,1,2,0.4,0.29411764705882354,0.37037037037037035,1213,Freiburg1213,Werder Bremen1213,D11213,0.06448801742919397,0.375767498976668,0.2762996316004912,0.34793286942284074,Freiburg,Werder Bremen,0,3,0,0,0,2
5,D1,30/09/12,Ein Frankfurt,Freiburg,2,1,0.5714285714285714,0.26666666666666666,0.2222222222222222,1213,Ein Frankfurt1213,Freiburg1213,D11213,0.0603174603174601,0.5389221556886228,0.251497005988024,0.20958083832335334,Ein Frankfurt,Freiburg,3,0,0,0,0,0
6,D1,06/10/12,Freiburg,Nurnberg,3,0,0.47619047619047616,0.2857142857142857,0.30303030303030304,1213,Freiburg1213,Nurnberg1213,D11213,0.06493506493506485,0.44715447154471544,0.2682926829268293,0.28455284552845533,Freiburg,Nurnberg,3,0,1,0,0,0
7,D1,20/10/12,Wolfsburg,Freiburg,0,2,0.4444444444444444,0.29411764705882354,0.3225806451612903,1213,Wolfsburg1213,Freiburg1213,D11213,0.06114273666455827,0.41883568448241604,0.27717067355454006,0.3039936419630439,Wolfsburg,Freiburg,0,3,1,0,1,1
8,D1,27/10/12,Freiburg,Dortmund,0,2,0.18181818181818182,0.26666666666666666,0.6172839506172839,1213,Freiburg1213,Dortmund1213,D11213,0.06576879910213229,0.1705981465880371,0.25021061499578773,0.5791912384161753,Dortmund,Freiburg,0,3,0,0,2,2
9,D1,03/11/12,M'gladbach,Freiburg,1,1,0.4444444444444444,0.3076923076923077,0.3125,1213,M'gladbach1213,Freiburg1213,D11213,0.06463675213675213,0.41746111389864526,0.28901154039136984,0.29352734570998495,M'gladbach,Freiburg,1,1,0,1,0,0
10,D1,10/11/12,Freiburg,Hamburg,0,0,0.5,0.2857142857142857,0.2777777777777778,1213,Freiburg1213,Hamburg1213,D11213,0.06349206349206349,0.4701492537313433,0.26865671641791045,0.2611940298507463,Freiburg,Hamburg,1,1,0,1,0,1
11,D1,17/11/12,Hannover,Freiburg,1,2,0.47619047619047616,0.29411764705882354,0.29411764705882354,1213,Hannover1213,Freiburg1213,D11213,0.06442577030812324,0.4473684210526316,0.27631578947368424,0.27631578947368424,Hannover,Freiburg,0,3,1,0,0,2
12,D1,25/11/12,Freiburg,Stuttgart,3,0,0.45454545454545453,0.2857142857142857,0.3225806451612903,1213,Freiburg1213,Stuttgart1213,D11213,0.06284038542103043,0.42767047694126925,0.2688214426487978,0.30350808040993305,Freiburg,Stuttgart,3,0,1,0,1,3
13,D1,28/11/12,Freiburg,Bayern Munich,0,2,0.125,0.21052631578947367,0.7352941176470588,1213,Freiburg1213,Bayern Munich1213,D11213,0.07082043343653233,0.11673292374412723,0.19660281893747744,0.6866642573183954,Bayern Munich,Freiburg,0,3,0,0,2,4
14,D1,01/12/12,Augsburg,Freiburg,1,1,0.4,0.30303030303030304,0.36363636363636365,1213,Augsburg1213,Freiburg1213,D11213,0.06666666666666687,0.37499999999999994,0.28409090909090906,0.34090909090909083,Augsburg,Freiburg,1,1,0,1,0,0
