,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,SP1,27/08/06,Osasuna,Getafe,0,2,0.5464480874316939,0.30303030303030304,0.23094688221709006,0607,Osasuna0607,Getafe0607,SP10607,0.08042527267908706,0.5057712932581525,0.2804731717158846,0.21375553502596287,Osasuna,Getafe,0,3,1,0,0,0
1,SP1,10/09/06,Getafe,Santander,1,0,0.5464480874316939,0.30303030303030304,0.23094688221709006,0607,Getafe0607,Santander0607,SP10607,0.08042527267908706,0.5057712932581525,0.2804731717158846,0.21375553502596287,Getafe,Santander,3,0,1,0,1,1
2,SP1,17/09/06,Valencia,Getafe,2,0,0.6944444444444444,0.25,0.13333333333333333,0607,Valencia0607,Getafe0607,SP10607,0.07777777777777772,0.6443298969072165,0.23195876288659795,0.12371134020618557,Valencia,Getafe,3,0,0,0,2,2
3,SP1,24/09/06,Getafe,Ath Bilbao,0,0,0.5263157894736842,0.3076923076923077,0.25,0607,Getafe0607,Ath Bilbao0607,SP10607,0.084008097165992,0.4855275443510737,0.2838468720821662,0.23062558356676002,Getafe,Ath Bilbao,1,1,0,1,0,0
4,SP1,01/10/06,Sevilla,Getafe,1,0,0.6369426751592356,0.2777777777777778,0.16666666666666666,0607,Sevilla0607,Getafe0607,SP10607,0.08138711960368017,0.5890052356020942,0.2568717277486911,0.15412303664921465,Sevilla,Getafe,3,0,0,0,0,1
5,SP1,14/10/06,Getafe,Real Madrid,1,0,0.2222222222222222,0.30303030303030304,0.5555555555555556,0607,Getafe0607,Real Madrid0607,SP10607,0.08080808080808088,0.20560747663551399,0.2803738317757009,0.514018691588785,Real Madrid,Getafe,3,0,1,0,0,0
6,SP1,22/10/06,Recreativo,Getafe,1,2,0.42194092827004215,0.3225806451612903,0.3333333333333333,0607,Recreativo0607,Getafe0607,SP10607,0.07785490676466567,0.3914635686324031,0.29928021214799855,0.30925621921959845,Recreativo,Getafe,0,3,1,0,1,1
7,SP1,29/10/06,Getafe,La Coruna,2,0,0.42194092827004215,0.3125,0.3448275862068966,0607,Getafe0607,La Coruna0607,SP10607,0.07926851447693872,0.39095083624720894,0.28954796309558917,0.3195012006572019,Getafe,La Coruna,3,0,1,0,2,2
8,SP1,05/11/06,Zaragoza,Getafe,3,1,0.5263157894736842,0.3076923076923077,0.25,0607,Zaragoza0607,Getafe0607,SP10607,0.084008097165992,0.4855275443510737,0.2838468720821662,0.23062558356676002,Zaragoza,Getafe,3,0,0,0,3,3
9,SP1,12/11/06,Getafe,Mallorca,1,0,0.5,0.3125,0.26666666666666666,0607,Getafe0607,Mallorca0607,SP10607,0.07916666666666661,0.46332046332046334,0.2895752895752896,0.2471042471042471,Getafe,Mallorca,3,0,1,0,0,0
10,SP1,19/11/06,Villarreal,Getafe,1,0,0.5,0.3333333333333333,0.25,0607,Villarreal0607,Getafe0607,SP10607,0.08333333333333326,0.46153846153846156,0.3076923076923077,0.23076923076923078,Villarreal,Getafe,3,0,0,0,1,1
11,SP1,26/11/06,Getafe,Levante,0,0,0.5813953488372093,0.29411764705882354,0.2,0607,Getafe0607,Levante0607,SP10607,0.07551299589603278,0.5405749173238362,0.2734673111167642,0.18595777155939966,Getafe,Levante,1,1,0,1,0,0
12,SP1,03/12/06,Sociedad,Getafe,0,0,0.4,0.3225806451612903,0.35714285714285715,0607,Sociedad0607,Getafe0607,SP10607,0.0797235023041476,0.37046521553563805,0.29876227059325644,0.3307725138711054,Sociedad,Getafe,1,1,0,1,0,1
13,SP1,10/12/06,Getafe,Betis,1,1,0.5,0.3333333333333333,0.25,0607,Getafe0607,Betis0607,SP10607,0.08333333333333326,0.46153846153846156,0.3076923076923077,0.23076923076923078,Getafe,Betis,1,1,0,1,0,2
14,SP1,17/12/06,Ath Madrid,Getafe,1,0,0.5714285714285714,0.30303030303030304,0.21052631578947367,0607,Ath Madrid0607,Getafe0607,SP10607,0.08498519024834805,0.5266694666106678,0.2792944141117178,0.19403611927761447,Ath Madrid,Getafe,3,0,0,0,0,3
15,SP1,20/12/06,Getafe,Espanol,0,1,0.5,0.3125,0.26666666666666666,0607,Getafe0607,Espanol0607,SP10607,0.07916666666666661,0.46332046332046334,0.2895752895752896,0.2471042471042471,Getafe,Espanol,0,3,0,0,0,0
16,SP1,07/01/07,Getafe,Barcelona,1,1,0.2,0.29411764705882354,0.5813953488372093,0607,Getafe0607,Barcelona0607,SP10607,0.075512995896033,0.18595777155939963,0.27346731111676414,0.5405749173238361,Barcelona,Getafe,1,1,0,1,0,0
17,SP1,14/01/07,Gimnastic,Getafe,1,3,0.37037037037037035,0.3225806451612903,0.3846153846153846,0607,Gimnastic0607,Getafe0607,SP10607,0.0775664001470453,0.3437100213219616,0.29936034115138593,0.3569296375266524,Getafe,Gimnastic,0,3,1,0,0,1
18,SP1,21/01/07,Getafe,Celta,1,0,0.47619047619047616,0.3125,0.2857142857142857,0607,Getafe0607,Celta0607,SP10607,0.07440476190476186,0.44321329639889195,0.29085872576177285,0.2659279778393352,Getafe,Celta,3,0,1,0,1,2
19,SP1,28/01/07,Getafe,Osasuna,2,0,0.5464480874316939,0.3076923076923077,0.2222222222222222,0607,Getafe0607,Osasuna0607,SP10607,0.07636261734622396,0.5076802915907315,0.28586305649570426,0.20645665191356416,Getafe,Osasuna,3,0,1,0,2,3
20,SP1,04/02/07,Santander,Getafe,1,0,0.4166666666666667,0.3076923076923077,0.35714285714285715,0607,Santander0607,Getafe0607,SP10607,0.08150183150183166,0.38526672311600335,0.2845046570702794,0.33022861981371715,Santander,Getafe,3,0,0,0,3,4
21,SP1,11/02/07,Getafe,Valencia,3,0,0.3484320557491289,0.3125,0.4166666666666667,0607,Getafe0607,Valencia0607,SP10607,0.07759872241579568,0.3233411923206466,0.28999663186257996,0.3866621758167733,Valencia,Getafe,3,0,1,0,0,0
22,SP1,18/02/07,Ath Bilbao,Getafe,2,0,0.4166666666666667,0.3125,0.3484320557491289,0607,Ath Bilbao0607,Getafe0607,SP10607,0.07759872241579568,0.3866621758167733,0.28999663186257996,0.3233411923206466,Ath Bilbao,Getafe,3,0,0,0,1,1
23,SP1,25/02/07,Getafe,Sevilla,0,0,0.36363636363636365,0.3125,0.4347826086956522,0607,Getafe0607,Sevilla0607,SP10607,0.11091897233201586,0.3273293306648877,0.28129864354013784,0.39137202579497443,Sevilla,Getafe,1,1,0,1,0,0
24,SP1,04/03/07,Real Madrid,Getafe,1,1,0.6024096385542169,0.29411764705882354,0.18181818181818182,0607,Real Madrid0607,Getafe0607,SP10607,0.07834546743122228,0.558642528529605,0.2727489992232778,0.16860847224711717,Real Madrid,Getafe,1,1,0,1,0,1
25,SP1,11/03/07,Getafe,Recreativo,1,1,0.5,0.3125,0.26666666666666666,0607,Getafe0607,Recreativo0607,SP10607,0.07916666666666661,0.46332046332046334,0.2895752895752896,0.2471042471042471,Getafe,Recreativo,1,1,0,1,0,2
26,SP1,18/03/07,La Coruna,Getafe,1,0,0.4347826086956522,0.3225806451612903,0.3225806451612903,0607,La Coruna0607,Getafe0607,SP10607,0.07994389901823284,0.4025974025974026,0.2987012987012987,0.2987012987012987,La Coruna,Getafe,3,0,0,0,0,3
27,SP1,01/04/07,Getafe,Zaragoza,2,2,0.4166666666666667,0.3125,0.3484320557491289,0607,Getafe0607,Zaragoza0607,SP10607,0.07759872241579568,0.3866621758167733,0.28999663186257996,0.3233411923206466,Getafe,Zaragoza,1,1,0,1,0,0
28,SP1,08/04/07,Mallorca,Getafe,2,0,0.4347826086956522,0.3225806451612903,0.3225806451612903,0607,Mallorca0607,Getafe0607,SP10607,0.07994389901823284,0.4025974025974026,0.2987012987012987,0.2987012987012987,Mallorca,Getafe,3,0,0,0,0,1
29,SP1,15/04/07,Getafe,Villarreal,3,0,0.45454545454545453,0.3125,0.3076923076923077,0607,Getafe0607,Villarreal0607,SP10607,0.0747377622377623,0.422936152907686,0.29076860512403413,0.28629524196827977,Getafe,Villarreal,3,0,1,0,0,0
30,SP1,22/04/07,Levante,Getafe,1,1,0.46511627906976744,0.3225806451612903,0.2857142857142857,0607,Levante0607,Getafe0607,SP10607,0.07341120994534345,0.4333067092651757,0.30051916932907347,0.2661741214057508,Levante,Getafe,1,1,0,1,1,1
31,SP1,29/04/07,Getafe,Sociedad,1,0,0.5,0.30303030303030304,0.2777777777777778,0607,Getafe0607,Sociedad0607,SP10607,0.08080808080808088,0.4626168224299065,0.2803738317757009,0.2570093457943925,Getafe,Sociedad,3,0,1,0,0,2
32,SP1,06/05/07,Betis,Getafe,0,2,0.5,0.3225806451612903,0.25,0607,Betis0607,Getafe0607,SP10607,0.07258064516129026,0.4661654135338346,0.3007518796992481,0.2330827067669173,Betis,Getafe,0,3,1,0,1,3
