,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,SP1,27/08/11,Granada,Betis,0,1,0.4347826086956522,0.29411764705882354,0.3333333333333333,1112,Granada1112,Betis1112,SP11112,0.06223358908780896,0.4093097913322633,0.27688603531300165,0.31380417335473515,Granada,Betis,0,3,0,0,0,0
1,SP1,12/09/11,Malaga,Granada,4,0,0.7142857142857143,0.23094688221709006,0.11764705882352941,1112,Malaga1112,Granada1112,SP11112,0.06287965532633377,0.6720287764529735,0.21728413095477203,0.11068709259225445,Malaga,Granada,3,0,0,0,0,0
2,SP1,17/09/11,Granada,Villarreal,1,0,0.30303030303030304,0.30303030303030304,0.45454545454545453,1112,Granada1112,Villarreal1112,SP11112,0.06060606060606055,0.28571428571428575,0.28571428571428575,0.4285714285714286,Villarreal,Granada,3,0,1,0,0,0
3,SP1,20/09/11,Sociedad,Granada,1,0,0.5,0.29411764705882354,0.26666666666666666,1112,Sociedad1112,Granada1112,SP11112,0.0607843137254902,0.47134935304990755,0.27726432532347506,0.2513863216266174,Sociedad,Granada,3,0,0,0,1,1
4,SP1,25/09/11,Granada,Osasuna,1,1,0.4444444444444444,0.3076923076923077,0.3125,1112,Granada1112,Osasuna1112,SP11112,0.06463675213675213,0.41746111389864526,0.28901154039136984,0.29352734570998495,Granada,Osasuna,1,1,0,1,0,0
5,SP1,01/10/11,Valencia,Granada,1,0,0.7518796992481203,0.2222222222222222,0.09090909090909091,1112,Valencia1112,Granada1112,SP11112,0.06501101237943341,0.705983027882764,0.2086572060186836,0.08535976609855238,Valencia,Granada,3,0,0,0,0,1
6,SP1,15/10/11,Granada,Ath Madrid,0,0,0.2857142857142857,0.30303030303030304,0.47619047619047616,1112,Granada1112,Ath Madrid1112,SP11112,0.06493506493506507,0.26829268292682923,0.2845528455284553,0.4471544715447154,Ath Madrid,Granada,1,1,0,1,0,0
7,SP1,22/10/11,Sp Gijon,Granada,2,0,0.5,0.30303030303030304,0.26666666666666666,1112,Sp Gijon1112,Granada1112,SP11112,0.06969696969696959,0.4674220963172805,0.28328611898017003,0.2492917847025496,Sp Gijon,Granada,3,0,0,0,0,1
8,SP1,25/10/11,Granada,Barcelona,0,1,0.043478260869565216,0.1111111111111111,0.9090909090909091,1112,Granada1112,Barcelona1112,SP11112,0.0636802810715853,0.040875309661436834,0.10445912469033856,0.8546655656482247,Barcelona,Granada,0,3,0,0,0,0
9,SP1,31/10/11,Sevilla,Granada,1,2,0.7142857142857143,0.2222222222222222,0.125,1112,Sevilla1112,Granada1112,SP11112,0.06150793650793651,0.6728971962616822,0.20934579439252335,0.11775700934579439,Sevilla,Granada,0,3,1,0,0,0
10,SP1,06/11/11,Granada,Santander,0,0,0.47619047619047616,0.3076923076923077,0.2857142857142857,1112,Granada1112,Santander1112,SP11112,0.06959706959706957,0.4452054794520548,0.28767123287671237,0.2671232876712329,Granada,Santander,1,1,0,1,1,1
11,SP1,27/11/11,Ath Bilbao,Granada,0,1,0.6944444444444444,0.23809523809523808,0.13333333333333333,1112,Ath Bilbao1112,Granada1112,SP11112,0.06587301587301586,0.6515264333581534,0.22338049143708116,0.12509307520476545,Ath Bilbao,Granada,0,3,1,0,0,2
