,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,D1,25/08/12,Greuther Furth,Bayern Munich,0,3,0.11764705882352941,0.21052631578947367,0.7352941176470588,1213,Greuther Furth1213,Bayern Munich1213,D11213,0.06346749226006176,0.11062590975254732,0.19796215429403205,0.6914119359534208,Bayern Munich,Greuther Furth,0,3,0,0,0,0
1,D1,31/08/12,Mainz,Greuther Furth,0,1,0.5555555555555556,0.2857142857142857,0.2222222222222222,1213,Mainz1213,Greuther Furth1213,D11213,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Mainz,Greuther Furth,0,3,1,0,0,0
2,D1,15/09/12,Greuther Furth,Schalke 04,0,2,0.26666666666666666,0.2857142857142857,0.5128205128205129,1213,Greuther Furth1213,Schalke 041213,D11213,0.06520146520146541,0.2503438789546079,0.26822558459422274,0.4814305364511692,Schalke 04,Greuther Furth,0,3,0,0,1,1
3,D1,22/09/12,Wolfsburg,Greuther Furth,1,1,0.5555555555555556,0.26666666666666666,0.23809523809523808,1213,Wolfsburg1213,Greuther Furth1213,D11213,0.060317460317460325,0.5239520958083832,0.25149700598802394,0.2245508982035928,Wolfsburg,Greuther Furth,1,1,0,1,0,0
4,D1,25/09/12,Greuther Furth,Fortuna Dusseldorf,0,2,0.46511627906976744,0.3076923076923077,0.2857142857142857,1213,Greuther Furth1213,Fortuna Dusseldorf1213,D11213,0.0585228724763609,0.43940125543215836,0.2906808305166586,0.269917914051183,Greuther Furth,Fortuna Dusseldorf,0,3,0,0,0,1
5,D1,29/09/12,Leverkusen,Greuther Furth,2,0,0.6944444444444444,0.23094688221709006,0.14285714285714285,1213,Leverkusen1213,Greuther Furth1213,D11213,0.06824846951867736,0.6500776404176282,0.2161921021250311,0.13373025745734066,Leverkusen,Greuther Furth,3,0,0,0,0,0
6,D1,06/10/12,Greuther Furth,Hamburg,0,1,0.37037037037037035,0.29411764705882354,0.4,1213,Greuther Furth1213,Hamburg1213,D11213,0.06448801742919397,0.34793286942284074,0.2762996316004912,0.375767498976668,Hamburg,Greuther Furth,0,3,0,0,0,0
7,D1,19/10/12,Hoffenheim,Greuther Furth,3,3,0.5464480874316939,0.2777777777777778,0.23809523809523808,1213,Hoffenheim1213,Greuther Furth1213,D11213,0.062321103304709746,0.5143906919779547,0.2614819350887937,0.2241273729332517,Hoffenheim,Greuther Furth,1,1,0,1,0,0
8,D1,27/10/12,Greuther Furth,Werder Bremen,1,1,0.3846153846153846,0.29411764705882354,0.3846153846153846,1213,Greuther Furth1213,Werder Bremen1213,D11213,0.06334841628959276,0.36170212765957444,0.2765957446808511,0.36170212765957444,Greuther Furth,Werder Bremen,1,1,0,1,0,1
9,D1,02/11/12,Ein Frankfurt,Greuther Furth,1,1,0.625,0.25,0.19047619047619047,1213,Ein Frankfurt1213,Greuther Furth1213,D11213,0.06547619047619047,0.5865921787709497,0.2346368715083799,0.17877094972067037,Ein Frankfurt,Greuther Furth,1,1,0,1,0,2
10,D1,11/11/12,Greuther Furth,M'gladbach,2,4,0.3846153846153846,0.3076923076923077,0.37037037037037035,1213,Greuther Furth1213,M'gladbach1213,D11213,0.06267806267806275,0.3619302949061662,0.28954423592493295,0.34852546916890076,Greuther Furth,M'gladbach,0,3,0,0,0,3
11,D1,17/11/12,Dortmund,Greuther Furth,3,1,0.8547008547008548,0.14285714285714285,0.06666666666666667,1213,Dortmund1213,Greuther Furth1213,D11213,0.06422466422466422,0.8031206975676917,0.13423588802202846,0.06264341441027994,Dortmund,Greuther Furth,3,0,0,0,0,0
12,D1,24/11/12,Greuther Furth,Nurnberg,0,0,0.4,0.30303030303030304,0.36363636363636365,1213,Greuther Furth1213,Nurnberg1213,D11213,0.06666666666666687,0.37499999999999994,0.28409090909090906,0.34090909090909083,Greuther Furth,Nurnberg,1,1,0,1,0,0
13,D1,27/11/12,Hannover,Greuther Furth,2,0,0.6172839506172839,0.25,0.2,1213,Hannover1213,Greuther Furth1213,D11213,0.06728395061728398,0.578368999421631,0.23423944476576056,0.18739155581260844,Hannover,Greuther Furth,3,0,0,0,0,1
14,D1,01/12/12,Greuther Furth,Stuttgart,0,1,0.3333333333333333,0.29411764705882354,0.4347826086956522,1213,Greuther Furth1213,Stuttgart1213,D11213,0.06223358908780918,0.3138041733547351,0.2768860353130016,0.40930979133226325,Stuttgart,Greuther Furth,0,3,0,0,0,0
15,D1,08/12/12,Freiburg,Greuther Furth,1,0,0.5882352941176471,0.2777777777777778,0.2,1213,Freiburg1213,Greuther Furth1213,D11213,0.06601307189542482,0.5518087063151441,0.26057633353770693,0.187614960147149,Freiburg,Greuther Furth,3,0,0,0,0,0
16,D1,15/12/12,Greuther Furth,Augsburg,1,1,0.42016806722689076,0.3125,0.3333333333333333,1213,Greuther Furth1213,Augsburg1213,D11213,0.06600140056022408,0.39415339136147154,0.29315158482509446,0.31269502381343406,Greuther Furth,Augsburg,1,1,0,1,0,0
17,D1,19/01/13,Bayern Munich,Greuther Furth,2,0,0.9090909090909091,0.1,0.05263157894736842,1213,Bayern Munich1213,Greuther Furth1213,D11213,0.0617224880382774,0.8562415502478594,0.09418657052726455,0.049571879224876075,Bayern Munich,Greuther Furth,3,0,0,0,0,1
18,D1,26/01/13,Greuther Furth,Mainz,0,3,0.3225806451612903,0.30303030303030304,0.4347826086956522,1213,Greuther Furth1213,Mainz1213,D11213,0.06039355688724557,0.30420841683366734,0.28577154308617236,0.41002004008016035,Mainz,Greuther Furth,0,3,0,0,0,0
