,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,F1,11/08/13,Guingamp,Marseille,1,3,0.29411764705882354,0.3125,0.45454545454545453,1314,Guingamp1314,Marseille1314,F11314,0.06116310160427818,0.27716535433070866,0.2944881889763779,0.4283464566929133,Marseille,Guingamp,0,3,0,0,0,0
1,F1,17/08/13,St Etienne,Guingamp,1,0,0.6944444444444444,0.25,0.125,1314,St Etienne1314,Guingamp1314,F11314,0.06944444444444442,0.6493506493506493,0.23376623376623376,0.11688311688311688,St Etienne,Guingamp,3,0,0,0,0,0
2,F1,24/08/13,Guingamp,Lorient,2,0,0.4347826086956522,0.3225806451612903,0.3125,1314,Guingamp1314,Lorient1314,F11314,0.06986325385694259,0.40639082343301924,0.3015157722244981,0.29209340434248254,Guingamp,Lorient,3,0,1,0,0,0
3,F1,31/08/13,Paris SG,Guingamp,2,0,0.8474576271186441,0.15384615384615385,0.0625,1314,Paris SG1314,Guingamp1314,F11314,0.063803780964798,0.7966296438146304,0.14461891995404058,0.05875143623132899,Paris SG,Guingamp,3,0,0,0,1,1
4,F1,14/09/13,Guingamp,Bastia,1,1,0.48780487804878053,0.3076923076923077,0.26666666666666666,1314,Guingamp1314,Bastia1314,F11314,0.062163852407754794,0.45925577013659924,0.2896844088553933,0.25105982100800756,Guingamp,Bastia,1,1,0,1,0,0
5,F1,21/09/13,Reims,Guingamp,1,1,0.47619047619047616,0.3125,0.2777777777777778,1314,Reims1314,Guingamp1314,F11314,0.06646825396825395,0.44651162790697674,0.2930232558139535,0.26046511627906976,Reims,Guingamp,1,1,0,1,0,1
6,F1,25/09/13,Guingamp,Sochaux,5,1,0.5405405405405405,0.29411764705882354,0.23094688221709006,1314,Guingamp1314,Sochaux1314,F11314,0.06560506981645409,0.5072616073735894,0.2760099922473943,0.21672840037901628,Guingamp,Sochaux,3,0,1,0,0,2
7,F1,28/09/13,Nice,Guingamp,1,0,0.5128205128205129,0.3076923076923077,0.23809523809523808,1314,Nice1314,Guingamp1314,F11314,0.05860805860805862,0.4844290657439447,0.2906574394463668,0.22491349480968856,Nice,Guingamp,3,0,0,0,1,3
8,F1,05/10/13,Guingamp,Rennes,2,0,0.46511627906976744,0.3225806451612903,0.2777777777777778,1314,Guingamp1314,Rennes1314,F11314,0.06547470200883554,0.4365343242714649,0.30275767651085467,0.26070799921768045,Guingamp,Rennes,3,0,1,0,0,0
9,F1,19/10/13,Evian Thonon Gaillard,Guingamp,1,2,0.4444444444444444,0.3125,0.3076923076923077,1314,Evian Thonon Gaillard1314,Guingamp1314,F11314,0.06463675213675213,0.41746111389864526,0.29352734570998495,0.28901154039136984,Evian Thonon Gaillard,Guingamp,0,3,1,0,1,1
10,F1,26/10/13,Guingamp,Ajaccio,2,1,0.5714285714285714,0.29411764705882354,0.2,1314,Guingamp1314,Ajaccio1314,F11314,0.06554621848739495,0.5362776025236593,0.27602523659305994,0.18769716088328076,Guingamp,Ajaccio,3,0,1,0,2,2
11,F1,02/11/13,Lyon,Guingamp,2,0,0.5555555555555556,0.2857142857142857,0.2222222222222222,1314,Lyon1314,Guingamp1314,F11314,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Lyon,Guingamp,3,0,0,0,3,3
12,F1,09/11/13,Guingamp,Lille,0,0,0.3076923076923077,0.3225806451612903,0.4347826086956522,1314,Guingamp1314,Lille1314,F11314,0.0650555615492503,0.28889789303079416,0.3028768233387358,0.40822528363047,Lille,Guingamp,1,1,0,1,0,0
13,F1,23/11/13,Montpellier,Guingamp,1,1,0.5235602094240838,0.30303030303030304,0.23809523809523808,1314,Montpellier1314,Guingamp1314,F11314,0.064685750549625,0.4917509313464608,0.2846194784459819,0.22362959020755718,Montpellier,Guingamp,1,1,0,1,0,1
14,F1,30/11/13,Guingamp,Nantes,1,0,0.4,0.3472222222222222,0.3125,1314,Guingamp1314,Nantes1314,F11314,0.05972222222222223,0.3774574049803408,0.327653997378768,0.2948885976408912,Guingamp,Nantes,3,0,1,0,0,2
15,F1,04/12/13,Guingamp,Bordeaux,0,1,0.4,0.3333333333333333,0.3333333333333333,1314,Guingamp1314,Bordeaux1314,F11314,0.06666666666666665,0.375,0.3125,0.3125,Guingamp,Bordeaux,0,3,0,0,1,3
16,F1,07/12/13,Valenciennes,Guingamp,1,1,0.4347826086956522,0.3225806451612903,0.3076923076923077,1314,Valenciennes1314,Guingamp1314,F11314,0.0650555615492503,0.40822528363047,0.3028768233387358,0.28889789303079416,Valenciennes,Guingamp,1,1,0,1,0,0
17,F1,14/12/13,Guingamp,Monaco,0,2,0.2,0.2857142857142857,0.5780346820809249,1314,Guingamp1314,Monaco1314,F11314,0.06374896779521055,0.18801428349635152,0.2685918335662164,0.5433938829374321,Monaco,Guingamp,0,3,0,0,0,1
18,F1,21/12/13,Toulouse,Guingamp,0,0,0.5714285714285714,0.29411764705882354,0.2,1314,Toulouse1314,Guingamp1314,F11314,0.06554621848739495,0.5362776025236593,0.27602523659305994,0.18769716088328076,Toulouse,Guingamp,1,1,0,1,0,0
19,F1,11/01/14,Guingamp,St Etienne,0,0,0.3225806451612903,0.3225806451612903,0.42016806722689076,1314,Guingamp1314,St Etienne1314,F11314,0.06532935754947133,0.30279898218829515,0.30279898218829515,0.3944020356234097,St Etienne,Guingamp,1,1,0,1,0,1
20,F1,18/01/14,Lorient,Guingamp,2,0,0.5235602094240838,0.3125,0.23094688221709006,1314,Lorient1314,Guingamp1314,F11314,0.0670070916411738,0.4906810962416293,0.29287527931922247,0.21644362443914825,Lorient,Guingamp,3,0,0,0,0,2
21,F1,25/01/14,Guingamp,Paris SG,1,1,0.10526315789473684,0.2222222222222222,0.7352941176470588,1314,Guingamp1314,Paris SG1314,F11314,0.06277949776401792,0.0990451529373685,0.20909532286777793,0.6918595241948534,Paris SG,Guingamp,1,1,0,1,0,0
22,F1,01/02/14,Bastia,Guingamp,3,2,0.45454545454545453,0.3125,0.29411764705882354,1314,Bastia1314,Guingamp1314,F11314,0.06116310160427818,0.4283464566929133,0.2944881889763779,0.27716535433070866,Bastia,Guingamp,3,0,0,0,0,1
23,F1,08/02/14,Guingamp,Reims,1,2,0.47619047619047616,0.3333333333333333,0.25,1314,Guingamp1314,Reims1314,F11314,0.059523809523809534,0.449438202247191,0.3146067415730337,0.23595505617977527,Guingamp,Reims,0,3,0,0,0,0
24,F1,15/02/14,Sochaux,Guingamp,1,0,0.4081632653061224,0.3333333333333333,0.3225806451612903,1314,Sochaux1314,Guingamp1314,F11314,0.06407724380074598,0.3835842441740565,0.3132604660754795,0.303155289750464,Sochaux,Guingamp,3,0,0,0,0,0
25,F1,22/02/14,Guingamp,Nice,1,0,0.5,0.3125,0.25,1314,Guingamp1314,Nice1314,F11314,0.0625,0.47058823529411764,0.29411764705882354,0.23529411764705882,Guingamp,Nice,3,0,1,0,0,0
26,F1,01/03/14,Rennes,Guingamp,0,2,0.5128205128205129,0.3125,0.23809523809523808,1314,Rennes1314,Guingamp1314,F11314,0.06341575091575091,0.48223896663078586,0.2938643702906351,0.2238966630785791,Rennes,Guingamp,0,3,1,0,1,1
27,F1,08/03/14,Guingamp,Evian Thonon Gaillard,0,1,0.5405405405405405,0.30303030303030304,0.2222222222222222,1314,Guingamp1314,Evian Thonon Gaillard1314,F11314,0.06579306579306587,0.5071721311475409,0.28432377049180324,0.2085040983606557,Guingamp,Evian Thonon Gaillard,0,3,0,0,2,2
28,F1,15/03/14,Ajaccio,Guingamp,1,2,0.3333333333333333,0.3472222222222222,0.3802281368821293,1314,Ajaccio1314,Guingamp1314,F11314,0.06078369243768478,0.31423308607557127,0.32732613132872007,0.3584407825957087,Guingamp,Ajaccio,0,3,1,0,0,0
29,F1,23/03/14,Guingamp,Lyon,0,1,0.37037037037037035,0.3333333333333333,0.36363636363636365,1314,Guingamp1314,Lyon1314,F11314,0.06734006734006748,0.34700315457413244,0.3123028391167192,0.34069400630914826,Guingamp,Lyon,0,3,0,0,1,1
30,F1,30/03/14,Lille,Guingamp,1,0,0.6172839506172839,0.2777777777777778,0.16666666666666666,1314,Lille1314,Guingamp1314,F11314,0.06172839506172845,0.5813953488372092,0.2616279069767442,0.15697674418604649,Lille,Guingamp,3,0,0,0,0,0
