,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,D1,05/08/11,Dortmund,Hamburg,3,1,0.6369426751592356,0.2631578947368421,0.16666666666666666,1112,Dortmund1112,Hamburg1112,D11112,0.06676723656274453,0.5970774629445346,0.24668726758497875,0.15623526947048655,Dortmund,Hamburg,3,0,0,0,0,0
1,D1,13/08/11,Hamburg,Hertha,2,2,0.5128205128205129,0.2777777777777778,0.2777777777777778,1112,Hamburg1112,Hertha1112,D11112,0.06837606837606858,0.48,0.25999999999999995,0.25999999999999995,Hamburg,Hertha,1,1,0,1,0,0
2,D1,20/08/11,Bayern Munich,Hamburg,5,0,0.7518796992481203,0.2,0.1111111111111111,1112,Bayern Munich1112,Hamburg1112,D11112,0.06299081035923138,0.7073247406475951,0.1881483810122603,0.10452687834014461,Bayern Munich,Hamburg,3,0,0,0,0,1
3,D1,27/08/11,Hamburg,FC Koln,3,4,0.5405405405405405,0.2777777777777778,0.25,1112,Hamburg1112,FC Koln1112,D11112,0.06831831831831825,0.5059732958538299,0.26001405481377377,0.23401264933239635,Hamburg,FC Koln,0,3,0,0,0,0
4,D1,10/09/11,Werder Bremen,Hamburg,2,0,0.625,0.23809523809523808,0.2,1112,Werder Bremen1112,Hamburg1112,D11112,0.0630952380952381,0.5879059350503919,0.22396416573348263,0.18812989921612544,Werder Bremen,Hamburg,3,0,0,0,0,0
5,D1,17/09/11,Hamburg,M'gladbach,0,1,0.4166666666666667,0.2857142857142857,0.35714285714285715,1112,Hamburg1112,M'gladbach1112,D11112,0.059523809523809534,0.39325842696629215,0.2696629213483146,0.33707865168539325,Hamburg,M'gladbach,0,3,0,0,0,0
6,D1,23/09/11,Stuttgart,Hamburg,1,2,0.6369426751592356,0.25,0.18181818181818182,1112,Stuttgart1112,Hamburg1112,D11112,0.0687608569774174,0.5959637003927942,0.23391575240417176,0.17012054720303402,Stuttgart,Hamburg,0,3,1,0,0,0
7,D1,02/10/11,Hamburg,Schalke 04,1,2,0.36363636363636365,0.30303030303030304,0.4,1112,Hamburg1112,Schalke 041112,D11112,0.06666666666666687,0.34090909090909083,0.28409090909090906,0.37499999999999994,Schalke 04,Hamburg,0,3,0,0,1,1
8,D1,16/10/11,Freiburg,Hamburg,1,2,0.4,0.29411764705882354,0.37037037037037035,1112,Freiburg1112,Hamburg1112,D11112,0.06448801742919397,0.375767498976668,0.2762996316004912,0.34793286942284074,Freiburg,Hamburg,0,3,1,0,0,0
9,D1,22/10/11,Hamburg,Wolfsburg,1,1,0.46511627906976744,0.29411764705882354,0.30303030303030304,1112,Hamburg1112,Wolfsburg1112,D11112,0.06226422915889396,0.43785365853658537,0.27687804878048783,0.28526829268292686,Hamburg,Wolfsburg,1,1,0,1,1,1
10,D1,30/10/11,Hamburg,Kaiserslautern,1,1,0.5235602094240838,0.29411764705882354,0.25,1112,Hamburg1112,Kaiserslautern1112,D11112,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Hamburg,Kaiserslautern,1,1,0,1,0,2
11,D1,05/11/11,Leverkusen,Hamburg,2,2,0.6172839506172839,0.26666666666666666,0.18181818181818182,1112,Leverkusen1112,Hamburg1112,D11112,0.06576879910213251,0.5791912384161751,0.2502106149957877,0.17059814658803707,Leverkusen,Hamburg,1,1,0,1,0,3
12,D1,20/11/11,Hamburg,Hoffenheim,2,0,0.4347826086956522,0.29411764705882354,0.3333333333333333,1112,Hamburg1112,Hoffenheim1112,D11112,0.06223358908780896,0.4093097913322633,0.27688603531300165,0.31380417335473515,Hamburg,Hoffenheim,3,0,1,0,0,4
13,D1,26/11/11,Hannover,Hamburg,1,1,0.45454545454545453,0.29411764705882354,0.3125,1112,Hannover1112,Hamburg1112,D11112,0.06116310160427796,0.42834645669291344,0.2771653543307087,0.29448818897637796,Hannover,Hamburg,1,1,0,1,1,5
14,D1,04/12/11,Hamburg,Nurnberg,2,0,0.5235602094240838,0.29411764705882354,0.25,1112,Hamburg1112,Nurnberg1112,D11112,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Hamburg,Nurnberg,3,0,1,0,0,6
15,D1,10/12/11,Mainz,Hamburg,0,0,0.45454545454545453,0.29411764705882354,0.3125,1112,Mainz1112,Hamburg1112,D11112,0.06116310160427796,0.42834645669291344,0.2771653543307087,0.29448818897637796,Mainz,Hamburg,1,1,0,1,1,7
16,D1,17/12/11,Hamburg,Augsburg,1,1,0.6369426751592356,0.26666666666666666,0.16666666666666666,1112,Hamburg1112,Augsburg1112,D11112,0.0702760084925691,0.595120015869867,0.249156913310851,0.15572307081928186,Hamburg,Augsburg,1,1,0,1,0,8
17,D1,22/01/12,Hamburg,Dortmund,1,5,0.23094688221709006,0.2857142857142857,0.5464480874316939,1112,Hamburg1112,Dortmund1112,D11112,0.06310925536306966,0.21723720403338773,0.2687534552755911,0.5140093406910212,Dortmund,Hamburg,0,3,0,0,0,9
18,D1,28/01/12,Hertha,Hamburg,1,2,0.42016806722689076,0.3076923076923077,0.3333333333333333,1112,Hertha1112,Hamburg1112,D11112,0.06119370825253179,0.39593908629441626,0.2899492385786802,0.3141116751269035,Hertha,Hamburg,0,3,1,0,0,0
19,D1,04/02/12,Hamburg,Bayern Munich,1,1,0.16666666666666666,0.25,0.6535947712418301,1112,Hamburg1112,Bayern Munich1112,D11112,0.0702614379084967,0.15572519083969466,0.233587786259542,0.6106870229007634,Bayern Munich,Hamburg,1,1,0,1,1,1
20,D1,12/02/12,FC Koln,Hamburg,0,1,0.3225806451612903,0.29411764705882354,0.4444444444444444,1112,FC Koln1112,Hamburg1112,D11112,0.06114273666455827,0.3039936419630439,0.27717067355454006,0.41883568448241604,Hamburg,FC Koln,0,3,1,0,0,2
21,D1,18/02/12,Hamburg,Werder Bremen,1,3,0.5,0.2857142857142857,0.2777777777777778,1112,Hamburg1112,Werder Bremen1112,D11112,0.06349206349206349,0.4701492537313433,0.26865671641791045,0.2611940298507463,Hamburg,Werder Bremen,0,3,0,0,1,3
22,D1,24/02/12,M'gladbach,Hamburg,1,1,0.5780346820809249,0.26666666666666666,0.2222222222222222,1112,M'gladbach1112,Hamburg1112,D11112,0.06692357096981372,0.5417770286539851,0.24993980255237178,0.20828316879364314,M'gladbach,Hamburg,1,1,0,1,0,0
23,D1,03/03/12,Hamburg,Stuttgart,0,4,0.5,0.2857142857142857,0.2777777777777778,1112,Hamburg1112,Stuttgart1112,D11112,0.06349206349206349,0.4701492537313433,0.26865671641791045,0.2611940298507463,Hamburg,Stuttgart,0,3,0,0,0,1
24,D1,11/03/12,Schalke 04,Hamburg,3,1,0.5464480874316939,0.2777777777777778,0.23809523809523808,1112,Schalke 041112,Hamburg1112,D11112,0.062321103304709746,0.5143906919779547,0.2614819350887937,0.2241273729332517,Schalke 04,Hamburg,3,0,0,0,0,0
25,D1,17/03/12,Hamburg,Freiburg,1,3,0.5464480874316939,0.26666666666666666,0.25,1112,Hamburg1112,Freiburg1112,D11112,0.06311475409836054,0.5140066820868672,0.2508352608583912,0.23515805705474174,Hamburg,Freiburg,0,3,0,0,0,0
26,D1,23/03/12,Wolfsburg,Hamburg,2,1,0.48780487804878053,0.2857142857142857,0.29411764705882354,1112,Wolfsburg1112,Hamburg1112,D11112,0.06763681082188988,0.4569015166058744,0.26761374544058353,0.2754847379535419,Wolfsburg,Hamburg,3,0,0,0,0,0
27,D1,31/03/12,Kaiserslautern,Hamburg,0,1,0.4,0.3076923076923077,0.35714285714285715,1112,Kaiserslautern1112,Hamburg1112,D11112,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Kaiserslautern,Hamburg,0,3,1,0,0,0
28,D1,08/04/12,Hamburg,Leverkusen,1,1,0.36363636363636365,0.30303030303030304,0.4,1112,Hamburg1112,Leverkusen1112,D11112,0.06666666666666687,0.34090909090909083,0.28409090909090906,0.37499999999999994,Leverkusen,Hamburg,1,1,0,1,1,1
29,D1,11/04/12,Hoffenheim,Hamburg,4,0,0.45454545454545453,0.29411764705882354,0.3125,1112,Hoffenheim1112,Hamburg1112,D11112,0.06116310160427796,0.42834645669291344,0.2771653543307087,0.29448818897637796,Hoffenheim,Hamburg,3,0,0,0,0,2
30,D1,14/04/12,Hamburg,Hannover,1,0,0.4347826086956522,0.29411764705882354,0.3333333333333333,1112,Hamburg1112,Hannover1112,D11112,0.06223358908780896,0.4093097913322633,0.27688603531300165,0.31380417335473515,Hamburg,Hannover,3,0,1,0,0,0
31,D1,21/04/12,Nurnberg,Hamburg,1,1,0.45454545454545453,0.30303030303030304,0.3076923076923077,1112,Nurnberg1112,Hamburg1112,D11112,0.06526806526806528,0.42669584245076586,0.2844638949671772,0.2888402625820569,Nurnberg,Hamburg,1,1,0,1,1,1
32,D1,28/04/12,Hamburg,Mainz,0,0,0.47619047619047616,0.29411764705882354,0.29411764705882354,1112,Hamburg1112,Mainz1112,D11112,0.06442577030812324,0.4473684210526316,0.27631578947368424,0.27631578947368424,Hamburg,Mainz,1,1,0,1,0,2
33,D1,05/05/12,Augsburg,Hamburg,1,0,0.4166666666666667,0.30303030303030304,0.3472222222222222,1112,Augsburg1112,Hamburg1112,D11112,0.06691919191919204,0.3905325443786982,0.2840236686390532,0.32544378698224846,Augsburg,Hamburg,3,0,0,0,0,3
