,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,D1,11/08/07,Bayern Munich,Hansa Rostock,3,0,0.8620689655172414,0.16666666666666666,0.05263157894736842,0708,Bayern Munich0708,Hansa Rostock0708,D10708,0.08136721113127643,0.7972027972027973,0.1541258741258741,0.04867132867132867,Bayern Munich,Hansa Rostock,3,0,0,0,0,0
1,D1,18/08/07,Hansa Rostock,Nurnberg,1,2,0.3846153846153846,0.3076923076923077,0.3846153846153846,0708,Hansa Rostock0708,Nurnberg0708,D10708,0.07692307692307687,0.35714285714285715,0.28571428571428575,0.35714285714285715,Hansa Rostock,Nurnberg,0,3,0,0,0,0
2,D1,26/08/07,Ein Frankfurt,Hansa Rostock,1,0,0.5813953488372093,0.2857142857142857,0.21052631578947367,0708,Ein Frankfurt0708,Hansa Rostock0708,D10708,0.0776359503409687,0.5395099789063768,0.26513061820541944,0.19535940288820378,Ein Frankfurt,Hansa Rostock,3,0,0,0,0,0
3,D1,01/09/07,Hansa Rostock,Dortmund,0,1,0.3125,0.3076923076923077,0.45454545454545453,0708,Hansa Rostock0708,Dortmund0708,D10708,0.0747377622377623,0.29076860512403413,0.28629524196827977,0.422936152907686,Dortmund,Hansa Rostock,0,3,0,0,0,0
4,D1,15/09/07,Bielefeld,Hansa Rostock,4,2,0.5714285714285714,0.2857142857142857,0.21052631578947367,0708,Bielefeld0708,Hansa Rostock0708,D10708,0.06766917293233066,0.5352112676056339,0.26760563380281693,0.1971830985915493,Bielefeld,Hansa Rostock,3,0,0,0,0,0
5,D1,22/09/07,Hansa Rostock,Duisburg,2,0,0.4166666666666667,0.30303030303030304,0.3448275862068966,0708,Hansa Rostock0708,Duisburg0708,D10708,0.0645245559038663,0.3914110429447853,0.2846625766871166,0.3239263803680982,Hansa Rostock,Duisburg,3,0,1,0,0,0
6,D1,25/09/07,Hertha,Hansa Rostock,1,3,0.6944444444444444,0.25,0.11764705882352941,0708,Hertha0708,Hansa Rostock0708,D10708,0.06209150326797386,0.6538461538461539,0.2353846153846154,0.11076923076923077,Hertha,Hansa Rostock,0,3,1,0,1,1
7,D1,29/09/07,Hansa Rostock,Stuttgart,2,1,0.2777777777777778,0.2857142857142857,0.5,0708,Hansa Rostock0708,Stuttgart0708,D10708,0.06349206349206349,0.2611940298507463,0.26865671641791045,0.4701492537313433,Stuttgart,Hansa Rostock,3,0,1,0,2,2
8,D1,06/10/07,Wolfsburg,Hansa Rostock,1,0,0.5813953488372093,0.2777777777777778,0.21052631578947367,0708,Wolfsburg0708,Hansa Rostock0708,D10708,0.0696994424044608,0.543512809103045,0.25967834212701035,0.19680884876994467,Wolfsburg,Hansa Rostock,3,0,0,0,3,3
9,D1,20/10/07,Hansa Rostock,Schalke 04,1,1,0.2222222222222222,0.2857142857142857,0.5555555555555556,0708,Hansa Rostock0708,Schalke 040708,D10708,0.06349206349206349,0.208955223880597,0.26865671641791045,0.5223880597014926,Schalke 04,Hansa Rostock,1,1,0,1,0,0
10,D1,27/10/07,Hansa Rostock,Karlsruhe,0,0,0.4166666666666667,0.30303030303030304,0.3484320557491289,0708,Hansa Rostock0708,Karlsruhe0708,D10708,0.06812902544609867,0.3900902014086247,0.283701964660818,0.32620783393055724,Hansa Rostock,Karlsruhe,1,1,0,1,0,1
