,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,E2,07/08/10,Rochdale,Hartlepool,0,0,0.4444444444444444,0.3076923076923077,0.3125,1011,Rochdale1011,Hartlepool1011,E21011,0.06463675213675213,0.41746111389864526,0.28901154039136984,0.29352734570998495,Portsmouth,Fulham,1,1,0,1,0,0
1,E2,14/08/10,Hartlepool,Swindon,2,2,0.3802281368821293,0.3125,0.37037037037037035,1011,Hartlepool1011,Swindon1011,E21011,0.06309850725249966,0.35766030550151096,0.2939520635840543,0.3483876309144347,Hull,Bolton,1,1,0,1,0,1
2,E2,21/08/10,Yeovil,Hartlepool,0,2,0.47619047619047616,0.29411764705882354,0.29411764705882354,1011,Yeovil1011,Hartlepool1011,E21011,0.06442577030812324,0.4473684210526316,0.27631578947368424,0.27631578947368424,Aston Villa,Fulham,0,3,1,0,0,2
3,E2,28/08/10,Hartlepool,Sheffield Weds,0,5,0.3125,0.29411764705882354,0.45454545454545453,1011,Hartlepool1011,Sheffield Weds1011,E21011,0.06116310160427818,0.2944881889763779,0.27716535433070866,0.4283464566929133,Chelsea,Stoke,0,3,0,0,1,3
4,E2,04/09/10,Milton Keynes Dons,Hartlepool,1,0,0.5780346820809249,0.2857142857142857,0.2,1011,Milton Keynes Dons1011,Hartlepool1011,E21011,0.06374896779521055,0.5433938829374321,0.2685918335662164,0.18801428349635152,Hull,Birmingham,3,0,0,0,0,0
5,E2,11/09/10,Hartlepool,Exeter,2,3,0.47619047619047616,0.30303030303030304,0.2857142857142857,1011,Hartlepool1011,Exeter1011,E21011,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Tottenham,Burnley,0,3,0,0,0,0
6,E2,18/09/10,Brentford,Hartlepool,0,0,0.5464480874316939,0.2857142857142857,0.23094688221709006,1011,Brentford1011,Hartlepool1011,E21011,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Wolves,Portsmouth,1,1,0,1,0,0
7,E2,25/09/10,Hartlepool,Walsall,2,1,0.47619047619047616,0.3076923076923077,0.2777777777777778,1011,Hartlepool1011,Walsall1011,E21011,0.061660561660561664,0.4485336400230017,0.2898217366302473,0.26164462334675104,Tottenham,Stoke,3,0,1,0,0,1
8,E2,28/09/10,Hartlepool,Carlisle,0,4,0.4,0.29411764705882354,0.37037037037037035,1011,Hartlepool1011,Carlisle1011,E21011,0.06448801742919397,0.375767498976668,0.2762996316004912,0.34793286942284074,Man United,Blackburn,0,3,0,0,1,2
9,E2,02/10/10,Plymouth,Hartlepool,0,1,0.5464480874316939,0.2857142857142857,0.23094688221709006,1011,Plymouth1011,Hartlepool1011,E21011,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Liverpool,Birmingham,0,3,1,0,0,0
