,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,SP1,28/08/10,Hercules,Ath Bilbao,0,1,0.4,0.3076923076923077,0.35714285714285715,1011,Hercules1011,Ath Bilbao1011,SP11011,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Hercules,Ath Bilbao,0,3,0,0,0,0
1,SP1,11/09/10,Barcelona,Hercules,0,2,0.9433962264150942,0.09090909090909091,0.029411764705882353,1011,Barcelona1011,Hercules1011,SP11011,0.06371708203006743,0.8868864121413328,0.08546359971543753,0.02764998814322979,Barcelona,Hercules,0,3,1,0,0,0
2,SP1,19/09/10,Hercules,Valencia,1,2,0.2857142857142857,0.3125,0.46511627906976744,1011,Hercules1011,Valencia1011,SP11011,0.06333056478405319,0.2686975200156219,0.2938879125170865,0.4374145674672915,Valencia,Hercules,0,3,0,0,1,1
3,SP1,22/09/10,Zaragoza,Hercules,0,0,0.5128205128205129,0.30303030303030304,0.25,1011,Zaragoza1011,Hercules1011,SP11011,0.06585081585081598,0.4811372334609076,0.2843083652268999,0.23455440131219243,Zaragoza,Hercules,1,1,0,1,0,0
4,SP1,26/09/10,Hercules,Sevilla,2,0,0.2857142857142857,0.30303030303030304,0.47619047619047616,1011,Hercules1011,Sevilla1011,SP11011,0.06493506493506507,0.26829268292682923,0.2845528455284553,0.4471544715447154,Sevilla,Hercules,3,0,1,0,0,1
5,SP1,03/10/10,Getafe,Hercules,3,0,0.48780487804878053,0.30303030303030304,0.2777777777777778,1011,Getafe1011,Hercules1011,SP11011,0.06861295885686136,0.4564841498559078,0.28357348703170027,0.25994236311239194,Getafe,Hercules,3,0,0,0,1,2
6,SP1,18/10/10,Hercules,Villarreal,2,2,0.35714285714285715,0.3076923076923077,0.4,1011,Hercules1011,Villarreal1011,SP11011,0.06483516483516505,0.33539731682146534,0.2889576883384932,0.3756449948400412,Villarreal,Hercules,1,1,0,1,0,0
7,SP1,24/10/10,Almeria,Hercules,1,1,0.45454545454545453,0.3076923076923077,0.3076923076923077,1011,Almeria1011,Hercules1011,SP11011,0.06993006993007,0.4248366013071895,0.2875816993464052,0.2875816993464052,Almeria,Hercules,1,1,0,1,0,1
8,SP1,30/10/10,Hercules,Real Madrid,1,3,0.1,0.2,0.7692307692307692,1011,Hercules1011,Real Madrid1011,SP11011,0.0692307692307692,0.09352517985611511,0.18705035971223022,0.7194244604316546,Real Madrid,Hercules,0,3,0,0,0,2
9,SP1,07/11/10,Osasuna,Hercules,3,0,0.5,0.30303030303030304,0.2631578947368421,1011,Osasuna1011,Hercules1011,SP11011,0.06618819776714502,0.4689603590127151,0.2842183994016455,0.2468212415856395,Osasuna,Hercules,3,0,0,0,0,0
10,SP1,14/11/10,Hercules,Sociedad,2,1,0.47619047619047616,0.30303030303030304,0.2857142857142857,1011,Hercules1011,Sociedad1011,SP11011,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Hercules,Sociedad,3,0,1,0,0,0
11,SP1,21/11/10,Espanol,Hercules,3,0,0.5235602094240838,0.30303030303030304,0.23809523809523808,1011,Espanol1011,Hercules1011,SP11011,0.064685750549625,0.4917509313464608,0.2846194784459819,0.22362959020755718,Espanol,Hercules,3,0,0,0,1,1
12,SP1,28/11/10,Hercules,Levante,3,1,0.5464480874316939,0.2857142857142857,0.23094688221709006,1011,Hercules1011,Levante1011,SP11011,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Hercules,Levante,3,0,1,0,0,0
13,SP1,06/12/10,La Coruna,Hercules,1,0,0.45454545454545453,0.3125,0.29411764705882354,1011,La Coruna1011,Hercules1011,SP11011,0.06116310160427818,0.4283464566929133,0.2944881889763779,0.27716535433070866,La Coruna,Hercules,3,0,0,0,1,1
14,SP1,12/12/10,Hercules,Malaga,4,1,0.47619047619047616,0.29411764705882354,0.29411764705882354,1011,Hercules1011,Malaga1011,SP11011,0.06442577030812324,0.4473684210526316,0.27631578947368424,0.27631578947368424,Hercules,Malaga,3,0,1,0,0,0
15,SP1,20/12/10,Santander,Hercules,0,0,0.5235602094240838,0.29411764705882354,0.25,1011,Santander1011,Hercules1011,SP11011,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Santander,Hercules,1,1,0,1,1,1
16,SP1,03/01/11,Mallorca,Hercules,3,0,0.5464480874316939,0.29411764705882354,0.2222222222222222,1011,Mallorca1011,Hercules1011,SP11011,0.06278795671273985,0.5141647343482205,0.27674160701683637,0.209093658634943,Mallorca,Hercules,3,0,0,0,0,2
17,SP1,10/01/11,Hercules,Ath Madrid,4,1,0.3448275862068966,0.3076923076923077,0.4166666666666667,1011,Hercules1011,Ath Madrid1011,SP11011,0.06918656056587102,0.3225139549307422,0.28778168286127764,0.3897043622079801,Ath Madrid,Hercules,3,0,1,0,0,0
18,SP1,15/01/11,Sp Gijon,Hercules,2,0,0.45454545454545453,0.30303030303030304,0.3076923076923077,1011,Sp Gijon1011,Hercules1011,SP11011,0.06526806526806528,0.42669584245076586,0.2844638949671772,0.2888402625820569,Sp Gijon,Hercules,3,0,0,0,1,1
19,SP1,24/01/11,Ath Bilbao,Hercules,3,0,0.5780346820809249,0.2777777777777778,0.21052631578947367,1011,Ath Bilbao1011,Hercules1011,SP11011,0.06633877564817636,0.5420741468672235,0.26049674280008245,0.19742911033269403,Ath Bilbao,Hercules,3,0,0,0,0,0
20,SP1,29/01/11,Hercules,Barcelona,0,3,0.06666666666666667,0.14285714285714285,0.8547008547008548,1011,Hercules1011,Barcelona1011,SP11011,0.06422466422466422,0.06264341441027994,0.13423588802202846,0.8031206975676917,Barcelona,Hercules,0,3,0,0,0,0
