,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,D1,10/08/13,Hertha,Ein Frankfurt,6,1,0.45454545454545453,0.29411764705882354,0.3125,1314,Hertha1314,Ein Frankfurt1314,D11314,0.06116310160427796,0.42834645669291344,0.2771653543307087,0.29448818897637796,Hertha,Ein Frankfurt,3,0,1,0,0,0
1,D1,18/08/13,Nurnberg,Hertha,2,2,0.4347826086956522,0.29411764705882354,0.3333333333333333,1314,Nurnberg1314,Hertha1314,D11314,0.06223358908780896,0.4093097913322633,0.27688603531300165,0.31380417335473515,Nurnberg,Hertha,1,1,0,1,1,1
2,D1,24/08/13,Hertha,Hamburg,1,0,0.5235602094240838,0.2777777777777778,0.2631578947368421,1314,Hertha1314,Hamburg1314,D11314,0.06449588193870359,0.491838642410297,0.26094772416768536,0.2472136334220177,Hertha,Hamburg,3,0,1,0,0,2
3,D1,31/08/13,Wolfsburg,Hertha,2,0,0.5235602094240838,0.2777777777777778,0.26666666666666666,1314,Wolfsburg1314,Hertha1314,D11314,0.06800465386852816,0.49022277901846506,0.2600904188681301,0.24968680211340488,Wolfsburg,Hertha,3,0,0,0,1,3
4,D1,13/09/13,Hertha,Stuttgart,0,1,0.46511627906976744,0.29411764705882354,0.30303030303030304,1314,Hertha1314,Stuttgart1314,D11314,0.06226422915889396,0.43785365853658537,0.27687804878048783,0.28526829268292686,Hertha,Stuttgart,0,3,0,0,0,0
5,D1,22/09/13,Freiburg,Hertha,1,1,0.42016806722689076,0.29411764705882354,0.3448275862068966,1314,Freiburg1314,Hertha1314,D11314,0.059113300492610765,0.3967168262653899,0.2777017783857729,0.32558139534883723,Freiburg,Hertha,1,1,0,1,0,0
6,D1,28/09/13,Hertha,Mainz,3,1,0.5,0.2777777777777778,0.2857142857142857,1314,Hertha1314,Mainz1314,D11314,0.06349206349206349,0.4701492537313433,0.2611940298507463,0.26865671641791045,Hertha,Mainz,3,0,1,0,0,1
7,D1,04/10/13,Hannover,Hertha,1,1,0.4444444444444444,0.29411764705882354,0.3225806451612903,1314,Hannover1314,Hertha1314,D11314,0.06114273666455827,0.41883568448241604,0.27717067355454006,0.3039936419630439,Hannover,Hertha,1,1,0,1,1,2
8,D1,19/10/13,Hertha,M'gladbach,1,0,0.42016806722689076,0.29411764705882354,0.3448275862068966,1314,Hertha1314,M'gladbach1314,D11314,0.059113300492610765,0.3967168262653899,0.2777017783857729,0.32558139534883723,Hertha,M'gladbach,3,0,1,0,0,3
9,D1,26/10/13,Bayern Munich,Hertha,3,2,0.9090909090909091,0.1111111111111111,0.047619047619047616,1314,Bayern Munich1314,Hertha1314,D11314,0.06782106782106778,0.8513513513513513,0.10405405405405405,0.0445945945945946,Bayern Munich,Hertha,3,0,0,0,1,4
10,D1,02/11/13,Hertha,Schalke 04,0,2,0.4347826086956522,0.29411764705882354,0.3333333333333333,1314,Hertha1314,Schalke 041314,D11314,0.06223358908780896,0.4093097913322633,0.27688603531300165,0.31380417335473515,Hertha,Schalke 04,0,3,0,0,0,0
11,D1,09/11/13,Hoffenheim,Hertha,2,3,0.45454545454545453,0.29411764705882354,0.3125,1314,Hoffenheim1314,Hertha1314,D11314,0.06116310160427796,0.42834645669291344,0.2771653543307087,0.29448818897637796,Hoffenheim,Hertha,0,3,1,0,0,0
12,D1,23/11/13,Hertha,Leverkusen,0,1,0.3333333333333333,0.3076923076923077,0.42016806722689076,1314,Hertha1314,Leverkusen1314,D11314,0.06119370825253179,0.3141116751269035,0.2899492385786802,0.39593908629441626,Leverkusen,Hertha,0,3,0,0,1,1
13,D1,30/11/13,Hertha,Augsburg,0,0,0.5,0.2857142857142857,0.2777777777777778,1314,Hertha1314,Augsburg1314,D11314,0.06349206349206349,0.4701492537313433,0.26865671641791045,0.2611940298507463,Hertha,Augsburg,1,1,0,1,0,0
14,D1,08/12/13,Braunschweig,Hertha,0,2,0.2857142857142857,0.30303030303030304,0.47619047619047616,1314,Braunschweig1314,Hertha1314,D11314,0.06493506493506507,0.26829268292682923,0.2845528455284553,0.4471544715447154,Hertha,Braunschweig,0,3,1,0,0,1
