,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,D1,10/08/13,Hoffenheim,Nurnberg,2,2,0.47619047619047616,0.30303030303030304,0.2857142857142857,1314,Hoffenheim1314,Nurnberg1314,D11314,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Hoffenheim,Nurnberg,1,1,0,1,0,0
1,D1,17/08/13,Hamburg,Hoffenheim,1,5,0.5,0.2777777777777778,0.2857142857142857,1314,Hamburg1314,Hoffenheim1314,D11314,0.06349206349206349,0.4701492537313433,0.2611940298507463,0.26865671641791045,Hamburg,Hoffenheim,0,3,1,0,0,1
2,D1,24/08/13,Hoffenheim,Freiburg,3,3,0.5714285714285714,0.26666666666666666,0.2222222222222222,1314,Hoffenheim1314,Freiburg1314,D11314,0.0603174603174601,0.5389221556886228,0.251497005988024,0.20958083832335334,Hoffenheim,Freiburg,1,1,0,1,1,2
3,D1,01/09/13,Stuttgart,Hoffenheim,6,2,0.4347826086956522,0.2857142857142857,0.3448275862068966,1314,Stuttgart1314,Hoffenheim1314,D11314,0.06532448061683449,0.40812223562525135,0.268194611982308,0.3236831523924407,Stuttgart,Hoffenheim,3,0,0,0,0,3
4,D1,15/09/13,Hoffenheim,M'gladbach,2,1,0.3846153846153846,0.29411764705882354,0.3846153846153846,1314,Hoffenheim1314,M'gladbach1314,D11314,0.06334841628959276,0.36170212765957444,0.2765957446808511,0.36170212765957444,Hoffenheim,M'gladbach,3,0,1,0,0,0
5,D1,21/09/13,Wolfsburg,Hoffenheim,2,1,0.5780346820809249,0.25,0.23809523809523808,1314,Wolfsburg1314,Hoffenheim1314,D11314,0.06612992017616293,0.542180339508165,0.23449299683728136,0.22332666365455367,Wolfsburg,Hoffenheim,3,0,0,0,1,1
6,D1,28/09/13,Hoffenheim,Schalke 04,3,3,0.35714285714285715,0.30303030303030304,0.4,1314,Hoffenheim1314,Schalke 041314,D11314,0.06017316017316032,0.3368721927317272,0.2858309514087382,0.3772968558595345,Schalke 04,Hoffenheim,1,1,0,1,0,0
7,D1,05/10/13,Mainz,Hoffenheim,2,2,0.4444444444444444,0.2857142857142857,0.3333333333333333,1314,Mainz1314,Hoffenheim1314,D11314,0.06349206349206349,0.417910447761194,0.26865671641791045,0.3134328358208955,Mainz,Hoffenheim,1,1,0,1,0,1
8,D1,18/10/13,Hoffenheim,Leverkusen,1,2,0.3076923076923077,0.2777777777777778,0.47619047619047616,1314,Hoffenheim1314,Leverkusen1314,D11314,0.061660561660561664,0.2898217366302473,0.26164462334675104,0.4485336400230017,Leverkusen,Hoffenheim,0,3,0,0,0,2
9,D1,26/10/13,Hannover,Hoffenheim,1,4,0.4347826086956522,0.2857142857142857,0.3448275862068966,1314,Hannover1314,Hoffenheim1314,D11314,0.06532448061683449,0.40812223562525135,0.268194611982308,0.3236831523924407,Hannover,Hoffenheim,0,3,1,0,0,0
10,D1,02/11/13,Hoffenheim,Bayern Munich,1,2,0.08333333333333333,0.16666666666666666,0.8,1314,Hoffenheim1314,Bayern Munich1314,D11314,0.050000000000000044,0.07936507936507936,0.15873015873015872,0.7619047619047619,Bayern Munich,Hoffenheim,0,3,0,0,1,1
11,D1,09/11/13,Hoffenheim,Hertha,2,3,0.45454545454545453,0.29411764705882354,0.3125,1314,Hoffenheim1314,Hertha1314,D11314,0.06116310160427796,0.42834645669291344,0.2771653543307087,0.29448818897637796,Hoffenheim,Hertha,0,3,0,0,0,0
12,D1,23/11/13,Augsburg,Hoffenheim,2,0,0.47619047619047616,0.2857142857142857,0.30303030303030304,1314,Augsburg1314,Hoffenheim1314,D11314,0.06493506493506485,0.44715447154471544,0.2682926829268293,0.28455284552845533,Augsburg,Hoffenheim,3,0,0,0,0,0
13,D1,30/11/13,Hoffenheim,Werder Bremen,4,4,0.5555555555555556,0.26666666666666666,0.23809523809523808,1314,Hoffenheim1314,Werder Bremen1314,D11314,0.060317460317460325,0.5239520958083832,0.25149700598802394,0.2245508982035928,Hoffenheim,Werder Bremen,1,1,0,1,0,0
14,D1,07/12/13,Ein Frankfurt,Hoffenheim,1,2,0.47619047619047616,0.2777777777777778,0.3076923076923077,1314,Ein Frankfurt1314,Hoffenheim1314,D11314,0.061660561660561664,0.4485336400230017,0.26164462334675104,0.2898217366302473,Ein Frankfurt,Hoffenheim,0,3,1,0,0,1
15,D1,14/12/13,Hoffenheim,Dortmund,2,2,0.23094688221709006,0.25,0.5780346820809249,1314,Hoffenheim1314,Dortmund1314,D11314,0.05898156429801493,0.21808394971463146,0.23607587556608858,0.54584017471928,Dortmund,Hoffenheim,1,1,0,1,1,2
16,D1,21/12/13,Braunschweig,Hoffenheim,1,0,0.25,0.29411764705882354,0.5235602094240838,1314,Braunschweig1314,Hoffenheim1314,D11314,0.06767785648290747,0.2341530251676642,0.27547414725607555,0.4903728275762601,Hoffenheim,Braunschweig,3,0,0,0,0,3
17,D1,25/01/14,Nurnberg,Hoffenheim,4,0,0.3846153846153846,0.29411764705882354,0.3802281368821293,1314,Nurnberg1314,Hoffenheim1314,D11314,0.05896116855633737,0.3632006498781478,0.27774167343623074,0.3590576766856215,Nurnberg,Hoffenheim,3,0,0,0,0,0
18,D1,01/02/14,Hoffenheim,Hamburg,3,0,0.48780487804878053,0.29411764705882354,0.2857142857142857,1314,Hoffenheim1314,Hamburg1314,D11314,0.06763681082188988,0.4569015166058744,0.2754847379535419,0.26761374544058353,Hoffenheim,Hamburg,3,0,1,0,0,0
19,D1,08/02/14,Freiburg,Hoffenheim,1,1,0.3802281368821293,0.2857142857142857,0.4,1314,Freiburg1314,Hoffenheim1314,D11314,0.06594242259641492,0.3567060741948635,0.2680391357521402,0.3752547900529964,Hoffenheim,Freiburg,1,1,0,1,1,1
20,D1,15/02/14,Hoffenheim,Stuttgart,4,1,0.5128205128205129,0.2777777777777778,0.2777777777777778,1314,Hoffenheim1314,Stuttgart1314,D11314,0.06837606837606858,0.48,0.25999999999999995,0.25999999999999995,Hoffenheim,Stuttgart,3,0,1,0,0,2
21,D1,22/02/14,M'gladbach,Hoffenheim,2,2,0.5128205128205129,0.2777777777777778,0.2777777777777778,1314,M'gladbach1314,Hoffenheim1314,D11314,0.06837606837606858,0.48,0.25999999999999995,0.25999999999999995,M'gladbach,Hoffenheim,1,1,0,1,1,3
22,D1,02/03/14,Hoffenheim,Wolfsburg,6,2,0.3846153846153846,0.29411764705882354,0.3846153846153846,1314,Hoffenheim1314,Wolfsburg1314,D11314,0.06334841628959276,0.36170212765957444,0.2765957446808511,0.36170212765957444,Hoffenheim,Wolfsburg,3,0,1,0,0,4
23,D1,08/03/14,Schalke 04,Hoffenheim,4,0,0.5714285714285714,0.25,0.23809523809523808,1314,Schalke 041314,Hoffenheim1314,D11314,0.059523809523809534,0.5393258426966292,0.23595505617977527,0.2247191011235955,Schalke 04,Hoffenheim,3,0,0,0,1,5
24,D1,15/03/14,Hoffenheim,Mainz,2,4,0.45454545454545453,0.2857142857142857,0.3225806451612903,1314,Hoffenheim1314,Mainz1314,D11314,0.06284038542103043,0.42767047694126925,0.2688214426487978,0.30350808040993305,Hoffenheim,Mainz,0,3,0,0,0,0
25,D1,23/03/14,Leverkusen,Hoffenheim,2,3,0.5780346820809249,0.2631578947368421,0.2222222222222222,1314,Leverkusen1314,Hoffenheim1314,D11314,0.06341479903998914,0.543564639689755,0.24746495438507263,0.20897040592517244,Leverkusen,Hoffenheim,0,3,1,0,0,0
26,D1,26/03/14,Hoffenheim,Hannover,3,1,0.5235602094240838,0.26666666666666666,0.2777777777777778,1314,Hoffenheim1314,Hannover1314,D11314,0.06800465386852839,0.49022277901846495,0.24968680211340483,0.26009041886813006,Hoffenheim,Hannover,3,0,1,0,1,1
27,D1,29/03/14,Bayern Munich,Hoffenheim,3,3,0.8771929824561404,0.125,0.06666666666666667,1314,Bayern Munich1314,Hoffenheim1314,D11314,0.06885964912280707,0.8206811653672549,0.11694706606483381,0.062371768567911365,Bayern Munich,Hoffenheim,1,1,0,1,2,2
28,D1,06/04/14,Hertha,Hoffenheim,1,1,0.42016806722689076,0.2777777777777778,0.37037037037037035,1314,Hertha1314,Hoffenheim1314,D11314,0.06831621537503896,0.3932993445010925,0.2600145666423889,0.3466860888565185,Hertha,Hoffenheim,1,1,0,1,0,3
29,D1,13/04/14,Hoffenheim,Augsburg,2,0,0.4166666666666667,0.2857142857142857,0.35714285714285715,1314,Hoffenheim1314,Augsburg1314,D11314,0.059523809523809534,0.39325842696629215,0.2696629213483146,0.33707865168539325,Hoffenheim,Augsburg,3,0,1,0,0,4
30,D1,19/04/14,Werder Bremen,Hoffenheim,3,1,0.35714285714285715,0.2777777777777778,0.4347826086956522,1314,Werder Bremen1314,Hoffenheim1314,D11314,0.06970324361628721,0.3338709677419355,0.2596774193548387,0.4064516129032258,Hoffenheim,Werder Bremen,3,0,0,0,1,5
31,D1,26/04/14,Hoffenheim,Ein Frankfurt,0,0,0.5235602094240838,0.26666666666666666,0.2777777777777778,1314,Hoffenheim1314,Ein Frankfurt1314,D11314,0.06800465386852839,0.49022277901846495,0.24968680211340483,0.26009041886813006,Hoffenheim,Ein Frankfurt,1,1,0,1,0,0
32,D1,03/05/14,Dortmund,Hoffenheim,3,2,0.7352941176470588,0.18181818181818182,0.14285714285714285,1314,Dortmund1314,Hoffenheim1314,D11314,0.059969442322383326,0.6936936936936937,0.17153153153153156,0.13477477477477479,Dortmund,Hoffenheim,3,0,0,0,0,1
33,D1,10/05/14,Hoffenheim,Braunschweig,3,1,0.5988023952095809,0.2222222222222222,0.23809523809523808,1314,Hoffenheim1314,Braunschweig1314,D11314,0.05911985552704113,0.5653773669568339,0.209817822848425,0.22480481019474108,Hoffenheim,Braunschweig,3,0,1,0,0,0
