,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,E0,18/08/13,Chelsea,Hull,2,0,0.8333333333333334,0.14285714285714285,0.047619047619047616,1314,Chelsea1314,Hull1314,E01314,0.023809523809523947,0.8139534883720929,0.1395348837209302,0.04651162790697674,Chelsea,Hull,3,0,0,0,0,0
1,E0,24/08/13,Hull,Norwich,1,0,0.4081632653061224,0.29411764705882354,0.3225806451612903,1314,Hull1314,Norwich1314,E01314,0.02486155752623631,0.3982618552805592,0.28698280748157945,0.3147553372378613,Hull,Norwich,3,0,1,0,0,0
2,E0,31/08/13,Man City,Hull,2,0,0.8547008547008548,0.11764705882352941,0.05263157894736842,1314,Man City1314,Hull1314,E01314,0.024979492471752573,0.8338711759390732,0.11477991480573124,0.05134890925519556,Man City,Hull,3,0,0,0,1,1
3,E0,14/09/13,Hull,Cardiff,1,1,0.4081632653061224,0.3076923076923077,0.3076923076923077,1314,Hull1314,Cardiff1314,E01314,0.023547880690737877,0.39877300613496924,0.3006134969325153,0.3006134969325153,Hull,Cardiff,1,1,0,1,0,0
4,E0,21/09/13,Newcastle,Hull,2,3,0.5405405405405405,0.2857142857142857,0.2,1314,Newcastle1314,Hull1314,E01314,0.026254826254826114,0.526711813393529,0.27840481565086533,0.19488337095560576,Newcastle,Hull,0,3,1,0,0,1
5,E0,28/09/13,Hull,West Ham,1,0,0.42016806722689076,0.30303030303030304,0.30303030303030304,1314,Hull1314,West Ham1314,E01314,0.026228673287496784,0.40942928039702237,0.29528535980148884,0.29528535980148884,Hull,West Ham,3,0,1,0,1,2
6,E0,05/10/13,Hull,Aston Villa,0,0,0.4081632653061224,0.30303030303030304,0.3125,1314,Hull1314,Aston Villa1314,E01314,0.02369356833642544,0.39871625448367,0.2960166131772702,0.30526713233905983,Hull,Aston Villa,1,1,0,1,2,3
7,E0,19/10/13,Everton,Hull,2,1,0.6896551724137931,0.2222222222222222,0.1111111111111111,1314,Everton1314,Hull1314,E01314,0.02298850574712641,0.6741573033707866,0.21722846441947566,0.10861423220973783,Everton,Hull,3,0,0,0,0,4
8,E0,27/10/13,Tottenham,Hull,1,0,0.6944444444444444,0.21052631578947367,0.125,1314,Tottenham1314,Hull1314,E01314,0.029970760233918092,0.674237047551455,0.20440028388928316,0.1213626685592619,Tottenham,Hull,3,0,0,0,0,0
9,E0,02/11/13,Hull,Sunderland,1,0,0.46511627906976744,0.29411764705882354,0.2631578947368421,1314,Hull1314,Sunderland1314,E01314,0.02239182086543301,0.45492957746478874,0.2876760563380282,0.2573943661971831,Hull,Sunderland,3,0,1,0,0,0
10,E0,09/11/13,Southampton,Hull,4,1,0.6172839506172839,0.2631578947368421,0.14285714285714285,1314,Southampton1314,Hull1314,E01314,0.023298988211268856,0.6032293178519593,0.25716618287373005,0.1396044992743106,Southampton,Hull,3,0,0,0,1,1
11,E0,23/11/13,Hull,Crystal Palace,0,1,0.5405405405405405,0.2857142857142857,0.2,1314,Hull1314,Crystal Palace1314,E01314,0.026254826254826114,0.526711813393529,0.27840481565086533,0.19488337095560576,Hull,Crystal Palace,0,3,0,0,0,0
12,E0,01/12/13,Hull,Liverpool,3,1,0.15384615384615385,0.25,0.6172839506172839,1314,Hull1314,Liverpool1314,E01314,0.02113010446343777,0.15066263659614043,0.24482678446872821,0.6045105789351314,Liverpool,Hull,3,0,1,0,0,0
13,E0,04/12/13,Arsenal,Hull,2,0,0.8333333333333334,0.13333333333333333,0.058823529411764705,1314,Arsenal1314,Hull1314,E01314,0.025490196078431282,0.8126195028680689,0.13001912045889102,0.05736137667304016,Arsenal,Hull,3,0,0,0,1,1
14,E0,09/12/13,Swansea,Hull,1,1,0.5714285714285714,0.26666666666666666,0.18181818181818182,1314,Swansea1314,Hull1314,E01314,0.019913419913419883,0.5602716468590832,0.2614601018675722,0.17826825127334467,Swansea,Hull,1,1,0,1,0,0
15,E0,14/12/13,Hull,Stoke,0,0,0.4347826086956522,0.30303030303030304,0.2857142857142857,1314,Hull1314,Stoke1314,E01314,0.02352719744024112,0.42478852519308563,0.2960647296800294,0.2791467451268848,Hull,Stoke,1,1,0,1,0,1
16,E0,21/12/13,West Brom,Hull,1,1,0.5128205128205129,0.2857142857142857,0.2222222222222222,1314,West Brom1314,Hull1314,E01314,0.020757020757020683,0.5023923444976077,0.2799043062200957,0.21770334928229665,West Brom,Hull,1,1,0,1,0,2
17,E0,26/12/13,Hull,Man United,2,3,0.14285714285714285,0.23809523809523808,0.6451612903225806,1314,Hull1314,Man United1314,E01314,0.026113671274961447,0.13922155688622756,0.2320359281437126,0.62874251497006,Man United,Hull,0,3,0,0,0,3
18,E0,28/12/13,Hull,Fulham,6,0,0.48780487804878053,0.29411764705882354,0.24390243902439027,1314,Hull1314,Fulham1314,E01314,0.02582496413199431,0.4755244755244755,0.2867132867132867,0.23776223776223776,Hull,Fulham,3,0,1,0,0,0
19,E0,01/01/14,Liverpool,Hull,2,0,0.7692307692307692,0.16666666666666666,0.09090909090909091,1314,Liverpool1314,Hull1314,E01314,0.02680652680652673,0.7491486946651532,0.1623155505107832,0.08853575482406358,Liverpool,Hull,3,0,0,0,1,1
20,E0,11/01/14,Hull,Chelsea,0,2,0.15384615384615385,0.25,0.625,1314,Hull1314,Chelsea1314,E01314,0.028846153846153744,0.14953271028037385,0.2429906542056075,0.6074766355140188,Chelsea,Hull,0,3,0,0,0,0
21,E0,18/01/14,Norwich,Hull,1,0,0.4166666666666667,0.30303030303030304,0.3076923076923077,1314,Norwich1314,Hull1314,E01314,0.027389277389277433,0.4055587067498582,0.2949517867271696,0.29948950652297224,Norwich,Hull,3,0,0,0,0,0
22,E0,28/01/14,Crystal Palace,Hull,1,0,0.4,0.3125,0.3125,1314,Crystal Palace1314,Hull1314,E01314,0.02499999999999991,0.39024390243902446,0.30487804878048785,0.30487804878048785,Crystal Palace,Hull,3,0,0,0,0,0
23,E0,01/02/14,Hull,Tottenham,1,1,0.25,0.2857142857142857,0.48780487804878053,1314,Hull1314,Tottenham1314,E01314,0.023519163763066286,0.24425531914893614,0.27914893617021275,0.4765957446808511,Tottenham,Hull,1,1,0,1,0,0
24,E0,08/02/14,Sunderland,Hull,0,2,0.46511627906976744,0.29411764705882354,0.2631578947368421,1314,Sunderland1314,Hull1314,E01314,0.02239182086543301,0.45492957746478874,0.2876760563380282,0.2573943661971831,Sunderland,Hull,0,3,1,0,0,1
25,E0,11/02/14,Hull,Southampton,0,1,0.3333333333333333,0.3076923076923077,0.3846153846153846,1314,Hull1314,Southampton1314,E01314,0.02564102564102555,0.325,0.30000000000000004,0.375,Southampton,Hull,0,3,0,0,1,2
26,E0,22/02/14,Cardiff,Hull,0,4,0.36363636363636365,0.3125,0.3472222222222222,1314,Cardiff1314,Hull1314,E01314,0.023358585858585856,0.3553362122146823,0.3053670573719926,0.3392967304133251,Cardiff,Hull,0,3,1,0,0,0
27,E0,01/03/14,Hull,Newcastle,1,4,0.4081632653061224,0.3125,0.30303030303030304,1314,Hull1314,Newcastle1314,E01314,0.02369356833642544,0.39871625448367,0.30526713233905983,0.2960166131772702,Hull,Newcastle,0,3,0,0,1,1
28,E0,15/03/14,Hull,Man City,0,2,0.15384615384615385,0.23094688221709006,0.6369426751592356,1314,Hull1314,Man City1314,E01314,0.021735711222479637,0.15057333531200648,0.2260338751796864,0.623392789508307,Man City,Hull,0,3,0,0,0,0
29,E0,22/03/14,Hull,West Brom,2,0,0.4444444444444444,0.30303030303030304,0.2777777777777778,1314,Hull1314,West Brom1314,E01314,0.025252525252525082,0.43349753694581283,0.29556650246305427,0.27093596059113306,Hull,West Brom,3,0,1,0,0,0
30,E0,26/03/14,West Ham,Hull,2,1,0.4166666666666667,0.30303030303030304,0.30303030303030304,1314,West Ham1314,Hull1314,E01314,0.022727272727272707,0.40740740740740744,0.29629629629629634,0.29629629629629634,West Ham,Hull,3,0,0,0,1,1
31,E0,29/03/14,Stoke,Hull,1,0,0.46511627906976744,0.30303030303030304,0.25641025641025644,1314,Stoke1314,Hull1314,E01314,0.024556838510326973,0.4539682539682539,0.29576719576719573,0.2502645502645503,Stoke,Hull,3,0,0,0,0,0
32,E0,05/04/14,Hull,Swansea,1,0,0.36363636363636365,0.30303030303030304,0.35714285714285715,1314,Hull1314,Swansea1314,E01314,0.023809523809523947,0.3551797040169133,0.29598308668076106,0.34883720930232553,Hull,Swansea,3,0,1,0,0,0
33,E0,20/04/14,Hull,Arsenal,0,3,0.2222222222222222,0.2777777777777778,0.5555555555555556,1314,Hull1314,Arsenal1314,E01314,0.05555555555555558,0.21052631578947367,0.2631578947368421,0.5263157894736842,Arsenal,Hull,0,3,0,0,1,1
34,E0,26/04/14,Fulham,Hull,2,2,0.4347826086956522,0.29411764705882354,0.29411764705882354,1314,Fulham1314,Hull1314,E01314,0.023017902813299296,0.425,0.2875,0.2875,Fulham,Hull,1,1,0,1,0,0
35,E0,03/05/14,Aston Villa,Hull,3,1,0.4,0.30303030303030304,0.3225806451612903,1314,Aston Villa1314,Hull1314,E01314,0.025610948191593375,0.39001143728555093,0.2954632100648113,0.3145253526496378,Aston Villa,Hull,3,0,0,0,0,1
36,E0,06/05/14,Man United,Hull,3,1,0.7352941176470588,0.18181818181818182,0.1111111111111111,1314,Man United1314,Hull1314,E01314,0.028223410576351693,0.7151112395261485,0.17682750650101128,0.10806125397284022,Man United,Hull,3,0,0,0,0,0
37,E0,11/05/14,Hull,Everton,0,2,0.25,0.2777777777777778,0.5,1314,Hull1314,Everton1314,E01314,0.02777777777777768,0.24324324324324326,0.2702702702702703,0.4864864864864865,Everton,Hull,0,3,0,0,0,0
