,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,E1,09/08/09,Coventry,Ipswich,2,1,0.3846153846153846,0.3076923076923077,0.37037037037037035,0910,Coventry0910,Ipswich0910,E10910,0.06267806267806275,0.3619302949061662,0.28954423592493295,0.34852546916890076,Wigan,Wolves,3,0,0,0,0,0
1,E1,15/08/09,Ipswich,Leicester,0,0,0.5235602094240838,0.29411764705882354,0.23809523809523808,0910,Ipswich0910,Leicester0910,E10910,0.05577309457814539,0.4959022086400889,0.2785803583831088,0.22551743297680232,Arsenal,Portsmouth,1,1,0,1,0,0
2,E1,18/08/09,Ipswich,Crystal Palace,1,3,0.5235602094240838,0.30303030303030304,0.23809523809523808,0910,Ipswich0910,Crystal Palace0910,E10910,0.064685750549625,0.4917509313464608,0.2846194784459819,0.22362959020755718,Chelsea,Burnley,0,3,0,0,0,1
3,E1,22/08/09,West Brom,Ipswich,2,0,0.5780346820809249,0.2857142857142857,0.2,0910,West Brom0910,Ipswich0910,E10910,0.06374896779521055,0.5433938829374321,0.2685918335662164,0.18801428349635152,Arsenal,Wigan,3,0,0,0,0,0
4,E1,29/08/09,Ipswich,Preston,1,1,0.4347826086956522,0.30303030303030304,0.3225806451612903,0910,Ipswich0910,Preston0910,E10910,0.06039355688724557,0.41002004008016035,0.28577154308617236,0.30420841683366734,Chelsea,Tottenham,1,1,0,1,0,0
5,E1,12/09/09,Middlesbrough,Ipswich,3,1,0.5882352941176471,0.2777777777777778,0.2,0910,Middlesbrough0910,Ipswich0910,E10910,0.06601307189542482,0.5518087063151441,0.26057633353770693,0.187614960147149,Sunderland,Wolves,3,0,0,0,0,1
6,E1,15/09/09,Ipswich,Nott'm Forest,1,1,0.45454545454545453,0.30303030303030304,0.3076923076923077,0910,Ipswich0910,Nott'm Forest0910,E10910,0.06526806526806528,0.42669584245076586,0.2844638949671772,0.2888402625820569,West Ham,Fulham,1,1,0,1,0,0
7,E1,19/09/09,Doncaster,Ipswich,3,3,0.4166666666666667,0.30303030303030304,0.3472222222222222,0910,Doncaster0910,Ipswich0910,E10910,0.06691919191919204,0.3905325443786982,0.2840236686390532,0.32544378698224846,Chelsea,Blackburn,1,1,0,1,0,1
8,E1,26/09/09,Ipswich,Newcastle,0,4,0.3448275862068966,0.30303030303030304,0.42016806722689076,0910,Ipswich0910,Newcastle0910,E10910,0.06802595646409038,0.3228644248951739,0.28372934308969827,0.39340623201512787,Burnley,Hull,0,3,0,0,0,2
9,E1,29/09/09,Sheffield United,Ipswich,3,3,0.5988023952095809,0.2857142857142857,0.18181818181818182,0910,Sheffield United0910,Ipswich0910,E10910,0.06633486274204836,0.5615519253208868,0.26794049008168025,0.1705075845974329,Wigan,Fulham,1,1,0,1,0,0
10,E1,03/10/09,Barnsley,Ipswich,2,1,0.42016806722689076,0.29411764705882354,0.3472222222222222,0910,Barnsley0910,Ipswich0910,E10910,0.06150793650793651,0.3958218801539307,0.27707531610775155,0.32710280373831774,Chelsea,Wolves,3,0,0,0,0,1
11,E1,17/10/09,Ipswich,Swansea,1,1,0.45454545454545453,0.3076923076923077,0.30303030303030304,0910,Ipswich0910,Swansea0910,E10910,0.06526806526806528,0.42669584245076586,0.2888402625820569,0.2844638949671772,Wigan,Sunderland,1,1,0,1,0,0
12,E1,20/10/09,Ipswich,Watford,1,1,0.47619047619047616,0.30303030303030304,0.2857142857142857,0910,Ipswich0910,Watford0910,E10910,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Tottenham,Everton,1,1,0,1,0,1
13,E1,24/10/09,Plymouth,Ipswich,1,1,0.4,0.3076923076923077,0.35714285714285715,0910,Plymouth0910,Ipswich0910,E10910,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Aston Villa,Sunderland,1,1,0,1,0,2
14,E1,31/10/09,Ipswich,Derby,1,0,0.5235602094240838,0.29411764705882354,0.25,0910,Ipswich0910,Derby0910,E10910,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Man City,Sunderland,3,0,1,0,0,3
15,E1,07/11/09,Reading,Ipswich,1,1,0.4166666666666667,0.30303030303030304,0.3448275862068966,0910,Reading0910,Ipswich0910,E10910,0.0645245559038663,0.3914110429447853,0.2846625766871166,0.3239263803680982,Chelsea,Fulham,1,1,0,1,1,4
