,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,SP1,26/08/07,La Coruna,Almeria,0,3,0.5813953488372093,0.29411764705882354,0.2,0708,La Coruna0708,Almeria0708,SP10708,0.07551299589603278,0.5405749173238362,0.2734673111167642,0.18595777155939966,La Coruna,Almeria,0,3,0,0,0,0
1,SP1,02/09/07,Valladolid,La Coruna,2,2,0.47619047619047616,0.3125,0.2857142857142857,0708,Valladolid0708,La Coruna0708,SP10708,0.07440476190476186,0.44321329639889195,0.29085872576177285,0.2659279778393352,Valladolid,La Coruna,1,1,0,1,0,0
2,SP1,16/09/07,La Coruna,Betis,1,0,0.4347826086956522,0.3225806451612903,0.3076923076923077,0708,La Coruna0708,Betis0708,SP10708,0.0650555615492503,0.40822528363047,0.3028768233387358,0.28889789303079416,La Coruna,Betis,3,0,1,0,0,1
3,SP1,23/09/07,Getafe,La Coruna,0,0,0.47619047619047616,0.3125,0.2777777777777778,0708,Getafe0708,La Coruna0708,SP10708,0.06646825396825395,0.44651162790697674,0.2930232558139535,0.26046511627906976,Getafe,La Coruna,1,1,0,1,1,2
4,SP1,26/09/07,La Coruna,Recreativo,0,2,0.5,0.30303030303030304,0.2631578947368421,0708,La Coruna0708,Recreativo0708,SP10708,0.06618819776714502,0.4689603590127151,0.2842183994016455,0.2468212415856395,La Coruna,Recreativo,0,3,0,0,0,3
5,SP1,30/09/07,Espanol,La Coruna,1,0,0.5464480874316939,0.29411764705882354,0.2222222222222222,0708,Espanol0708,La Coruna0708,SP10708,0.06278795671273985,0.5141647343482205,0.27674160701683637,0.209093658634943,Espanol,La Coruna,3,0,0,0,0,0
6,SP1,07/10/07,Sevilla,La Coruna,0,1,0.6944444444444444,0.23809523809523808,0.13333333333333333,0708,Sevilla0708,La Coruna0708,SP10708,0.06587301587301586,0.6515264333581534,0.22338049143708116,0.12509307520476545,Sevilla,La Coruna,0,3,1,0,0,0
7,SP1,20/10/07,La Coruna,Valencia,2,4,0.3225806451612903,0.3076923076923077,0.4347826086956522,0708,La Coruna0708,Valencia0708,SP10708,0.0650555615492503,0.3028768233387358,0.28889789303079416,0.40822528363047,Valencia,La Coruna,0,3,0,0,1,1
8,SP1,27/10/07,Real Madrid,La Coruna,3,1,0.7692307692307692,0.2,0.09090909090909091,0708,Real Madrid0708,La Coruna0708,SP10708,0.060139860139859946,0.7255936675461742,0.18865435356200533,0.0857519788918206,Real Madrid,La Coruna,3,0,0,0,0,0
9,SP1,31/10/07,La Coruna,Mallorca,1,1,0.42194092827004215,0.3076923076923077,0.3333333333333333,0708,La Coruna0708,Mallorca0708,SP10708,0.06296656929568312,0.3969465648854962,0.2894656488549619,0.313587786259542,La Coruna,Mallorca,1,1,0,1,0,0
10,SP1,04/11/07,Murcia,La Coruna,0,2,0.4444444444444444,0.3125,0.3076923076923077,0708,Murcia0708,La Coruna0708,SP10708,0.06463675213675213,0.41746111389864526,0.29352734570998495,0.28901154039136984,Murcia,La Coruna,0,3,1,0,0,1
