,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,F1,09/08/08,Le Havre,Nice,1,0,0.4347826086956522,0.3333333333333333,0.29411764705882354,0809,Le Havre0809,Nice0809,F10809,0.06223358908780918,0.40930979133226325,0.3138041733547351,0.2768860353130016,Le Havre,Nice,3,0,1,0,0,0
1,F1,16/08/08,Toulouse,Le Havre,2,1,0.46511627906976744,0.3225806451612903,0.2777777777777778,0809,Toulouse0809,Le Havre0809,F10809,0.06547470200883554,0.4365343242714649,0.30275767651085467,0.26070799921768045,Toulouse,Le Havre,3,0,0,0,1,1
2,F1,23/08/08,Le Havre,Marseille,0,1,0.26666666666666666,0.3333333333333333,0.46511627906976744,0809,Le Havre0809,Marseille0809,F10809,0.06511627906976747,0.25036390101892286,0.31295487627365354,0.43668122270742354,Marseille,Le Havre,0,3,0,0,0,0
3,F1,30/08/08,Nancy,Le Havre,2,1,0.5780346820809249,0.3076923076923077,0.17391304347826086,0809,Nancy0809,Le Havre0809,F10809,0.059640033251493474,0.5455009851857258,0.2903743705757863,0.1641246442384879,Nancy,Le Havre,3,0,0,0,0,0
4,F1,13/09/08,Rennes,Le Havre,1,1,0.5988023952095809,0.29411764705882354,0.16666666666666666,0809,Rennes0809,Le Havre0809,F10809,0.05958670893507123,0.5651282619535708,0.2775777051360186,0.1572940329104105,Rennes,Le Havre,1,1,0,1,0,0
5,F1,20/09/08,Le Havre,Lyon,0,1,0.2,0.2857142857142857,0.5780346820809249,0809,Le Havre0809,Lyon0809,F10809,0.06374896779521055,0.18801428349635152,0.2685918335662164,0.5433938829374321,Lyon,Le Havre,0,3,0,0,0,1
6,F1,27/09/08,Auxerre,Le Havre,3,0,0.5235602094240838,0.3225806451612903,0.2173913043478261,0809,Auxerre0809,Le Havre0809,F10809,0.0635321589332003,0.4922843235405806,0.30331066385887384,0.20440501260054544,Auxerre,Le Havre,3,0,0,0,0,0
7,F1,04/10/08,Le Havre,Le Mans,1,2,0.3846153846153846,0.3225806451612903,0.35714285714285715,0809,Le Havre0809,Le Mans0809,F10809,0.06433888691953205,0.3613655287260616,0.30308076602830974,0.33555370524562866,Le Havre,Le Mans,0,3,0,0,0,0
8,F1,18/10/08,Sochaux,Le Havre,1,1,0.5464480874316939,0.3125,0.2,0809,Sochaux0809,Le Havre0809,F10809,0.058948087431693885,0.516029155647294,0.2951041733857963,0.18886667096690965,Sochaux,Le Havre,1,1,0,1,0,0
9,F1,25/10/08,Le Havre,Valenciennes,2,1,0.45454545454545453,0.3333333333333333,0.2777777777777778,0809,Le Havre0809,Valenciennes0809,F10809,0.06565656565656575,0.42654028436018954,0.31279620853080564,0.2606635071090047,Le Havre,Valenciennes,3,0,1,0,0,1
10,F1,28/10/08,Bordeaux,Le Havre,4,0,0.7352941176470588,0.2222222222222222,0.1111111111111111,0809,Bordeaux0809,Le Havre0809,F10809,0.06862745098039214,0.6880733944954128,0.20795107033639143,0.10397553516819572,Bordeaux,Le Havre,3,0,0,0,1,2
11,F1,02/11/08,Le Havre,Monaco,2,3,0.3846153846153846,0.3472222222222222,0.3333333333333333,0809,Le Havre0809,Monaco0809,F10809,0.06517094017094016,0.3610832497492477,0.3259779338014042,0.312938816449348,Le Havre,Monaco,0,3,0,0,0,0
12,F1,08/11/08,Caen,Le Havre,0,1,0.5882352941176471,0.29411764705882354,0.18181818181818182,0809,Caen0809,Le Havre0809,F10809,0.06417112299465244,0.5527638190954773,0.27638190954773867,0.1708542713567839,Caen,Le Havre,0,3,1,0,0,0
13,F1,15/11/08,Le Havre,Paris SG,1,3,0.30303030303030304,0.3333333333333333,0.4347826086956522,0809,Le Havre0809,Paris SG0809,F10809,0.07114624505928857,0.2829028290282903,0.31119311193111926,0.40590405904059046,Paris SG,Le Havre,0,3,0,0,1,1
14,F1,22/11/08,Grenoble,Le Havre,0,0,0.47619047619047616,0.3225806451612903,0.2631578947368421,0809,Grenoble0809,Le Havre0809,F10809,0.06192901608860857,0.4484202512371526,0.30376855728968405,0.2478111914731633,Grenoble,Le Havre,1,1,0,1,0,0
15,F1,29/11/08,Le Havre,Nantes,0,2,0.4166666666666667,0.3225806451612903,0.3225806451612903,0809,Le Havre0809,Nantes0809,F10809,0.06182795698924726,0.3924050632911393,0.3037974683544304,0.3037974683544304,Le Havre,Nantes,0,3,0,0,0,1
16,F1,06/12/08,St Etienne,Le Havre,2,0,0.5714285714285714,0.30303030303030304,0.19047619047619047,0809,St Etienne0809,Le Havre0809,F10809,0.06493506493506485,0.5365853658536586,0.28455284552845533,0.17886178861788618,St Etienne,Le Havre,3,0,0,0,0,0
17,F1,14/12/08,Le Havre,Lorient,1,3,0.37735849056603776,0.3333333333333333,0.35714285714285715,0809,Le Havre0809,Lorient0809,F10809,0.06783468104222834,0.353386621792175,0.31215818258308786,0.334455195624737,Le Havre,Lorient,0,3,0,0,0,0
18,F1,20/12/08,Lille,Le Havre,3,1,0.6944444444444444,0.26666666666666666,0.10526315789473684,0809,Lille0809,Le Havre0809,F10809,0.06637426900584797,0.6512201809706608,0.25006854949273377,0.09871126953660542,Lille,Le Havre,3,0,0,0,0,0
19,F1,10/01/09,Le Havre,Toulouse,0,1,0.36363636363636365,0.3333333333333333,0.36363636363636365,0809,Le Havre0809,Toulouse0809,F10809,0.06060606060606055,0.34285714285714286,0.3142857142857143,0.34285714285714286,Le Havre,Toulouse,0,3,0,0,0,0
