,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,E1,08/08/09,Leicester,Swansea,2,1,0.4444444444444444,0.3076923076923077,0.3125,0910,Leicester0910,Swansea0910,E10910,0.06463675213675213,0.41746111389864526,0.28901154039136984,0.29352734570998495,Arsenal,Everton,3,0,1,0,0,0
1,E1,15/08/09,Ipswich,Leicester,0,0,0.5235602094240838,0.29411764705882354,0.23809523809523808,0910,Ipswich0910,Leicester0910,E10910,0.05577309457814539,0.4959022086400889,0.2785803583831088,0.22551743297680232,Arsenal,Portsmouth,1,1,0,1,1,1
2,E1,18/08/09,Sheffield United,Leicester,1,1,0.5555555555555556,0.2857142857142857,0.2222222222222222,0910,Sheffield United0910,Leicester0910,E10910,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Aston Villa,Fulham,1,1,0,1,0,2
3,E1,22/08/09,Leicester,Barnsley,1,0,0.5780346820809249,0.2857142857142857,0.2,0910,Leicester0910,Barnsley0910,E10910,0.06374896779521055,0.5433938829374321,0.2685918335662164,0.18801428349635152,Portsmouth,Bolton,3,0,1,0,0,3
4,E1,31/08/09,Newcastle,Leicester,1,0,0.5555555555555556,0.2857142857142857,0.21052631578947367,0910,Newcastle0910,Leicester0910,E10910,0.05179615705931484,0.5281969817315331,0.27164416203335984,0.20015885623510724,Arsenal,Fulham,3,0,0,0,1,4
5,E1,12/09/09,Leicester,Blackpool,2,1,0.5464480874316939,0.29411764705882354,0.2222222222222222,0910,Leicester0910,Blackpool0910,E10910,0.06278795671273985,0.5141647343482205,0.27674160701683637,0.209093658634943,Chelsea,Wigan,3,0,1,0,0,0
6,E1,15/09/09,Leicester,Peterboro,1,1,0.5555555555555556,0.2857142857142857,0.2222222222222222,0910,Leicester0910,Peterboro0910,E10910,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Man City,Aston Villa,1,1,0,1,1,1
7,E1,19/09/09,Watford,Leicester,3,3,0.4,0.3125,0.3472222222222222,0910,Watford0910,Leicester0910,E10910,0.05972222222222223,0.3774574049803408,0.2948885976408912,0.327653997378768,Man City,Fulham,1,1,0,1,0,2
8,E1,26/09/09,Leicester,Preston,1,2,0.47619047619047616,0.29411764705882354,0.29411764705882354,0910,Leicester0910,Preston0910,E10910,0.06442577030812324,0.4473684210526316,0.27631578947368424,0.27631578947368424,Everton,Aston Villa,0,3,0,0,0,3
9,E1,29/09/09,Middlesbrough,Leicester,0,1,0.5464480874316939,0.29411764705882354,0.2222222222222222,0910,Middlesbrough0910,Leicester0910,E10910,0.06278795671273985,0.5141647343482205,0.27674160701683637,0.209093658634943,Chelsea,Man United,0,3,1,0,0,0
10,E1,03/10/09,Coventry,Leicester,1,1,0.4166666666666667,0.30303030303030304,0.3448275862068966,0910,Coventry0910,Leicester0910,E10910,0.0645245559038663,0.3914110429447853,0.2846625766871166,0.3239263803680982,West Ham,Hull,1,1,0,1,1,1
11,E1,17/10/09,Leicester,Derby,0,0,0.5235602094240838,0.29411764705882354,0.25,0910,Leicester0910,Derby0910,E10910,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Arsenal,Chelsea,1,1,0,1,0,2
12,E1,20/10/09,Leicester,Crystal Palace,2,0,0.5,0.30303030303030304,0.26666666666666666,0910,Leicester0910,Crystal Palace0910,E10910,0.06969696969696959,0.4674220963172805,0.28328611898017003,0.2492917847025496,Fulham,Sunderland,3,0,1,0,0,3
