,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,F1,05/08/2006,Lens,Troyes,1,0,0.6024096385542169,0.3076923076923077,0.2,0607,Lens0607,Troyes0607,F10607,0.1101019462465247,0.5426615461679746,0.2771748205042578,0.18016363332776755,Lens,Troyes,3,0,1,0,0,0
1,F1,13/08/2006,Lille,Lens,4,0,0.47619047619047616,0.35714285714285715,0.25,0607,Lille0607,Lens0607,F10607,0.08333333333333326,0.43956043956043955,0.3296703296703297,0.23076923076923078,Lille,Lens,3,0,0,0,1,1
2,F1,19/08/2006,Lens,Lorient,1,1,0.6211180124223602,0.3125,0.18181818181818182,0607,Lens0607,Lorient0607,F10607,0.11543619424054197,0.5568386749770621,0.28015945834783434,0.16300186667510363,Lens,Lorient,1,1,0,1,0,0
3,F1,27/08/2006,St Etienne,Lens,3,2,0.45454545454545453,0.3484320557491289,0.2777777777777778,0607,St Etienne0607,Lens0607,F10607,0.08075528807236121,0.4205812912155011,0.32239680859724823,0.2570219001872507,St Etienne,Lens,3,0,0,0,0,1
4,F1,09/09/2006,Lens,Valenciennes,3,0,0.6024096385542169,0.3125,0.2,0607,Lens0607,Valenciennes0607,F10607,0.11490963855421699,0.540321491287316,0.2802917736052951,0.1793867351073889,Lens,Valenciennes,3,0,1,0,0,0
5,F1,17/09/2006,Sochaux,Lens,0,3,0.42194092827004215,0.3484320557491289,0.3484320557491289,0607,Sochaux0607,Lens0607,F10607,0.11880503976830004,0.37713534822601835,0.31143232588699077,0.31143232588699077,Sochaux,Lens,0,3,1,0,1,1
6,F1,24/09/2006,Lens,Monaco,1,0,0.47619047619047616,0.35714285714285715,0.25,0607,Lens0607,Monaco0607,F10607,0.08333333333333326,0.43956043956043955,0.3296703296703297,0.23076923076923078,Lens,Monaco,3,0,1,0,2,2
7,F1,01/10/2006,Nancy,Lens,2,1,0.42194092827004215,0.3484320557491289,0.3076923076923077,0607,Nancy0607,Lens0607,F10607,0.0780652917114788,0.3913871743335613,0.3232012554601186,0.28541157020632013,Nancy,Lens,3,0,0,0,3,3
8,F1,15/10/2006,Lens,Marseille,1,1,0.4347826086956522,0.35714285714285715,0.2857142857142857,0607,Lens0607,Marseille0607,F10607,0.07763975155279512,0.4034582132564842,0.3314121037463977,0.26512968299711814,Lens,Marseille,1,1,0,1,0,0
9,F1,21/10/2006,Sedan,Lens,2,2,0.4,0.3333333333333333,0.37037037037037035,0607,Sedan0607,Lens0607,F10607,0.10370370370370363,0.36241610738255037,0.30201342281879195,0.33557046979865773,Sedan,Lens,1,1,0,1,0,1
10,F1,28/10/2006,Lens,Auxerre,1,0,0.5464480874316939,0.3333333333333333,0.23094688221709006,0607,Lens0607,Auxerre0607,F10607,0.11072830298211733,0.49197277674888934,0.3001033938168225,0.2079238294342881,Lens,Auxerre,3,0,1,0,0,2
11,F1,05/11/2006,Paris SG,Lens,1,3,0.5,0.3484320557491289,0.23094688221709006,0607,Paris SG0607,Lens0607,F10607,0.07937893796621909,0.4632293464444535,0.3228079069299327,0.21396274662561363,Paris SG,Lens,0,3,1,0,1,3
12,F1,11/11/2006,Lens,Rennes,0,0,0.5813953488372093,0.3125,0.2222222222222222,0607,Lens0607,Rennes0607,F10607,0.11611757105943155,0.5209086962812907,0.27998842425119375,0.19910287946751554,Lens,Rennes,1,1,0,1,2,4
13,F1,18/11/2006,Lens,Nantes,2,0,0.6211180124223602,0.29411764705882354,0.2,0607,Lens0607,Nantes0607,F10607,0.11523565948118364,0.5569388022539641,0.2637269034202595,0.17933429432577647,Lens,Nantes,3,0,1,0,0,5
14,F1,26/11/2006,Le Mans,Lens,1,1,0.4,0.3484320557491289,0.3333333333333333,0607,Le Mans0607,Lens0607,F10607,0.08176538908246211,0.3697659437406056,0.3220957698088899,0.3081382864505046,Le Mans,Lens,1,1,0,1,1,6
15,F1,02/12/2006,Lens,Bordeaux,3,0,0.5128205128205129,0.35714285714285715,0.25,0607,Lens0607,Bordeaux0607,F10607,0.11996336996336998,0.45789043336058877,0.3188879803761243,0.223221586263287,Lens,Bordeaux,3,0,1,0,0,7
16,F1,09/12/2006,Toulouse,Lens,0,1,0.4166666666666667,0.36363636363636365,0.30303030303030304,0607,Toulouse0607,Lens0607,F10607,0.08333333333333326,0.38461538461538464,0.3356643356643357,0.27972027972027974,Toulouse,Lens,0,3,1,0,1,8
17,F1,17/12/2006,Lens,Lyon,0,4,0.26666666666666666,0.3225806451612903,0.48780487804878053,0607,Lens0607,Lyon0607,F10607,0.07705218987673756,0.24758936398168888,0.29950326288107526,0.45290737313723584,Lyon,Lens,0,3,0,0,2,9
18,F1,23/12/2006,Nice,Lens,1,2,0.3846153846153846,0.3333333333333333,0.35714285714285715,0607,Nice0607,Lens0607,F10607,0.07509157509157505,0.3577512776831346,0.3100511073253833,0.33219761499148215,Nice,Lens,0,3,1,0,0,0
19,F1,13/01/2007,Lens,Lille,1,1,0.47619047619047616,0.3333333333333333,0.26666666666666666,0607,Lens0607,Lille0607,F10607,0.07619047619047614,0.4424778761061947,0.30973451327433627,0.24778761061946902,Lens,Lille,1,1,0,1,1,1
