,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,SP1,26/08/07,Mallorca,Levante,3,0,0.5263157894736842,0.3225806451612903,0.23094688221709006,0708,Mallorca0708,Levante0708,SP10708,0.0798433168520647,0.48740014524328246,0.29872912127814083,0.2138707334785766,Mallorca,Levante,3,0,0,0,0,0
1,SP1,01/09/07,Levante,Murcia,0,0,0.45454545454545453,0.3125,0.3076923076923077,0708,Levante0708,Murcia0708,SP10708,0.0747377622377623,0.422936152907686,0.29076860512403413,0.28629524196827977,Levante,Murcia,1,1,0,1,0,0
2,SP1,16/09/07,Santander,Levante,1,0,0.5263157894736842,0.30303030303030304,0.23809523809523808,0708,Santander0708,Levante0708,SP10708,0.06744133059922541,0.4930629669156883,0.2838847385272145,0.2230522945570971,Santander,Levante,3,0,0,0,0,1
3,SP1,23/09/07,Levante,Ath Bilbao,1,2,0.42194092827004215,0.3076923076923077,0.3333333333333333,0708,Levante0708,Ath Bilbao0708,SP10708,0.06296656929568312,0.3969465648854962,0.2894656488549619,0.313587786259542,Levante,Ath Bilbao,0,3,0,0,0,0
4,SP1,26/09/07,Osasuna,Levante,4,1,0.5813953488372093,0.2857142857142857,0.19047619047619047,0708,Osasuna0708,Levante0708,SP10708,0.0575858250276855,0.549738219895288,0.2701570680628272,0.1801047120418848,Osasuna,Levante,3,0,0,0,0,0
5,SP1,29/09/07,Levante,Barcelona,1,4,0.125,0.2222222222222222,0.7142857142857143,0708,Levante0708,Barcelona0708,SP10708,0.06150793650793651,0.11775700934579439,0.20934579439252335,0.6728971962616822,Barcelona,Levante,0,3,0,0,0,0
6,SP1,07/10/07,Zaragoza,Levante,3,0,0.6944444444444444,0.23809523809523808,0.13333333333333333,0708,Zaragoza0708,Levante0708,SP10708,0.06587301587301586,0.6515264333581534,0.22338049143708116,0.12509307520476545,Zaragoza,Levante,3,0,0,0,0,0
7,SP1,20/10/07,Levante,Sevilla,0,2,0.17391304347826086,0.27027027027027023,0.6211180124223602,0708,Levante0708,Sevilla0708,SP10708,0.06530132617089124,0.16325244248345416,0.2537031200756382,0.5830444374409077,Sevilla,Levante,0,3,0,0,0,0
8,SP1,28/10/07,Levante,Ath Madrid,0,1,0.2,0.2631578947368421,0.6024096385542169,0708,Levante0708,Ath Madrid0708,SP10708,0.06556753329105902,0.18769340633182577,0.24696500833134966,0.5653415853368245,Ath Madrid,Levante,0,3,0,0,0,0
9,SP1,31/10/07,Villarreal,Levante,3,0,0.8,0.19047619047619047,0.07692307692307693,0708,Villarreal0708,Levante0708,SP10708,0.06739926739926738,0.7494852436513384,0.17844886753603295,0.0720658888126287,Villarreal,Levante,3,0,0,0,0,0
10,SP1,04/11/07,Levante,Almeria,3,0,0.38167938931297707,0.3076923076923077,0.38167938931297707,0708,Levante0708,Almeria0708,SP10708,0.07105108631826185,0.356359649122807,0.28728070175438597,0.356359649122807,Levante,Almeria,3,0,1,0,0,0
11,SP1,11/11/07,Valladolid,Levante,1,0,0.5813953488372093,0.2857142857142857,0.2,0708,Valladolid0708,Levante0708,SP10708,0.06710963455149499,0.5448318804483189,0.26774595267745954,0.1874221668742217,Valladolid,Levante,3,0,0,0,1,1
12,SP1,25/11/07,Levante,Betis,4,3,0.37735849056603776,0.3125,0.37735849056603776,0708,Levante0708,Betis0708,SP10708,0.06721698113207553,0.35359116022099446,0.292817679558011,0.35359116022099446,Levante,Betis,3,0,1,0,0,0
13,SP1,02/12/07,Getafe,Levante,2,1,0.6535947712418301,0.26666666666666666,0.14285714285714285,0708,Getafe0708,Levante0708,SP10708,0.06311858076563959,0.6147900930967856,0.25083435798348847,0.13437554891972597,Getafe,Levante,3,0,0,0,1,1
14,SP1,09/12/07,Levante,Recreativo,0,2,0.4166666666666667,0.30303030303030304,0.3484320557491289,0708,Levante0708,Recreativo0708,SP10708,0.06812902544609867,0.3900902014086247,0.283701964660818,0.32620783393055724,Levante,Recreativo,0,3,0,0,0,0
15,SP1,15/12/07,Espanol,Levante,1,0,0.7352941176470588,0.2222222222222222,0.1111111111111111,0708,Espanol0708,Levante0708,SP10708,0.06862745098039214,0.6880733944954128,0.20795107033639143,0.10397553516819572,Espanol,Levante,3,0,0,0,0,0
16,SP1,23/12/07,Levante,La Coruna,0,1,0.35714285714285715,0.3076923076923077,0.4,0708,Levante0708,La Coruna0708,SP10708,0.06483516483516505,0.33539731682146534,0.2889576883384932,0.3756449948400412,La Coruna,Levante,0,3,0,0,0,0
17,SP1,06/01/08,Valencia,Levante,0,0,0.7518796992481203,0.21052631578947367,0.10526315789473684,0708,Valencia0708,Levante0708,SP10708,0.06766917293233066,0.7042253521126761,0.1971830985915493,0.09859154929577466,Valencia,Levante,1,1,0,1,0,0
18,SP1,13/01/08,Levante,Real Madrid,0,2,0.1111111111111111,0.2,0.7518796992481203,0708,Levante0708,Real Madrid0708,SP10708,0.06299081035923138,0.10452687834014461,0.1881483810122603,0.7073247406475951,Real Madrid,Levante,0,3,0,0,0,1
19,SP1,20/01/08,Levante,Mallorca,2,2,0.3125,0.3076923076923077,0.4444444444444444,0708,Levante0708,Mallorca0708,SP10708,0.06463675213675213,0.29352734570998495,0.28901154039136984,0.41746111389864526,Mallorca,Levante,1,1,0,1,0,0
20,SP1,27/01/08,Murcia,Levante,2,3,0.5813953488372093,0.2857142857142857,0.2,0708,Murcia0708,Levante0708,SP10708,0.06710963455149499,0.5448318804483189,0.26774595267745954,0.1874221668742217,Murcia,Levante,0,3,1,0,0,1
21,SP1,03/02/08,Levante,Santander,1,1,0.3076923076923077,0.30303030303030304,0.45454545454545453,0708,Levante0708,Santander0708,SP10708,0.06526806526806528,0.2888402625820569,0.2844638949671772,0.42669584245076586,Santander,Levante,1,1,0,1,1,2
22,SP1,10/02/08,Ath Bilbao,Levante,1,0,0.5813953488372093,0.2857142857142857,0.2,0708,Ath Bilbao0708,Levante0708,SP10708,0.06710963455149499,0.5448318804483189,0.26774595267745954,0.1874221668742217,Ath Bilbao,Levante,3,0,0,0,0,3
23,SP1,17/02/08,Levante,Osasuna,2,1,0.3484320557491289,0.29411764705882354,0.42194092827004215,0708,Levante0708,Osasuna0708,SP10708,0.06449063107799446,0.3273228017012012,0.27629895320071984,0.39637824509807906,Osasuna,Levante,3,0,1,0,0,0
24,SP1,24/02/08,Barcelona,Levante,5,1,0.8928571428571428,0.125,0.047619047619047616,0708,Barcelona0708,Levante0708,SP10708,0.06547619047619047,0.8379888268156424,0.11731843575418995,0.04469273743016759,Barcelona,Levante,3,0,0,0,1,1
25,SP1,02/03/08,Levante,Zaragoza,2,1,0.3125,0.30303030303030304,0.45454545454545453,0708,Levante0708,Zaragoza0708,SP10708,0.07007575757575757,0.2920353982300885,0.2831858407079646,0.4247787610619469,Zaragoza,Levante,3,0,1,0,0,0
26,SP1,09/03/08,Sevilla,Levante,2,1,0.819672131147541,0.16666666666666666,0.07692307692307693,0708,Sevilla0708,Levante0708,SP10708,0.06326187473728462,0.7709033405811425,0.15675034591816564,0.07234631350069183,Sevilla,Levante,3,0,0,0,1,1
27,SP1,16/03/08,Ath Madrid,Levante,3,0,0.78125,0.19047619047619047,0.09090909090909091,0708,Ath Madrid0708,Levante0708,SP10708,0.0626352813852813,0.73520050922979,0.1792488860598345,0.08555060471037557,Ath Madrid,Levante,3,0,0,0,0,0
28,SP1,23/03/08,Levante,Villarreal,1,2,0.21052631578947367,0.2777777777777778,0.5813953488372093,0708,Levante0708,Villarreal0708,SP10708,0.0696994424044608,0.19680884876994467,0.25967834212701035,0.543512809103045,Villarreal,Levante,0,3,0,0,0,0
29,SP1,30/03/08,Almeria,Levante,2,1,0.6369426751592356,0.26666666666666666,0.16666666666666666,0708,Almeria0708,Levante0708,SP10708,0.0702760084925691,0.595120015869867,0.249156913310851,0.15572307081928186,Almeria,Levante,3,0,0,0,0,0
30,SP1,06/04/08,Levante,Valladolid,0,3,0.3448275862068966,0.30303030303030304,0.42194092827004215,0708,Levante0708,Valladolid0708,SP10708,0.0697988175072417,0.32232937685459945,0.28325914935707225,0.39441147378832836,Valladolid,Levante,0,3,0,0,0,0
31,SP1,13/04/08,Betis,Levante,0,1,0.6944444444444444,0.23809523809523808,0.13333333333333333,0708,Betis0708,Levante0708,SP10708,0.06587301587301586,0.6515264333581534,0.22338049143708116,0.12509307520476545,Betis,Levante,0,3,1,0,0,0
32,SP1,20/04/08,Levante,Getafe,3,1,0.3076923076923077,0.30303030303030304,0.45454545454545453,0708,Levante0708,Getafe0708,SP10708,0.06526806526806528,0.2888402625820569,0.2844638949671772,0.42669584245076586,Getafe,Levante,3,0,1,0,1,1
33,SP1,27/04/08,Recreativo,Levante,2,0,0.6535947712418301,0.2631578947368421,0.15384615384615385,0708,Recreativo0708,Levante0708,SP10708,0.07059881982482619,0.6104945747546898,0.245804394572283,0.143701030673027,Recreativo,Levante,3,0,0,0,2,2
34,SP1,04/05/08,Levante,Espanol,1,1,0.29411764705882354,0.29411764705882354,0.47619047619047616,0708,Levante0708,Espanol0708,SP10708,0.06442577030812324,0.27631578947368424,0.27631578947368424,0.4473684210526316,Espanol,Levante,1,1,0,1,0,0
35,SP1,07/05/08,La Coruna,Levante,1,0,0.7518796992481203,0.2222222222222222,0.09090909090909091,0708,La Coruna0708,Levante0708,SP10708,0.06501101237943341,0.705983027882764,0.2086572060186836,0.08535976609855238,La Coruna,Levante,3,0,0,0,0,1
36,SP1,11/05/08,Levante,Valencia,1,5,0.2,0.2857142857142857,0.5813953488372093,0708,Levante0708,Valencia0708,SP10708,0.06710963455149499,0.1874221668742217,0.26774595267745954,0.5448318804483189,Valencia,Levante,0,3,0,0,0,0
37,SP1,18/05/08,Real Madrid,Levante,5,2,0.8771929824561404,0.13333333333333333,0.0625,0708,Real Madrid0708,Levante0708,SP10708,0.07302631578947372,0.8174943797261394,0.12425914571837318,0.058246474555487426,Real Madrid,Levante,3,0,0,0,0,0
