,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,D1,11/08/07,Leverkusen,Cottbus,0,0,0.6535947712418301,0.2631578947368421,0.16666666666666666,0708,Leverkusen0708,Cottbus0708,D10708,0.08341933264533896,0.6032703603746626,0.24289569772979833,0.15383394189553895,Leverkusen,Cottbus,1,1,0,1,0,0
1,D1,19/08/07,Hamburg,Leverkusen,1,0,0.47619047619047616,0.3076923076923077,0.29411764705882354,0708,Hamburg0708,Leverkusen0708,D10708,0.07800043094160736,0.44173495902458526,0.28542874275434743,0.27283629822106736,Hamburg,Leverkusen,3,0,0,0,0,1
2,D1,25/08/07,Leverkusen,Karlsruhe,3,0,0.6369426751592356,0.2777777777777778,0.16666666666666666,0708,Leverkusen0708,Karlsruhe0708,D10708,0.08138711960368017,0.5890052356020942,0.2568717277486911,0.15412303664921465,Leverkusen,Karlsruhe,3,0,1,0,0,0
3,D1,31/08/07,Schalke 04,Leverkusen,1,1,0.5813953488372093,0.2857142857142857,0.21052631578947367,0708,Schalke 040708,Leverkusen0708,D10708,0.0776359503409687,0.5395099789063768,0.26513061820541944,0.19535940288820378,Schalke 04,Leverkusen,1,1,0,1,1,1
4,D1,15/09/07,Leverkusen,Bochum,2,0,0.6211180124223602,0.26666666666666666,0.18181818181818182,0708,Leverkusen0708,Bochum0708,D10708,0.0696028609072088,0.5806996550995988,0.24931371858942772,0.16998662631097347,Leverkusen,Bochum,3,0,1,0,0,2
5,D1,23/09/07,Hannover,Leverkusen,0,3,0.4,0.3076923076923077,0.35714285714285715,0708,Hannover0708,Leverkusen0708,D10708,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Hannover,Leverkusen,0,3,1,0,1,3
6,D1,26/09/07,Nurnberg,Leverkusen,1,2,0.4,0.30303030303030304,0.36363636363636365,0708,Nurnberg0708,Leverkusen0708,D10708,0.06666666666666687,0.37499999999999994,0.28409090909090906,0.34090909090909083,Nurnberg,Leverkusen,0,3,1,0,2,4
7,D1,29/09/07,Leverkusen,Bayern Munich,0,1,0.23094688221709006,0.2777777777777778,0.5555555555555556,0708,Leverkusen0708,Bayern Munich0708,D10708,0.0642802155504234,0.21699819168173598,0.26100060277275466,0.5220012055455093,Bayern Munich,Leverkusen,0,3,0,0,3,5
8,D1,07/10/07,Ein Frankfurt,Leverkusen,2,1,0.37037037037037035,0.3076923076923077,0.38167938931297707,0708,Ein Frankfurt0708,Leverkusen0708,D10708,0.05974206737565524,0.3494910523723526,0.29034641274010836,0.3601625348875389,Leverkusen,Ein Frankfurt,3,0,0,0,0,0
9,D1,20/10/07,Leverkusen,Dortmund,2,2,0.5405405405405405,0.2857142857142857,0.23809523809523808,0708,Leverkusen0708,Dortmund0708,D10708,0.0643500643500643,0.5078597339782346,0.26844014510278114,0.22370012091898428,Leverkusen,Dortmund,1,1,0,1,0,0
10,D1,27/10/07,Stuttgart,Leverkusen,1,0,0.4347826086956522,0.29411764705882354,0.3333333333333333,0708,Stuttgart0708,Leverkusen0708,D10708,0.06223358908780896,0.4093097913322633,0.27688603531300165,0.31380417335473515,Stuttgart,Leverkusen,3,0,0,0,0,1
11,D1,03/11/07,Leverkusen,Bielefeld,4,0,0.6535947712418301,0.25,0.16666666666666666,0708,Leverkusen0708,Bielefeld0708,D10708,0.0702614379084967,0.6106870229007634,0.233587786259542,0.15572519083969466,Leverkusen,Bielefeld,3,0,1,0,0,0
12,D1,11/11/07,Wolfsburg,Leverkusen,1,2,0.4166666666666667,0.30303030303030304,0.3448275862068966,0708,Wolfsburg0708,Leverkusen0708,D10708,0.0645245559038663,0.3914110429447853,0.2846625766871166,0.3239263803680982,Wolfsburg,Leverkusen,0,3,1,0,1,1
13,D1,24/11/07,Leverkusen,Duisburg,4,1,0.7352941176470588,0.2222222222222222,0.1111111111111111,0708,Leverkusen0708,Duisburg0708,D10708,0.06862745098039214,0.6880733944954128,0.20795107033639143,0.10397553516819572,Leverkusen,Duisburg,3,0,1,0,2,2
14,D1,01/12/07,Hertha,Leverkusen,0,3,0.4,0.30303030303030304,0.36363636363636365,0708,Hertha0708,Leverkusen0708,D10708,0.06666666666666687,0.37499999999999994,0.28409090909090906,0.34090909090909083,Hertha,Leverkusen,0,3,1,0,3,3
