,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,F1,11/08/12,St Etienne,Lille,1,2,0.3333333333333333,0.3333333333333333,0.4,1213,St Etienne1213,Lille1213,F11213,0.06666666666666665,0.3125,0.3125,0.375,Lille,St Etienne,0,3,1,0,0,0
1,F1,17/08/12,Lille,Nancy,1,1,0.6944444444444444,0.25,0.125,1213,Lille1213,Nancy1213,F11213,0.06944444444444442,0.6493506493506493,0.23376623376623376,0.11688311688311688,Lille,Nancy,1,1,0,1,1,1
2,F1,25/08/12,Nice,Lille,2,2,0.25,0.3125,0.5,1213,Nice1213,Lille1213,F11213,0.0625,0.23529411764705882,0.29411764705882354,0.47058823529411764,Lille,Nice,1,1,0,1,0,2
3,F1,02/09/12,Lille,Paris SG,1,2,0.37037037037037035,0.3076923076923077,0.3846153846153846,1213,Lille1213,Paris SG1213,F11213,0.06267806267806275,0.34852546916890076,0.28954423592493295,0.3619302949061662,Paris SG,Lille,0,3,0,0,0,3
4,F1,15/09/12,Troyes,Lille,1,1,0.25,0.3125,0.5,1213,Troyes1213,Lille1213,F11213,0.0625,0.23529411764705882,0.29411764705882354,0.47058823529411764,Lille,Troyes,1,1,0,1,0,0
5,F1,23/09/12,Lille,Lyon,1,1,0.47619047619047616,0.30303030303030304,0.2857142857142857,1213,Lille1213,Lyon1213,F11213,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Lille,Lyon,1,1,0,1,0,1
6,F1,28/09/12,Rennes,Lille,2,0,0.4,0.3225806451612903,0.3448275862068966,1213,Rennes1213,Lille1213,F11213,0.06740823136818697,0.3747394747811588,0.3022092538557732,0.32305127136306794,Rennes,Lille,3,0,0,0,0,2
7,F1,06/10/12,Lille,Ajaccio,2,0,0.7142857142857143,0.23094688221709006,0.11764705882352941,1213,Lille1213,Ajaccio1213,F11213,0.06287965532633377,0.6720287764529735,0.21728413095477203,0.11068709259225445,Lille,Ajaccio,3,0,1,0,0,0
8,F1,19/10/12,Bordeaux,Lille,1,1,0.4444444444444444,0.3333333333333333,0.2857142857142857,1213,Bordeaux1213,Lille1213,F11213,0.06349206349206327,0.41791044776119407,0.3134328358208956,0.2686567164179105,Bordeaux,Lille,1,1,0,1,1,1
9,F1,27/10/12,Lille,Valenciennes,2,1,0.6369426751592356,0.2777777777777778,0.15384615384615385,1213,Lille1213,Valenciennes1213,F11213,0.0685666067831674,0.5960720381078533,0.2599536388414805,0.14397432305066613,Lille,Valenciennes,3,0,1,0,0,2
10,F1,03/11/12,Evian Thonon Gaillard,Lille,0,2,0.2777777777777778,0.3125,0.47619047619047616,1213,Evian Thonon Gaillard1213,Lille1213,F11213,0.06646825396825395,0.26046511627906976,0.2930232558139535,0.44651162790697674,Lille,Evian Thonon Gaillard,0,3,1,0,1,3
11,F1,10/11/12,Lille,Brest,1,0,0.7518796992481203,0.21052631578947367,0.1,1213,Lille1213,Brest1213,F11213,0.06240601503759402,0.7077140835102618,0.1981599433828733,0.09412597310686482,Lille,Brest,3,0,1,0,2,4
12,F1,16/11/12,Lorient,Lille,2,0,0.3225806451612903,0.3225806451612903,0.4166666666666667,1213,Lorient1213,Lille1213,F11213,0.06182795698924726,0.3037974683544304,0.3037974683544304,0.3924050632911393,Lille,Lorient,3,0,0,0,3,5
13,F1,25/11/12,Marseille,Lille,1,0,0.4347826086956522,0.3225806451612903,0.30303030303030304,1213,Marseille1213,Lille1213,F11213,0.06039355688724557,0.41002004008016035,0.30420841683366734,0.28577154308617236,Marseille,Lille,3,0,0,0,0,0
14,F1,01/12/12,Lille,Bastia,0,0,0.7142857142857143,0.2222222222222222,0.125,1213,Lille1213,Bastia1213,F11213,0.06150793650793651,0.6728971962616822,0.20934579439252335,0.11775700934579439,Lille,Bastia,1,1,0,1,0,0
15,F1,08/12/12,Sochaux,Lille,1,1,0.23809523809523808,0.3125,0.5128205128205129,1213,Sochaux1213,Lille1213,F11213,0.06341575091575091,0.2238966630785791,0.2938643702906351,0.48223896663078586,Lille,Sochaux,1,1,0,1,0,1
