,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,F1,11/08/12,Paris SG,Lorient,2,2,0.7518796992481203,0.21052631578947367,0.1,1213,Paris SG1213,Lorient1213,F11213,0.06240601503759402,0.7077140835102618,0.1981599433828733,0.09412597310686482,Paris SG,Lorient,1,1,0,1,0,0
1,F1,18/08/12,Lorient,Montpellier,2,1,0.37037037037037035,0.3333333333333333,0.36363636363636365,1213,Lorient1213,Montpellier1213,F11213,0.06734006734006748,0.34700315457413244,0.3123028391167192,0.34069400630914826,Lorient,Montpellier,3,0,1,0,0,1
2,F1,25/08/12,Troyes,Lorient,2,2,0.3846153846153846,0.3333333333333333,0.3448275862068966,1213,Troyes1213,Lorient1213,F11213,0.06277630415561442,0.36189683860232946,0.3136439267886855,0.32445923460898507,Troyes,Lorient,1,1,0,1,1,2
3,F1,01/09/12,Lorient,Nancy,3,0,0.5,0.3125,0.25,1213,Lorient1213,Nancy1213,F11213,0.0625,0.47058823529411764,0.29411764705882354,0.23529411764705882,Lorient,Nancy,3,0,1,0,0,3
4,F1,16/09/12,Rennes,Lorient,1,2,0.5464480874316939,0.3076923076923077,0.21052631578947367,1213,Rennes1213,Lorient1213,F11213,0.06466671091347531,0.5132574183359654,0.28900340786302053,0.19773917380101405,Rennes,Lorient,0,3,1,0,1,4
5,F1,22/09/12,Lorient,Nice,1,1,0.5235602094240838,0.30303030303030304,0.23809523809523808,1213,Lorient1213,Nice1213,F11213,0.064685750549625,0.4917509313464608,0.2846194784459819,0.22362959020755718,Lorient,Nice,1,1,0,1,2,5
6,F1,29/09/12,Evian Thonon Gaillard,Lorient,1,1,0.4,0.3225806451612903,0.3448275862068966,1213,Evian Thonon Gaillard1213,Lorient1213,F11213,0.06740823136818697,0.3747394747811588,0.3022092538557732,0.32305127136306794,Evian Thonon Gaillard,Lorient,1,1,0,1,0,6
7,F1,07/10/12,Lorient,Lyon,1,1,0.35714285714285715,0.3225806451612903,0.3846153846153846,1213,Lorient1213,Lyon1213,F11213,0.06433888691953205,0.33555370524562866,0.30308076602830974,0.3613655287260616,Lyon,Lorient,1,1,0,1,0,7
8,F1,20/10/12,Valenciennes,Lorient,6,1,0.47619047619047616,0.3125,0.2777777777777778,1213,Valenciennes1213,Lorient1213,F11213,0.06646825396825395,0.44651162790697674,0.2930232558139535,0.26046511627906976,Valenciennes,Lorient,3,0,0,0,0,8
9,F1,28/10/12,Lorient,Ajaccio,4,4,0.5714285714285714,0.29411764705882354,0.2,1213,Lorient1213,Ajaccio1213,F11213,0.06554621848739495,0.5362776025236593,0.27602523659305994,0.18769716088328076,Lorient,Ajaccio,1,1,0,1,0,0
10,F1,02/11/12,Brest,Lorient,2,0,0.3225806451612903,0.3225806451612903,0.4166666666666667,1213,Brest1213,Lorient1213,F11213,0.06182795698924726,0.3037974683544304,0.3037974683544304,0.3924050632911393,Lorient,Brest,3,0,0,0,0,1
11,F1,11/11/12,Lorient,Bordeaux,0,4,0.4166666666666667,0.3225806451612903,0.3225806451612903,1213,Lorient1213,Bordeaux1213,F11213,0.06182795698924726,0.3924050632911393,0.3037974683544304,0.3037974683544304,Lorient,Bordeaux,0,3,0,0,0,0
12,F1,16/11/12,Lorient,Lille,2,0,0.3225806451612903,0.3225806451612903,0.4166666666666667,1213,Lorient1213,Lille1213,F11213,0.06182795698924726,0.3037974683544304,0.3037974683544304,0.3924050632911393,Lille,Lorient,3,0,1,0,0,0
13,F1,24/11/12,Bastia,Lorient,2,1,0.4166666666666667,0.30303030303030304,0.3448275862068966,1213,Bastia1213,Lorient1213,F11213,0.0645245559038663,0.3914110429447853,0.2846625766871166,0.3239263803680982,Bastia,Lorient,3,0,0,0,1,1
14,F1,02/12/12,Lorient,Toulouse,1,0,0.4166666666666667,0.3125,0.3333333333333333,1213,Lorient1213,Toulouse1213,F11213,0.0625,0.39215686274509803,0.29411764705882354,0.3137254901960784,Lorient,Toulouse,3,0,1,0,0,0
15,F1,09/12/12,Marseille,Lorient,0,3,0.6172839506172839,0.2777777777777778,0.16666666666666666,1213,Marseille1213,Lorient1213,F11213,0.06172839506172845,0.5813953488372092,0.2616279069767442,0.15697674418604649,Marseille,Lorient,0,3,1,0,1,1
16,F1,12/12/12,Lorient,Sochaux,2,0,0.5988023952095809,0.2857142857142857,0.18181818181818182,1213,Lorient1213,Sochaux1213,F11213,0.06633486274204836,0.5615519253208868,0.26794049008168025,0.1705075845974329,Lorient,Sochaux,3,0,1,0,2,2
